name,ghs
ABRAÃO ALAB,6qp
ADALBERTO ARAGÃO,6qp
ADALBERTO SENA,6qp
AEROPORTO VELHO,6qp
ALTO ALEGRE,6qp
AMAPÁ,6qp
APOLÔNIO SALES,6qp
AREAL,6qp
AVIÁRIO,6qp
AYRTON SENA,6qp
BAHIA NOVA,6qp
BAHIA VELHA,6qp
BAIXA DA COLINA,6qp
BASE,6qp
BELO JARDIM II,6qp
BENFICA,6qp
BOA ESPERANÇA,6qp
BOA UNIÃO,6qp
BOA VISTA,6qp
BOSQUE,6qp
CADEIA VELHA,6qp
CALAFATE,6qp
CANAÃ,6qp
CAPOEIRA,6qp
CASA NOVA,6qp
CENTRO,6qp
CERÂMICA,6qp
CHICO MENDES,6qp
CHÁCARA IPÊ,6qp
CIDADE DO POVO,6qp
CIDADE NOVA,6qp
COMARA,6qp
CONJUNTO GUIOMARD SANTOS,6qp
CONJUNTO MARIANA,6qp
CONQUISTA,6qp
CUSTODIO FREIRE,6qp
DEFESA CIVIL,6qp
DISTRITO INDUSTRIAL,6qp
DOCA FURTADO,6qp
DOM GIOCONDO,6qp
ELDORADO,6qp
ESTACAO EXPERIMENTAL,6qp
FLORESTA,6qp
FLORESTA SUL,6qp
GERALDO FLEMING,6qp
GLÓRIA,6qp
HABITAR BRASIL,6qp
HABITASA,6qp
HORTO FLORESTAL,6qp
ILSON RIBEIRO,6qp
IOLANDA,6qp
IPASE,6qp
IRINEU SERRA,6qp
ISAURA PARENTE,6qp
ITUCUMÃ,6qp
IVETE VARGAS,6qp
JAGUAR,6qp
JARDIM AMÉRICA,6qp
JARDIM BRASIL,6qp
JARDIM DE ALAH,6qp
JARDIM EUROPA,6qp
JARDIM MANOEL JULIÃO,6qp
JARDIM NAZLE,6qp
JARDIM PRIMAVERA,6qp
JARDIM SÃO FRANCISCO,6qp
JARDIM TROPICAL,6qp
JARDIM UNIVERSITÁRIO,6qp
JOAFRA,6qp
JORGE LAVOCAT,6qp
JOSÉ AUGUSTO,6qp
JOÃO EDUARDO I,6qp
JOÃO EDUARDO II,6qp
JOÃO PAULO II,6qp
LBA VILA BETEL II,6qp
LOTEAMENTO DOS ENGENHEIROS,6qp
LOTEAMENTO NOVO HORIZONTE,6qp
MANOEL JULIÃO,6qp
MOCINHA MAGALHÃES,6qp
MONTANHÊS,6qp
MORADA DO SOL,6qp
NOVA ESPERANÇA,6qp
NOVA ESTAÇÃO,6qp
NOVO HORIZONTE,6qp
OSCAR PASSOS,6qp
OURICURI,6qp
PALHEIRAL,6qp
PAPOCO,6qp
PARQUE DAS PALMEIRAS,6qp
PARQUE DOS SABIÁS,6qp
PAULO C DE OLIVEIRA,6qp
PAZ,6qp
PEDRO ROSENO,6qp
PETRÓPOLIS,6qp
PISTA,6qp
PLACAS,6qp
PLÁCIDO DE CASTRO,6qp
PORTAL DA AMAZÔNIA,6qp
PREVENTÓRIO,6qp
QUINZE,6qp
RAIMUNDO MELO,6qp
RECANTO DOS BURITÍS,6qp
ROSA LINDA,6qp
RUI LINO,6qp
SANTA HELENA,6qp
SANTA INÊS,6qp
SANTA QUITÉRIA,6qp
SANTO AFONSO,6qp
SEIS DE AGOSTO,6qp
SOBRAL,6qp
SÃO FRANCISCO,6qp
TANCREDO NEVES,6qp
TANGARÁ,6qp
TAQUARI,6qp
TRIÂNGULO NOVO,6qp
TRIÂNGULO VELHO,6qp
TUCUMÃ,6qp
UNIVERSITÁRIO,6qp
VILA ACRE,6qp
VILA DA AMIZADE,6qp
VILA IVONETE,6qp
VILA MARIA,6qp
VILA NOVA,6qp
VILAGE TIRADENTES,6qp
VILLAGE WALDEMAR MACIEL,6qp
VITÓRIA,6qp
VOLTA SECA,6qp
WALDEMAR MACIEL,6qp
WANDERLEY DANTAS,6qp
XAVIER MAIA,6qp
