name,ghs
ALA  MATRINCHÃ,6qpxr
ALA JAPIIM.,6qpxr
ALAACARÁ,6qpx
ALAACARÁ.,6qpx
ALAALAMEDA ATENAS,6qpz2
ALAALEMANHA,6qpxr 6qpz2
"ALAAUSTRIA,",6qpxr 6qpz2 6qpz20
ALAAUSTRÁLIA,6qpz20
ALAAZALÉIAS,6qpxr
ALAAÇAÍ,6qpxr
ALABARCELONA,6qpz2
ALABEIJA-FLOR;,6qpxr
ALABURITI,6qpxr
ALACAMÉLIAS,6qpxr
ALACEREJEIRA,6qpxr
ALACURIÓ,6qpxr
ALADAS ACÁCIAS,6qpx
ALADAS ACÁCIAS.,6qpxr
ALADAS ANGÉLICAS,6qpz0
ALADAS ARARAS.,6qpxr
ALADAS AZALÉIAS,6qpx
ALADAS BROMÉLIAS,6qpz0
ALADAS CAMÉLIAS,6qpz0
ALADAS CEREJEIRAS,6qpz0
ALADAS FLORES,6qpx 6qpz0
ALADAS GARDÊNIAS,6qpz0
ALADAS GARÇAS.,6qpxr
ALADAS HORTÊNCIAS,6qpx 6qpz0
ALADAS MAGNÓLIAS,6qpx
ALADAS MARGARIDAS,6qpx
ALADAS ORQUIDEAS,6qpx 6qpz0
ALADAS PETUNIAS,6qpx
ALADAS ROSAS,6qpx
ALADAS TULIPAS,6qpx 6qpz0
"ALADAS VERÔNICAS,",6qpx
ALADAS VIOLETAS,6qpx
ALADOS CRAVOS,6qpz0
ALADOS GIRASSÓIS,6qpx 6qpz0
ALADOS JASMINS,6qpx
ALADOS LÍRIOS,6qpz0
"ALADOURADO,.",6qpxr
ALAFEIJÓ,6qpxr
"ALAFLAMBOYANT,",6qpxr
ALAFRANÇA,6qpz2 6qpz20
"ALAGRECIA,",6qpz2 6qpz20
ALAIPÊ,6qpxr
ALAIRLÂNDA,6qpz2 6qpz20
ALAITÁLIA,6qpz2 6qpz20
ALAJACI.,6qpxr
ALAJASMIM,6qpxr
ALAJORDÃO,6qpxr
ALALISBOA,6qpz2
"ALAMADRI,",6qpz2 6qpz20
ALAMAGNÓLIA,6qpxr
ALAMANACÁS,6qpxr
ALAMINISTRO MIGUEL FERRANTE,6qpxr
"ALAMINISTRO MIGUEL FERRANTE,",6qpxr
ALANAPOLI,6qpz2
"ALAPAINEIRAS,",6qpxr
ALAPALMEIRAS.,6qpxr
ALAPIAPARA.,6qpxr
ALAPIAU.,6qpxr
"ALAPIRACANJUBA,",6qpxr
"ALAPIRARUCU,.",6qpx 6qpxr
ALAPOLÔNIA,6qpz2
ALAPORTO ACRE,6qpxr
ALASABIÁ,6qpxr
ALASANTA  ROSA,6qpxr
ALASEVILHA,6qpz2
ALASUIÇA,6qpz2
ALASURUBIM,6qpx 6qpxr
ALAURICURÍ,6qpxr
ALAVENEZA.,6qpz2
ALAVERONA,6qpz2
ALAVIENA,6qpz2
AVN7 DE SETEMBRO,6qpz20 6qpz22
AVNA,6qpxr 6qpz3
AVNAFIF ARÃO,6qpyf 6qpz
AVNALBERTO TORRES,6qpz2
AVNALTAMIRA,6qpz2 6qpz2y
AVNAMADEO  BARBOSA,6qpz
AVNANTONIO DA ROCHA VIANA,6qpz2 6qpz2d 6qpz2f 6qpz2s 6qpz2w
AVNANTONIO PESSOA JUCÁ,6qpz 6qpz2
AVNASCANIO,6qpz0
AVNB,6qpx 6qpxr
AVNBEIJA-FLOR.,6qpxr
AVNBEIRA RIO,6qpz0
AVNBOA VENTURA,6qpz3
AVNBRASIL,6qpz 6qpz2 6qpz3
AVNBRASIL.,6qpz 6qpz2 6qpz2y
AVNBUJARI,6qpxr
AVNC,6qpx 6qpxr
AVNCASTANHEIRA,6qpx 6qpxr
AVNCEARÁ,6qpz2 6qpz26 6qpz28 6qpz3
AVNCENTRAL,6qpxr 6qpz2 6qpz2f 6qpz3
AVNCENTRAL I,6qpxr
AVNCOELHO RAMOS,6qpz0
AVNDAS ACÁCIAS,6qpxr
AVNDAS FLORES,6qpx
AVNDORVAL CAMILO.,6qpz
"AVNDOS AMORES,",6qpy 6qpz
AVNDOS AMORES.,6qpz
AVNDOS IPÊS,6qpz
AVNDR. MARIO MAIA,6qpz 6qpz2
AVNDR. MÁRIO MAIA,6qpz3
AVNDR. PEREIRA PASSOS,6qpz
AVNDR.MARIO MAIA,6qpz2 6qpz3
AVNECOVILLE,6qpx 6qpz0
AVNEDMUNDO PINTO,6qpz3
"AVNEDMUNDO PINTO,.",6qpz3
AVNEPAMINONDAS JÁCOME,6qpz 6qpz0 6qpz3
AVNESTADO DO ACRE,6qpz0
AVNEUGÊNIO BECO BEZERRA,6qpz3
AVNFARES FEGHALI,6qpz0
"AVNFAZENDA,",6qpz
AVNFLAMENGO,6qpz3
AVNFORTALEZA DO ABUNÃ,6qpz0
"AVNFRANCISCO RIBEIRO,",6qpy
AVNFÁTIMA MAIA,6qpz2
AVNGETULIO VARGAS,6qpz0 6qpz2 6qpz2f 6qpz2s 6qpz2w 6qpz2y
AVNIACO,6qpx 6qpxr
AVNIGUAÇU,6qpz2 6qpz3
AVNJANDÁIA,6qpz
AVNJOAQUIM MACEDO,6qpz3
AVNJORGE CARDOSO,6qpy 6qpyf
AVNJUSCELINO KUBITSCHEK,6qpz2 6qpz2w
AVNMARIA JOSÉ DE OLIVEIRA,6qpxr
AVNNAÇÕES UNIDAS,6qpz2 6qpz2f
AVNNITERÓI,6qpz2
AVNNORDESTE,6qpxr
AVNNORTE,6qpxr
AVNOESTE,6qpxr
AVNPAULO LEMOS DE MOURA LEITE,6qpxr
AVNPONTA NEGRA,6qpz0
AVNPRESIDENTE MEDICI,6qpz
AVNPURUS,6qpxr
AVNRECANTO VERDE;,6qpz2
AVNSABIÁ,6qpxr
AVNSUDOESTE,6qpxr
AVNSUL.,6qpxr
AVNTABATINGA,6qpz0 6qpz0k
AVNTUCUNARÉ,6qpx 6qpxr
AVNUIRAPURÚ,6qpz0
AVNVITÓRIA RÉGIA,6qpz3
AVNZURICH,6qpx
BEC1º DE MAIO;,6qpz
BEC22 DE MAIO,6qpz 6qpz0
BEC27 DE JULHO,6qpz0
"BECABACATE,",6qpxr
BECACEROLA/,6qpz22
BECADOLFO BARBOSA LEITE,6qpz0
BECALIANÇA,6qpyf
BECALUISIO MAIA,6qpz
BECALVORECER,6qpz0r
BECAMIGOS,6qpz
"BECAMIZADE,",6qpz
BECARAÇÁ,6qpyf
BECARQUIMEDES.,6qpz3
BECBAIXA DA COLINA,6qpz3
BECBECO,6qpz0 6qpz0r
BECBECO FEIJÓ,6qpz0
BECBOA VISTA,6qpz28
BECCABO MARTINS,6qpz0
BECCAGEACRE,6qpz2f
BECCAIMÃ,6qpyf
BECCANOEIRO,6qpyf
BECCANTINHO DO  AMOR,6qpz3
"BECCENTRAL,",6qpz28
BECCHILE,6qpz3
BECCORAL,6qpz0t
BECCORAL.,6qpz
BECCRISTAL,6qpz
BECDA AMAZÔNIA,6qpz0
BECDA CIGANA,6qpz0
BECDA FAMILIA,6qpz
BECDA IGREJA,6qpz
BECDA JULIA,6qpz0t
BECDA LUA,6qpz0
BECDA MANGA,6qpz3
BECDA MATA,6qpz2y
"BECDA MATA,",6qpz0k
BECDA PISTA,6qpz
BECDA PONTE,6qpz2s
BECDA QUADRA 15,6qpxr
BECDA QUADRA 23,6qpxr
BECDA TABOSA,6qpz0k
BECDA TORRE,6qpz
BECDA TRILHA,6qpz
"BECDA USINA,",6qpxr
BECDAS BORBOLETAS,6qpz0 6qpz0t
BECDAS FLORES,6qpz
BECDAS FLORES 02,6qpz
BECDAS FLORES 03,6qpz
BECDAS PALMEIRAS,6qpyf
BECDE ACESSO,6qpz0
BECDERACRE,6qpxr
BECDO ASSIS,6qpyf
BECDO BREJÃO,6qpz2
BECDO SOL,6qpx
BECDO SORRISO,6qpz0
BECDO ZÉ DO X,6qpx
BECDORIVAL CAMILO,6qpz
BECDOS PALMARES,6qpyf
"BECESPERANÇA,",6qpz3
BECETA,6qpz
BECFELIZ.,6qpz2
"BECFELIZ.,",6qpz2
BECFIJI,6qpz2k
BECFRANCISCO FROTA,6qpz0
BECGABI,6qpz0t
BECGETÚLIO VARGAS,6qpz2
BECGUAPORÉ,6qpz3
BECJAGUAR,6qpz2d
"BECJESSE SANTIAGO,",6qpz28
BECJOSÉ DE JESUS,6qpz3
BECJOSÉ SAMPAIO,6qpz3
BECJOÃO FONSECA,6qpz3
BECLIBERDADE.,6qpy
BECMACHADO,6qpz
BECMALTA,6qpxr
BECMANOEL R. DE SOUZA,6qpz2
BECMARIA DE LUDES SENA,6qpz3
BECMARIANA,6qpz2x
BECNOBRE,6qpz
BECNOVA LINDA,6qpz2
BECNº01,6qpz28
BECNº02,6qpz28
BECNº04,6qpz28
BECNº05,6qpz28
BECNº06,6qpz28
BECNº07,6qpz28
BECNº08,6qpz28
BECPACIÊNCIA,6qpz3
BECPLACIDO DE CASTRO,6qpz0
BECPOSTO DE SAÚDE,6qpy 6qpz
BECPRESIDENTE MÉDICE,6qpz
BECPROJETADO,6qpy 6qpz0 6qpz28 6qpz2f 6qpz3
BECPROJETADO 726,6qpz2y
BECPROJETADO I,6qpxr
BECQUADRA 1531,6qpx
BECRIO BRANCO,6qpz3
BECSANTA INÊS,6qpz3
BECSANTA MARIA,6qpz0
BECSOLIDÃO,6qpz0
BECSUL,6qpz2
BECSÃO CRISTÓVÃO,6qpz0k
BECSÃO FRANCISCO,6qpz2
BECSÃO JOSE,6qpy
BECSÃO JOÃO,6qpz2
BECSÃO RAIMUNDO,6qpz3
BECTUCURUI,6qpz0
"BECUNIÃO.,",6qpz2
BECVERDE,6qpz 6qpz2
BECVILMA VASCONCELOS,6qpyf
BECVITÓRIA.,6qpz0t
"ESTALBERTO TORRES,",6qpz2
ESTAQUILES PERET.,6qpz2 6qpz26
"ESTCALAFATE,",6qpx 6qpz0 6qpz0r 6qpz20
ESTDA INVERNADA,6qpz3
ESTDA USINA,6qpxr 6qpz0 6qpz2 6qpz20 6qpz2d 6qpz3
ESTDAS PLACAS,6qpz2w
ESTDEPUTADO JOSÉ RUI DA SILVEIRA LINO,6qpz0 6qpz0t
ESTDIAS MARTINS,6qpxr 6qpz2
"ESTDO AMAPA,",6qpy
ESTDO AMAPÁ,6qpy 6qpz0
ESTDO AVIÁRIO,6qpz2f 6qpz3
ESTESTRADA DO MUTUM,6qpz
ESTFLORESTA.,6qpx 6qpz0 6qpz0r 6qpz22
"ESTJARBAS PASSARINHO,",6qpz 6qpz2 6qpz2w 6qpz2y
ESTJUAREZ TÁVORA,6qpz 6qpz2 6qpz2x
ESTPANORAMA,6qpz3
ESTPORTO ACRE,6qpz 6qpz2 6qpz2x 6qpz2y
ESTRAIMUNDO IRINEU SERRA,6qpx 6qpxr 6qpz2 6qpz2w 6qpz2x
ESTSOBRAL,6qpz0 6qpz0t
ESTSÃO FRANCISCO,6qpz3
"ESTSÃO FRANCISCO,",6qpz3
ESTTRANSACREANA,6qp 6qpz0
"ESTTRANSACREANA,",6qpz0
PCADA BANDEIRA,6qpz0
RAMBELO JARDIM,6qpz
RAMBENFICA,6qpy
RAMBOM JESUS,6qpy
RAMCASTANHEIRA,6qpy 6qpyf
RAMDA CAIXA,6qpz0
RAMDA JUDIA;,6qpz
RAMDA ZEZÉ,6qpz
RAMDE ACESSO,6qpxr 6qpy 6qpz0r
RAMDE ACESSO LAGOA,6qpx 6qpz0
RAMDE ACESSO SINTEAC,6qpx
RAMDO GURGEL,6qpy
RAMDO ZÉ CARLOS,6qpyf
RAMDOS MOREIRA,6qpy
RAMGARAPEIRA,6qpyf
RAMHERCULANO,6qpz
RAMJUDIA,6qpz
RAMMACEDO,6qpz
RAMPALHAL,6qpz0
RAMPALHEIRA,6qpy
RAMSANTA MARIA.,6qpy
RAMSTOAntônio,6qpz
RAMUNIÃO,6qpz
