name,ghs
ALA ANTONIO PESSOA JUCÁ,6qp
ALA BARCELONA,6qp
ALA FLORENÇA,6qp
ALA FRANÇA,6qp
ALA IRLÂNDA,6qp
ALA ITÁLIA,6qp
ALA LISBOA,6qp
ALA MENDES CARLOS,6qp
ALA NÁPOLI,6qp
ALA PORTUGAL,6qp
ALA ROMA,6qp
ALA SEVILHA,6qp
ALA SUÍÇA,6qp
ALA VERONA,6qp
ALA VIENA,6qp
ALAM ALAMEDA ACÁCIAS,6qp
ALAM ALAMEDA FLAMBOYANT,6qp
ALAM ALAMEDA PAINEIRAS,6qp
ALAM AZALÉIAS,6qp
ALAM AÇAÍ,6qp
ALAM BURITI,6qp
ALAM CAMÉLIAS,6qp
ALAM CURIÓ,6qp
ALAM JASMIM,6qp
ALAM MANACÁS,6qp
ALAM SABIÁ,6qp
ALAM URICURÍ,6qp
ALAMEDA ALAMEDA FEIJÓ,6qp
ALAMEDA ALAMEDA PINTADO,6qp
ALAMEDA ALAMEDA PIRACANJUBA,6qp
ALAMEDA ALAMEDA PIRARUCU,6qp
ALAMEDA ALAMEDA SENA MADUEIRA,6qp
ALAMEDA MANOEL URBANO,6qp
ALAMEDA MINISTRO MIGUEL FERRANTE,6qp
ALAMEDA SURUBIM,6qp
ALAMEDA TUCUXÍ,6qp
ALAMEDA TUFI,6qp
AV ABUNÃ,6qp
AV ANTÔNIO DA ROCHA VIANA,6qp
AV BEIRA RIO,6qp
AV BOA VENTURA,6qp
AV BRASIL,6qp
AV BUJARI,6qp
AV CEARÁ,6qp
AV COELHO RAMOS,6qp
AV DORVAL CAMILO,6qp
AV DOS AMORES,6qp
AV EUGÊNIO BECO BEZERRA,6qp
AV GETÚLIO VARGAS,6qp
AV JUCELINO KUBISTSCHSK,6qp
AV MAGNÓLIA,6qp
AV PRINCIPAL DO AREAL,6qp
AV RITA MARQUES,6qp
AV SUL,6qp
AV UIRAPURÚ,6qp
AV VALDOMIRO LOPES,6qp
BC 13 DE MAIO,6qp
BC 25 DE AGOSTO,6qp
BC 27 DE JULHO,6qp
BC ABDON MANASFI,6qp
BC ADAULTO  RODRIGUES,6qp
BC AMAZONAS,6qp
BC AMAZÔNIA,6qp
BC AMIZADE,6qp
BC ANAZILDO ALVES,6qp
BC ANSELMO,6qp
BC AQUARELA,6qp
BC ARQUIMEDES,6qp
BC ASSIS,6qp
BC AÇAI,6qp
BC BACURAL,6qp
BC BAIXA DA HABITASA,6qp
BC BARRACÃO,6qp
BC BARULHO,6qp
BC BATISTA,6qp
BC BECO DA MANGA,6qp
BC BECO DA TORRE,6qp
BC BECO DA TRILHA,6qp
BC BECO DO GAÚCHO,6qp
BC BECO DO JAMBO,6qp
BC BECO QUINARI,6qp
BC BEIRA RIO,6qp
BC BRASIL,6qp
BC BRASILÉIA,6qp
BC BREJÃO,6qp
BC BURITI,6qp
BC BÊNÇÃO,6qp
BC CABO MARTINS,6qp
BC CABRAL,6qp
BC CAGEACRE,6qp
BC CAJÁ,6qp
BC CANTINHO DO AMOR,6qp
BC CARAMBOLA,6qp
BC CHAGAS BITOZO,6qp
BC CHICO CHAGAS,6qp
BC CHILE,6qp
BC CRISTO REI,6qp
BC CUPUAÇU,6qp
BC CÉU AZUL,6qp
BC DA ACEROLA,6qp
BC DA ALEGRIA,6qp
BC DA AMIZADE,6qp
BC DA BÊNÇÃO,6qp
BC DA CATRAIA,6qp
BC DA CIGANA,6qp
BC DA FLORESTA,6qp
BC DA GOIABA,6qp
BC DA LUCINDA,6qp
BC DA MATA,6qp
BC DA PENSÃO,6qp
BC DA QUADRA,6qp
BC DA SAÚDE,6qp
BC DO AMOR,6qp
BC DO CAJÚ,6qp
BC DO DOQUINHA,6qp
BC DO JAMBO,6qp
BC DO JOCA,6qp
BC DO PASSARINHO,6qp
BC DOLAR,6qp
BC DOS SANTOS,6qp
BC ESPERANÇA,6qp
BC GOIABA,6qp
BC GUANABARA,6qp
BC INVERNADA,6qp
BC JESSÉ SANTIAGO,6qp
BC JOSÉ CURY DE OLIVEIRA,6qp
BC JOSÉ DE JESUS,6qp
BC JOSÉ SAMPAIO,6qp
BC JOSÉ TAVARES,6qp
BC JOÃO FONSECA,6qp
BC JUCELINO,6qp
BC MACHADO,6qp
BC MANOEL PINHEIRO,6qp
BC MANOEL R. DE SOUZA,6qp
BC MARIA R. SIQUEIRA,6qp
BC MARIANA,6qp
BC MERCADO,6qp
BC MIRELLA CABRAL,6qp
BC MUDO,6qp
BC NENA,6qp
BC NENZINHA,6qp
BC NOVA ESPERANÇA,6qp
BC NOVA JERUSALÉM,6qp
BC OLÁRIA,6qp
BC OURICURI,6qp
BC PACIÊNCIA,6qp
BC PANTANAL,6qp
BC PAULO,6qp
BC QUARTEIRÃO 4,6qp
BC REI DAVI,6qp
BC RIO BRANCO,6qp
BC RITA DE CÁSSIA,6qp
BC ROSA,6qp
BC ROSA DE SARON,6qp
BC SAMAMBAIA,6qp
BC SANTA LUZIA,6qp
BC SANTANA,6qp
BC SANTO EXPEDITO,6qp
BC SERRINHA,6qp
BC SILVA,6qp
BC SOBRADINHO,6qp
BC SOCIBENE,6qp
BC SÃO CRISTÓVÃO,6qp
BC SÃO DOMINGOS,6qp
BC SÃO FRACISCO,6qp
BC SÃO FRANCISCO,6qp
BC SÃO GERALDO,6qp
BC SÃO JORGE,6qp
BC SÃO JOSÉ,6qp
BC SÃO RAIMUNDO,6qp
BC TRIÂNGULO,6qp
BC TRÊS IRMÃOS,6qp
BC TUPÍ,6qp
BC UNIÃO,6qp
BC USINA,6qp
BC VASCO DA GAMA,6qp
BC VAUDIZA ALENCAR,6qp
BC VITÓRIA REGIA,6qp
BC XAPURI,6qp
BC ÍNDIO,6qp
BECO BECO 1º DE MAIO,6qp
BECO BECO JURANDI,6qp
BECO DO CEMITÉRIO,6qp
BECO JUVENAL,6qp
BECO LIBERDADE,6qp
BECO LUIZ GONZAGA,6qp
BECO OITO IRMÃOS,6qp
BECO SEABRA,6qp
BR VIA VERDE,6qp
ES ALBERTO TORRES,6qp
ES CALAFATE,6qp
ES DEP. JOSÉ RUI DA SILVEIRA LINO,6qp
ES DIAS MARTINS,6qp
ES DO MUTUM,6qp
ES ESTRADA DE PORTO ACRE,6qp
ES FLORESTA,6qp
ES JARBAS PASSARINHO,6qp
ES JUAREZ TÁVORA,6qp
ES PANORAMA,6qp
ES PORTO ACRE,6qp
ES QUIXADÁ,6qp
ES RAIMUNDO IRINEU SERRA,6qp
ES SÃO FRANCISCO,6qp
ES TRANSACREANA,6qp
EST ESTRADA DA USINA,6qp
RAMAL AQUILIS PERÉ,6qp
RAMAL DOS DEZ,6qp
RD AC 40,6qp
RM BOM JESUS,6qp
RM JUDIA,6qp
RM ZEZÉ,6qp
RO CHICO MENDES,6qp
RUA 01 DE ABRIL,6qp
RUA 02 DE DEZEMBRO,6qp
RUA 02 DE JULHO,6qp
RUA 03 DE AGOSTO,6qp
RUA 03 DE JULHO,6qp
RUA 04 DE OUTUBRO,6qp
RUA 06 DE MAIO,6qp
RUA 07 DE DEZEMBRO,6qp
RUA 07 DE SETEMBRO,6qp
RUA 1 DE MARÇO,6qp
RUA 10 DE JANEIRO,6qp
RUA 10 DE JULHO,6qp
RUA 10 DE JUNHO,6qp
RUA 10 DE NOVEMBRO,6qp
RUA 11 DE DEZEMBRO,6qp
RUA 11 DE FEVEREIRO,6qp
RUA 11 DE MARÇO,6qp
RUA 11 DE SETEMBRO,6qp
RUA 12 DE ABRIL,6qp
RUA 12 DE JUNHO,6qp
RUA 12 DE OUTUBRO,6qp
RUA 13 DE MAIO,6qp
RUA 14 IRMÃOS,6qp
RUA 15 DE DEZEMBRO,6qp
RUA 15 DE JULHO,6qp
RUA 15 DE JUNHO,6qp
RUA 15 DE NOVEMBRO,6qp
RUA 16 DE JULHO,6qp
RUA 16 DE OUTUBRO,6qp
RUA 17 DE MARÇO,6qp
RUA 17 DE SETEMBRO,6qp
RUA 18 DE FEVEREIRO,6qp
RUA 19 DE NOVEMBRO,6qp
RUA 19 DE OUTUBRO,6qp
RUA 1º DE ABRIL,6qp
RUA 1º DE AGOSTO,6qp
RUA 1º DE JANEIRO,6qp
RUA 1º DE MAIO,6qp
RUA 2 DE ABRIL,6qp
RUA 2 DE AGOSTO,6qp
RUA 2 DE MAIO,6qp
RUA 20 DE JANEIRO,6qp
RUA 20 DE MARÇO,6qp
RUA 20 DE NOVEMBRO,6qp
RUA 20 MARÇO,6qp
RUA 21 de ABRIL,6qp
RUA 24 DE DEZEMBRO,6qp
RUA 24 DE JANEIRO,6qp
RUA 25 DE AGOSTO,6qp
RUA 25 DE DEZEMBRO,6qp
RUA 25 DE FEVEREIRO,6qp
RUA 25 DE JANEIRO,6qp
RUA 25 DE MARÇO,6qp
RUA 26 DE JUNHO,6qp
RUA 26 DE SETEMBRO,6qp
RUA 27 DE SETEMBRO,6qp
RUA 3 DE JUNHO,6qp
RUA 3 DE MAIO,6qp
RUA 3 DE SETEMBRO,6qp
RUA 4 DE JULHO,6qp
RUA 4 DE OUTUBRO,6qp
RUA 5 DE JUNHO,6qp
RUA 6 DE AGOSTO,6qp
RUA 7 DE DEZEMBRO,6qp
RUA 7 DE JULHO,6qp
RUA 7 DE SETEMBRO,6qp
