name,ghs
.,6xm
6,6xm
ABÍLIO JUNQUEIRO,6xm
ACARICO,6xm
AENIDA MARGARITA,6xm
AL.  ANGOLA,6xm
AL. ALASKA,6xm
AL. CÍCERO DIAS,6xm
AL. DONA JULIA MARTINS,6xm
AL. IRAQUE,6xm
AL. IRÃ,6xm
AL. ISMAEL NERI,6xm
AL. LÍBIA,6xm
AL. VIA LACTEA,6xm
AL. ÍNDIA,6xm
ALA SANTOS DUMONT,6xm
ALA. ALASKA,6xm
ALA. IRAQUE,6xm
ALA. ZAIRE,6xm
ALAMEDA  ALASKA,6xm
ALAMEDA  ALBANIA,6xm
ALAMEDA  ANGOLA,6xm
ALAMEDA  ARABIA,6xm
ALAMEDA  LIBIA,6xm
ALAMEDA ALFREDO VOLPI,6xm
ALAMEDA BRISA DO NORTE,6xm
ALAMEDA BRISA DO RIO NEGRO,6xm
ALAMEDA DONA JULIA MARTINHS,6xm
ALAMEDA DONA JULIA MARTINS,6xm
ALAMEDA IBERE CAMARGO,6xm
ALAMEDA INDIA,6xm
ALAMEDA INDÍA,6xm
ALAMEDA IRAQUE,6xm
ALAMEDA IRÁ,6xm
ALAMEDA IRÃ,6xm
ALAMEDA PORTO RICO,6xm
ALAMEDA SANTOS DUMONT,6xm
ALAMEDA ZAÍRE,6xm
ALMADA NEGREIROS,6xm
ALTIVINA NOGUEIRA,6xm
ANTÔNIO LACERDA,6xm
ARGENTINA,6xm
ARQ. JOSE HENRIQUES BENTO RODRIGUES,6xm
ARQ. JOSÉ HENRIQUES B. RODRIGUES,6xm
ARQ. JOSÉ HENRIQUES BENTO RODRIGUES,6xm
ATAULFO DE PAIVA,6xm
AUTAZ MIRIM,6xm
AV DJALMA BATISTA,6xm
"AV, BARCELOS",6xm
"AV, BRIG. HILÁRIO GURJÁO",6xm
"AV, FRANCISCO QUEIROZ",6xm
"AV, JOAQUIM NABUCO",6xm
"AV, JOSÉ DE ARIMATÉIA",6xm
"AV, TEN. ROXANA BONESSI",6xm
AV.  ABIURANA,6xm
AV.  AJURICABA,6xm
AV.  ALVARO MAIA,6xm
AV.  ANDRÉ ARAÚJO,6xm
AV.  COMPENSA,6xm
AV.  DO TURISMO,6xm
AV.  LOURENÇO DA SILVA BRAGA,6xm
AV.  PROFº. NILTON LINS,6xm
AV. 7 DE MAIO,6xm
AV. 7 DE SETEMBRO,6xm
AV. ABHAHAM BENZION,6xm
AV. ABIURANA,6xm
AV. ABIURANA ESQ. COM RUA MOGNO (TESTADA),6xm
AV. ACÁCIA-NEGRA,6xm
AV. AJURICABA,6xm
AV. ALVARO MAIA,6xm
AV. ANDIRA,6xm
AV. ANDRÉ  ARAÚJO,6xm
AV. ANDRÉ ARAÚJO,6xm
AV. ANDRÉ ARAÚJO (FUNDOS),6xm
AV. ANTOINE LAVOISIER,6xm
AV. ANTONIO TELES,6xm
AV. ANTÔNIO SÉRGIO VIEIRALVES,6xm
AV. ANTÔNIO TELES,6xm
AV. ANTÔNIO VIEIRALVES,6xm
AV. ANÔNIO SERGIO VIEIRALVES,6xm
AV. APUAÚ,6xm
AV. ARICA,6xm
AV. ARQ. HENRIQUES B. RODRIGUES,6xm
AV. ARQ. HENRIQUES BENTO RODRIGUES,6xm
AV. ARQ. JOSÉ HENRIQUE BENTO RODRIGUES,6xm
AV. ARQ. JOSÉ HENRIQUES,6xm
AV. ARQ. JOSÉ HENRIQUES  BENTO RODRIGUES,6xm
AV. ARQ. JOSÉ HENRIQUES BENTO RODRIGUES,6xm
AV. ARQ. JOSÉ HENRIQUES BENTO RODRIGUS,6xm
AV. ARQª. ANGELICA CRUZ,6xm
AV. ATROARIS,6xm
AV. AUTAZ MIRIM,6xm
AV. AYRÃO,6xm
AV. AZALÉIA,6xm
AV. AÇAI,6xm
AV. BARCELOS,6xm
AV. BARÃO DE TEFÉ,6xm
AV. BARÃO DO RIO BRANCO,6xm
AV. BEIRA MAR,6xm
AV. BEIRA RIO,6xm
