name,ghs
ADRIANÓPOLIS,6xm
ALEIXO,6xm
ALVORADA,6xm
ARMANDO MENDES,6xm
BETÂNIA,6xm
CACHOEIRINHA,6xm
CENTRO,6xm
CHAPADA,6xm
CIDADE DE DEUS,6xm
CIDADE NOVA,6xm
COLÔNIA ANTÔNIO ALEIXO,6xm
COLÔNIA OLIVEIRA MACHADO,6xm
COLÔNIA SANTO ANTÔNIO,6xm
COLÔNIA TERRA NOVA,6xm
COMPENSA,6xm
COROADO,6xm
CRESPO,6xm
DA PAZ,6xm
DISTRITO INDUSTRIAL I,6xm
DISTRITO INDUSTRIAL II,6xm
DOM PEDRO I,6xm
EDUCANDOS,6xm
FLORES,6xm
GILBERTO MESTRINHO,6xm
GLÓRIA,6xm
JAPIIM,6xm
JORGE TEIXEIRA,6xm
LAGO AZUL,6xm
LÍRIO DO VALE,6xm
MAUAZINHO,6xm
MONTE DAS OLIVEIRAS,6xm
MORRO DA LIBERDADE,6xm
NOSSA SENHORA APARECIDA,6xm
NOSSA SENHORA DAS GRAÇAS,6xm
NOVA CIDADE,6xm
NOVA ESPERANÇA,6xm
NOVO ALEIXO,6xm
NOVO ISRAEL,6xm
PARQUE 10 DE NOVEMBRO,6xm
PETRÓPOLIS,6xm
PLANALTO,6xm
PONTA NEGRA,6xm
PRAÇA 14 DE JANEIRO,6xm
PRESIDENTE VARGAS,6xm
PURAQUEQUARA,6xm
RAIZ,6xm
REDENÇÃO,6xm
SANTA ETELVINA,6xm
SANTA LUZIA,6xm
SANTO AGOSTINHO,6xm
SANTO ANTÔNIO,6xm
SÃO FRANCISCO,6xm
SÃO GERALDO,6xm
SÃO JORGE,6xm
SÃO JOSÉ OPERÁRIO,6xm
SÃO LÁZARO,6xm
SÃO RAIMUNDO,6xm
TANCREDO NEVES,6xm
TARUMÃ,6xm
TARUMÃ-AÇÚ,6xm
VILA BURITI,6xm
VILA DA PRATA,6xm
ZUMBI DOS PALMARES,6xm
