name,ghs
ACS 1,6xmq6
ACS 1 - CHAC. CAMPO BELO,6xm
ACS CONSTANTINO NERY,6xmq6
ACS PARTICULAR,6xmq6
ACS PLINIO COELHO,6xmq3
ACS RUA A,6xmq7
ALA ALASKA,6xmq8
ALA ALBANIA,6xmq8
ALA ALEMANHA,6xmq8
ALA ALFREDO VOLPI,6xmq8
ALA AMAPA,6xmqf
ALA AMAZONINO MENDES,6xm
ALA ANDORRA,6xmq8
ALA ANGOLA,6xmq8
ALA ANTONIO GOMIDE,6xmq8
ALA ARABIA,6xmq8
ALA ARGENTINA J DAS AMERICA,6xmq8
ALA ATENAS,6xmq8
ALA AUSTRIA,6xmq8
ALA BELGICA,6xmq8
ALA BOLIVIA J DAS AMERICAS,6xmq 6xmq8
ALA BRISAS DO LESTE,6xmqk
ALA BRISAS DO OESTE,6xmqk
ALA BRISAS DO RIO NEGRO,6xmqk
ALA BRISAS DO SUL,6xmqk
ALA CANADÁ,6xmq8
ALA CANDIDO PORTINARI,6xmq8
ALA CARLOTA BOMFIM,6xmq8
ALA CHILE J DAS AMERICAS,6xmq
ALA CHINA,6xmq8
ALA CIRCULAR CUBA J AMERICA,6xmq
ALA COLOMBIA J DAS AMERICAS,6xmq
ALA CÍCERO DIAS,6xmq8
ALA DA ESPERANÇA,6xmqez
ALA DAS ACÁCIAS,6xmqd
ALA DAS GRAVIOLAS,6xmqd
ALA DAS GROTAS,6xm
ALA DEWAS,6xm
ALA DJANIRA DA MOTA E SILVA,6xmq8
ALA DO RIO V DO PONTAL,6xm
ALA DONA JÚLIA MARTINS,6xmq6 6xmq6r
ALA DOS AÇAIS,6xmqd
ALA DOS CUPUAÇUS,6xmqd
ALA DOS JAMBEIROS,6xmqd
ALA EGITO,6xmq8
ALA ELFOS,6xm
ALA EMILIANO DI CAVALCANTI,6xmq8
ALA EQUADOR J DAS AMERICAS,6xmq
ALA ESCOCIA,6xmq8
ALA ESPANHA,6xmq8
ALA FRANCA,6xmq 6xmq8
ALA GUIANA FRANCESA J AMERI,6xmq
ALA HOLANDA,6xmq8
ALA HUNGRIA,6xmq8
ALA IBERE CAMARGO,6xmq8
ALA INDIA,6xmq8
ALA IRAQUE,6xmq8
ALA IRÃ,6xmq8
ALA ISMAEL NERI,6xmq8
ALA ITALIA,6xmq8
ALA ITU,6xm
ALA JAPAO,6xmq8
ALA KOREA,6xmq8
ALA LIBANO,6xmq8
ALA LIBIA,6xmq8
ALA MADRI,6xmq8
ALA MEXICO J DAS AMERICAS,6xmq
ALA MILTON DA COSTA,6xmq8
ALA MOCAMBIQUE,6xmq8
ALA NIGERIA,6xmq8
ALA NORUEGA,6xmq8
ALA PAIS DE GALES,6xmq8
ALA PARAGUAY J DAS AMERICAS,6xmq
ALA PERU J DAS AMERICAS,6xmq
ALA PORTUGAL,6xmq8
