name,ghs
ACESSO ACESSO A FABRICA DE CIMENTO,6xmq
ACESSO ACESSO PARTICULAR,6xmq
ACESSO AMAZON CATERING,6xmq
ACESSO AO FLUTUANTE VITORIA REGIA,6xmq
ACESSO ATERRO SANITARIO,6xm
ACESSO BASE AÉREA,6xmq
ACESSO BASE NAVAL,6xmq
ACESSO CAMINHO,6xmqg
ACESSO CEMITERIO PARQUE TARUMA,6xmq
ACESSO CEMITÉRIO PARQUE TARUMÃ,6xmq
ACESSO CIRMAN,6xmq3
ACESSO CLUBE DOS ADVOGADOS,6xmq
ACESSO CLUBE SELVA PARK,6xmq
ACESSO COND. ABRAHAM PAZUELLO,6xmq3
ACESSO COND. MONT CLAIR,6xmq6
ACESSO COND. RESIDENZA PONTA NEGRA,6xmq
ACESSO CONDOMINIO GOLDEN VILLE,6xmqe
ACESSO CONDOMINIO RESERVA DAS FLORES,6xmq
ACESSO CONDOMINIO RESIDENCIAL JAUAPERI,6xmq
"ACESSO CONDOMINIO RESIDENCIAL JAUAPERI
",6xmq
ACESSO CONDOMÍNIO,6xmq 6xmqe
ACESSO CONDOMÍNIO  SAINT TROPEZ VILLAGE,6xmq6
ACESSO CONDOMÍNIO ARIRANHAS,6xmq
ACESSO CONDOMÍNIO NILO COÊLHO,6xmq6
ACESSO CONDOMÍNIO NOSSA SENHORA DE FÁTIMA,6xmq6
ACESSO CONJ. GREMIO GUANABARA,6xmq6
ACESSO CONJ. RES. VIA VENETO,6xmq
ACESSO DA OLARIA IRCO,6xmq
ACESSO DA PRAIA DOURADA,6xmq
ACESSO DE PEDESTRE DE PEDESTRE,6xmqg
ACESSO DE PEDESTRE PARTICULAR,6xmq
ACESSO DO IGARAPÉ,6xm
ACESSO DO REMANSO,6xm
ACESSO DO SESC,6xmq
ACESSO ESCADA,6xmqf
ACESSO ESQUADRÃO TRACAJÁ,6xmq
ACESSO ESTADIO ARENA DA AMAZONIA,6xmq6
ACESSO EXPOAGRO_PARQUE DE EXPOSIÇÕES ANGELINO BELIVÁQUA,6xmq 6xmqf
ACESSO FACULDADE CIESA,6xmq6
ACESSO FACULDADE NILTON LINS,6xmq
ACESSO FEIRA DO QUARENTA,6xmq
ACESSO FUNDACAO DR. THOMAS,6xmq6
ACESSO FÁBRICA,6xmq
ACESSO INFRAERO,6xmq
ACESSO INTERNO DO AEROPORTO EDUARDO GOMES,6xmq
ACESSO IRMAOS TAKEDA,6xmq6
