name,ghs
AEROLÂNDIA,7pk
AEROPORTO,7pk
ALDEOTA,7pk
ALTO DA BALANÇA,7pk
AMADEU FURTADO,7pk
ANCURI,7pk
ANTÔNIO BEZERRA,7pk
ARACAPÉ,7pk
AUTRAN NUNES,7pk
BARRA DO CEARÁ,7pk
BARROSO,7pk
BELA VISTA,7pk
BENFICA,7pk
BOA VISTA / CASTELÃO,7pk
BOM FUTURO,7pk
BOM JARDIM,7pk
BONSUCESSO,7pk
CAIS DO PORTO,7pk
CAJAZEIRAS,7pk
CAMBEBA,7pk
CANINDEZINHO,7pk
CARLITO PAMPLONA,7pk
CENTRO,7pk
CIDADE 2000,7pk
CIDADE DOS FUNCIONÁRIOS,7pk
COAÇU,7pk
COCÓ,7pk
CONJUNTO CEARÁ I,7pk
CONJUNTO CEARÁ II,7pk
CONJUNTO ESPERANÇA,7pk
CONJUNTO PALMEIRAS,7pk
COUTO FERNANDES,7pk
CRISTO REDENTOR,7pk
CURIÓ,7pk
DAMAS,7pk
DE LOURDES,7pk
DEMÓCRITO ROCHA,7pk
DENDÊ,7pk
DIAS MACÊDO,7pk
DIONÍSIO TORRES,7pk
DOM LUSTOSA,7pk
EDSON QUEIROZ,7pk
ELLERY,7pk
ENGENHEIRO LUCIANO CAVALCANTE,7pk
FARIAS BRITO,7pk
FLORESTA,7pk
FÁTIMA,7pk
GENIBAÚ,7pk
GRANJA LISBOA,7pk
GRANJA PORTUGAL,7pk
GUAJERU,7pk
GUARARAPES,7pk
HENRIQUE JORGE,7pk
ITAOCA,7pk
ITAPERI,7pk
JACARECANGA,7pk
JANGURUSSU,7pk
JARDIM AMÉRICA,7pk
JARDIM CEARENSE,7pk
JARDIM DAS OLIVEIRAS,7pk
JARDIM GUANABARA,7pk
JARDIM IRACEMA,7pk
JOAQUIM TÁVORA,7pk
JOSÉ BONIFÁCIO,7pk
JOSÉ DE ALENCAR,7pk
JOÃO XXIII,7pk
JÓQUEI CLUBE,7pk
LAGOA REDONDA,7pk
MANOEL SÁTIRO,7pk
MANUEL DIAS BRANCO,7pk
MARAPONGA,7pk
MEIRELES,7pk
MESSEJANA,7pk
MONDUBIM,7pk
MONTE CASTELO,7pk
MONTESE,7pk
MOURA BRASIL,7pk
MUCURIPE,7pk
NOVO MONDUBIM,7pk
OLAVO OLIVEIRA,7pk
PADRE ANDRADE,7pk
PANAMERICANO,7pk
PAPICU,7pk
PARANGABA,7pk
PARQUE ARAXÁ,7pk
PARQUE DOIS IRMÃOS,7pk
PARQUE IRACEMA,7pk
PARQUE MANIBURA,7pk
PARQUE PRESIDENTE VARGAS,7pk
PARQUE SANTA MARIA,7pk
PARQUE SANTA ROSA,7pk
PARQUE SÃO JOSÉ,7pk
PARQUELÂNDIA,7pk
PARREÃO,7pk
PASSARÉ,7pk
PAUPINA,7pk
PEDRAS,7pk
PICI,7pk
PIRAMBÚ,7pk
PLANALTO AYRTON SENNA,7pk
PRAIA DE IRACEMA,7pk
PRAIA DO FUTURO I,7pk
PRAIA DO FUTURO II,7pk
PREFEITO JOSÉ WALTER,7pk
PRESIDENTE KENNEDY,7pk
QUINTINO CUNHA,7pk
RODOLFO TEÓFILO,7pk
SABIAGUABA,7pk
SALINAS,7pk
SAPIRANGA / COITÉ,7pk
SERRINHA,7pk
SIQUEIRA,7pk
SÃO BENTO,7pk
SÃO GERARDO,7pk
SÃO JOÃO DO TAUAPE,7pk
VARJOTA,7pk
VICENTE PINZON,7pk
VILA PERI,7pk
VILA UNIÃO,7pk
VILA VELHA,7pk
ÁLVARO WEYNE,7pk
