name,ghs
ALAMEDA  125 (DIAS MACÊDO),7pkd
ALAMEDA  165 (DIAS MACÊDO),7pkd
ALAMEDA  205 (DIAS MACÊDO),7pkd
ALAMEDA  AMARALINA,7pkd
ALAMEDA  AMOR PERFEITO,7pkd
ALAMEDA  AMÁLIA MARIA,7pkd
ALAMEDA  ANA ELISA,7pkd
"ALAMEDA  BEIJA FLOR (CJ VILA VELHA I, II E III)",7pkd
"ALAMEDA  BEIRA RIO (CJ VILA VELHA I, II E III)",7pkd
ALAMEDA  BOM JESUS,7pkd
ALAMEDA  CLARA DE ASSIS,7pkd
ALAMEDA  D (LOT NOVO BARROSO),7pkd
ALAMEDA  DAS ANGÉLICAS,7pkd
ALAMEDA  DAS AÇUCENAS,7pkd
ALAMEDA  DAS BEGÔNIAS,7pkd
ALAMEDA  DAS BENEDITAS,7pkd
ALAMEDA  DAS BOAS NOITES,7pkd
ALAMEDA  DAS BONINAS,7pkd
ALAMEDA  DAS BORBOLETAS,7pkd
ALAMEDA  DAS CAMÉLIAS,7pkd
ALAMEDA  DAS CECÍLIAS,7pkd
ALAMEDA  DAS CHANANAS,7pkd
ALAMEDA  DAS CRAVINAS,7pkd
ALAMEDA  DAS CRISADÁLIAS,7pkd
ALAMEDA  DAS DÁLIAS,7pkd
ALAMEDA  DAS EXTREMOSAS,7pkd
ALAMEDA  DAS FLORES,7pkd
ALAMEDA  DAS GRACIOLAS,7pkd
ALAMEDA  DAS HORTÊNCIAS,7pkd
ALAMEDA  DAS IRIS,7pkd
ALAMEDA  DAS MARGARIDAS,7pkd
ALAMEDA  DAS NOVE HORAS,7pkd
ALAMEDA  DAS ONZE HORAS,7pkd
ALAMEDA  DAS ORQUÍDEAS,7pkd
"ALAMEDA  DAS ORQUÍDEAS (CJ VILA VELHA I, II E III)",7pkd
ALAMEDA  DAS PACAVIRAS,7pkd
ALAMEDA  DAS PAPOULAS,7pkd
ALAMEDA  DAS ROSAS,7pkd
ALAMEDA  DAS TULIPAS,7pkd
ALAMEDA  DAS VERBENAS,7pkd
ALAMEDA  DAS VIOLETAS,7pkd
ALAMEDA  DOS BUGARÍS,7pkd
ALAMEDA  DOS CRAVOS,7pkd
ALAMEDA  DOS CRISÂNTEMOS,7pkd
ALAMEDA  DOS GIRASSÓIS,7pkd
ALAMEDA  DOS JASMINS,7pkd
ALAMEDA  DOS LIRIOS,7pkd
ALAMEDA  DOS MIOSÓTIS,7pkd
