name,ghs
"-, -",6vjy 6vn
"-, CJ 1",6vjy
"-, CJ 2",6vjy
"-, CJ 3",6vjy
"-, CJ 4",6vjy
"-, CJ 5",6vjy
"-, CJ 6",6vjy
"-, CJ 7",6vjy
"-, CJ 8",6vjy
"-, CJ 9",6vjy
"2ª AVENIDA, -",6vjv
"2ª AVENIDA, AE 10",6vjv
"2ª AVENIDA, BL 1060",6vjv
"2ª AVENIDA, BL 1080",6vjv
"2ª AVENIDA, BL 1100",6vjv
"2ª AVENIDA, BL 1120",6vjv
"2ª AVENIDA, BL 1140",6vjv
"2ª AVENIDA, BL 1160",6vjv
"2ª AVENIDA, BL 1180",6vjv
"2ª AVENIDA, BL 1200",6vjv
"2ª AVENIDA, BL 1220",6vjv
"2ª AVENIDA, BL 1240",6vjv
"2ª AVENIDA, BL 1260",6vjv
"2ª AVENIDA, BL 1280",6vjv
"2ª AVENIDA, BL 1300",6vjv
"2ª AVENIDA, BL 1320",6vjv
"2ª AVENIDA, BL 1340",6vjv
"2ª AVENIDA, BL 1360",6vjv
"2ª AVENIDA, BL 1380",6vjv
"2ª AVENIDA, BL 1400",6vjv
"2ª AVENIDA, BL 1500",6vjv
"2ª AVENIDA, BL 1520",6vjv
"2ª AVENIDA, BL 1540",6vjv
"2ª AVENIDA, BL 1560",6vjv
"2ª AVENIDA, BL 1580",6vjv
"2ª AVENIDA, BL 1600",6vjv
"2ª AVENIDA, BL 1620",6vjv
"2ª AVENIDA, BL 1640",6vjv
"2ª AVENIDA, BL 1660",6vjv
"2ª AVENIDA, BL 300",6vjv
"2ª AVENIDA, BL 320",6vjv
"2ª AVENIDA, BL 340",6vjv
"2ª AVENIDA, BL 360",6vjv
"2ª AVENIDA, BL 380",6vjv
"2ª AVENIDA, BL 400",6vjv
"2ª AVENIDA, BL 420",6vjv
"2ª AVENIDA, BL 440",6vjv
"2ª AVENIDA, BL 540",6vjv
"2ª AVENIDA, BL 560",6vjv
"2ª AVENIDA, BL 580",6vjv
"2ª AVENIDA, BL 600",6vjv
"2ª AVENIDA, BL 620",6vjv
"2ª AVENIDA, BL 640",6vjv
"2ª AVENIDA, BL 660",6vjv
"2ª AVENIDA, BL 680",6vjv
"2ª AVENIDA, BL 700",6vjv
"2ª AVENIDA, BL 720",6vjv
"2ª AVENIDA, BL 780",6vjv
"2ª AVENIDA, BL 800",6vjv
"2ª AVENIDA, BL 820",6vjv
"2ª AVENIDA, BL 840",6vjv
"2ª AVENIDA, BL 860",6vjv
"2ª AVENIDA, BL 880",6vjv
"2ª AVENIDA, BL 900",6vjv
"2ª AVENIDA, BL 920",6vjv
"2ª AVENIDA, BL 940",6vjv
"2ª AVENIDA, BL 960",6vjv
"3ª AVENIDA, -",6vjv
"3ª AVENIDA, AE 12",6vjv
"3ª AVENIDA, AE 13",6vjv
"3ª AVENIDA, AE 2",6vjv
"3ª AVENIDA, AE 3",6vjv
"3ª AVENIDA, AE 4",6vjv
"3ª AVENIDA, AE 5",6vjv
"3ª AVENIDA, AE 6",6vjv
"3ª AVENIDA, AE 7",6vjv
"3ª AVENIDA, BL 1220",6vjv
"3ª AVENIDA, BL 1240",6vjv
"3ª AVENIDA, BL 1260",6vjv
"3ª AVENIDA, BL 1280",6vjv
"3ª AVENIDA, BL 1300",6vjv
"3ª AVENIDA, BL 1320",6vjv
"3ª AVENIDA, BL 1340",6vjv
"3ª AVENIDA, BL 1360",6vjv
"3ª AVENIDA, BL 1380",6vjv
"3ª AVENIDA, BL 1400",6vjv
"3ª AVENIDA, BL 1580",6vjv
"3ª AVENIDA, BL 1600",6vjv
"3ª AVENIDA, BL 1620",6vjv
"3ª AVENIDA, BL 1640",6vjv
"3ª AVENIDA, BL 790",6vjv
"3ª AVENIDA, BL 870",6vjv
"3ª AVENIDA, BL 890",6vjv
"3ª AVENIDA, BL 910",6vjv
"3ª AVENIDA, BL 930",6vjv
"3ª AVENIDA, BL 950",6vjv
"3ª AVENIDA, BL 970",6vjv
"3ª AVENIDA, CJ 1680",6vjv
"3ª AVENIDA, CJ 1780",6vjv
"?, -",6vj 6vju 6vjuf 6vjv 6vjv6 6vjv9 6vjvb 6vjvc 6vjvd 6vjve 6vjvf 6vjvu 6vjvv 6vjvy 6vjy 6vjy0 6vjy1 6vjy4 6vjy5 6vjyh 6vjyj 6vjyq 6vjyw 6vn 6vnj 6vnp 6vnp5
"?, AE 12",6vjuf
"?, AE 19",6vjv
"?, AE 4",6vjvu
"?, ALAMEDA DAS AROEIRAS",6vn
"?, AREA DE SERVICO PUBLICO",6vjyh
"?, AV. EUCALIPTOS",6vjv6
"?, AVENIDA CENTRAL",6vjv6 6vjvd
"?, AVENIDA CONTORNO",6vju
"?, AVENIDA DVO",6vju
"?, AVENIDA MANGUEIRAL",6vjv 6vnj
"?, AVENIDA MONUMENTAL",6vju 6vjug
"?, AVENIDA MORADA DE DEUS",6vnj
"?, AVENIDA SERRA VERDE",6vnj
"?, BL A",6vjv
"?, BL B",6vjv
"?, BL C",6vjv
"?, BL D",6vjv
"?, BL E",6vjv
"?, BL F",6vjv
"?, BL G",6vjv
"?, BL H",6vjv
"?, BL I",6vjv
"?, BL J",6vjv
"?, BL K",6vjv
"?, BL L",6vjv
"?, BL M",6vjv
"?, BL N",6vjv
"?, BL O",6vjv
"?, BL P",6vjv
"?, CJ 1",6vjv 6vjvd 6vjve 6vjvf 6vjy5 6vjyh
"?, CJ 10",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 100",6vjv
"?, CJ 101",6vjv
"?, CJ 102",6vjv
"?, CJ 103",6vjv
"?, CJ 104",6vjv
"?, CJ 105",6vjv
"?, CJ 106",6vjv
"?, CJ 107",6vjv
"?, CJ 108",6vjv
"?, CJ 109",6vjv
"?, CJ 11",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 110",6vjv
"?, CJ 111",6vjv
"?, CJ 112",6vjv
"?, CJ 113",6vjv
"?, CJ 114",6vjv
"?, CJ 115",6vjv
"?, CJ 116",6vjv
"?, CJ 117",6vjv
"?, CJ 118",6vjv
"?, CJ 119",6vjv
"?, CJ 12",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 120",6vjv
"?, CJ 121",6vjv
"?, CJ 122",6vjv
"?, CJ 123",6vjv
"?, CJ 124",6vjv
"?, CJ 12A",6vjv
"?, CJ 12B",6vjv
"?, CJ 12C",6vjv
"?, CJ 12D",6vjv
"?, CJ 12E",6vjv
"?, CJ 12F",6vjv
"?, CJ 12G",6vjv
"?, CJ 13",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 14",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 15",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 15A",6vjve
"?, CJ 16",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 17",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 1740",6vjv
"?, CJ 1795",6vjv
"?, CJ 18",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 1845",6vjv
"?, CJ 1895",6vjv
"?, CJ 19",6vjv 6vjv9 6vjvd 6vjve 6vjvf
"?, CJ 1915",6vjv
"?, CJ 1945",6vjv
"?, CJ 1995",6vjv
"?, CJ 2",6vjv 6vjvd 6vjve 6vjvf 6vjy5 6vjyh
"?, CJ 20",6vjv 6vjv9 6vjve 6vjvf
"?, CJ 2045",6vjv
"?, CJ 21",6vjv 6vjv9 6vjve 6vjvf
"?, CJ 22",6vjv 6vjve 6vjvf
"?, CJ 23",6vjv 6vjve
"?, CJ 24",6vjv 6vjve
"?, CJ 25",6vjv 6vjve
"?, CJ 26",6vjv 6vjve
"?, CJ 27",6vjv 6vjve
"?, CJ 28",6vjv 6vjve
"?, CJ 28A",6vjv
"?, CJ 28B",6vjv
"?, CJ 29",6vjv 6vjve
"?, CJ 3",6vjv 6vjvd 6vjve 6vjvf 6vjyh
"?, CJ 30",6vjv 6vjve
"?, CJ 31",6vjv 6vjve
"?, CJ 32",6vjv
"?, CJ 33",6vjv
"?, CJ 34",6vjv
"?, CJ 35",6vjv
"?, CJ 36",6vjv
"?, CJ 37",6vjv
"?, CJ 38",6vjv
"?, CJ 39",6vjv
"?, CJ 4",6vjv 6vjvd 6vjve 6vjvf 6vjyh
"?, CJ 40",6vjv
"?, CJ 41",6vjv
"?, CJ 42",6vjv
"?, CJ 43",6vjv
"?, CJ 44",6vjv
"?, CJ 45",6vjv
"?, CJ 46",6vjv
"?, CJ 47",6vjv
"?, CJ 48",6vjv
"?, CJ 49",6vjv
