name,ghs
?LVARO TAVARES (UNI?O),7h6
ABELARDO F. MACHADO,7h6
AEROPORTO,7h6
AGOSTINHO SIMONATO,7h6
ALTO AMARELO,7h6
ALTO INDEPEND?NCIA,7h6
ALTO MONTE CRISTO,7h6
ALTO NOVO PARQUE,7h6
ALTO UNI?O,7h6
AMARAL,7h6
AMARELO,7h6
AQUIDABAN,7h6
ARARIGUABA,7h6
BAIMINAS,7h6
BASIL?IA,7h6
BELA VISTA,7h6
BOA ESPERAN?A,7h6
BOA VISTA,7h6
BOM PASTOR,7h6
CAI?ARA,7h6
CAMPO DA LEOPOLDINA,7h6
CENTRAL PARQUE,7h6
CENTRO,7h6
CORAMARA,7h6
CORONEL BORGES,7h6
DR. GILBERTO MALHADO,7h6
DR. GILSON CARONE,7h6
DR. LUIZ TINOCO DA FONSECA,7h6
ELP?DIO VOLPINI (VAL?O),7h6
ESTELITA COLEHO MARINS,7h6
F? E RA?A,7h6
FERROVI?RIOS,7h6
GUANDU,7h6
IBC,7h6
IBITIQUARA,7h6
INDEPEND?NCIA,7h6
JARDIM AM?RICA,7h6
JARDIM ITAPEMIRIM,7h6
MARBRASA,7h6
MONTE BELO,7h6
MONTE CRISTO,7h6
NOSSA SENHORA APARECIDA,7h6
NOSSA SENHORA DA GL?RIA,7h6
NOSSA SENHORA DA PENHA,7h6
NOSSA SENHORA DE F?TIMA,7h6
NOVA BRAS?LIA,7h6
NOVO PARQUE,7h6
OTTON MARINS,7h6
PARA?SO,7h6
PARQUE LARANJEIRAS,7h6
PONTE GUADALAJARA,7h6
PRESID. ARTHUR COSTA E SILVA,7h6
PTE CARIN TANURE,7h6
PTE DEMIST?TELES BAPTISTA,7h6
PTE FERNANDO DE ABREU,7h6
PTE FRANCISCO ATHAYDE,7h6
PTE JO?O SANTOS FILHO,7h6
PTE JUSCELINO KUBSTHECK,7h6
PTE PEDESTRE GOVERNADOR BLEY,7h6
PTE ROSALINA N. DEPOLI,7h6
RECANTO,7h6
RUBEM BRAGA,7h6
RUI PINTO BANDEIRA,7h6
S?O GERALDO,7h6
S?O LUCAS,7h6
S?O LUIZ GONZAGA,7h6
SANTA CEC?LIA,7h6
SANTA HELENA,7h6
SANTO ANT?NIO,7h6
SUMAR?,7h6
TEIXEIRA LEITE,7h6
VILA RICA,7h6
VILAGE DA LUZ,7h6
WALDIR FURTADO DE AMORIM,7h6
ZUMBI,7h6
