name,ghs
Avenida 12 (RESIDENCIAL 02),7h6
Avenida 17,7h6
Avenida ADACLIDES DE PAULO,7h6
Avenida AFONSO PENA,7h6
Avenida ALAIR LOPES PECINI,7h6
Avenida ALFREDO BAPTISTA DE AZEVEDO,7h6
Avenida AMARINA HEMERLY RAINHA,7h6
Avenida ANTENOR MARIANO DE OLIVEIRA,7h6
Avenida ANTONIO CARDOSO COELHO,7h6
Avenida ANTONIO DA COSTA PEREIRA,7h6
Avenida ARMANDO DUARTE CRUZ,7h6
Avenida BASILIO PIMENTA,7h6
Avenida C,7h6
Avenida CACILDA FRAGOSO,7h6
Avenida CECILIA ALMEIDA LOUZADA,7h6
Avenida CRITO FAGUNDES,7h6
Avenida DINORAH ANDRE,7h6
Avenida DO FAISAO,7h6
Avenida DOMINGOS SILVA,7h6
Avenida EMERSON BERNARDINO,7h6
Avenida EMIDIO SABINO DA SILVA,7h6
Avenida ESTER BENTO MATIAS,7h6
Avenida GERONCIO MOREIRA DE SOUZA,7h6
Avenida GILBERTO MACHADO,7h6
Avenida IDALINA BOLOGNINI LIMA,7h6
Avenida JESSE DE FREITAS TRISTAO,7h6
Avenida JOAO MANCINI,7h6
Avenida JOAO PESSINI,7h6
Avenida JOSE FRANCISCO PRATES,7h6
Avenida JOSE VIEIRA DE ABREU FILHO,7h6
Avenida LUIZ XV,7h6
Avenida MALVINO TEODORO DIAS,7h6
Avenida MANOEL BOTELHO PAIVA,7h6
Avenida MARIA DA PENHA BARBOSA SARANDY,7h6
Avenida MARIA ROSA BRUM DE MATOS,7h6
Avenida MARIO RESENDE,7h6
Avenida NADIR ABREU COUTO,7h6
Avenida NORMA PACHECO CARREIRA,7h6
Avenida OCTAVIO GREGIO,7h6
Avenida OTACILIO DA SILVA SANTOS,7h6
Avenida OVIDIO BAPTISTA DE ALMEIDA,7h6
Avenida PARANA,7h6
Avenida PROJETADA,7h6
Avenida PROJETADA    ( POPULAR IZIDORO AGRIZZI ),7h6
Avenida PROJETADA (DAS FLORES),7h6
Avenida PROJETADA 05,7h6
Avenida PUBLICA,7h6
Avenida PUBLICO,7h6
Avenida RAUL LUIZ DE SOUZA,7h6
Avenida RIO DE JANEIRO,7h6
Avenida RODOLFO PASSONI TALIULI,7h6
Avenida ROSA BARBOSA DIAS,7h6
Avenida ROSALINA DEPOLI,7h6
Avenida ROZA MERENDA BIAZATTE,7h6
Avenida THEODORICO FERRACO,7h6
Avenida VICENTE GARAMBONE,7h6
Avenida VICENTE JOSE DE SOUZA,7h6
Avenida ZENITH SENNA SANTANNA,7h6
Beco 11,7h6
Beco ABELARDO FERREIRA MACHADO,7h6
Beco ABILIO CICILIOTTI,7h6
Beco ALCINO BARBOSA DE MORAES,7h6
Beco ALIPIO HENRIQUE DA CRUZ,7h6
Beco ALMIR FRANCA,7h6
Beco ALMIRIO PEREIRA,7h6
Beco AMIN AMIL SADER,7h6
Beco ANTONIO JERONIMO,7h6
Beco ANTONIO MIGUEL,7h6
Beco ANTONIO RICARDO MATIAS VIEIRA,7h6
Beco APOSTOLO TIAGO MENOR,7h6
Beco ARGENTINA DUTRA DE OLIVEIRA,7h6
Beco ARLENE PEREIRA GONÇÎALVES,7h6
Beco ASCENDINO CARDOSO,7h6
Beco BERTILIA FERREIRA DA SILVA,7h6
Beco BRICIO MESQUITA,7h6
Beco CARLI PAQUIELA RIBEIRO,7h6
Beco CLEMENTE SARTORIO,7h6
Beco CORNELIO ARRUDA,7h6
