name,ghs
ALTEROSAS,7h7
ANDRÉ CARLONI,7h7
BAIRRO DAS LARANJEIRAS,7h7
BAIRRO DE FÁTIMA,7h7
BAIRRO NOVO,7h7
BALNEÁRIO DE CARAPEBUS,7h7
BARCELONA,7h7
BARRO BRANCO,7h7
BELVEDERE,7h7
BICANGA,7h7
BOA VISTA I,7h7
BOA VISTA II,7h7
BOULEVARD LAGOA,7h7
CAMARÁ,7h7
CAMPINHO DA SERRA I,7h7
CAMPINHO DA SERRA II,7h7
CANTINHO DO CÉU,7h7
CARAPINA GRANDE,7h7
CASCATA,7h7
CASTELÂNDIA,7h7
CAÇAROCA,7h7
CENTRAL CARAPINA,7h7
CHAPADA GRANDE,7h7
CHÁCARA PARREIRAL,7h7
CIDADE CONTINENTAL,7h7
CIDADE NOVA DA SERRA,7h7
CIDADE POMAR,7h7
CIVIT I,7h7
CIVIT II,7h7
COLINA DA SERRA,7h7
COLINA DE LARANJEIRAS,7h7
CONJUNTO CARAPINA I,7h7
CONJUNTO JACARAÍPE,7h7
CONTINENTAL,7h7
COSTA BELA,7h7
COSTA DOURADA,7h7
DIAMANTINA,7h7
DIVINÓPOLIS,7h7
ELDORADO,7h7
ENSEADA DE JACARAÍPE,7h7
ESTÂNCIA MONAZÍTICA,7h7
EURICO SALLES,7h7
FEU ROSA,7h7
GUARACIABA,7h7
HÉLIO FERRAZ,7h7
JACUHY,7h7
JARDIM ATLÂNTICO,7h7
JARDIM BELA VISTA,7h7
JARDIM CARAPINA,7h7
JARDIM DA SERRA,7h7
JARDIM GUANABARA,7h7
JARDIM LIMOEIRO,7h7
JARDIM PRIMAVERA,7h7
JARDIM TROPICAL,7h7
JOSÉ DE ANCHIETA,7h7
JOSÉ DE ANCHIETA II,7h7
JOSÉ DE ANCHIETA III,7h7
LAGOA DE CARAPEBUS,7h7
LAGOA DE JACARAÍPE,7h7
LARANJEIRAS VELHA,7h7
MANGUINHOS,7h7
MANOEL PLAZA,7h7
MARBELLA,7h7
MARIA NIOBE,7h7
MARINGÁ,7h7
MATA DA SERRA,7h7
MORADA DE LARANJEIRAS,7h7
NOSSA SENHORA DA CONCEIÇÃO,7h7
NOVA ALMEIDA CENTRO,7h7
NOVA CARAPINA I,7h7
NOVA CARAPINA II,7h7
NOVA ZELÂNDIA,7h7
NOVO HORIZONTE,7h7
NOVO PORTO CANOA,7h7
OURIMAR,7h7
PALMEIRAS,7h7
PARQUE DAS GAIVOTAS,7h7
PARQUE JACARAÍPE,7h7
PARQUE RESIDENCIAL LARANJEIRAS,7h7
PARQUE RESIDENCIAL MESTRE ÁLVARO,7h7
PARQUE RESIDENCIAL NOVA ALMEIDA,7h7
PARQUE RESIDENCIAL TUBARÃO,7h7
PARQUE SANTA FÉ,7h7
PITANGA,7h7
PLANALTO DE CARAPINA,7h7
PLANALTO SERRANO,7h7
PLANÍCIE DA SERRA,7h7
POLO INDUSTRIAL TUBARÃO,7h7
PORTAL DE JACARAÍPE,7h7
PORTO CANOA,7h7
PORTO DOURADO,7h7
PRAIA DA BALEIA,7h7
PRAIA DE CAPUBA,7h7
PRAIA DE CARAPEBUS,7h7
PRAIAMAR,7h7
REIS MAGOS,7h7
RESIDENCIAL CENTRO DA SERRA,7h7
RESIDENCIAL JACARAÍPE,7h7
RESIDENCIAL VISTA DO MESTRE,7h7
ROSÁRIO DE FÁTIMA,7h7
SANTA LUZIA,7h7
SANTA RITA DE CÁSSIA,7h7
SANTIAGO,7h7
SANTO ANTÔNIO,7h7
SERRA CENTRO,7h7
SERRA DOURADA I,7h7
SERRA DOURADA II,7h7
SERRA DOURADA III,7h7
SERRAMAR,7h7
SOLAR DE ANCHIETA,7h7
SÃO DIOGO I,7h7
SÃO DIOGO II,7h7
SÃO DOMINGOS,7h7
SÃO FRANCISCO,7h7
SÃO GERALDO,7h7
SÃO JOÃO,7h7
SÃO JUDAS TADEU,7h7
SÃO LOURENÇO,7h7
SÃO MARCOS I,7h7
SÃO MARCOS II,7h7
SÃO PATRÍCIO,7h7
SÃO PEDRO,7h7
TAQUARA I,7h7
TAQUARA II,7h7
TERMINAL INTERMODAL DA SERRA,7h7
VALPARAÍSO,7h7
VILA NOVA DE COLARES,7h7
VISTA DA SERRA I,7h7
VISTA DA SERRA II,7h7
