name,ghs
"",7h7
ALA  ACÁCIAS,7h7
ALA  ARARAS,7h7
ALA 01,7h7
ALA ANDORINHAS,7h7
ALA ANTÚRIOS,7h7
ALA AUGUSTO RUSCHI,7h7
ALA AZALEIA,7h7
ALA BARÃO DE MONJARDIM,7h7
ALA BEIJA-FLOR,7h7
ALA BEM-TE-VI,7h7
ALA BICANGA,7h7
ALA BROMÉLIAS,7h7
ALA CANÁRIOS,7h7
ALA CARAPEBUS,7h7
ALA CARMÉLIAS,7h7
ALA CASTELO,7h7
ALA COLIBRIS,7h7
ALA COLINA,7h7
ALA CURIÓ,7h7
ALA DA MARINHA,7h7
ALA DAS AVENCAS,7h7
ALA DAS HORTÊNCIAS,7h7
ALA DAS ORQUIDEAS,7h7
ALA DAS VIOLETAS,7h7
ALA DOS ESCRAVOS,7h7
ALA DOS GERÂNIOS,7h7
ALA FLAMBOYANT,7h7
ALA FLOR DE LIS,7h7
ALA GAIVOTAS,7h7
ALA GARÇAS,7h7
ALA GIRASSOL,7h7
ALA HOMERO MASSENA,7h7
ALA HORTÊNSIA,7h7
ALA INDEPENDÊNCIA,7h7
ALA IPÊS,7h7
ALA JACARAÍPE,7h7
ALA JACUNÉM,7h7
ALA JASMIM,7h7
ALA JAYME NAVARRO DE CARVALHO,7h7
ALA JOAQUIM NABUCO,7h7
ALA JORGE AMADO,7h7
ALA JORGE MONTEIRO DE CARVALHO,7h7
ALA JOÃO-DE-BARRO,7h7
ALA JUARA,7h7
ALA JUÁ,7h7
ALA LÍRIOS,7h7
ALA MAJOR PISSARRA,7h7
ALA MANGUINHOS,7h7
ALA MARGARIDAS,7h7
ALA MARITACA,7h7
ALA MAURÍCIO DE OLIVEIRA,7h7
ALA NORTE,7h7
ALA NOVA ALMEIDA,7h7
ALA OITIS,7h7
ALA ORQUÍDEAS,7h7
ALA PADRE BRAZ LOURENÇO,7h7
ALA PALMEIRAS,7h7
ALA PAPAGAIO,7h7
ALA PERDIZES,7h7
ALA PERIQUITO,7h7
ALA PICA-PAU,7h7
ALA PINHEIROS,7h7
ALA PIRACICABA,7h7
ALA QUERO-QUERO,7h7
ALA REIS MAGOS,7h7
ALA RIO SANTA MARIA,7h7
ALA ROSAS,7h7
ALA RUBEM BRAGA,7h7
ALA SABIÁS,7h7
ALA SAÍRA,7h7
ALA SERIEMA,7h7
