name,ghs
ALECRIM,7h7
ALVORADA,7h7
ARAÇÁS,7h7
ARGOLAS,7h7
ARIBIRI,7h7
ATAÍDE,7h7
BALNEÁRIO PONTA DA FRUTA,7h7
BARRA DO JUCU,7h7
BARRAMARES,7h7
BOA VISTA I,7h7
BOA VISTA II,7h7
BRISAMAR,7h7
CAVALIERI,7h7
CENTRO,7h7
CHÁCARA DO CONDE,7h7
CIDADE DA BARRA,7h7
COBI DE BAIXO,7h7
COBI DE CIMA,7h7
COBILÂNDIA,7h7
COCAL,7h7
COQUEIRAL DE ITAPARICA,7h7
CRISTOVÃO COLOMBO,7h7
DARLY SANTOS,7h7
DIVINO ESPIRITO SANTO,7h7
DOM JOÃO BATISTA,7h7
GAROTO,7h7
GLÓRIA,7h7
GUARANHUNS,7h7
IBES,7h7
ILHA DA CONCEICAO,7h7
ILHA DAS FLORES,7h7
ILHA DOS AYRES,7h7
ILHA DOS BENTOS,7h7
INDUSTRIAL,7h7
INTERLAGOS,7h7
ITAPOÃ,7h7
JABAETÉ,7h7
JABURUNA,7h7
JARDIM ASTECA,7h7
JARDIM COLORADO,7h7
JARDIM DO VALE,7h7
JARDIM GUADALAJARA,7h7
JARDIM GUARANHUNS,7h7
JARDIM MARILANDIA,7h7
JOCKEY DE ITAPARICA,7h7
JOÃO GOULART,7h7
MORADA DA BARRA,7h7
MORADA DO SOL,7h7
MORRO DA LAGOA,7h7
NORMÍLIA DA CUNHA,7h7
NOSSA SENHORA DA PENHA,7h7
NOVA AMÉRICA,7h7
NOVA ITAPARICA,7h7
NOVA PONTA DA FRUTA,7h7
NOVO MEXICO,7h7
OLARIA,7h7
PAUL,7h7
PEDRA DOS BÚZIOS,7h7
PLANALTO,7h7
POLO EMPRESARIAL NOVO MÉXICO,7h7
PONTA DA FRUTA,7h7
PONTAL DAS GARÇAS,7h7
PRAIA DA COSTA,7h7
PRAIA DAS GAIVOTAS,7h7
PRAIA DE ITAPARICA,7h7
PRAIA DOS RECIFES,7h7
PRIMEIRO DE MAIO,7h7
RESIDENCIAL COQUEIRAL,7h7
RIO MARINHO,7h7
RIVIERA DA BARRA,7h7
SAGRADA FAMÍLIA,7h7
SANTA CLARA,7h7
SANTA INÊS,7h7
SANTA MONICA POPULAR,7h7
SANTA MÔNICA,7h7
SANTA PAULA I,7h7
SANTA PAULA II,7h7
SANTA RITA,7h7
SANTOS DUMONT,7h7
SOTECO,7h7
SÃO CONRADO,7h7
SÃO TORQUATO,7h7
TERRA VERMELHA,7h7
ULISSES GUIMARÃES,7h7
VALE ENCANTADO,7h7
VILA BATISTA,7h7
VILA GARRIDO,7h7
VILA GUARANHUNS,7h7
VILA NOVA,7h7
VINTE E TRÊS DE MAIO,7h7
VISTA DA PENHA,7h7
ZUMBI DOS PALMARES,7h7
