name,ghs
ACS. DOIS MIL QUATROCENTOS E TRINTA E UM,7h2wx
ALA. ABIURANA,7h2ww
ALA. ACAI,7h2ww
ALA. APIRANGA,7h2ww
ALA. ARACARI,7h2ww
ALA. BACURAU,7h2ww 7h2wwt
ALA. BIGUA,7h2ww
ALA. CAMBUCI,7h2ww
ALA. CARCARA,7h2ww
ALA. CHICO MENDES,7h2wnp 7h2wq0
ALA. DA ACUCENA,7h2wze
ALA. DA ADUTORA,7h2wnh
ALA. DA DIVISA,7h2wnh
ALA. DAS ACACIAS,7h2xp
ALA. DAS BAUHINIAS,7h2xp
ALA. DAS CARIOTAS,7h2xp
ALA. DAS FALCATAS,7h2xp
ALA. DAS LATHANIAS,7h2xp
ALA. DAS MANGUEIRAS,7h2wnh
ALA. DAS PALMEIRAS,7h2xp
ALA. DAS PRINCESAS,7h2xp
ALA. DAS QUARESMAS,7h2xp
ALA. DE INTERLIGACAO,7h2xr
ALA. DIOGO DE SOUZA,7h2wnp 7h2wq0
ALA. DO IPE AMARELO,7h2xp
ALA. DO IPE BRANCO,7h2xp
ALA. DO PEQUI,7h2wnh
ALA. DOS ANJOS,7h2wm
ALA. DOS COQUEIROS,7h2xp
ALA. DOS FLAMBOYANTS,7h2xp
ALA. DOS JACARANDAS,7h2xp
ALA. DOS OITIS,7h2xp
ALA. EZEQUIEL DIAS,7h2y8
ALA. GRAUNA,7h2ww
ALA. GUARAPONGA,7h2ww
ALA. GUILHERME HENRIQUE DANIEL,7h2y8
ALA. IBIRITE,7h2wnp 7h2wq0
ALA. INDAIA,7h2ww
ALA. INDUSTRIAL,7h2xr
ALA. IPE ROXO,7h2wze
ALA. JOSE MARIA ALKIMIM,7h2xr
ALA. LIDIO DE FREITAS RAMOS,7h2xr4
ALA. LOUZAK,7h2wn
ALA. MARIA RITA BURNIER,7h2wnp 7h2wq0
ALA. MATURI,7h2ww
ALA. MURICI,7h2ww
ALA. SAPOTI,7h2ww
ALA. TANGARA,7h2ww
ALA. TINGUASSU,7h2ww
ALA. TOCARI,7h2ww
ALA. UIRAPURU,7h2ww 7h2wwt
ALA. VARGEM GRANDE,7h2wnp
ALA. VEREADOR ALVARO CELSO,7h2y8
ALA. VEREADOR GERALDO SILVA DE OLIVEIRA,7h2wx
AVE. A,7h2wn5 7h2z 7h2z1
AVE. ABILIO MACHADO,7h2ww 7h2wy 7h2wy8 7h2wy9 7h2wyb
AVE. ACESSO BLOCO DEZ,7h2wx8
AVE. ACESSO BLOCO ONZE,7h2wx8
AVE. ACESSO BLOCO QUATRO,7h2wrx
AVE. ACESSO BLOCO SEIS,7h2wr
AVE. ACESSO BLOCO TRES,7h2wrx
AVE. ACUDES,7h2ww 7h2wws
AVE. ADAO ALVES DE SOUZA,7h2wq
AVE. AFONSO PENA,7h2y8 7h2y8j 7h2y8n
AVE. AFONSO VAZ DE MELO,7h2wm 7h2wq 7h2wq1
AVE. AFONSO XIII,7h2wx
AVE. AGAVE,7h2wq0
AVE. AGENOR NONATO DE SOUZA,7h2w
AVE. AGGEO PIO SOBRINHO,7h2wr
AVE. AGULHAS NEGRAS,7h2y 7h2y8
AVE. ALFREDO CAMARATE,7h2wz
AVE. ALPHONSUS DE GUIMARAES,7h2y8y
