name,ghs
ALAMEDA ABIURANA,7h2w
ALAMEDA ACAI,7h2w
ALAMEDA APIRANGA,7h2w
ALAMEDA ARACARI,7h2w
ALAMEDA BACURAU,7h2w
ALAMEDA BIGUA,7h2w
ALAMEDA CAMBUCI,7h2w
ALAMEDA CARCARA,7h2w
ALAMEDA CHICO MENDES,7h2w
ALAMEDA DA ACUCENA,7h2w
ALAMEDA DA ADUTORA,7h2w
ALAMEDA DA DIVISA,7h2w
ALAMEDA DAS ACACIAS,7h2
ALAMEDA DAS BAUHINIAS,7h2
ALAMEDA DAS CARIOTAS,7h2
ALAMEDA DAS FALCATAS,7h2
ALAMEDA DAS LATHANIAS,7h2
ALAMEDA DAS MANGUEIRAS,7h2w
ALAMEDA DAS PALMEIRAS,7h2
ALAMEDA DAS PRINCESAS,7h2
ALAMEDA DAS QUARESMAS,7h2
ALAMEDA DE INTERLIGACAO,7h2
ALAMEDA DIOGO DE SOUZA,7h2w
ALAMEDA DO IPE AMARELO,7h2
ALAMEDA DO IPE BRANCO,7h2
ALAMEDA DO PEQUI,7h2w
ALAMEDA DOS ANJOS,7h2w
ALAMEDA DOS COQUEIROS,7h2
ALAMEDA DOS FLAMBOYANTS,7h2
ALAMEDA DOS JACARANDAS,7h2
ALAMEDA DOS OITIS,7h2
ALAMEDA EZEQUIEL DIAS,7h2
ALAMEDA GRAUNA,7h2w
ALAMEDA GUARAPONGA,7h2w
ALAMEDA GUILHERME HENRIQUE DANIEL,7h2
ALAMEDA IBIRITE,7h2w
ALAMEDA INDAIA,7h2w
ALAMEDA INDUSTRIAL,7h2
ALAMEDA IPE ROXO,7h2w
ALAMEDA JOSE MARIA ALKIMIM,7h2
ALAMEDA LIDIO DE FREITAS RAMOS,7h2
ALAMEDA LOUZAK,7h2w
ALAMEDA MATURI,7h2w
ALAMEDA MURICI,7h2w
ALAMEDA SAPOTI,7h2w
ALAMEDA TANGARA,7h2w
ALAMEDA TINGUASSU,7h2w
ALAMEDA TOCARI,7h2w
ALAMEDA TRAVESSIA,7h2
ALAMEDA UIRAPURU,7h2w
ALAMEDA VARGEM GRANDE,7h2w
ALAMEDA VEREADOR ALVARO CELSO,7h2
ALAMEDA VEREADOR GERALDO SILVA DE OLIVEIRA,7h2w
AVENIDA A,7h2 7h2w
AVENIDA ABILIO MACHADO,7h2w
AVENIDA ACESSO BLOCO DEZ,7h2w
AVENIDA ACESSO BLOCO ONZE,7h2w
AVENIDA ACESSO BLOCO QUATRO,7h2w
AVENIDA ACESSO BLOCO SEIS,7h2w
AVENIDA ACESSO BLOCO TRES,7h2w
AVENIDA ACUDES,7h2w
AVENIDA ADAO ALVES DE SOUZA,7h2w
AVENIDA AFONSO PENA,7h2
AVENIDA AFONSO VAZ DE MELO,7h2w
AVENIDA AFONSO XIII,7h2w
AVENIDA AGAVE,7h2w
AVENIDA AGENOR NONATO DE SOUZA,7h2w
AVENIDA AGGEO PIO SOBRINHO,7h2w
AVENIDA AGULHAS NEGRAS,7h2
AVENIDA ALPHONSUS DE GUIMARAES,7h2
AVENIDA ALTAMIRO AVELINO SOARES,7h2w
AVENIDA ALVARES CABRAL,7h2w
AVENIDA AMINTAS JACQUES DE MORAES,7h2w
AVENIDA AMINTAS VIDAL GOMES,7h2w
AVENIDA AMOR DE NOSSA VIDA,7h2
AVENIDA ANTONIO AUGUSTO DA SILVA,7h2w
AVENIDA ANTONIO FRANCISCO LISBOA,7h2w
AVENIDA ANTONIO HENRIQUE ALVES,7h2w
AVENIDA ANTONIO PRADO,7h2w
AVENIDA ARCESIO RODRIGUES,7h2w
AVENIDA ARGELIA,7h2
AVENIDA ARTUR BERNARDES,7h2w
AVENIDA ARTUR GUIMARAES,7h2
AVENIDA AUGUSTO DE LIMA,7h2w
AVENIDA AUGUSTO VELOSO,7h2
AVENIDA AVAI,7h2w
