name,ghs
AGUA BRANCA,7h2
ALVORADA,7h2
AMAZONAS,7h2
ANTONIO CAMBRAIA,7h2
APARECIDA,7h2
ARCADIA,7h2
AREAS GUANABARA,7h2
AREAS INDUSTRIAIS CONTAGEM,7h2
ARPOADOR,7h2
ARVOREDO,7h2
BALNEARIO DA RESSACA,7h2
BANDEIRANTES,7h2
BARRAGEM VELUDINHO,7h2
BEATRIZ,7h2
BEIJA FLOR,7h2
BELA VISTA,7h2
BELEM,7h2
BERNARDO MONTEIRO,7h2
BETANIA,7h2
BOM JESUS,7h2
BRAUNAS,7h2
BUGANVILLE,7h2
CABRAL,7h2
CAIAPOS,7h2
CAMILO ALVES,7h2
CAMPINA VERDE,7h2
CAMPO ALTO,7h2
CANADA,7h2
CANDIDA FERREIRA,7h2
CAPIM RASTEIRO,7h2
CARAJAS,7h2
CENTRAL PARQUE,7h2
CENTRO INDUSTRIAL FRANCISCO FIRMO DE MATOS FILHO,7h2
CHACARAS BOA VISTA,7h2
CHACARAS CALIFORNIA,7h2
CHACARAS CAMPESTRE,7h2
CHACARAS COLONIAIS,7h2
CHACARAS CONTAGEM,7h2
CHACARAS COTIA,7h2
CHACARAS DEL REY,7h2
CHACARAS NOVO HORIZONTE,7h2
CHACARAS PLANALTO,7h2
CHACARAS REUNIDAS SANTA TEREZINHA,7h2
CHACARAS RIACHINHO,7h2
CHACARAS SAO GERALDO,7h2
CIDADE INDUSTRIAL,7h2
CIDADE JARDIM ELDORADO,7h2
CINCÃO (CINCO II),7h2
CINQUINHO,7h2
CODOMINIO ESTANCIA SAN REMO,7h2
COLONIAL,7h2
COLORADO ,7h2
CONDOMINIO ESTANCIA DO HIBISCO,7h2
CONDOMINIO FAZENDA MADEIRA,7h2
CONJUNTO AGUA BRANCA,7h2
CONJUNTO CONFISCO,7h2
CONJUNTO HABITACIONAL JARDIM CALIFORNIA,7h2
CONJUNTO HABITACIONAL MONTE CASTELO,7h2
CONJUNTO HABITACIONAL RIACHO III,7h2
CONJUNTO HABITACIONAL SANDOVAL DE AZEVEDO,7h2
CONJUNTO SOLAR DO MADEIRA,7h2
COQUEIRAL,7h2
