name,ghs
ACESSO - PROPRIEDADE PARTICULAR,7h
ACESSO 02 - CONDOMINIO BELLEVILLE,7h
ACESSO 03 - CONDOMINIO BELLEVILLE,7h
ACESSO A ASSOCIACAO DE AMIGOS DO BANCO DO BRASIL,7h
ACESSO A CAIXA DAGUA DO SAAE,7h
ACESSO A COOPERVALE,7h
ACESSO A ESTACAO JOAO PAULO,7h
ACESSO A ESTACAO RODOVIARIA GENARO MAFRA,7h
ACESSO A ETE NOVA VISTA,7h
ACESSO A FIDE,7h
ACESSO A FUNCESI,7h
ACESSO A RODOVIA DEPUTADO LUIZ MENEZES,7h
ACESSO A RODOVIARIA GENARO MAFRA,7h
ACESSO A VILA GABRIELA,7h
ACESSO AO ANTIGO REAL CAMPESTRE CLUBE,7h
ACESSO AO ASILO LAR DE OZANAN,7h
ACESSO AO CAMPO DE FUTEBOL,7h
ACESSO AO GINASIO POLIESPORTIVO,7h
ACESSO AO HOSPITAL CARLOS CHAGAS,7h
ACESSO AO MEMORIAL CARLOS DRUMMOND DE ANDRADE,7h
ACESSO AO PARQUE DE EXPOSICAO VIRGILIO JOSE GAZIRE,7h
ACESSO AO PARQUE NATURAL MUNICIPAL DO INTELECTO,7h
ACESSO AO POSTO DE GASOLINA DO BARRO BRANCO,7h
ACESSO AO PREMEN,7h
ACESSO AO PRONTO SOCORRO MUNICIPAL,7h
ACESSO AO SAAE,7h
ACESSO CLUBE ATLETICO ITABIRANO,7h
ACESSO FUNCESI - VILA TECNICA DO AREAO,7h
ACESSO SESI,7h
ACESSO VALERIO,7h
ALAMEDA BUGANVILIA,7h
ALAMEDA DAS ACACIAS,7h
ALAMEDA DAS PALMEIRAS,7h
ALAMEDA DAS PEROBAS,7h
ALAMEDA DOS INGAS,7h
ALAMEDA DOS JACARANDAS,7h
ALAMEDA DOS JAMBEIROS,7h
ALAMEDA DOS JATOBAS,7h
ALAMEDA FLAMBOYANT,7h
ALAMEDA IPE AMARELO,7h
ALAMEDA JOSE DO PATROCINIO,7h
ALAMEDA LIRIO DO CAMPO,7h
ALAMEDA MAESTRO JOSE DOROTEIA,7h
ALAMEDA PAU BRASIL,7h
ANTIGA ESTRADA ITABIRA-NOVA ERA,7h
AVENIDA  ESPIGAO,7h
AVENIDA AGUIA BRANCA,7h
AVENIDA ALMIR PESSOA DE MAGALHAES,7h
AVENIDA ANTHURIUNS,7h
AVENIDA ARGEMIRO SABINO DE SOUZA,7h
AVENIDA BELA VISTA,7h
AVENIDA BRASIL,7h
AVENIDA CANFORA,7h
AVENIDA CARLOS DE PAULA ANDRADE,7h
AVENIDA CARLOS DRUMMOND DE ANDRADE,7h
AVENIDA CAUE,7h
AVENIDA CENTRAL,7h
AVENIDA CRISTINA GAZIRE,7h
AVENIDA DANIEL JARDIM GRISOLIA,7h
AVENIDA DAS ROSAS,7h
AVENIDA DEPUTADO JORGE FERRAZ,7h
AVENIDA DEZ - SANTA RUTH,7h
AVENIDA DO CONTORNO,7h
AVENIDA DOS ADVOGADOS,7h
AVENIDA DOS MEDICOS,7h
AVENIDA DOS VEREADORES,7h
AVENIDA DOUTOR PEDRO GUERRA,7h
AVENIDA DUQUE DE CAXIAS,7h
AVENIDA DW 87,7h
AVENIDA EFIGENIO ANTERO PINTO,7h
AVENIDA EMILIO ZACARIAS DA SILVA,7h
AVENIDA ESPIGAO,7h
AVENIDA FABIO PIRES GUERRA,7h
AVENIDA FRANCE DE PAULA ANDRADE,7h
AVENIDA GALILEIA,7h
AVENIDA HEMATITA,7h
AVENIDA IPIRANGA,7h
AVENIDA JOAO PINHEIRO,7h
AVENIDA JOAO SOARES DA SILVA,7h
AVENIDA JOSE MARCOS DE ALMEIDA,7h
AVENIDA JUIZ DE FORA,7h
AVENIDA LUIZ LOTT,7h
AVENIDA MACHADO DE ASSIS,7h
AVENIDA MADALENA PEREIRA SANTOS,7h
AVENIDA MANDRAGORA,7h
AVENIDA MARIANA,7h
AVENIDA MARTINS DA COSTA,7h
AVENIDA MAURO RIBEIRO LAGE,7h
AVENIDA MIRRA,7h
AVENIDA NATALIA PENA JACOME,7h
AVENIDA OLIMPIO DOMINGOS CARDOSO,7h
AVENIDA OZORIO SAMPAIO,7h
AVENIDA PREFEITO JAIRO MAGALHAES,7h
AVENIDA PREFEITO LI GUERRA,7h
AVENIDA PROFESSORA BATISTINA PEREIRA,7h
AVENIDA RIO DOCE,7h
AVENIDA RUI BARBOSA,7h
AVENIDA TACIANO DE ALVARENGA MARTINS,7h
AVENIDA TRINTA - SANTA RUTH,7h
AVENIDA VILA LOBOS,7h
BECO A - NOSSA S DAS OLIVEIRAS,7h
BECO C - MADRE MARIA DE JESUS,7h
BECO DO CALVARIO,7h
BECO DOIS - MADRE MARIA DE JESUS,7h
BECO F - MADRE MARIA DE JESUS,7h
BECO JOSE JOAO BERNARDINO,7h
BECO MARICAS MAGALHAES,7h
BECO SUZINHA DE SA MARTINS,7h
CAMINHO,7h
ESTACIONAMENTO PACO MUNICIPAL,7h
ESTACIONAMENTO PARQUE DE EXPOSICOES,7h
ESTACIONAMENTO PRONTO SOCORRO MUNICIPAL,7h
ESTRADA CENTO E CINCO,7h
ESTRADA PARA ITAMBE,7h
MG 129 ESTRADA PARA SAO GONCALO (RUA STO ANTONIO),7h
PRACA CINCO,7h
PRACA CIRO MOURA,7h
PRACA DO CENTENARIO,7h
PRACA DOUTOR ACRISIO ALVARENGA,7h
PRACA DOUTOR NELSON LIMA GUIMARAES,7h
PRACA DOUTOR NICO ROSA,7h
PRACA FABIO PIRES GUERRA,7h
PRACA IRMA MARIA CLARA,7h
PRACA JOAQUIM PEDRO ROSA,7h
PRACA LUIZ LOTT,7h
PRACA MARICAS MAGALHAES,7h
PRACA MARIO CARVALHO AZEVEDO BARROS,7h
PRACA MONSENHOR FELICISSIMO,7h
PRACA PRAIA DO ROSARIO,7h
PRACA RUI BARBOSA,7h
PRACA SAO CRISTOVAO,7h
PRACA SAO TOME,7h
PRACA VEREADOR JOSE MAXIMO,7h
RODOVIA AMG 900,7h
RODOVIA BR 120 PARA SANTA MARIA,7h
RODOVIA DORVAL DE OLIVEIRA,7h
RODOVIA JOAO LAGE,7h
RODOVIA PARA JOAO MONLEVADE,7h
RODOVIA PREFEITO LUIZ MENEZES - MG-129,7h
ROTATORIA,7h
RUA 03 - RESIDENCIAL VALE DO SOL,7h
RUA 07 - RESIDENCIAL VALE DO SOL,7h
RUA 1 - FAZENDA DO LAGO,7h
RUA 1 - JARDIM BELO MONTE,7h
RUA 1 - JARDIM BURITIS,7h
RUA 1 - RESIDENCIAL PEDRAS DO VALLE,7h
RUA 10 - JARDIM BELO MONTE,7h
RUA 10 - JARDIM BURITIS,7h
RUA 11 - JARDIM BURITIS,7h
RUA 2 - FAZENDA DO LAGO,7h
RUA 2 - JARDIM BELO MONTE,7h
RUA 2 - JARDIM BURITIS,7h
RUA 2 - RESIDENCIAL PEDRAS DO VALLE,7h
