name,ghs
AERO RANCHO,6u3
ALVES PEREIRA,6u3
AMAMBAÍ,6u3
AMÉRICA,6u3
AUTONOMISTA,6u3
BANDEIRANTES,6u3
BATISTÃO,6u3
BELA VISTA,6u3
CABREÚVA,6u3
CAIOBÁ,6u3
CAIÇARA,6u3
CARANDÁ,6u3
CARLOTA,6u3
CARVALHO,6u3
CENTENÁRIO,6u3
CENTRO,6u3
CENTRO OESTE,6u3
CHÁCARA CACHOEIRA,6u3
CHÁCARA DOS PODERES,6u3
COOPHAVILA II,6u3
CORONEL ANTONINO,6u3
CRUZEIRO,6u3
DR. ALBUQUERQUE,6u3
ESTRELA DALVA,6u3
GLÓRIA,6u3
GUANANDI,6u3
ITANHANGÁ,6u3
JACY,6u3
JARDIM DOS ESTADOS,6u3
JARDIM PAULISTA,6u3
JOCKEY CLUB,6u3
JOSÉ ABRÃO,6u3
LAGEADO,6u3
LEBLON,6u3
LOS ANGELES,6u3
MARGARIDA,6u3
MARIA APARECIDA PEDROSSIAN,6u3
MATA DO JACINTO,6u3
MATA DO SEGREDO,6u3
MONTE CASTELO,6u3
MONTE LÍBANO,6u3
MORENINHA,6u3
NASSER,6u3
NOROESTE,6u3
NOVA CAMPO GRANDE,6u3
NOVA LIMA,6u3
NOVOS ESTADOS,6u3
NÚCLEO INDUSTRIAL,6u3
PANAMÁ,6u3
PARATI,6u3
PIONEIROS,6u3
PIRATININGA,6u3
PLANALTO,6u3
POPULAR,6u3
RITA VIEIRA,6u3
SANTA FÉ,6u3
SANTO AMARO,6u3
SANTO ANTÔNIO,6u3
SEMINÁRIO,6u3
SOBRINHO,6u3
SÃO BENTO,6u3
SÃO CONRADO,6u3
SÃO FRANCISCO,6u3
SÃO LOURENÇO,6u3
TAQUARUSSU,6u3
TARUMÃ,6u3
TAVEIRÓPOLIS,6u3
TIJUCA,6u3
TIRADENTES,6u3
TV MORENA,6u3
UNIVERSITÁRIO,6u3
UNIÃO,6u3
VERANEIO,6u3
VILASBOAS,6u3
,6u3
