name,ghs
AEROCLUBE,7nx
ALTIPLANO CABO BRANCO,7nx
ALTO DO CÉU,7nx
ALTO DO MATEUS,7nx
ANATÓLIA,7nx
BAIRRO DAS INDUSTRIAS,7nx
BAIRRO DOS ESTADOS,7nx
BAIRRO DOS IPÊS,7nx
BANCÁRIOS,7nx
BARRA DE GRAMAME,7nx
BESSA,7nx
BRISAMAR,7nx
CABO BRANCO,7nx
CASTELO BRANCO,7nx
CENTRO,7nx
CIDADE DOS COLIBRIS,7nx
COSTA DO SOL,7nx
COSTA E SILVA,7nx
CRISTO REDENTOR,7nx
CRUZ DAS ARMAS,7nx
CUIÁ,7nx
DISTRITO INDUSTRIAL,7nx
ERNANI SATIRO,7nx
ERNESTO GEISEL,7nx
EXPEDICIONÁRIOS,7nx
FUNCIONÁRIOS,7nx
GRAMAME,7nx
GROTÃO,7nx
ILHA DO BISPO,7nx
JAGUARIBE,7nx
JARDIM CIDADE UNIVERSITÁRIA,7nx
JARDIM OCEANIA,7nx
JARDIM SÃO PAULO,7nx
JARDIM VENEZA,7nx
JOSÉ AMÉRICO,7nx
JOÃO AGRIPINO,7nx
JOÃO PAULO II,7nx
MANAÍRA,7nx
MANDACARÚ,7nx
MANGABEIRA,7nx
MIRAMAR,7nx
MUMBABA,7nx
MUSSURÉ,7nx
MUÇUMAGRO,7nx
OITIZEIRO,7nx
PADRE ZÉ,7nx
PARATIBE,7nx
PEDRO GONDIM,7nx
PENHA,7nx
PLANALTO DA BOA ESPERANÇA,7nx
PONTA DO SEIXAS,7nx
PORTAL DO SOL,7nx
RÓGER,7nx
SÃO JOSÉ,7nx
TAMBAUZINHO,7nx
TAMBAÚ,7nx
TAMBIÁ,7nx
TORRE,7nx
TREZE DE MAIO,7nx
TRINCHEIRAS,7nx
VALENTINA,7nx
VARADOURO,7nx
VARJÃO,7nx
ÁGUA FRIA,7nx
