name,ghs
AL  FILIPEIA,7nx
AL BEIJA-FLOR,7nx
AL CANARIO DA TERRA,7nx
AL CONCRIS,7nx
AL FARACO,7nx
AL PARDAL,7nx
AL PAVÃO,7nx
AL SABIÁ,7nx
AV  ABDIAS GOMES DE ALMEIDA,7nx
AV  ABEL DA SILVA,7nx
AV  ACRE,7nx
AV  ADELAIDE NOVAIS,7nx
AV  ADERBAL PIRAGIBE,7nx
AV  ADOLFO CIRNE,7nx
AV  ADOLFO LOUREIRO,7nx
AV  AFONSO CAMPOS,7nx
AV  ALAGOAS,7nx
AV  ALUISIO FRANCA,7nx
AV  AMAZONAS,7nx
AV  ANA NERY,7nx
AV  ANTONIO LIRA,7nx
AV  APOLONIO DA NOBREGA,7nx
AV  ARAGAO E MELO,7nx
AV  ARIOSVALDO SILVA,7nx
AV  ARTHUR MONTEIRO DE PAIVA,7nx
AV  ASSIS VIDAL,7nx
AV  BAHIA,7nx
AV  BANANEIRAS,7nx
AV  BELO HORIZONTE,7nx
AV  BENICIO DE OLIVEIRA LIMA,7nx
AV  BORJA PEREGRINO,7nx
AV  BRASIL,7nx
AV  BRASILIA,7nx
AV  CABO BRANCO,7nx
AV  CAETANO FILGUEIRAS,7nx
AV  CAJAZEIRAS,7nx
AV  CAMILO DE HOLANDA,7nx
AV  CAMPOS SALES,7nx
AV  CARAMURU,7nx
AV  CARLOS BARROS,7nx
AV  CARLOS GOMES,7nx
AV  CARNEIRO DA CUNHA,7nx
AV  CASTRO ALVES,7nx
AV  CEARA,7nx
AV  CELERINA PAIVA,7nx
AV  CENTENARIO,7nx
AV  CHESF,7nx
AV  CINCO DE AGOSTO,7nx
AV  CLARICE JUSTA,7nx
AV  COELHO LISBOA,7nx
AV  CORACAO DE JESUS,7nx
AV  COREMAS,7nx
AV  CORINTA ROSAS,7nx
AV  CRUZ CORDEIRO,7nx
AV  CRUZ DAS ARMAS,7nx
AV  CRUZEIRO DO SUL,7nx
AV  CUIABA,7nx
AV  DOIS DE FEVEREIRO,7nx
AV  DOS ESCOTEIROS,7nx
AV  DOZE DE OUTUBRO,7nx
AV  DUARTE DA SILVEIRA,7nx
AV  ESPERANCA,7nx
AV  ESPIRITO SANTO,7nx
AV  EURIPEDES TAVARES,7nx
AV  EUZELY FABRICIO DE SOUZA,7nx
AV  FAGUNDES VARELA,7nx
AV  FELICIANO CIRNE,7nx
AV  FELICIANO DOURADO,7nx
AV  FLAMBOYANT,7nx
AV  FLORIANO PEIXOTO,7nx
AV  FLORIANOPOLIS,7nx
AV  FORTALEZA,7nx
AV  FRANCA FILHO,7nx
AV  FRANCISCA MOURA,7nx
AV  FRANCISCO BRANDAO,7nx
AV  FRANCISCO MANOEL,7nx
AV  FRATERNIDADE,7nx
AV  GEMINIANO DA FRANCA,7nx
AV  GENERINO MACIEL,7nx
AV  GERALDO COSTA,7nx
AV  GOIAS,7nx
AV  GOUVEIA NOBREGA,7nx
AV  GUANABARA,7nx
AV  GUARABIRA,7nx
AV  HILTON SOUTO MAIOR,7nx
AV  IAIA PAIVA,7nx
AV  INDIO ARABUTAN,7nx
AV  INGA,7nx
AV  ISIDRO GOMES,7nx
AV  JESUS DE NAZARE,7nx
AV  JOAO AMORIM,7nx
AV  JOAO CANCIO DA SILVA,7nx
AV  JOAO CIRILO DA SILVA,7nx
AV  JOAO LUIZ RIBEIRO DE MORAIS,7nx
AV  JOAO MAURICIO,7nx
AV  JOAQUIM HARDMAN,7nx
AV  JOAQUIM PIRES FERREIRA,7nx
