name,ghs
Aflitos,7nx
Afogados,7nx
Alto José Bonifácio,7nx
Alto José do Pinho,7nx
Alto Santa Terezinha,7nx
Alto do Mandú,7nx
Apipucos,7nx
Areias,7nx
Arruda,7nx
Barro,7nx
Beberibe,7nx
Boa Viagem,7nx
Boa Vista,7nx
Bomba do Hemetério,7nx
Brasília Teimosa,7nx
Brejo da Guabiraba,7nx
Brejo de Beberibe,7nx
Cabanga,7nx
Cajueiro,7nx
Campina do Barreto,7nx
Campo Grande,7nx
Casa Amarela,7nx
Casa Forte,7nx
Caxangá,7nx
Caçote,7nx
Cidade Universitária,7nx
Coelhos,7nx
Cohab,7nx
Coqueiral,7nx
Cordeiro,7nx
Curado,7nx
Córrego do Jenipapo,7nx
Derby,7nx
Dois Irmãos,7nx
Dois Unidos,7nx
Encruzilhada,7nx
Engenho do Meio,7nx
Espinheiro,7nx
Estância,7nx
Fundão,7nx
Graças,7nx
Guabiraba,7nx
Hipódromo,7nx
Ibura,7nx
Ilha Joana Bezerra,7nx
Ilha do Leite,7nx
Ilha do Retiro,7nx
Imbiribeira,7nx
Ipsep,7nx
Iputinga,7nx
Jaqueira,7nx
Jardim São Paulo,7nx
Jiquiá,7nx
Jordão,7nx
Linha do Tiro,7nx
Macaxeira,7nx
Madalena,7nx
Mangabeira,7nx
Mangueira,7nx
Monteiro,7nx
Morro da Conceição,7nx
Mustardinha,7nx
Nova Descoberta,7nx
Paissandú,7nx
Parnamirim,7nx
Passarinho,7nx
Pau Ferro,7nx
Peixinhos,7nx
Pina,7nx
Ponto de Parada,7nx
Porto da Madeira,7nx
Poço,7nx
Prado,7nx
Recife,7nx
Rosarinho,7nx
San Martin,7nx
Sancho,7nx
Santana,7nx
Santo Amaro,7nx
Santo Antônio,7nx
Soledade,7nx
São José,7nx
Sítio dos Pintos,7nx
Tamarineira,7nx
Tejipió,7nx
Torre,7nx
Torreão,7nx
Torrões,7nx
Totó,7nx
Vasco da Gama,7nx
Várzea,7nx
Zumbi,7nx
Água Fria,7nx
