name,ghs
10ª Tavessa dos Prazeres,7nx
10ª Travessa Córrego da Bica,7nx4
11ª Travessa Córrego da Bica,7nx4
1Travessa Sao Joao Eudes,7nx4m
1a Travessa Alto do Olho D`Agua,7nx4m
1ª Paralela Alto do Cruzeiro,7nx4m
1ª Paralela Anajás,7nx4m
1ª Subida Barão de Camaquã,7nx4m
1ª Subida Córrego da Loira,7nx4
1ª Subida Córrego do Leoncio,7nx4m
1ª Subida Gonçalves,7nx4
1ª Subida Josélia,7nx4m
1ª Subida da Brasileira,7nx4m
1ª Subida da Imbaúba,7nx4m
1ª Subida do Cotó,7nx4m
1ª Subida do Joaquim,7nx4m
1ª Subida do Marreco,7nx4
1ª Subida do Sargento,7nx4m
1ª Subida do Toinho,7nx4m
1ª Travessa Adalberto Elias da Costa,7nx4m
1ª Travessa Afonso Olindense,7nx4
1ª Travessa Alexandre Gusmão,7nx4
1ª Travessa Alfredo Gama,7nx4m
1ª Travessa Alto Bom Jesus,7nx4
1ª Travessa Alto Brasil,7nx4m
1ª Travessa Alto Jequiri,7nx4
1ª Travessa Alto José Bonifácio,7nx4m
1ª Travessa Alto N S de Fatima,7nx4m
1ª Travessa Alto da Bela Vista,7nx
1ª Travessa Alto da Bica,7nx4
1ª Travessa Alto da Boa Esperança,7nx4
1ª Travessa Alto do Cruzeiro,7nx4m
1ª Travessa Alto do Eucalipto,7nx4m
1ª Travessa América Cisneiros,7nx4m
1ª Travessa Ana Lima Brandão,7nx
1ª Travessa Antônio Antão de Carvalho Reis,7nx4
1ª Travessa Antônio Campelo,7nx4
1ª Travessa Antônio Carneiro,7nx4m
1ª Travessa Antônio Correia de Araújo,7nx4
1ª Travessa Antônio Meira,7nx4m
1ª Travessa Antônio Paes Barreto,7nx
1ª Travessa Aracagi,7nx
1ª Travessa Aristônico de Oliveira,7nx4
1ª Travessa Arlinda Pereira de Santana,7nx4
1ª Travessa Arlindo Cisneiro,7nx4m
1ª Travessa Arnaldo Paes de Andrade,7nx4
1ª Travessa Arnoldo Magalhães,7nx4m
1ª Travessa Ary Peter,7nx4m
1ª Travessa Asa Branca,7nx
1ª Travessa Avenca,7nx4m
1ª Travessa Bambu,7nx4
1ª Travessa Barão de Japaraná,7nx4
1ª Travessa Barão do Capibaribe,7nx4
1ª Travessa Belém de Judá,7nx
1ª Travessa Bem Posta,7nx4m
1ª Travessa Berlim,7nx4
1ª Travessa Bezinha,7nx4
1ª Travessa Boanerges Pereira,7nx
1ª Travessa Bom Destino,7nx
1ª Travessa Brasilândia,7nx4m
1ª Travessa Bueno,7nx4
1ª Travessa Bulhões Marques,7nx4
1ª Travessa Cabo Eutrópio,7nx4
1ª Travessa Cabo José da Conceição,7nx
1ª Travessa Cambaratiba,7nx4
1ª Travessa Camboriu,7nx4m
1ª Travessa Cameta,7nx4m
1ª Travessa Camocim1,7nx
1ª Travessa Campo do Bangu,7nx
1ª Travessa Campo do Onze,7nx4
1ª Travessa Campos Tabaiares,7nx4
1ª Travessa Candido Mendes,7nx
1ª Travessa Cantor Tim Maia,7nx
1ª Travessa Capanema,7nx4
1ª Travessa Caraiba,7nx4
1ª Travessa Carlos Gomes,7nx4
1ª Travessa Carlópolis,7nx4
1ª Travessa Chagas Ferreira,7nx4m
1ª Travessa Chapada do Araripe,7nx
1ª Travessa Chiador,7nx4
1ª Travessa Chã de Alegria,7nx4m
1ª Travessa Compositor Vinícius de Morais,7nx4m
1ª Travessa Continental,7nx4
1ª Travessa Coripos,7nx
1ª Travessa Coroado,7nx4
1ª Travessa Coronel Mizael de Mendonça,7nx4
1ª Travessa Custódia,7nx
1ª Travessa Córrego Novo,7nx4
1ª Travessa Córrego São José,7nx4
1ª Travessa Córrego da Areia,7nx4m
1ª Travessa Córrego do Carroceiro,7nx4
1ª Travessa Córrego do Curio,7nx4m
1ª Travessa Córrego do Curió,7nx4m
1ª Travessa Córrego do Deodato,7nx4m
1ª Travessa Córrego do Euclides,7nx4m
1ª Travessa Cônego José Fernandes Machado,7nx4
1ª Travessa Daniel Antônio Rodrigues,7nx4
1ª Travessa Delfim,7nx4
1ª Travessa Deodoro da Fonseca,7nx4m
1ª Travessa Deputado Gomes de Sá,7nx4m
1ª Travessa Desembargador Pedro Ribeiro Malta,7nx
1ª Travessa Desembargador Rodolfo Aureliano,7nx4
1ª Travessa Diadema,7nx4m
1ª Travessa Dianópolis,7nx4m
1ª Travessa Dois Rios,7nx
1ª Travessa Dom Feliciano,7nx4
1ª Travessa Dona Benvida de Farias,7nx
1ª Travessa Dona Carentina,7nx
1ª Travessa Dona Margarida,7nx4
1ª Travessa Doutor Felix Mendonça,7nx
1ª Travessa Dr Adelino Filho,7nx4
1ª Travessa Dr Amariles Barbosa de Aguiar,7nx4
1ª Travessa Dr Luiz Ramos Leal,7nx4m
1ª Travessa Dr Tomé Dias,7nx4m
1ª Travessa Edeia,7nx4
1ª Travessa Edvaldo de Oliveira,7nx
1ª Travessa Emilio Monteiro Fonseca,7nx
1ª Travessa Engenheiro Abdias de Carvalho,7nx4
1ª Travessa Ernesto de Paula Santos,7nx
1ª Travessa Erundina Negreiros de Araujo,7nx4
1ª Travessa Estrada do Curado,7nx4
1ª Travessa Estrada do Orfanato,7nx4
1ª Travessa FEACA,7nx
1ª Travessa Fagundes,7nx4m
1ª Travessa Falcão de Lacerda,7nx
1ª Travessa Fausto Rabelo,7nx4
1ª Travessa Fernandinho,7nx4
1ª Travessa Fernando Aécio G Souza,7nx4m
1ª Travessa Ferraz de Vasconcelos,7nx4m
1ª Travessa Flor do Sertao,7nx
1ª Travessa Flores do Oriente,7nx
1ª Travessa Formosa,7nx4
1ª Travessa Francisco Russo,7nx
1ª Travessa Frederico Ozanan,7nx4m
1ª Travessa Frei Cassimiro,7nx4
1ª Travessa Frei Damiao,7nx4
1ª Travessa Frutuoso Gomes,7nx4
1ª Travessa Frutuoso Gomes2,7nx4
1ª Travessa General Mena Barreto,7nx4m
1ª Travessa General Souza Gomes,7nx4
1ª Travessa Goianira,7nx4
1ª Travessa Governador Roberto Silveira,7nx
1ª Travessa Gravatá,7nx4
1ª Travessa Gregório Júnior,7nx4
1ª Travessa Guarulhos,7nx4
1ª Travessa Hidrolândia,7nx4m
1ª Travessa Interlandia,7nx4
1ª Travessa Ipitanga,7nx4
1ª Travessa Jaguare,7nx
1ª Travessa Joaquim da Silva Caldas,7nx4
1ª Travessa John Bispo,7nx
1ª Travessa Jonhathas de Vasconcelos,7nx
1ª Travessa Jornalista Costa Porto,7nx
1ª Travessa José Figueredo Matos,7nx
1ª Travessa José Martorano,7nx
1ª Travessa José da Silva Lucena,7nx
1ª Travessa João Cabral de Melo Neto,7nx4
1ª Travessa João Correia Filho,7nx4
1ª Travessa Justiça e Paz,7nx
1ª Travessa Ladeira de Pedra,7nx4m
1ª Travessa Lavinia,7nx4
1ª Travessa Lavrinhas,7nx
1ª Travessa Leal,7nx4
1ª Travessa Leoncio Rodrigues,7nx4m
1ª Travessa Leopoldo Bulhões,7nx4
1ª Travessa Liberdade,7nx4
1ª Travessa Lisboa,7nx
1ª Travessa Luiz Souto Dourado,7nx4
1ª Travessa Macatuba,7nx4m
1ª Travessa Maestro Nelson Ferreira,7nx
1ª Travessa Major Mario Portela,7nx4
1ª Travessa Mandacaru,7nx4m
1ª Travessa Manoel Gonçalves da Luz,7nx4
1ª Travessa Manuel Salvador,7nx
1ª Travessa Maragogipe,7nx
1ª Travessa Marcia Mendes,7nx4m
1ª Travessa Marechal Bittencout,7nx4m
1ª Travessa Marquês de Baipendi,7nx4
1ª Travessa Mercurio,7nx4m
1ª Travessa Monterey,7nx4m
1ª Travessa Morro do Pilar,7nx
1ª Travessa N S da Penha,7nx4
1ª Travessa N S dos Prazeres,7nx4
1ª Travessa Nelson de Sena,7nx4
1ª Travessa Nova Descoberta,7nx4m
1ª Travessa Nova Esperança,7nx4m
1ª Travessa Onze de Agosto,7nx4
1ª Travessa Otaviano de Almeida Rosa,7nx4
1ª Travessa Pajussara,7nx
1ª Travessa Parnagua,7nx4
1ª Travessa Parque Santa Maria,7nx4
1ª Travessa Pastor Benoby Carvalho de Souza,7nx4m
1ª Travessa Pedro Batista,7nx4m
1ª Travessa Pelópidas Arrouxelas Galvão,7nx4
1ª Travessa Pereira Barreto,7nx4
1ª Travessa Pessegueiros,7nx
1ª Travessa Pico da Neblina,7nx
1ª Travessa Pirizal,7nx4m
1ª Travessa Pita,7nx4m
1ª Travessa Pixinguinha,7nx
1ª Travessa Platina,7nx4m
1ª Travessa Plínio Coelho,7nx4
1ª Travessa Poeta Manuel Bandeira,7nx
1ª Travessa Poloni,7nx4
1ª Travessa Popular,7nx4m
1ª Travessa Presidente Dutra,7nx
1ª Travessa Presidente Kennedy,7nx
1ª Travessa Principe da Beira,7nx
1ª Travessa Prof Simoes Bardosa,7nx
1ª Travessa Professor Joaquim Amazonas,7nx
1ª Travessa Professor Josué de Castro,7nx4
1ª Travessa Professor Pelágio Silveira,7nx4
1ª Travessa Professor Silvio Rabelo,7nx4
1ª Travessa Quatro de Setembro,7nx4
1ª Travessa Randolfo Pinto Ferreira,7nx4
1ª Travessa Realeza,7nx4
1ª Travessa Santa Lúcia,7nx4m
1ª Travessa Santa Maria,7nx
1ª Travessa Santo Antônio,7nx4
1ª Travessa Santo Cristo,7nx4
1ª Travessa Serra da Mantiqueira,7nx
1ª Travessa Sertania,7nx
1ª Travessa Sete de Setembro,7nx
1ª Travessa Severina Santana Pedrosa,7nx4
1ª Travessa Sidrolandia,7nx4
1ª Travessa Sindicato dos Bancários,7nx
1ª Travessa Siriji,7nx4m
1ª Travessa Sodrélia,7nx4m
1ª Travessa Sucupira,7nx4
1ª Travessa Suzano,7nx
1ª Travessa São Gotardo,7nx4
1ª Travessa São José,7nx4 7nx4m
1ª Travessa São João,7nx
1ª Travessa São Lázaro,7nx4
1ª Travessa São Mateus,7nx
1ª Travessa São Miguel,7nx4
1ª Travessa São Pedro,7nx
1ª Travessa Sérgio Bitencourt,7nx
1ª Travessa Sítio das Palmeiras,7nx4
1ª Travessa Taciaba,7nx4
1ª Travessa Tamandaré,7nx4m
1ª Travessa Tenente Roland Rittmister,7nx4
1ª Travessa Teofilo Otoni,7nx
1ª Travessa Tijolos,7nx
1ª Travessa Tres Morros,7nx4
1ª Travessa Tupiracaba,7nx4m
1ª Travessa Ubiratã,7nx4
1ª Travessa Urania,7nx4m
1ª Travessa Urupes,7nx4
1ª Travessa Vanderson Wanderley,7nx4m
1ª Travessa Vasco da Gama,7nx4m
1ª Travessa Verdejante,7nx
1ª Travessa Vereador Otacilio Azevedo,7nx4
1ª Travessa Vereador Sérgio Godoy,7nx
1ª Travessa Vertentes do Lério,7nx4
1ª Travessa Vilas Boas,7nx
1ª Travessa Virgilio Campelo,7nx4
1ª Travessa Visconde de Garrett,7nx4
1ª Travessa Waldemar Reis do Rego,7nx4
1ª Travessa Xavier Sobrinho,7nx4
1ª Travessa carijos,7nx4m
1ª Travessa da Alegria,7nx
1ª Travessa da Aparecida,7nx4
1ª Travessa da Caixa D`Agua,7nx
1ª Travessa da Campinas,7nx4
1ª Travessa da Cordilheira,7nx
1ª Travessa da Estrada dos Pintos,7nx4
1ª Travessa da FASE,7nx
1ª Travessa da Holmes Fontes,7nx4
1ª Travessa da Itapicuru,7nx4m
1ª Travessa da Misericórdia,7nx4m
1ª Travessa da Paz,7nx4
1ª Travessa da Recuperação,7nx4
1ª Travessa das Palmeiras,7nx4
1ª Travessa do Arandu,7nx4m
1ª Travessa do Campo,7nx4
1ª Travessa do Canal,7nx4m
1ª Travessa do Córrego da Calma,7nx4m
1ª Travessa do Jenipapo,7nx4m
1ª Travessa do Lirio,7nx4
1ª Travessa do Mussu,7nx4
1ª Travessa do Olímpio,7nx4m
1ª Travessa dos Bancários,7nx
1ª Travessa dos Prazeres,7nx
1ª Travessa ladeira do bartolomeu,7nx4m
1ª Travessa padre mosca de carvalho,7nx4
1ª Travessa Águia Branca,7nx4m
1º  Beco Delfim,7nx4
1ºTravessa do dende,7nx4m
2 Travessa Cha de Alegria,7nx4m
2 Travessa Felisburgo,7nx4m
2a Travessa Ana Carneiro D`Albuquerque,7nx4
2ª Subida Córrego do Leôncio,7nx4m
2ª Subida Felisburgo,7nx4m
2ª Subida do Boleiro,7nx4m
2ª Subida do Cacimbão,7nx4m
2ª Subida do Comissário,7nx4m
2ª Subida do Coto,7nx4m
2ª Subida do Córrego do Euclides,7nx4m
2ª Travessa Alegria,7nx
2ª Travessa Alto Bom Jesus,7nx4
2ª Travessa Alto José Correia,7nx4m
2ª Travessa Alto da Bela Vista,7nx
2ª Travessa Alto da Bica,7nx4
2ª Travessa Alto da Boa Esperança,7nx4
2ª Travessa Alto da Conquista,7nx4m
2ª Travessa Alto da Telha,7nx4
2ª Travessa Alto do Cruzeiro,7nx4m
2ª Travessa Alto do Paraíso,7nx4
2ª Travessa Alto dos Coqueiros,7nx4m
2ª Travessa Antônio Antão de Carvalho Reis,7nx4
2ª Travessa Antônio Carneiro,7nx4m
2ª Travessa Antônio Correia de Araújo,7nx4
2ª Travessa Antônio Meira,7nx4m
2ª Travessa Antônio Paes Barreto,7nx
2ª Travessa Arnaldo Paes de Andrade,7nx4
2ª Travessa Arnoldo Magalhães,7nx4m
2ª Travessa Atlântica,7nx4
2ª Travessa Belém de Judá,7nx
2ª Travessa Benjamin Torreão,7nx4
2ª Travessa Berlim,7nx4
2ª Travessa Bezinha,7nx4
2ª Travessa Boanerges Pereira,7nx
2ª Travessa Bonifácio de Andrade,7nx4
2ª Travessa Brasilândia,7nx4m
2ª Travessa Cabo Eutrópio,7nx4
2ª Travessa Camboriu,7nx4m
2ª Travessa Cameta,7nx4m
2ª Travessa Camocim,7nx
2ª Travessa Campinas,7nx4
2ª Travessa Campo do Onze,7nx4
2ª Travessa Cantor Tim Maia,7nx
2ª Travessa Caraíba,7nx4
2ª Travessa Chagas Ferreira,7nx4m
2ª Travessa Chapada do Araripe,7nx
2ª Travessa Chiador,7nx4
2ª Travessa Compositor Vinicius de Morais,7nx4m
2ª Travessa Continental,7nx4
2ª Travessa Coroado,7nx4
2ª Travessa Custodia,7nx
2ª Travessa Córrego Santa Terezinha,7nx4
2ª Travessa Córrego São José,7nx4
2ª Travessa Córrego da Bica,7nx4
2ª Travessa Córrego da Calma,7nx4m
2ª Travessa Córrego da Fortuna,7nx4
2ª Travessa Córrego da Telha,7nx4
2ª Travessa Córrego do Curió,7nx4m
2ª Travessa Delfim,7nx4
2ª Travessa Deputado Beroaldo Lopes Maia,7nx
2ª Travessa Desembargador Altino,7nx4
2ª Travessa Desembargador Pedro Ribeiro Malta,7nx
2ª Travessa Desembargador Rodolfo Aureliano,7nx4
2ª Travessa Dinópolis,7nx4m
2ª Travessa Dom Feliciano,7nx4
2ª Travessa Dona Carentina,7nx
2ª Travessa Doutor Antiogenes Chaves,7nx4
2ª Travessa Doze de Julho,7nx
2ª Travessa Dr Elias Gomes,7nx4
