name,ghs
ACESSO AO AEROPORTO,7p1e1
ACESSO HOSPITAL DA POLICIA,7p1e4
ACESSO PARA O ALBERTAO 01,7p1df
ACESSO PARA O ALBERTAO 02,7p1df
ACESSO RODOVIARIA,7p1dfk
ALAMEDA 001 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 002 LOT M DOS MORROS,7p1e7
ALAMEDA 002 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 003 LOT M DOS MORROS,7p1e7
ALAMEDA 003 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 004 LOT M DOS MORROS II,7p1e7
ALAMEDA 004 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 005 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 006 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 007 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA 008 LOT MIRANTE DOS MORROS,7p1e7
ALAMEDA DOMINGOS JORGE VELHO,7p1e3
ALAMEDA DOMINGOS MAFRENSE,7p1e3
ALAMEDA DOS SABIAS,7p1d
ALAMEDA EMBAUBA,7p1e
ALAMEDA FLAMBOYANT,7p1e
ALAMEDA GLICINIA,7p1e
ALAMEDA GREVILLEA,7p1e
ALAMEDA JACARANDA,7p1e
ALAMEDA JOAO ISIDORO FRANCA,7p1e3
ALAMEDA LILAS,7p1e
ALAMEDA PAINERA,7p1e
ALAMEDA PARNAIBA,7p1e1
ALAMEDA PETUNIA,7p1e
ALAMEDA RESEDA,7p1e
ALAMEDA TIPUANA,7p1e
AVENIDA 001 (VIA 01 - PLANO DIRETOR MUNICIPAL),7p1e9
AVENIDA 001 DISTRITO INDUSTRIAL,7p1dd 7p1ddq
AVENIDA 001 LOT  BEIRA RIO,7p1df
AVENIDA 001 LOT NOVA ALEGRIA,7p1dg
AVENIDA 001 LOT P MARIA EDUARDA,7p1d 7p1dd
AVENIDA 001 LOT PORTO ALEGRE,7p1d7
AVENIDA 001 LOT RES POLO SUL,7p1d7
AVENIDA 001 LOTEAMENTO P ALEGRIA VI,7p1d 7p1d7
AVENIDA 001 RESID PLANALTO URUGUAI,7p1e7
AVENIDA 002 D INDUSTRIAL EXPANSAO,7p1dd
AVENIDA 002 LOT GREEN VILLAGE,7p1e5
AVENIDA 002 LOT JARDIM DO MONTE VERDE,7p1e9
AVENIDA 002 LOT JULIO SOARES I,7p1d 7p1dd
AVENIDA 002 LOT NOVA ALEGRIA,7p1d 7p1dg
AVENIDA 002 LOT RES POLO SUL,7p1d7
AVENIDA 002 LOTEAMENTO JACINTA ANDRADE,7p1e9
AVENIDA 003 LOT POLO RES SUL,7p1d7
AVENIDA 003 LOTEAMENTO JACINTA ANDRADE,7p1e9
AVENIDA 003 RESID PARQUE SUL,7p1dd
AVENIDA 006 RES ALEGRIA,7p1d
AVENIDA 006 RESID PARQUE PIAUI,7p1d
AVENIDA 013 LOT PARQUE JACINTA,7p1dd
AVENIDA ABDIAS NEVES,7p1df
AVENIDA AGOSTINHO PINTO,7p1e5
AVENIDA ALCIRA RIBEIRO DE CARVALHO,7p1e5
AVENIDA ALENCAR MATOS,7p1d 7p1dd
AVENIDA ALVINA FERNANDES GAMEIRO,7p1e5
AVENIDA ALZIRA PEDROSA,7p1e4
AVENIDA ANTONINO FREIRE,7p1e1
AVENIDA ANTONIO LUIS FORTES BRITO,7p1e
AVENIDA ANTONIO OLIVEIRA (TOTE),7p1e5
AVENIDA AVIADOR ROSSINE MORADA LUNA,7p1e7
AVENIDA AVIADOR ROSSINI MORADA LUNA,7p1e 7p1e7
