name,ghs
BARIGUI,6gk
BELA VISTA,6gk
BOA VISTA,6gk
BOQUEIRÃO,6gk
BOTIATUVA,6gk
CACHOEIRA,6gk
CAMPESTRE,6gk
CAMPINA DA BARRA,6gk
CAMPINA DAS PEDRAS,6gk
CAMPINA DOS MARTINS,6gk
CAMPO REDONDO,6gk
CAMPO TOMAZ,6gk
CAMUNDÁ,6gk
CAPINZAL,6gk
CAPOEIRA GRANDE,6gk
CENTRO,6gk
CHAPADA,6gk
COLÔNIA MELADO,6gk
COSTEIRA,6gk
ESPIGÃO ALTO,6gk
ESTAÇÃO,6gk
FAXINAL,6gk
FAXINAL DO TANQUE,6gk
FAZENDA VELHA,6gk
FAZENDINHA,6gk
FORMIGUEIRO,6gk
FUNDO DO CAMPO,6gk
GENERAL LÚCIO,6gk
GUAJUVIRA,6gk
GUAJUVIRA DE CIMA,6gk
IGUAÇU,6gk
IPIRANGA,6gk
LAGOA GRANDE,6gk
LAGOA SUJA,6gk
LAVRA,6gk
MATO BRANCO,6gk
MATO DENTRO,6gk
ONÇAS,6gk
PALMITAL,6gk
PASSAÚNA,6gk
PONZAL,6gk
PORTO DAS LARANJEIRAS,6gk
RIO ABAIXINHO,6gk
RIO ABAIXO,6gk
RIO VERDE ABAIXO,6gk
RIO VERDE ACIMA,6gk
ROÇA NOVA,6gk
ROÇA VELHA,6gk
SABIÁ,6gk
SÃO MIGUEL,6gk
SÃO SEBASTIÃO,6gk
TAQUAROVA,6gk
THOMAZ COELHO,6gk
TIETÊ,6gk
TINDIQUERA,6gk
VILA NOVA,6gk
