name,ghs
ALAMEDA BELA VISTA,6gk
ALAMEDA ROSI HISSAM DEHAINI,6gk
AVENIDA 1º DE MAIO,6gk
AVENIDA ALFRED CHARVET,6gk
AVENIDA ARCHELAU DE ALMEIDA TORRES,6gk
AVENIDA BEIRA-RIO,6gk
AVENIDA BRASIL,6gk
AVENIDA CENTENÁRIO,6gk
AVENIDA CENTRAL EMILIO GUNHA,6gk
AVENIDA CEZAR HASSELMANN,6gk
AVENIDA CURITIBA,6gk
AVENIDA DA NATUREZA,6gk
AVENIDA DAS ARAUCÁRIAS,6gk
AVENIDA DAS CEREJEIRAS,6gk
AVENIDA DAS NAÇÕES,6gk
AVENIDA DOS PINHEIRAIS,6gk
AVENIDA DOUTOR VICTOR DO AMARAL,6gk
AVENIDA ELEUTERIO DE SOUZA PADILHA,6gk
AVENIDA INDEPENDÊNCIA,6gk
AVENIDA INDPENDÊNCIA,6gk
AVENIDA MARIA ANTONIETA SALIBA COSTA,6gk
AVENIDA PEDRO EUZÉBIO LEMOS,6gk
AVENIDA PREFEITO ROMUALDO SOBOCINSKI,6gk
AVENIDA SAO CASEMIRO,6gk
CAMINHO DOS TROPEIROS,6gk
PR 421,6gk
PRAÇA ALBERTO MARKOWICZ,6gk
PRAÇA ANTONIO TAGLIAFERRO,6gk
PRAÇA DOUTOR VICENTE MACHADO,6gk
PRAÇA GILBERTO DE OLIVEIRA,6gk
PRAÇA LEOPOLDO TULESKI,6gk
PRAÇA VEREADOR JOSÉ HAIDUK,6gk
RODOVIA BR 476 - RODOVIA DO XISTO,6gk
RODOVIA EUCLIDES GONÇALVES FERREIRA,6gk
RODOVIA PR 423 - RODOVIA RODOVIA ENGENHEIRO ADOLAR SCHULTZE,6gk
RUA 11 DE FEVEREIRO,6gk
RUA 21 DE OUTUBRO,6gk
RUA 7 DE SETEMBRO,6gk
RUA ACIELI BEATRIZ KOBELLARZ,6gk
RUA ACRE,6gk
RUA ADALBERTO CANTELE,6gk
RUA ADALBERTO GAPSKI,6gk
RUA ADEJALME GALVÃO,6gk
RUA ADELAR ANASTÁCIO DE ALMEIDA,6gk
RUA ADELINO BASSO,6gk
RUA ADELINO HITNER,6gk
RUA ADELINO PIRES,6gk
RUA ADILHA SAAD,6gk
RUA ADIMIR FRANCISCO MENDES,6gk
RUA ADRIANO CURY SALIBA COSTA,6gk
RUA ADÃO ANTONIO GONDEK,6gk
RUA ADÃO DIBAS,6gk
RUA ADÃO FILA,6gk
RUA ADÃO SOARES DE OLIVEIRA,6gk
RUA ADÃO WOJCIK,6gk
RUA ADÃO ZORECK,6gk
RUA AFFONSO SOBANIA,6gk
RUA AGENOR BORTOLETO,6gk
RUA AGNISKA BUDZIAK,6gk
RUA AGOSTINHO KAIUT,6gk
RUA AGRIMENSOR CARLOS HASSELMANN,6gk
RUA AGUINELIO PINTO,6gk
RUA ALAGOAS,6gk
RUA ALBARY PIZZATTO FERREIRA,6gk
RUA ALBATROZ,6gk
RUA ALBERTO BUBNIAK,6gk
RUA ALBERTO KARAS,6gk
RUA ALBERTO KMIECIK,6gk
RUA ALBERTO LESNIOWSKI,6gk
RUA ALBERTO RODRIGUES,6gk
RUA ALBERTO SOCZEK,6gk
RUA ALBINO ADELINO HÜTTENER,6gk
RUA ALBINO FERREIRA,6gk
RUA ALBINO KOSIBA,6gk
RUA ALCEU DA SILVA OLIVEIRA,6gk
RUA ALCEU GALIZE,6gk
RUA ALDERICO TALAMINI,6gk
RUA ALDO GABRIEL DIETRICH,6gk
RUA ALEIXO BUDZIAK,6gk
RUA ALEIXO CZELUSNIAK,6gk
RUA ALEIXO GAVLAK,6gk
RUA ALEIXO TRAUCZYSNSKI,6gk
RUA ALEIXO VERNICK,6gk
RUA ALEIXO WOJCIK,6gk
RUA ALEIXO WZOREK,6gk
RUA ALELUIA,6gk
RUA ALEXANDRE BORRAZZO,6gk
RUA ALEXANDRE JAMIL SABBAG,6gk
RUA ALEXANDRE MIKOSZ,6gk
RUA ALEXANDRE VIDOLIN,6gk
RUA ALEXANDRE WISOCKI,6gk
RUA ALFREDO MATTIOLI,6gk
RUA ALFREDO RODRIGUES,6gk
RUA ALFREDO VOSS,6gk
RUA ALICIO MACHADO BORBA,6gk
RUA ALOISIO LIS,6gk
RUA AMAPÁ,6gk
RUA AMARÍLIS,6gk
RUA AMAURI ROGERIO PADILHA,6gk
RUA AMAZONAS,6gk
RUA AMOR - PERFEITO,6gk
RUA AMÉLIA WASIELEWSKI DEMOCHOSKI,6gk
RUA ANA DRANKA DRUSZCZ,6gk
RUA ANA MARIA MACHADO,6gk
RUA ANA SALIBA NASSAR,6gk
RUA ANA SCHAIKOSKI,6gk
RUA ANACÃ,6gk
RUA ANASTÁCIA GAWLETA DROBZENSKI,6gk
RUA ANASTÁCIO FLIZIKOWSKI,6gk
RUA ANDORINHA,6gk
RUA ANDRÉ BILNOSKI,6gk
RUA ANDRÉ EMMANUEL DESCHREVEL,6gk
RUA ANDRÉ MOLL,6gk
RUA ANDRÉ SEIKA,6gk
RUA ANDRÉ SKRABA,6gk
RUA ANDRÉ TERNOSKI,6gk
RUA ANDRÉ WOJCIK,6gk
RUA ANGELA MARIA FERREIRA DA CRUZ,6gk
RUA ANGELO PERINI,6gk
RUA ANSELMO ANTÔNIO NEGRELLE,6gk
RUA ANTONIO BRUNATTO ASSEF,6gk
RUA ANTONIO CANTADOR,6gk
RUA ANTONIO CIONEK,6gk
RUA ANTONIO CZARNIK,6gk
RUA ANTONIO FILA,6gk
RUA ANTONIO FRANÇA,6gk
RUA ANTONIO FURMAN,6gk
RUA ANTONIO GOMES DE LIMA,6gk
RUA ANTONIO GONÇALVES DOS SANTOS,6gk
RUA ANTONIO KUJAWA,6gk
RUA ANTONIO LASKAWSKI,6gk
RUA ANTONIO MACHADO SKURA,6gk
RUA ANTONIO MACHNIEVICZ,6gk
RUA ANTONIO MARSZALEK,6gk
RUA ANTONIO MIKOSZ,6gk
RUA ANTONIO MOSSOM,6gk
RUA ANTONIO PANNEK,6gk
RUA ANTONIO PEREIRA BASTOS,6gk
RUA ANTONIO PINHO RIBAS,6gk
RUA ANTONIO RIBEIRO DOS SANTOS,6gk
RUA ANTONIO SOCZEK,6gk
RUA ANTONIO WYKROTA,6gk
RUA ANTÔNIO ALVES PINTO,6gk
RUA ANTÔNIO BRUNATTO,6gk
RUA ANTÔNIO CÂNDIDO NASCIMENTO,6gk
RUA ANTÔNIO FERREIRA PADILHA,6gk
RUA ANTÔNIO GOBOR,6gk
RUA ANTÔNIO GONDEK,6gk
RUA ANTÔNIO KRUPA,6gk
RUA ANTÔNIO MAJOR,6gk
RUA ANTÔNIO MENDES,6gk
RUA ANTÚRIO,6gk
RUA ANÁLIA GOMES MERHY,6gk
RUA APHONSO JOÃO PERRETTO,6gk
RUA APUCARANA,6gk
RUA ARAPONGAS,6gk
RUA ARARA,6gk
RUA ARCIONE CANTADOR GRABOWSKI,6gk
RUA ARISTIDES FERREIRA,6gk
RUA ARISTIDES HITNER,6gk
RUA ARISTÓTELES BUSQUETE,6gk
