name,ghs
1 DE MAIO,6g9cz
13 DE MAIO,6g9c 6g9fp 6gd40
14 BIS,6g9c
14 DE NOVEMBRO,6g9cz
21 DE ABRIL - JUVINOPOLIS,6gd
25 DE AGOSTO,6g9cz 6g9fp
3 PODERES,6gd
7 DE SETEMBRO - CASCAVEL,6g9cz 6g9fp
7 DE SETEMBRO - DISTR. RIO DO SALTO,6gd
8 DE MAIO,6g9cz
ABACATEIRO,6gd40
ABAETE,6gd40
ABEL AUGUSTO DE SOUZA,6g9fp
ABELLE MOYSES SOMENSI,6gd
ACACIA,6g9f
ACACIA-DISTR SÃO JOÃO D´ OESTE,6gd
ACADEMIA,6g9cz 6gd
ACADEMIA DAS VEREDAS,6gd
ACELINO DE ALMEIDA,6gd 6gd40
ACQUILINO MASSOCHIN,6g9fp
ACRE,6g9fp
ADAUTO FERREIRA,6gd
ADELAIDE BUENO DA CRUZ,6gd4 6gd40
ADELIA PASINATO,6g9cz
ADELINO ANDRE CATTANI,6g9cz
ADELINO CAMPAGNOLO,6g9cz
ADEMAR DE BARROS,6gd40
ADEVINO LUIZ DE OLIVEIRA,6g9c
ADILIO CANEPPELE,6g9fp
ADMINISTRACAO,6g9cz
ADOLFO CORTESE,6gd4
ADOLFO GARCIA,6g9fp 6gd4 6gd40
ADONIRAN BARBOSA,6gd40 6gd40m
ADÉLIA LOCATELLI,6g9cz
AFFONSO JOSE MARTINS,6gd4
AFONSO MIOTTO,6g9c
AFONSO PENA,6g9fp
AFRICA,6gd40
AGATA,6g9c
AGENOR DE MELLO,6gd4
AGENOR DIDONI SOUTO,6g9fp
AGENOR MIOTTO,6gd
AGIBE ROSALINO VIVAN - SEDE ALVORADA,6g9f
AGOSTINHO DOS SANTOS,6gd40 6gd40m
AGRO-INDUSTRIAS DAS.,6gd
AGRONOMIA,6g9cz
AGUA MARINHA,6g9c
AILTON PINHEIRO DE SOUZA,6g9fp
AIMORES,6g9c
ALAMEDA CASCATINHA,6g9cz
ALAMO,6g9f
ALBA VIEIRA,6gd 6gd40
ALBANY,6g9c
ALBERI ANTONIO RICHARDI,6g9fp
ALBERT EINSTEIN,6gd4
ALBERTA,6g9cz
ALBERTO ABEGG - SEDE ALVORADA,6g9f
ALBERTO MOLLMANN - SEDE ALVORADA,6g9f
ALBINO JOSE ZANATA,6gd40
ALCEBIADES G. DOMINGUES,6g9f
ALCIDES AMADEU MEASSI,6g9c
ALCIDES DA COSTA RIBEIRO,6g9c
ALCIDES PAESE,6gd40 6gd40m
ALCIR DA MOTTA,6g9fp
ALDEMAR ANGELO BEUX,6g9cz
ALDUINO MACHADO,6g9c
ALEGRETE,6g9fp
ALEGRIA,6g9f
ALEMANHA,6gd
ALEXANDRE DE GUSMAO,6g9cz
ALEXANDRE MULLER,6g9fp
ALFENEIRO,6g9f
ALFEO VIERO,6g9fp
ALFONSO DE PRA,6g9cz
ALFREDO ANDERSEN,6g9fp
ALFREDO DALMINA,6g9fp 6gd40
ALIPIO DE SOUZA LEAL,6g9c
ALIRIO CARVALHO,6g9fp
ALLAN BRAME PINHO,6g9f 6g9fp
ALMA HENNIG ZANETTI,6g9cz
ALOIS BARTNIK,6g9fp
ALTEMAR DUTRA,6gd40 6gd40m
ALTEMAR DUTRA LESTE,6gd40
ALTERIO SORDI,6gd
ALUISIO DE AZEVEDO,6g9c 6g9f
ALVARO PALMA,6g9f
ALVORADA,6g9fp 6gd40
AMADEO CARLESSO,6gd40
AMANA,6g9f
AMAPA,6gd40
AMARELA,6gd40 6gd40m
AMARILDO PASSOS,6g9f
AMAZONAS,6g9fp
AMAZONIA,6g9f
AMBAR,6g9c
AMELIA MELO GOMES,6g9fp
AMETISTA,6g9c
ANACONDA,6g9cz
ANDALUCIA,6g9f
ANDERSTORP,6g9f
ANDRE DE BARROS,6g9cz
ANDREA GALAFASSI,6g9cz
ANGELA ZANATTA,6g9fp
ANGELICA,6gd40
ANGELIM,6g9f
ANGELO CHIAMULERA,6g9cz
ANGELO COVATTI,6g9fp
ANGELO FANHANE,6gd40
ANGELO GODOY,6g9c
ANGELO MECABO,6g9c
ANGELO PASSIAN,6g9fp
ANGELO SALVATTI,6gd
ANGELO SBARDELA,6gd
ANGELO ZONIN,6gd
ANIBAL CURI,6g9f
ANIBAL DOS SANTOS MATIAS,6gd
ANIBAL LOPES DA SILVA,6g9cz
ANIBELI GALINA,6g9cz
ANITA GARIBALDI,6g9cz
ANITA MALFATTI,6g9fp
ANIZIO BATISTA,6gd
ANTONIA ROTTA RIBEIRO,6g9c
ANTONINA,6g9fp 6gd40
ANTONIO ALFREDO DE FREITAS,6g9fp
ANTONIO ALVES MASSANEIRO,6g9fp
ANTONIO CARLOS KRAIDE,6gd40
ANTONIO CORRADI,6g9fp
ANTONIO DAMIAN,6g9fp
ANTONIO EDUARDO,6g9cz
ANTONIO ENGREMONN,6gd40
ANTONIO FERREIRA DA SILVA,6g9fp
ANTONIO FOLADOR,6gd
ANTONIO FRANCISCAO NETO,6gd40
ANTONIO JOSE ELIAS,6g9f
ANTONIO JOSE SCHERER - SEDE ALVORADA,6g9f
ANTONIO KUCINSKI,6g9f
ANTONIO LAZARO DE REZENDE,6g9fp
ANTONIO LEIVAS,6g9cz
ANTONIO LUCAS DE CASTILHO,6g9cz
ANTONIO MASSARO,6gd
ANTONIO MATTEI,6g9fp
ANTONIO PADOVANI,6gd4 6gd40 6gd40r
ANTONIO PERTILE,6g9f
ANTONIO PEXE,6gd4 6gd40
ANTONIO SARTORI,6gd40
ANTONIO VICTOR,6g9cz
APALAIS,6g9c 6g9f
APARECIDA BRAME PINHO,6g9cz
APARECIDA DO NORTE,6g9c 6g9cz
APARECIDA DOS PORTOS,6g9c 6g9cz
APARICIO DOMINGUES SILVA,6g9c
APINAJES,6g9f
APOLONIA VEDANA,6gd4 6gd40
APUCARANA,6gd40
AQUILINO ZATTI,6g9cz
ARACA,6g9f
ARACY TANAKA BIAZETTO,6g9c 6g9cz 6gd
ARAMIS ATHAYDE,6gd40
ARAPONGAS,6gd4
ARARA AZUL,6gd4
ARARAJUBA,6gd40
ARARAQUARA,6gd40
ARAUCARIA,6g9f 6gd40
ARAUCARIA - DISTR. SÃO JOÃO D´ OESTE,6gd
ARCIMEDES PREDEBON,6g9fp
ARCO IRIS,6g9cz 6gd40m
ARGEMIRO HIRT,6g9c
ARGEMIRO SFREDO,6g9fp
ARI BARROSO,6gd40
ARISTOTELES,6gd4 6gd40
ARLINDO OSCAR CARELLI,6g9fp
ARMANDO BUSATO,6g9cz
ARMANDO DALGALO,6gd40
ARMANDO ZANATA,6gd40
ARNALDO ESTRELA,6gd40
ARNO BAUTITZ,6g9fp
AROEIRA,6g9f
ARQUITETURA,6g9cz
ARTILHARIA,6g9fp
ARTUR NISIO,6g9fp
ARTUR SCHNEIDER -SEDE ALVORADA,6g9f
ASCOLE,6g9f
ASIA,6gd40
ASSAI,6g9c 6g9f
ASSIS BRASIL,6gd40
ASSUNCAO,6g9c 6g9cz 6g9fp
ASSUNTA BONATTO,6g9fp
ATALIBA GOMES DA SILVA,6gd
ATAULFO ALVES,6gd40
AUGUSTO DUDEZAK,6g9cz
AUGUSTO GOMES DE OLIVEIRA,6g9c 6g9cz
AURORA,6g9cz
AURORA DA COSTA RIBEIRO,6g9fp
AURORA DE MORAES SILVERIO,6g9f
AURORA MARQUESOTTI DOS SANTOS,6gd40
AUSTRIA,6gd
AVAETES,6g9c
AVENIDA DAS CHACARAS,6g9c 6g9cz 6gd 6gd4
AVENTURINA,6g9c
AVESTRUZ,6gd4
AYRTON GERSON DE CAMARGO,6gd40
AZUL,6gd40 6gd40m
BAGE,6g9fp
BAHIA,6gd40
BAIA FORMOSA,6gd4
BALDUINO JOAO BELLE,6g9cz
BALDUINO OLDONI,6gd4 6gd40
BALEIA AZUL,6gd40
BALNEARIO CAMBORIU,6gd4
BALZAK,6gd40
BARAO DO CERRO AZUL,6g9cz 6g9fp
BARAO DO RIO BRANCO,6g9f 6g9fp
BARAWANAS,6g9c 6g9f
BARRA BONITA,6g9fp 6gd40
BARRA VELHA,6gd4
BARTOLOMEU DE GUSMAO,6gd40
BAVINIA,6g9f
BEATRIZ SCOTT ROTTA,6g9f 6g9fp
BECO DA SAUDADE- JUVINOPOLIS,6gd
BEIJA FLOR,6gd4
BEIRA RIO,6g9f
BELA,6g9cz
BELA VISTA,6gd40
BELAS ARTES,6g9cz
BELEM,6g9fp
BELIAMINO JULIO MIOTTO,6gd
BELO HORIZONTE - CASCAVEL,6g9c 6g9cz 6g9f
BELO HORIZONTE - DIST JUVINOPOLIS,6gd
BENEDITA SOARES,6gd4 6gd40
BENJAMIM CONSTANT,6g9cz
BENJAMIN CHEMELLO,6g9cz
BENNO LOCH - SEDE ALVORADA,6g9f
BENTEVI,6gd40 6gd40r
BENTO DOS SANTOS BORETO,6g9cz
BENTO GONCALVES,6g9cz
BENTO MUSSURUNGA,6gd40m
BENTO TOLENTINO,6gd40
BERLIN,6gd
BERNARDO SARTORETTO,6gd40
BERTHA F. BARTNIK,6g9fp
BETULA,6g9f
BLUMENAU,6g9cz
BOA ESPERANCA,6gd
BOA VIAGEM,6gd4
BOA VISTA,6g9c
BOA VISTINHA,6gd40
BOA VONTADE,6g9fp
BOCAINA,6gd40
BOCAIUVA DO SUL,6g9fp
BOLIVIA,6gd
BOLOGNA,6g9f
BOM JESUS,6g9cz 6g9fp 6gd40
BOM PRINCIPIO,6g9fp
BONFILIO MIOLLA,6g9cz
BORBA GATO,6g9fp
BORIM,6g9cz
BOROROS,6g9c 6g9f
BR -163,6g9f
BRASIL,6g9f 6g9fp 6gd 6gd40
BRASILIA - CASCAVEL,6gd 6gd40
BRASILIA - DIST RIO DO SALTO,6gd
BRILHANTE,6g9c
BRUNA COSTA,6gd40
BRUSQUE,6g9c 6g9f
BUENOS AIRES,6gd40
