name,ghs
ALM ALAMEDA CASCATINHA,6g
AV AMAZONIA,6g
AV ANTONIO KUCINSKI,6g
AV ARACY TANAKA BIAZETTO,6g 6gd
AV ASSUNCAO,6g
AV BARAO DO RIO BRANCO,6g
AV BRASIL,6g
AV CARDEAL,6gd
AV CASCAVEL,6g
AV COMIL,6gd
AV CORBELIA,6gd
AV DA FAG,6g
AV DAS AMERICAS,6gd
AV DAS PALMEIRAS - DISTR SÃO JOÃO D'OESTE,6gd
AV DAS POMBAS,6gd
AV DOUTOR EZUEL PORTES,6g 6gd
AV ERNESTO CAETANO LIBERALI - DISTRITO DE RIO DO SALTO,6gd
AV EXPRESSO NORTE,6gd
AV GRALHA AZUL,6g
AV GUAIRA,6g
AV HARPIA,6gd
AV INTERLAGOS,6g
AV ISIDORO MARQUES,6g
AV JOSE CARLOS MUFFATO,6g
AV LUIZ DE CAMOES,6gd
AV LUIZ LIBERALI - RIO DO SALTO,6gd
AV MARGINAL DA BR 467 - LADO NORTE,6g 6gd
AV MARGINAL DA BR 467 - LADO SUL,6gd
AV PADRE PEDRO CANISIO HENZ,6g
AV PAPAGAIOS,6gd
AV PINTASSILGO,6gd
AV PIQUIRI,6g
AV POENTE DO SOL,6g
AV RENATO FESTUGATO,6gd
AV ROCHA POMBO,6gd
AV SABIA,6gd
AV SANTA MARIA,6gd
AV SÃO JOAO - DISTRITO DE SÃO JOÃO D'OESTE,6gd
AV TITO MUFFATO,6g
AV TOLEDO,6g
AV TREVISO,6g
AV UIRAPURU,6gd
EST ESTRADA DA PEDREIRA,6g
EST ESTRADA DO TERMAS - EMP-106,6gd
EST ESTRADA FERROESTE - EMP-106,6gd
EST ESTRADA RAFAEL FAVARIN - EMS,6gd
EST ITELO WEBBER,6g
EST TESTE,6gd
PR 486,6g
ROD PR 180,6gd
ROD RODOVIA PR 180,6gd
RUA 1 DE MAIO,6g
RUA 13 DE MAIO,6g
RUA 14 BIS,6g
RUA 14 DE NOVEMBRO,6g
RUA 21 DE ABRIL - JK,6gd
RUA 21 DE ABRIL - JUVINOPOLIS,6gd
RUA 25 DE AGOSTO,6g
RUA 3 PODERES,6gd
RUA 7 DE SETEMBRO - CASCAVEL,6g
RUA 7 DE SETEMBRO - DISTR. RIO DO SALTO,6gd
RUA 8 DE MAIO,6g
RUA ABACATEIRO,6gd
RUA ABAETE,6gd
RUA ABEL AUGUSTO DE SOUZA,6g
RUA ABELLE MOYSES SOMENSI,6gd
RUA ACACIA,6g
RUA ACACIA-DISTR SÃO JOÃO D´ OESTE,6gd
RUA ACADEMIA,6g
RUA ACADEMIA DAS VEREDAS,6gd
RUA ACELINO DE ALMEIDA,6gd
RUA ACQUILINO MASSOCHIN,6g
RUA ACRE,6g
RUA ADAUTO FERREIRA,6gd
RUA ADELAIDE BUENO DA CRUZ,6gd
RUA ADELIA PASINATO,6g
RUA ADELINO ANDRE CATTANI,6g
RUA ADELINO CAMPAGNOLO,6g
RUA ADEMAR DE BARROS,6gd
RUA ADEVINO LUIZ DE OLIVEIRA,6g
RUA ADILIO CANEPPELE,6g
RUA ADMINISTRACAO,6g
RUA ADOLFO CORTESE,6gd
RUA ADOLFO GARCIA,6g 6gd
RUA ADONIRAN BARBOSA,6gd
RUA ADÉLIA LOCATELLI,6g
RUA AFFONSO JOSE MARTINS,6gd
RUA AFONSO MIOTTO,6g
RUA AFONSO PENA,6g
RUA AFRICA,6gd
RUA AGATA,6g
RUA AGENOR DE MELLO,6gd
RUA AGENOR DIDONI SOUTO,6g
RUA AGENOR MIOTTO,6gd
RUA AGIBE ROSALINO VIVAN - SEDE ALVORADA,6g
RUA AGOSTINHO DOS SANTOS,6gd
RUA AGRO-INDUSTRIAS DAS.,6gd
RUA AGRONOMIA,6g
RUA AGUA MARINHA,6g
RUA AILTON PINHEIRO DE SOUZA,6g
RUA AIMORES,6g
RUA ALAMO,6g
RUA ALBA VIEIRA,6gd
RUA ALBANY,6g
RUA ALBERI ANTONIO RICHARDI,6g
RUA ALBERT EINSTEIN,6gd
RUA ALBERTA,6g
RUA ALBERTO ABEGG - SEDE ALVORADA,6g
RUA ALBERTO MOLLMANN - SEDE ALVORADA,6g
RUA ALBINO JOSE ZANATA,6gd
RUA ALCEBIADES G. DOMINGUES,6g
RUA ALCIDES AMADEU MEASSI,6g
RUA ALCIDES DA COSTA RIBEIRO,6g
RUA ALCIDES PAESE,6gd
RUA ALCIR DA MOTTA,6g
RUA ALDEMAR ANGELO BEUX,6g
RUA ALDUINO MACHADO,6g
RUA ALEGRETE,6g
RUA ALEGRIA,6g
RUA ALEMANHA,6gd
RUA ALEXANDRE DE GUSMAO,6g
RUA ALEXANDRE MULLER,6g
RUA ALFENEIRO,6g
RUA ALFEO VIERO,6g
RUA ALFONSO DE PRA,6g
RUA ALFREDO DALMINA,6gd
RUA ALIPIO DE SOUZA LEAL,6g
RUA ALIRIO CARVALHO,6g
RUA ALLAN BRAME PINHO,6g
RUA ALMA HENNIG ZANETTI,6g
RUA ALOIS BARTNIK,6g
RUA ALTEMAR DUTRA,6gd
RUA ALTEMAR DUTRA LESTE,6gd
RUA ALTERIO SORDI,6gd
RUA ALUISIO DE AZEVEDO,6g
RUA ALVARO PALMA,6g
RUA ALVORADA,6gd
RUA AMADEO CARLESSO,6gd
RUA AMANA,6g
RUA AMAPA,6gd
RUA AMARELA,6gd
RUA AMARILDO PASSOS,6g
RUA AMAZONAS,6g
RUA AMELIA MELO GOMES,6g
RUA AMETISTA,6g
RUA AMOREIRA,6gd
RUA ANACONDA,6g
RUA ANDALUCIA,6g
RUA ANDERSON AVELINO PELEGRINI,6g
RUA ANDERSTORP,6g
RUA ANDRE DE BARROS,6g
RUA ANDREA GALAFASSI,6g
RUA ANGELA ZANATTA,6g
RUA ANGELICA,6gd
RUA ANGELIM,6g
RUA ANGELO CHIAMULERA,6g
RUA ANGELO COVATTI,6g
RUA ANGELO FANHANE,6gd
RUA ANGELO GODOY,6g
RUA ANGELO MECABO,6g
RUA ANGELO PASSIAN,6g
RUA ANGELO SALVATTI,6gd
RUA ANGELO SBARDELA,6gd
RUA ANGELO ZONIN,6gd
RUA ANGICO,6g
RUA ANIBAL CURI,6g
RUA ANIBAL DOS SANTOS MATIAS,6gd
RUA ANIBAL LOPES DA SILVA,6g
RUA ANIBELI GALINA,6g
RUA ANITA GARIBALDI,6g
RUA ANITA MALFATTI,6g
RUA ANIZIO BATISTA,6gd
RUA ANTONIA ROTTA RIBEIRO,6g
RUA ANTONINA,6g
RUA ANTONIO ALFREDO DE FREITAS,6g
RUA ANTONIO ALVES MASSANEIRO,6g
RUA ANTONIO CARLOS KRAIDE,6gd
RUA ANTONIO CORRADI,6g
RUA ANTONIO DAMIAN,6g
RUA ANTONIO EDUARDO,6g
RUA ANTONIO ENGREMONN,6gd
RUA ANTONIO FERREIRA DA SILVA,6g
RUA ANTONIO FOLADOR,6gd
