name,ghs
"ALAMEDA AGAPANTOS,DOS",6gg
"ALAMEDA ALFAZEMAS,DAS",6gg
"ALAMEDA ALPÍNEAS, DAS",6gg
"ALAMEDA AMARÍLIS,DAS",6gg
ALAMEDA AMOR PERFEITO,6gg
"ALAMEDA AROEIRAS,DAS",6gg
"ALAMEDA BEGÔNIAS,DAS",6gg
ALAMEDA BELA EMÍLIA,6gg
ALAMEDA BORDA DA MATA,6gg
ALAMEDA BOSQUE FLORIDO,6gg
"ALAMEDA BROMÉLIAS,DAS",6gg
"ALAMEDA CALLIANDRAS,DAS",6gg
"ALAMEDA CAROBÁS,DOS",6gg
"ALAMEDA CLÍVIAS,DAS",6gg
"ALAMEDA CLÚSIAS, DAS",6gg
"ALAMEDA CRINOS,DOS",6gg
ALAMEDA CURRUÍRA,6gg
ALAMEDA EM FLOR,6gg
"ALAMEDA GIRASSÓIS,DOS",6gg
"ALAMEDA GÉRBERAS,DAS",6gg
ALAMEDA JOSÉ MENEGUETTI,6g
"ALAMEDA JOÃO PAULINO,DOUTOR",6gg4f 6gg4fe
"ALAMEDA LANTANAS,DAS",6gg
"ALAMEDA LAVANDAS,DAS",6gg
ALAMEDA MACUCO,6gg
"ALAMEDA MADRESSILVAS,DAS",6gg
ALAMEDA NEY AMINTHAS DE BARROS BRAGA,6gg4f 6gg4fe
ALAMEDA PASSAREDO,6gg
ALAMEDA PERIQUITO,6gg
ALAMEDA PICA-PAU,6gg
"ALAMEDA PLÁTANOS,DOS",6gg
"ALAMEDA PRÍMULAS,DAS",6gg
"ALAMEDA QUARESMEIRAS,DAS",6gg
"ALAMEDA SUINÃS,DOS",6gg
"ALAMEDA TUIAS,DAS",6gg
"ALAMEDA ÉRICAS,DAS",6gg
"ANEL VIARIO SINCLER SAMBATTI,PREFEITO",6gg4 6gg4d
ANEL VIARIO VIRGÍLIO MANÍLIA,6gg4
AVENIDA 07 DE SETEMBRO,6gg4g
AVENIDA 19 DE DEZEMBRO,6gg4c
AVENIDA 34.018,6g
AVENIDA 61.036,6gg4
"AVENIDA ABEGAIR CORINA DOS SANTOS,PROFESSORA",6gg4g
"AVENIDA ALBERTO MILAGRES,COMENDADOR",6gg4
AVENIDA ALCEBÍADES DE PAULA NETO,6gg
"AVENIDA ALEXANDRE RASGULAEFF,DOUTOR",6gg4c 6gg4f 6gg4fe
AVENIDA ALGEMIRA FORCELLI CAMACHO,6gg4
AVENIDA ALZIRO ZARUR,6gg4c
"AVENIDA ALÍCIO ARANTES CAMPOLINA,PIONEIRO",6gg4c 6gg4f
AVENIDA AMBRÓSIO BULLA,6gg4 6gg4g
"AVENIDA AMORIM PEDROSA MOLEIRINHO, COMENDADOR",6gg4d
AVENIDA AMÉRICO BELAY,6gg 6gg4f
AVENIDA ANCHIETA,6gg4d
AVENIDA ANDERSON JOSÉ MAINARDES,6gg4
"AVENIDA ANDRADAS,DOS",6gg4
"AVENIDA ANTONIO BORTOLOTTO,VEREADOR",6g
"AVENIDA ANTONIO RUIZ SALDANHA,PIONEIRO",6gg4
"AVENIDA ANTÔNIO FERNANDES MACIEL,PIONEIRO",6gg4 6gg4d
"AVENIDA ANTÔNIO FRANCO DE MORAIS,PIONEIRO",6gg 6gg4c 6gg4cw
AVENIDA ANTÔNIO SANTIAGO GUALDA,6g
"AVENIDA BENTO MUNHOZ DA ROCHA NETTO,GOVERNADOR",6gg4f
"AVENIDA BENTO RODRIGUES LEITE,EXPEDICIONÁRIO",6gg4g
AVENIDA BERTIOGA,6gg4f
AVENIDA BRASIL,6gg4 6gg4c 6gg4d 6gg4f
AVENIDA CARLOS CORREIA BORGES,6gg4
AVENIDA CARLOS GOMES,6gg4
AVENIDA CARMEM MIRANDA,6gg4 6gg4d
AVENIDA CARNEIRO LEÃO,6gg4c
AVENIDA CENTENÁRIO,6gg4d
AVENIDA CERRO AZUL,6gg4d
AVENIDA CIDADE DE LEIRIA,6gg4 6gg4c
AVENIDA CLAUS PAUL THONERN,6gg4
AVENIDA COLOMBO,6gg4c 6gg4d 6gg4f
AVENIDA CONSTÂNCIO PEREIRA DIAS,6gg4
AVENIDA CURITIBA,6gg4 6gg4c
AVENIDA DANIEL SILVAN TEIXEIRA COELHO,6gg4
"AVENIDA DEVIGE CREPALDI SCHIAVONI,PIONEIRA",6gg
AVENIDA DOM MANOEL DA SILVEIRA D'ELBOUX,6gg4
AVENIDA DUQUE DE CAXIAS,6gg4d 6gg4f
AVENIDA DUÍLIO VISENTAINER,6g
AVENIDA EUCLIDES DA CUNHA,6gg4
"AVENIDA EUNICE CONTI, PIONEIRA",6gg4
"AVENIDA FERRARI JÚNIOR,DEPUTADO ESTADUAL",6gg4
"AVENIDA FRANCISCO FERREIRA DE MIRANDA,PIONEIRO",6gg4 6gg4d
AVENIDA FRANCISCO SEBRIAN MADRID,6gg4d
AVENIDA FRANKLIN DELANO ROOSEVELT,6gg4f 6gg4g
AVENIDA FREI AMBRÓSIO,6g
"AVENIDA GASTÃO VIDIGAL,DOUTOR",6gg4d
AVENIDA GETÚLIO VARGAS,6gg4d 6gg4f
"AVENIDA GREVÍLEAS,DAS",6gg4f 6gg4fp
AVENIDA GUAIAPÓ,6gg4f 6gg4g
AVENIDA GUAÍRA,6gg4c
AVENIDA GUEDNER,6gg4d
AVENIDA HARRY PROCHET,6gg4 6gg4c
"AVENIDA HENRIQUE BULA,PIONEIRO",6gg4d
AVENIDA HERVAL,6gg4d 6gg4f
"AVENIDA HORÁCIO RACCANELLO FILHO,ADVOGADO",6gg4 6gg4c 6gg4d 6gg4f
AVENIDA HUMAITÁ,6gg4
AVENIDA INDEPENDÊNCIA,6gg4
"AVENIDA INDÚSTRIAS,DAS",6gg4 6gg4g
AVENIDA ITORORÓ,6gg4 6gg4d
AVENIDA JINROKU KUBOTA,6gg4f 6gg4g
AVENIDA JOAQUIM DUARTE MOLEIRINHO,6gg4 6gg4d
"AVENIDA JOSÉ ALVES DOS SANTOS,DEPUTADO",6gg4c
AVENIDA JOSÉ ALVES NENDO,6gg4 6gg4d
AVENIDA JOSÉ EUSTATIOS KOTSIFAS,6gg4
"AVENIDA JOSÉ FABIANO GIL, PIONEIRO",6g
AVENIDA JOSÉ FERNANDES LEONARDO,6gg4
AVENIDA JOSÉ MARCHI,6gg4
AVENIDA JOSÉ OSWALDO MAIA,6gg4
AVENIDA JOVITA SANTANA LIMA,6gg
"AVENIDA JOÃO BATISTA SANCHES,VEREADOR",6gg4
AVENIDA JOÃO JOSÉ DE OLIVEIRA,6gg
AVENIDA JOÃO PAULINO VIEIRA FILHO,6gg4f
"AVENIDA JOÃO PEREIRA,PIONEIRO",6gg4c 6gg4cw
AVENIDA JULIETA DOS SANTOS PARDIDNI,6gg4
AVENIDA JULIO LIMONTA,6gg4
"AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,PRESIDENTE",6gg4d
AVENIDA JUVÊNCIO BARBOSA SILVEIRA,6gg4 6gg4c
AVENIDA KAKOGAWA,6gg 6gg4f 6gg4fn 6gg4fp
AVENIDA LAGUNA,6gg4d 6gg4f
AVENIDA LONDRINA,6gg4d
AVENIDA LUCÍLIO DE HELD,6gg4f 6gg4fe
"AVENIDA LUIZ GAVIOLI,PIONEIRO",6gg4g
"AVENIDA LUIZ TEIXEIRA MENDES,DOUTOR",6gg4
AVENIDA MANDACARU,6gg 6gg4c 6gg4cw
AVENIDA MARCELO MESSIAS BUSÍQUIA,6gg4
"AVENIDA MARIA GASPAR PEDROSA MOLEIRINHO,DONA",6gg4d
AVENIDA MASSAYUKI SEKO,6gg
"AVENIDA MAURÍCIO MARIANI,PIONEIRO",6gg4
AVENIDA MAUÁ,6gg4d 6gg4f
AVENIDA MELVIM JONES,6gg4 6gg4c
AVENIDA MIGUEL TRANJAN NETO,6gg4
AVENIDA MONTEIRO LOBATO,6gg4d
AVENIDA MORANGUEIRA,6gg4f
"AVENIDA MÁRIO CLAPPIÉR URBINATTI,DOUTOR",6gg4c 6gg4f
AVENIDA NAIHMA NAME,6gg4c
"AVENIDA NILDO RIBEIRO DA ROCHA,ARQUITETO",6gg4 6gg4d
AVENIDA NILSO BERTONI,6gg4
AVENIDA NÓBREGA,6gg4
AVENIDA OSIRIS STENGHEL GUIMARÃES,6gg4d 6gg4f 6gg4g
AVENIDA PAISSANDU,6gg4d
"AVENIDA PALMARES,DOS",6gg4 6gg4g
"AVENIDA PALMEIRAS,DAS",6gg4c 6gg4fp
AVENIDA PAPA JOÃO XXIII,6gg4d
AVENIDA PARANAVAÍ,6gg4 6gg4c
AVENIDA PARANÁ,6gg4 6gg4c 6gg4d 6gg4f
"AVENIDA PARIGOT DE SOUZA,GOVERNADOR",6gg4 6gg4c
AVENIDA PEDRO TAQUES,6gg 6gg4f 6gg4fe 6gg4fy
"AVENIDA PETRÔNIO PORTELA,SENADOR",6gg4d
AVENIDA PINGUIM,6gg4
AVENIDA PINTASSILGO,6gg4c
AVENIDA PRUDENTE DE MORAES,6gg4f
AVENIDA RANULFO RODRIGUES DA MOTA,6gg4c 6gg4f
