name,ghs
BAIRRO AEROPORTO,6g6
BAIRRO ALTO DA GLORIA,6g6
BAIRRO ALVORADA,6g6
BAIRRO AMADORI,6g6
BAIRRO ANCHIETA,6g6
BAIRRO BAIXADA,6g6
BAIRRO BANCARIOS,6g6
BAIRRO BELA VISTA,6g6
BAIRRO BONATO,6g6
BAIRRO BORTOT,6g6
BAIRRO BRASILIA,6g6
BAIRRO CADORIN,6g6
BAIRRO CRISTO REI,6g6
BAIRRO DAL ROSS,6g6
BAIRRO FRAROM,6g6
BAIRRO GRALHA AZUL,6g6
BAIRRO INDUSTRIAL,6g6
BAIRRO JARDIM FLORESTA,6g6
BAIRRO JARDIM PRIMAVERA,6g6
BAIRRO LA SALLE,6g6
BAIRRO MENIDO DEUS,6g6
BAIRRO MORUMBI,6g6
BAIRRO NOVO HORIZONTE,6g6
BAIRRO PAGNONCELLI,6g6
BAIRRO PARQUE DO SOM,6g6
BAIRRO PARZIANELLO,6g6
BAIRRO PINHEIRINHO,6g6
BAIRRO PINHEIROS,6g6
BAIRRO PLANALTO,6g6
BAIRRO SAMBUGARO,6g6
BAIRRO SANTA TEREZINHA,6g6
BAIRRO SANTO ANTONIO,6g6
BAIRRO SAO CRITOVAO,6g6
BAIRRO SAO JOAO,6g6
BAIRRO SAO LUIZ,6g6
BAIRRO SAO ROQUE,6g6
BAIRRO SAO VICENTE,6g6
BAIRRO SUDOESTE,6g6
BAIRRO TREVO DA GUARANI,6g6
BAIRRO VENEZA,6g6
BAIRRO VILA ESPERANÇA,6g6
BAIRRO VILA IZABEL,6g6
