name,ghs
"""H"" RUA",6gmp2
"""I"" RUA",6gmp2
1 RUA,6gmp 6gmp3
1A RUA,6gmp2
2 RUA,6gmp
24 RUA,6gmp
25 RUA,6gmp
27 RUA,6gmp 6gmp2 6gmp3
29 RUA,6gmp
3 RUA,6gmp
4 RUA,6gmp 6gmp3
4C RUA,6gmp
5C RUA,6gmp
6 RUA,6gmp3
6C RUA,6gmp
7C RUA,6gmp
8C RUA,6gmp
A RUA,6gmp3
ABATIA RUA,6gmp2
ACUCENA RUA,6gmp3
ADALBERTO DE ANDRADE RUA,6gmp 6gmp3
ADEMILSON NEVES DE ABREU RUA,6gmp
ADOLFO SORA RUA,6gmp2 6gmp3
ADOLPHO MUHLMANN RUA,6gmp 6gmp2
AFFONSO MUHLMANN RUA,6gmp
AFFONSO PENNA RUA,6gmp3
AFRICA RUA,6gmp2
AGAPANTO RUA,6gmp3
AGNELLA OLENIKI DOS SANTOS RUA,6gmp2
AGOSTINHO DOS SANTOS RUA,6gmp3
ALAMANDA RUA,6gmp3
ALAMEDA LOS ANGELES AL,6gmp2
ALAMO RUA,6gmp3
ALCIDES JAZAR RUA,6gmp
ALCIDES JOSE SILVEIRA RUA,6gmp2
ALECRIM RUA,6gmp3
ALEXANDRE ALVES DE FARIAS RUA,6gmp 6gmp2
ALFREDINA MACIEL PINTO RUA,6gmp3
ALFREDO SALIBA SMAKA RUA,6gmp2
ALOIS ERVINO KRELLING RUA,6gmp3
ALPHAVILLE AV,6gmp3
ALTO PARANA RUA,6gmp2
ALTONIA (ANT DO CANAL) AV,6gmp2
ALTONIA RUA,6gmp2
ALUISIO AZEVEDO RUA,6gmp 6gmp2 6gmp3
ALVARO MUHLENHOFF RUA,6gmp2
ALVORADA DO SUL RUA,6gmp2
ALZIRA DE ARAUJO SOUZA RUA,6gmp2
ALZIRA RODRIGUES DA SILVA RUA,6gmp
AMAPORA RUA,6gmp2
AMERICA DO NORTE RUA,6gmp2
AMERICA DO SUL RUA,6gmp2
AMOR PERFEITO RUA,6gmp 6gmp3
ANA KOZER RUA,6gmp 6gmp3
ANDORINHA RUA,6gmp2
ANDRADE MURICY TRV,6gmp
ANESIA CORREIA EVANGELISTA RUA,6gmp2
ANGOLA RUA,6gmp2 6gmp3
ANTARTIDA RUA,6gmp2
ANTIDIO BATISTA DE SOUZA RUA,6gmp
ANTONIO ALVES SANTOS RUA,6gmp2
ANTONIO BRAGA TRV,6gmp2
ANTONIO CORDEIRO RUA,6gmp2
ANTONIO DE ANDRADE RUA,6gmp 6gmp3
ANTONIO DE CASTRO ALVES RUA,6gmp 6gmp3
ANTONIO DE FELICIO RUA,6gmp
ANTONIO GELINSKI RUA,6gmp3
ANTONIO GONCALVES DIAS RUA,6gmp 6gmp2
ANTONIO GONCALVES DOS SANTOS TRV,6gmp
ANTONIO JOSE PEREIRA RUA,6gmp3
ANTONIO KOWALCZUK RUA,6gmp
ANTONIO MANOEL MARTINS RUA,6gmp3
ANTONIO MICHELETTI RUA,6gmp3
ANTONIO NATAL RUA,6gmp3
ANTONIO TABORDA RIBAS RUA,6gmp
ANTONIO ZIELONKA RUA,6gmp2
APARECIDA BARBARINI RUA,6gmp2 6gmp3
APORE RUA,6gmp
APUCARANA RUA,6gmp2
ARACAJU RUA,6gmp2
ARAPONGAS RUA,6gmp2
ARAPOTI RUA,6gmp2
ARCELINO FERREIRA RUA,6gmp2
ARGELIA RUA,6gmp2 6gmp3
ARIPUANA RUA,6gmp
ARISTEU DE CASTRO FERNANDES RUA,6gmp 6gmp3
ARISTIDES DE OLIVEIRA RUA,6gmp2
ARISTIDES EVANGELISTA RUA,6gmp3
ARNALDO DE ANDRADE RUA,6gmp3
ARNILDO FABRO RUA,6gmp2
AROLDO CAMARGO DE ARAUJO RUA,6gmp
ARTHUR BERNARDES RUA,6gmp3
ARTUR NEHRING RUA,6gmp
ARUBA RUA,6gmp2
ARY LOPES RUA,6gmp2 6gmp3
ASIA RUA,6gmp2
ATALIBA COELHO DOS SANTOS RUA,6gmp3
ATAULFO ALVES RUA,6gmp3
AUGUSTA SANTOS ANDRADE RUA,6gmp 6gmp3
AUGUSTO DA SILVA RUA,6gmp3
AUGUSTO MONTEIRO RUA,6gmp2 6gmp3
AUGUSTO TREVISAN RUA,6gmp 6gmp3
AURORA DO CARMO DOS SANTOS RUA,6gmp3
AUSTRALIA RUA,6gmp2
AYRTON SENNA DA SILVA RUA,6gmp 6gmp2
AZALEIA RUA,6gmp3
AZULAO RUA,6gmp2
BAPTISTA RAMOS RUA,6gmp
BEGONIA RUA,6gmp3
BELEM RUA,6gmp2
BELMIRO PEREIRA ALVES RUA,6gmp3
BELO HORIZONTE RUA,6gmp2
BENEVENUTO RATTMANN RUA,6gmp2
BERNARDO OZINSKI RUA,6gmp2 6gmp3
BOA ESPERANCA RUA,6gmp3
BOA VISTA RUA,6gmp2
BOA VONTADE RUA,6gmp3
BOM JESUS RUA,6gmp
BOM PRINCIPIO RUA,6gmp3
BRASHOLANDA RUA,6gmp
BRASIL AV,6gmp
BURITI RUA,6gmp3
C RUA,6gmp3
CAFE FILHO RUA,6gmp3
CAIRO RUA,6gmp2
CALHANDRA RUA,6gmp2
CALIANDRA RUA,6gmp3
CAMAROES RUA,6gmp2
CAMBARA RUA,6gmp3
CAMBE RUA,6gmp2 6gmp3
CAMILO DI LELLIS AV,6gmp 6gmp2
CAMPOS SALLES RUA,6gmp3
CARATUVAL RUA,6gmp2
CARLOS AUGUSTO NASCIMENTO RUA,6gmp3
CARLOS BERNARDO MICHEL RUA,6gmp2
CARLOS CANDIDO DE OLIVEIRA RUA,6gmp2
CARLOS DRUMMOND DE ANDRADE RUA,6gmp 6gmp2 6gmp3
CARLOS PEREIRA CANANI RUA,6gmp
CARLOS POULHMANN RUA,6gmp3
CASCAVEL RUA,6gmp2 6gmp3
CASIMIRO DE ABREU RUA,6gmp 6gmp2
CASSIANO RICARDO RUA,6gmp 6gmp2 6gmp3
CASTRO RUA,6gmp2
CELIO JOSE PIVOVA RUA,6gmp3
CEU AZUL RUA,6gmp2 6gmp3
CIANORTE RUA,6gmp2
CLAUDIO MEHL TRV,6gmp
CLEMENTE ITSYO HORIKOSHI RUA,6gmp
CLEMENTINO MARTINS RUA,6gmp3
CLOVIS BEVILAQUA RUA,6gmp2 6gmp3
COMENDADOR ARAUJO RUA,6gmp
CONGO RUA,6gmp2 6gmp3
CORBELIA RUA,6gmp2 6gmp3
CORRUPIAO RUA,6gmp2
COSTA E SILVA RUA,6gmp3
COSTA RICA RUA,6gmp3
COTINGA AV,6gmp2
COTOVIA RUA,6gmp2
CRESCENCIO BATISTA RUA,6gmp
CRICIUMA RUA,6gmp3
CRUZEIRO DO SUL RUA,6gmp2
CUBA RUA,6gmp2
CUIABA RUA,6gmp2
CURIANGOS RUA,6gmp3
CURUA RUA,6gmp
DA GRACIOSA EST,6gmp
DA PRACA 1 RUA,6gmp2
DA PRACA 2 RUA,6gmp2
DALIA RUA,6gmp 6gmp3
DANIEL SCHULZ RUA,6gmp2 6gmp3
DANILO PITOL RUA,6gmp2
DARIO VELOSO TRV,6gmp
DAS ACACIAS RUA,6gmp3
DAS ACAUAS RUA,6gmp3
DAS AMOREIRAS RUA,6gmp
DAS ARAPONGAS BOL,6gmp3
DAS ARARAS BOL,6gmp2
DAS ARAUCARIAS RUA,6gmp3
DAS AROEIRAS RUA,6gmp3
DAS AVENCAS RUA,6gmp3
DAS BETULAS RUA,6gmp3
DAS CAMELIAS RUA,6gmp3
DAS CANELAS RUA,6gmp3
DAS CEREJEIRAS RUA,6gmp
DAS ESMERALDAS RUA,6gmp2
DAS FIGUEIRAS RUA,6gmp
DAS FLORES AV,6gmp3
DAS FLORES RUA,6gmp3
DAS FUNCIONARIAS RUA,6gmp3
DAS GAIVOTAS RUA,6gmp3
DAS GARCAS RUA,6gmp3
DAS GRALHAS RUA,6gmp3
DAS GUIANAS RUA,6gmp2
DAS HORTENCIAS RUA,6gmp3
DAS IMBUIAS RUA,6gmp3
DAS ITAUBAS RUA,6gmp
DAS LARANJEIRAS RUA,6gmp3
DAS MACIEIRAS RUA,6gmp
DAS MAGNOLIAS RUA,6gmp3
DAS MALVAS RUA,6gmp 6gmp3
DAS OLIVEIRAS RUA,6gmp
DAS ORQUIDEAS RUA,6gmp 6gmp3
DAS PAINEIRAS RUA,6gmp3
DAS PALMAS RUA,6gmp3
DAS PALMEIRAS RUA,6gmp2
DAS PATATIVAS BOL,6gmp2
DAS ROSAS RUA,6gmp3
DAS SAMAMBAIAS RUA,6gmp3
DAS SERINGUEIRAS RUA,6gmp3
DAS TILAPIAS RUA,6gmp3
DE FERRO CTBA/PGUA EST,6gmp 6gmp3
DELFIM MOREIRA RUA,6gmp3
