name,ghs
ALAMEDA CALIFORNIA,6gmp
ALAMEDA CARMEL,6gmp
ALAMEDA DOS BOSQUES,6gmp
ALAMEDA LOS ANGELES,6gmp
ALAMEDA MONTERREY,6gmp
ALAMEDA SAN DIEGO,6gmp
ALAMEDA SAN FRANCISCO,6gmp
ALAMEDA SANTA BARBARA,6gmp
AVENIDA ALPHAVILLE,6gmp
AVENIDA BANDEIRANTES,6gmp
AVENIDA CAMILO DI LELLIS,6gmp
AVENIDA COTINGA,6gmp
AVENIDA DAS ARAUCARIAS,6gmp
AVENIDA DAS FLORES,6gmp
AVENIDA DOS PASSAROS,6gmp
AVENIDA FABIO VICENTE DE MOURA,6gmp
AVENIDA JURITI,6gmp
AVENIDA MARIA ANTONIETA SANTOS,6gmp
AVENIDA MARINGA,6gmp
AVENIDA MARINGA (MARGINAL),6gmp
AVENIDA MIGUEL OSTRUFKA,6gmp
AVENIDA PORTO ALEGRE,6gmp
AVENIDA PORTO VELHO,6gmp
AVENIDA TOMAZ EDISON DE ANDRADE VIEIRA,6gmp
AVENIDA UIRAPURU,6gmp
BOLSAO DAS ARAPONGAS,6gmp
BOLSAO DOS PAPAGAIOS,6gmp
BOLSAO DOS TUCANOS,6gmp
CAMINHO SEM DENOMINACAO,6gmp
ESTRADA DA GRACIOSA,6gmp
ESTRADA ECOLOGICA DE PINHAIS,6gmp
ESTRADA MUNICIPAL,6gmp
ESTRADA PARTICULAR,6gmp
ESTRADA SEVERINO TIENOLLO,6gmp
RUA 1,6gmp
RUA 11 DE JUNHO,6gmp
RUA 13 DE MAIO,6gmp
RUA 15 DE NOVEMBRO,6gmp
RUA 15 DE OUTUBRO,6gmp
RUA 19 DE NOVEMBRO,6gmp
RUA 1º DE MAIO,6gmp
RUA 2,6gmp
RUA 21 DE ABRIL,6gmp
RUA 22 DE ABRIL,6gmp
RUA 24 DE MAIO,6gmp
RUA 25 DE AGOSTO,6gmp
RUA 25 DE DEZEMBRO,6gmp
RUA 4-C,6gmp
RUA 6-C,6gmp
RUA A,6gmp
RUA ABATIA,6gmp
RUA ADEMILSON NEVES DE ABREU,6gmp
RUA ADOLFO MUHLMANN,6gmp
RUA ADOLFO SORA,6gmp
RUA AFFONSO MUHLMANN,6gmp
RUA AFFONSO PENNA,6gmp
RUA AFRICA,6gmp
RUA AGNELLA OLENIKI DOS SANTOS,6gmp
RUA AGOSTINHO DOS SANTOS,6gmp
RUA ALAMANDA,6gmp
RUA ALCIDES JAZAR,6gmp
RUA ALCIDES JOSE SILVEIRA,6gmp
RUA ALECRIM,6gmp
RUA ALEXANDRE ALVES DE FARIAS,6gmp
RUA ALFREDINA MACIEL PINTO,6gmp
RUA ALFREDO SALIBA SMAKA,6gmp
RUA ALOIS ERVINO KRELLING,6gmp
RUA ALTO PARANA,6gmp
RUA ALTONIA,6gmp
RUA ALUISIO AZEVEDO,6gmp
RUA ALVARO MUHLENHOFF,6gmp
RUA ALVORADA DO SUL,6gmp
RUA ALZIRA DE ARAUJO SOUZA,6gmp
RUA ALZIRA RODRIGUES DA SILVA,6gmp
RUA AMAPORA,6gmp
RUA AMERICA DO NORTE,6gmp
RUA AMERICA DO SUL,6gmp
RUA ANA KOZER,6gmp
RUA ANDIRA,6gmp
RUA ANDORINHA,6gmp
RUA ANESIA CORREIA EVANGELISTA,6gmp
RUA ANGOLA,6gmp
RUA ANTARTIDA,6gmp
RUA ANTIDIO BATISTA DE SOUZA,6gmp
RUA ANTONIO ALVES SANTOS,6gmp
RUA ANTONIO CORDEIRO,6gmp
RUA ANTONIO DE ANDRADE,6gmp
RUA ANTONIO DE CASTRO ALVES,6gmp
RUA ANTONIO DE FELICIO,6gmp
RUA ANTONIO GELINSKI,6gmp
RUA ANTONIO GONCALVES DIAS,6gmp
RUA ANTONIO JOSE PEREIRA,6gmp
RUA ANTONIO KOWALCZUK,6gmp
RUA ANTONIO MANOEL MARTINS,6gmp
RUA ANTONIO MICHELETTI,6gmp
RUA ANTONIO NATAL,6gmp
RUA ANTONIO TABORDA RIBAS,6gmp
RUA ANTONIO ZIELONKA,6gmp
RUA APARECIDA BARBARINI,6gmp
RUA APOLONIA JACOMEL ANDRADE,6gmp
