name,ghs
ALAMEDA DAS ÁGUAS,6g9
ALAMEDA PRIMO FRANCESCON,6g9
AVENIDA ADÃO GEISS,6g9
AVENIDA ALBERT EINSTEIN,6g9
AVENIDA ATTILIO DONATO DALLA COSTA,6g9
AVENIDA CELESTE MURARO,6g9
AVENIDA DA UNIÃO,6g9
AVENIDA DOS PIONEIROS,6g9
AVENIDA DRA. ZILDA ARNS NEUMANN,6g9
AVENIDA EGON PUDELL,6g9
AVENIDA EGYDIO JERÔNYMO MUNARETTO,6g9
AVENIDA ERNEST RUTHERFORD,6g9
AVENIDA ERNY SCHNEIDER,6g9
AVENIDA JOSE JOÃO MURARO,6g9
AVENIDA JOÃO BORTOLOTTO,6g9
AVENIDA LINUS PAULING,6g9
AVENIDA LOUIS PASTEUR,6g9
AVENIDA MARCELO BOGONI,6g9
AVENIDA MARECHAL CASTELO BRANCO,6g9
AVENIDA MARIE CURIE,6g9
AVENIDA MARIPÁ,6g9
AVENIDA MAX PLANCK,6g9
AVENIDA MINISTRO CIRNE LIMA,6g9
AVENIDA NOSSA SENHORA DAS GRAÇAS,6g9
AVENIDA NOSSA SENHORA DE FATIMA,6g9
AVENIDA OSVALDO HOFFMANN,6g9
AVENIDA PARIGOT DE SOUZA,6g9
AVENIDA PRESIDENTE COSTA E SILVA,6g9
AVENIDA PRESIDENTE KENNEDY,6g9
AVENIDA PRESIDENTE VARGAS,6g9
AVENIDA RIO DE JANEIRO,6g9
AVENIDA RIO GRANDE DO SUL,6g9
"AVENIDA RIO PARDO
",6g9
AVENIDA ROBERTO FACHINI,6g9
AVENIDA SANTO CAMPAGNOLO,6g9
AVENIDA SENADOR ATTILIO FONTANA,6g9
AVENIDA THOMAS EDISON,6g9
AVENIDA TIRADENTES,6g9
BOULEVARD PETER DRUCKER (LESTE),6g9
BOULEVARD PETER DRUCKER (OESTE),6g9
BR 163 / 467,6g9
LARGO CHICO MENDES,6g9
LARGO SÃO VICENTE DE PAULO,6g9
MARGINAL  DONASSOLO,6g9
MARGINAL MARGINAL DONASSOLO,6g9
PR 182,6g9
PR 317,6g9
PR 585,6g9
RUA  JOÃO ROLAND LENTSCH,6g9
RUA 1 DE JULHO,6g9
RUA 1 DE OUTUBRO,6g9
RUA 12 DE OUTUBRO,6g9
RUA 13 DE ABRIL,6g9
RUA 13 DE MAIO,6g9
RUA 1º DE MAIO,6g9
RUA 1º DE MARCO,6g9
RUA 2 DE MAIO,6g9
RUA 20 DE SETEMBRO,6g9
RUA 21 DE ABRIL,6g9
RUA 21 DE ABRIL (DOIS IRMÃOS),6g9
RUA 25 DE JULHO,6g9
RUA 25 DE JULHO (BOM PRINCÍPIO),6g9
RUA 3 DE OUTUBRO,6g9
RUA 3 DE OUTUBRO (VILA SÃO MIGUEL),6g9
RUA 31 DE MARÇO,6g9
RUA 7 DE JULHO,6g9
RUA 7 DE SETEMBRO,6g9
RUA 7 DE SETEMBRO (DOIS IRMÃOS),6g9
RUA 7 DE SETEMBRO (OURO PRETO),6g9
RUA ABEL BATISTA DE FREITAS,6g9
RUA ABRAMO ROTTAVA,6g9
RUA ACAPULCO,6g9
RUA ADELAIDE BARCELLOS,6g9
RUA ADELAR MENEGOTTO DA SILVA,6g9
RUA ADELIA MARIA KELLNER,6g9
RUA ADELINO FORMIGHIERI,6g9
RUA ADELINO PRADA,6g9
RUA ADELMIRO COMARELLA,6g9
RUA ADOLFO ADAMS,6g9
RUA ADOLFO BUDNY,6g9
RUA ADOLFO FELISSIO BILIBIU,6g9
RUA ADOLFO GREPNER,6g9
RUA ADONIRAN BARBOSA,6g9
RUA ADÃO ALVES,6g9
RUA AFONSO PENA,6g9
RUA AIDA SCREMIN,6g9
RUA ALBANO ARENHARDT,6g9
RUA ALBERTINO SAMUEL NOGUEIRA,6g9
RUA ALBERTO DALCANALE,6g9
RUA ALBERTO LIMBERGER,6g9
RUA ALBINO BERNARDO JUKINHESKI,6g9
RUA ALBINO FRANZ,6g9
RUA ALBINO SCARIOT,6g9
RUA ALCEBIADES FORMIGHIERI,6g9
RUA ALCEU CORREIA PINTO,6g9
RUA ALCIDES PAN,6g9
RUA ALCIDES PARAIBA DOS SANTOS,6g9
RUA ALCIR LUIZ MASSOLA,6g9
RUA ALECIO PEDRO TEODORO DE SOUZA,6g9
RUA ALEMANHA,6g9
RUA ALEXANDER FLEMING,6g9
RUA ALFEO SARTORETTO,6g9
RUA ALFREDO COLLA,6g9
RUA ALFREDO FORNAZARI,6g9
RUA ALFREDO LEITE,6g9
RUA ALFREDO ORTH,6g9
RUA ALFREDO SCHNEIDER,6g9
RUA ALFREDO SCHONS,6g9
RUA ALFREDO ZIBETTI,6g9
RUA ALIANÇA,6g9
RUA ALIPIO HOLZBACH,6g9
RUA ALLAN KARDEC,6g9
RUA ALMIR GASPERIN,6g9
RUA ALMIRANTE BARROSO,6g9
RUA ALMIRANTE TAMANDARE,6g9
RUA ALMÉRICO ÂNGELO SARTORI,6g9
RUA ALOISIO ANSCHAU,6g9
RUA ALPERICO DONIN,6g9
RUA ALVINA ROSA MEDEIROS,6g9
RUA ALVORADA,6g9
RUA ALZIRA DIEL,6g9
RUA ALZIRA GONÇALVES ARRUDA,6g9
RUA ALZIRA WESSELING,6g9
RUA AMABILE SAVARIS,6g9
RUA AMANDA SCHOENNEL,6g9
RUA AMAZONAS,6g9
RUA AMBROSIO GIARETTA,6g9
RUA AMELIO TOME,6g9
RUA AMÃNDIO TETÉ PEREIRA,6g9
RUA AMÉLIA BIANCA,6g9
RUA AMÉLIA DESSORDI TOIGO,6g9
RUA AMÉLIA GASPERIM LONGHI,6g9
RUA AMÉRICO,6g9
RUA AMÉRICO SCHIO,6g9
RUA ANA IAMCHOMBECK,6g9
RUA ANA PASQUALLI,6g9
RUA ANA RAMISCH,6g9
RUA ANDREA R. M. CAVAZZINI,6g9
RUA ANGELIN SEBASTIÃO SIMONATO,6g9
RUA ANGÉLICA CÓTICA POLACHINI,6g9
RUA ANIBAL HOFSTAETTER,6g9
RUA ANIBALDO HOFFMANN,6g9
RUA ANILA ABEGG,6g9
RUA ANITA BERWIAN,6g9
RUA ANITA GARIBALDI,6g9
RUA ANNE RUSS,6g9
RUA ANOR NORMELIO DEI SVALDI,6g9
RUA ANTENOR PAVAN,6g9
RUA ANTENOR PEDRO RIOS,6g9
RUA ANTONINA,6g9
RUA ANTONINHA SCHAEFER RAUBER,6g9
RUA ANTONIO SALLA,6g9
RUA ANTÔNIO BENEVIDES SOARES,6g9
RUA ANTÔNIO BORILLI,6g9
RUA ANTÔNIO BRESSAN,6g9
RUA ANTÔNIO COMARELLA,6g9
RUA ANTÔNIO DAL POZZO,6g9
RUA ANTÔNIO FIAMETTI,6g9
RUA ANTÔNIO FOIATO,6g9
RUA ANTÔNIO GAFFURI,6g9
RUA ANTÔNIO HEISS,6g9
RUA ANTÔNIO HUMBERTO GUIMARAES,6g9
RUA ANTÔNIO LIDUINO PERIN,6g9
RUA ANTÔNIO NUNES DA COSTA,6g9
RUA ANTÔNIO PIRES DE OLIVEIRA,6g9
RUA ANTÔNIO PRADO,6g9
RUA ANTÔNIO SALLA,6g9
RUA ANTÔNIO SCAIN,6g9
RUA ANTÔNIO VICENTE ARAUJO,6g9
RUA ANTÔNIO WILHELM,6g9
RUA ANTÔNIO ZANELA,6g9
RUA ANÁPOLIS,6g9
RUA APARECIDO LOPES CASTILHO,6g9
RUA ARACAJU,6g9
RUA ARAPONGAS,6g9
RUA ARDUINO EUGÊNIO DONIN,6g9
RUA ARGENTINA,6g9
RUA ARI BARROSO,6g9
RUA ARIEL LEONARDI,6g9
RUA ARLEI LEONARDI,6g9
RUA ARLINDO DREIER,6g9
RUA ARLINDO MARTELO,6g9
RUA ARMANDO AVANCI,6g9
RUA ARMANDO LUIZ ARROSI,6g9
RUA ARNALDO ALDINO DULLIUS,6g9
RUA ARNALDO MANICA,6g9
RUA ARNILDO LINKE,6g9
RUA ARNOLDO DUNKE,6g9
RUA ARROIO TOLEDO,6g9
RUA ARTUR BERNARDES,6g9
RUA ARTUR MAZZAFERRO,6g9
RUA ASTORGA,6g9
RUA ATILIO DE BONA,6g9
RUA ATILIO FORMIGHIERI,6g9
RUA ATTILIO DONASSOLO,6g9
RUA AUGUSTINHO DONIN,6g9
RUA AUGUSTO DUMKE,6g9
RUA AUGUSTO FORMIGHIERI,6g9
RUA AUGUSTO KURSCHNER,6g9
RUA AUGUSTO MAAS,6g9
RUA AUGUSTO NEGRI,6g9
RUA AUGUSTO PASSARINI,6g9
RUA AUGUSTO ROQUE BIASI CLIVATI,6g9
RUA AUGUSTO SEVERO,6g9
RUA AUGUSTO VOOS,6g9
RUA AUGUSTO VOSS,6g9
RUA AUGUSTO ZORZO,6g9
RUA AVELINO ALUÍSIO SCHERER,6g9
RUA AVELINO DALLA'COSTA,6g9
RUA AVELINO HOFSTAETTER,6g9
RUA AVELINO NIEDERMEIER,6g9
RUA AVELINO PRETTO,6g9
RUA AVELINO TOMAZONI,6g9
RUA BAHIA,6g9
RUA BALDUINO LUIZ FELICETTI,6g9
RUA BALDUÍNO THIELKE,6g9
RUA BALDUÍNO TOSO,6g9
RUA BARCELONA,6g9
RUA BARTOLAMEU DE GUSMÃO,6g9
RUA BARÃO DO CERRO LARGO,6g9
RUA BARÃO DO RIO BRANCO,6g9
RUA BASILIO ZANATTA,6g9
RUA BATISTA LUZARDO,6g9
RUA BEATA ANGELINA,6g9
RUA BEIJA FLOR,6g9
RUA BELA VISTA,6g9
RUA BELILDE CAUDURO FACIOCHI,6g9
RUA BELO HORIZONTE,6g9
RUA BELO HORIZONTE (NOVO SARANDI),6g9
RUA BELÉM,6g9
RUA BENEDITO CITADIN,6g9
RUA BENEDITO GONÇALVES DO NASCIMENTO,6g9
RUA BENJAMIM CONSTANT,6g9
RUA BENJAMIN BRANCO,6g9
RUA BENTO GONÇALVES,6g9
RUA BENTO GONÇALVES (VILA NOVA),6g9
RUA BENTO MUNHOZ DA ROCHA NETTO,6g9
RUA BERNARDO ENGELMANN,6g9
RUA BERNARDO LEO JUNG,6g9
RUA BERTHOLDO MUNCHEN,6g9
RUA BEZERRA DE MENEZES,6g9
RUA BLONDINA ANTON,6g9
RUA BOA ESPERANÇA,6g9
RUA BOA ESPERANÇA (DEZ DE MAIO),6g9
RUA BOLIVAR JOSÉ RUARO,6g9
RUA BOM JARDIM,6g9
RUA BOM PASTOR,6g9
RUA BOMFIM,6g9
RUA BONIFÁCIO DEWES,6g9
RUA BORGES DE MEDEIROS,6g9
RUA BOSSOROCA,6g9
RUA BRASÍLIA,6g9
RUA BRITÂNIA,6g9
RUA BRITÂNIA - VILA BECKER,6g9
RUA BRITÂNIA - VILA PIONEIRO,6g9
RUA BRUNO DANTE PALMA,6g9
RUA BRUNO WELTER,6g9
RUA BUTIA,6g9
RUA CAETANO POLACHINI,6g9
RUA CAETANO SEVERINO PERIN,6g9
RUA CAIBATÉ,6g9
RUA CALDAS JUNIOR,6g9
RUA CALIFORNIA,6g9
RUA CAMBUÍ,6g9
RUA CANADÁ,6g9
RUA CANDIDA NOGUEIRA  BROGLIATTO,6g9
RUA CANTIDIO SAMPAIO,6g9
RUA CAPITAO TISIANO,6g9
RUA CAPITÃO LEONIDAS MARQUES,6g9
RUA CAPITÃO RUI,6g9
RUA CAPITÃO ÍNDIO BANDEIRA,6g9
RUA CARDEAL PACELLI,6g9
RUA CARLOS ABEL MUNARETTO,6g9
RUA CARLOS ALDINO RIPPEL,6g9
RUA CARLOS ANTONIO BOLSON,6g9
RUA CARLOS ANTÔNIO HALMENCHLAGER,6g9
RUA CARLOS BARBOSA,6g9
RUA CARLOS DALL AGNOLO,6g9
RUA CARLOS DE CARVALHO,6g9
RUA CARLOS DRUMMOND DE ANDRADE,6g9
RUA CARLOS GOMES,6g9
RUA CARLOS GOMES (VILA NOVA),6g9
RUA CARLOS JOÃO TREIS,6g9
RUA CARLOS MATHIAS BECKER,6g9
RUA CARLOS OSCAR GENGNAGEL,6g9
RUA CARLOS SBARAINI,6g9
RUA CARLOTA RINWALDT,6g9
RUA CARMELITA NODARI,6g9
RUA CARMEN MIRANDA,6g9
RUA CASCAVEL,6g9
RUA CASCAVEL (BOA VISTA),6g9
