name,ghs
 IRÃ,6gf0g
 MARGINAL * RESIDENCIAL JAPAO,6gf0d
* 2 JARDIM MARIA LUCIA,6gf0
04 DE OUTUBRO,6gf0f
1,6gf0 6gf0d 6gf0g
1 * PARQUE INDUSTRIAL II,6gf0d
1 DE MAIO,6gf0d
11,6gf0
12,6gf0
12 DE JUNHO,6gf0d
12 DE OUTUBRO,6gf0f
13 DE AGOSTO,6gf0f
13 DE MAIO,6gf0d
13 DE MAIO * JARDIM ALVORADA,6gf0d
13 DE MAIO * JARDIM BELA VISTA,6gf0d
13 DE MAIO * JARDIM COLIBRI,6gf0d
13 DE MAIO * PARQUE SAN REMO I,6gf0d
13 DE MAIO * ZONA 4,6gf0g
15 DE NOVEMBRO,6gf0d
15 DE OUTUBRO,6gf0d
19 DE DEZEMBRO,6gf0f
2 * JARDIM BEIRA RIO,6gf0
2 * JARDIM MONTE CARLO,6gf0d
2 * JARDIM TANGARA,6gf0g
2 * PARQUE INDUSTRIAL II,6gf0d
21 DE ABRIL,6gf0d
21 DE SETEMBRO,6gf0f
25 DE DEZEMBRO,6gf0f
25 DE JANEIRO,6gf0f
25 DE JULHO,6gf0f
26 DE JUNHO,6gf0g
3,6gf0 6gf0d
31 DE MARCO,6gf0d
4,6gf0
5 * JARDIM BEIRA RIO,6gf0
5 * PARQUE RESIDENCIAL ITALIA,6gf0d
6,6gf0 6gf0d
7,6gf0 6gf0d
7 DE SETEMBRO,6gf0f
8,6gf0 6gf0d
8 DE DEZEMBRO,6gf0d
8 DE MARCO,6gf0d
9,6gf0d
9 DE JULHO,6gf0g
A * CONJUNTO RESIDENCIAL ARCO IRIS,6gf0 6gf0d
A * JARDIM COLIBRI,6gf0d
A * PARQUE IND COM NOVO HORIZONTE,6gf0d
A * PARQUE INDUSTRIAL II,6gf0d
A * PARQUE SAN REMO III,6gf0d
A * PARQUE VITORIA REGIA,6gf0d
A * ROYAL RESIDENCE,6gf0g
A* JARDIM IMPERIAL I,6gf0g
A* JARDIM YONEZU,6gf0d
ABAETE,6gf0g
ABDON SATURNINO,6gf0d
ABEL DO NASCIMENTO,6gf0f
ABILIO APARECIDO DOS SANTOS,6gf0f
ABILIO BARRETO,6gf0d 6gf0g
ABILIO RODRIGUES CARDOSO,6gf0f
ABRAAO VIOTTO,6gf0g
ACESSO 1 - PQ RES. INDUSTRIAL,6gf0
ACRE,6gf0f
ACRE * JARDIM VERDE VALE,6gf0f
ACRE - DISTRITOS DE SERRA DOS DOURADOS,6gf
ADAUTO CALDEIRA,6gf0f
ADELAIDE GOULART NAVE,6gf0 6gf0d
ADELIA ASTUN HELLU,6gf0g
ADELIA BALDON BUZELI,6gf0d
ADEMAR GOMES SANTANA,6gf0
ADEMAR MEIRA NEIVA,6gf0d
ADEMAR SCANAVACA,6gf0g
ADIB GUERRER,6gf0g
ADOLFO GARCIA,6gf0d 6gf0f
ADOLPHO ALBERTO PINTO DA SILVA,6gf0
ADRIAN GABRIEL DE OLIVEIRA,6gf0g
ADÉLIA PRADO,6gf0f
AEROPORTO,6gf0d
AFONSO PENA,6gf0f
AGATA,6gf0d
AGENOR ZANATTO,6gf0d
AGNALDO MACKERT BARBOSA,6gf0g
AGUIA,6gf0
AGUINALDO GERMANO SOUZA,6gf0f
AI,6gf0f
AILTON AFONSO AMARAL,6gf0d
AKIRA SAITO,6gf0f
AKIRA WADA,6gf0
ALAGOAS,6gf 6gf0f 6gf0g
ALAOR MONTEIRO GAVASSI,6gf0g
ALAOR PEDROSO,6gf0g
ALBERTINO FERNANDES CARDOSO,6gf0d
ALBERTO ULIANA,6gf0g
ALBERTO ZIRO SHINMI,6gf0
ALCANTARA MACHADO,6gf0d
ALCIDES DE BRITO PRATIS,6gf0g
ALCIDES GREJANIN,6gf0g
ALECRIM,6gf0d
ALEDINO SALA,6gf0
ALEMANHA,6gf0
ALEXANDRE CERANTO,6gf0
ALEXSANDRO DE OLIVEIRA MOTA,6gf0d
ALFREDO BERNARDO,6gf0f
ALFREDO CLARO BARBOSA,6gf0g
ALFREDO SIBERT,6gf0f
ALFREDO VOLPI,6gf0g
ALFREDO WERNER NYFFELLER,6gf0f
ALICE MARQUES MACHADO,6gf0
ALMEIDA JUNIOR,6gf0 6gf0d
ALTAIR CARLOS DA VEIGA,6gf0 6gf0d
ALTECÍO PARDINHO DE SOUZA,6gf0g
ALTONIA,6gf0g
ALTÔNIA,6gf0g
ALUIZIO DE AZEVEDO,6gf0f
ALVINO DOS SANTOS FANECO,6gf0d
ALVORADA,6gf0g
AMADEU BARILLI FILHO,6gf0f
AMADEU BORGES MELO,6gf0d
AMAMBAI,6gf0f
AMAPA,6gf 6gf0f
AMARO ANTONIO ALMEIDA,6gf0d
AMARO TAVARES,6gf0g
AMAURY HARUO SUNAHARA,6gf0d
AMAZONAS,6gf 6gf0g
AMERICA,6gf0d
AMETISTA,6gf0d
AMIARACI,6gf0d
AMSTERDÃ,6gf0g
AMYR BUSSMANN,6gf0
ANA JULIA EDUVIRGEM,6gf0f
ANA LINO QUIRINO COELHO,6gf0g
ANA PRIMAVESI,6gf0d
ANA ROSA DE OLIVEIRA,6gf0g
ANA ROSA NUNES SILVA,6gf0 6gf0g
ANANIAS PIO TEIXEIRA,6gf0g
ANAPOLIS,6gf0g
ANCHIETA,6gf0f
ANDERSON DOS SANTOS SIQUEIRA,6gf0g
ANDORINHA,6gf0 6gf0g
ANDRE MARTINS MONTEIRO,6gf0f
ANDRE SILVEIRA ROCHA,6gf0g
ANDRE VICENTE SANCHES,6gf0g
ANGELA  PEREIRA DA CRUZ RIBEIRO,6gf0d
ANGELA PEREIRA DA CRUZ,6gf0d
ANGELIN,6gf0d
ANGELO COLAUTTO,6gf0g
ANGELO MOREIRA DA FONSECA,6gf0d
ANGELO VILLAR,6gf0
ANHANGUERA,6gf0f
ANHUMAI,6gf0d 6gf0f
ANISIO FRANCISCO SILVA,6gf0d
ANITA MARQUES DA SILVA,6gf0g
ANIZIO NOGUEIRA,6gf0g
ANTENOR CORSATO,6gf0d
ANTENOR MARQUES GARCIA,6gf0d
ANTONIA DE SOUZA OLIVEIRA,6gf0d
ANTONIA FRACASSE GOMES,6gf0d
ANTONIA LUPION BARROS,6gf0f
ANTONIA MARTINS DA SILVA,6gf0g
ANTONIA PARO GALMASSI,6gf0
ANTONIA ZANOLO FERNANDES,6gf0d
ANTONIO ALFREDO DE FREITAS,6gf0d
ANTONIO ANDRADE,6gf0d
ANTONIO ANTUNES SIQUEIRA,6gf0f
ANTONIO ANTUNES SIQUEIRA * PARQUE ESTANCIA II,6gf0f
ANTONIO APARECIDO BARDELA,6gf0d
ANTONIO BALTHAZAR RODRIGUES,6gf0g
ANTONIO BANDEIRA,6gf0g
ANTONIO CARDOSO,6gf
ANTONIO CIA,6gf0 6gf0g
ANTONIO DANTAS BORBOREMA,6gf0g
ANTONIO DIAS DE SOUZA,6gf0g
ANTONIO EDUARDO GIOVANINI,6gf0g
ANTONIO FEITOSA VIANA,6gf0f
ANTONIO FERNANDES DE LIMA,6gf0d
ANTONIO FERNANDES DE LIMA * PARQUE INDUSTRIAL 3,6gf0d
ANTONIO FERNANDES LOPES,6gf0d
ANTONIO FRACASSE GOMES,6gf0d
ANTONIO GERALDO,6gf0f
ANTONIO LEMBI,6gf0f
ANTONIO LEMBI E RUA VILSON VAZ VIEIRA,6gf0f
ANTONIO LOURENÇO DA CUNHA FILHO,6gf0f
ANTONIO LUPION BARROS,6gf0f
ANTONIO MESSIAS NAVES,6gf0f
ANTONIO MINHOLI FILHO,6gf0g
ANTONIO OSTRENSKI,6gf0f
ANTONIO RAMALHO,6gf0g
ANTONIO RIBEIRO GALLES,6gf0f
ANTONIO WIETZIKOSKI,6gf0f
ANTONIO WILLE CORREA,6gf0g
ANTONIO WYLLE CORREA,6gf0g
ANTONIO ZANOLO FERNANDES,6gf0d
ANTÔNIA VINHOTTO ZANATTO,6gf0g
APARECIDA BORALI,6gf0f
APARECIDA MACHADO PIO,6gf0f
APOLO,6gf0g
APUCARANA,6gf0 6gf0f 6gf0g
APUCARANA * LOVAT,6gf0
AQUIDABAN,6gf0f
ARABELA ARENA CAETANO,6gf0d
ARACAJU,6gf0d 6gf0f
ARACI CRUZ DA SILVA,6gf0d
ARACI MARIA DOS SANTOS SOUSA,6gf0g
ARAPONGAS,6gf0g
ARAUCARIA,6gf0d
ARGEU BELO DA LUZ,6gf0g
ARI BORGES MONTEIRO,6gf0g
ARICANDUVA,6gf0g
ARIOVALDO RODRIGUES DE MORAES,6gf0d 6gf0f
ARISTIDES EDUARDO SCHRAMM,6gf0d
ARISTIDES LUIZ FANECO NETO,6gf0d
ARLANDA PARRA BETANIM,6gf0
ARLINDO LIBERO DA SILVA,6gf0g
ARLINDO LUIZ PELISSARI,6gf0
ARMANDO BERGO,6gf0g
ARMANDO LUIZ BRETAS,6gf0d
ARMANDO PIERANGELI,6gf0d
ARMANDO VIANA,6gf0g
ARNALDO JOSE BERLINO,6gf0g
ARNALDO TUPA,6gf0g
ARNALDO TUPÃ,6gf0g
AROEIRA,6gf0 6gf0d
ARTHUR CHALMERS ELDER,6gf0g
ARTHUR MALTAROLO,6gf0g
ARTHUR THOMAS,6gf0g
ARTUR AZEVEDO,6gf0d
ARTUR MALTAROLO,6gf0g
ARVELINA MARIA DA CRUZ,6gf0d
ASA BRANCA,6gf0
ASTORGA,6gf0f
ATENAS,6gf0g
ATLANTICA,6gf0 6gf0g
AUGUSTA MARQUES MENDONÇA,6gf0f
AUGUSTO DOS ANJOS,6gf0f
AUGUSTO FERREIRA DO NASCIMENTO,6gf0f
AUGUSTO ORSI,6gf0g
AUGUSTO PEDRO TORRES,6gf0g
AUGUSTO RICARDO BAGINI PEDROLLO,6gf0
AURORA,6gf0
AURORA FERNANDES RAMALHO,6gf0g
AURORA VIEIRA DA SILVA,6gf0
AV MANAUS,6gf0f
AV PROJETADA B,6gf0f
AV. AUGUSTA M. MENDONÇA,6gf0f
AV. GOVERNADOR PARIGOT DE  SOUZA,6gf0f
AV.BRASIL,6g 6gf
AV.MANAUS.,6gf0f
AVELINO JOSE DA SILVA,6gf0g
AVELINO ROVERON,6gf0f
AVENIDA  BRASIL,6gf 6gf0d
AVENIDA CENTRAL,6gf
AVENIDA PARANÁ,6gf0f
AVENIDA RIO GRANDE DO SUL,6gf0g
AVENTUREIROS,6gf0d
AVESTRUZ,6gf0 6gf0g
AYANE KAROLINE ROMANO DA SILVA,6gf0f
AYRTON SENNA,6gf0d
B,6gf0f
B * JARDIM FLORENÇA,6gf0g
B * RESIDENCIAL MARIO QUINTANA,6gf0f
B * RESIDENCIAL RECANTO DO LAGO - 1,6gf0g
B * ROYAL RESIDENCE,6gf0g
BAHIA,6gf 6gf0f 6gf0g
BANDEIRANTES,6gf0f
BARARUBA,6gf0d 6gf0f
BARCELONA,6gf0f
BARTIRA,6gf0g
BARTOLOMEU BUENO,6gf0g
BASILIO DA GAMA,6gf0d
BASILIO PELICER,6gf0d
BASTILHA,6gf0g
BASÍLIO PELICER,6gf0d
BAURU,6gf0g
BAZILIO SGORLON,6gf0d
BEATRIZ DE OLIVA MESQUITA,6gf0f
BEIJA FLOR,6gf0g
BEIRA RIO,6gf0
BELA VISTA,6gf0g
BELEM,6gf 6gf0g
BELO HORIZONTE,6gf0g
BELO JARDIM,6gf0f
BEM-TE-VI,6gf0 6gf0g
BENEDICTA DE TOLEDO MULATO,6gf0g
BENEDITA GONÇALVES,6gf0 6gf0d
BENEDITO APARECIDO DOS SANTOS,6gf0f
BENEDITO CASSIMIRO DOS SANTOS,6gf0d
BENEDITO GONÇALVES,6gf0d
BENEDITO RODRIGUES DE OLIVEIRA,6gf0f
BENJAMIM PAJANOTI,6gf0d
BENJAMIN CONSTANT,6gf0d
BENTO TEIXEIRA PINTO,6gf0d
BENVENUTO GAZZI,6gf0g
BERLIM,6gf0g
BERNA,6gf0g
BERTOLO CERANTO,6gf0 6gf0d 6gf0f
BOM JESUS LIBERTADOR,6gf0g
BOM SENHOR,6gf 6gf0f
BOM SUCESSO,6gf0f
BRASIL,6g 6gf 6gf0d 6gf0f
BRASILIA,6gf 6gf0d 6gf0f
BRILHANTE,6gf0d
BRULEXAS,6gf0g
BRUNO CAVALCANTE DE SOUZA,6gf0g
BRUNO TOLENTINO,6gf0d
BRUXELAS,6gf0g
BULGARIA,6gf0g
C * COND RESIDENCIAL DUBAI,6gf0g
C * JARDIM UNIÃO,6gf0d
C * ROYAL RESIDENCE,6gf0g
CABO FRANCISCO DAMIAO DA SILVA,6gf0f
CAETES,6gf0f
CAIOBA,6gf0g
CALIFORNIA,6gf0d
CAMAQUA,6gf0d 6gf0f
CAMBARA,6gf0d
CAMBE,6gf0 6gf0g
CAMBORIU,6gf0g
CAMBUI,6gf0f
CAMBÉ,6gf0
CAMPO GRANDE,6gf0f 6gf0g
CAMPOS SALES,6gf0f
CANANEIA,6gf0 6gf0f
CANARIO,6gf0g
CANDIDO DE ABREU,6gf0
CANDIDO MOTA,6gf0d
CANDIDO MOTA * PARQUE CAIUA,6gf0d
CANDIDO PORTINARI,6gf0g
CANELA,6gf0d
CANELINHA,6gf0
CANJERANA,6gf0 6gf0d
CANNES,6gf0d
CAPITAL DA AMIZADE,6gf0d
CARDEAL,6gf0g
CARDEAL * JARDIM DOS PÁSSAROS,6gf0g
CARLOS DRUMOND DE ANDRADE,6gf0d
CARLOS FAVARO,6gf0g
CARLOS FRANCISCO DE BASTOS,6gf0f
CARLOS GOMES,6gf0f
CARLOS ZELAQUETT,6gf0g
CARMEN SILVESTRE MAIA,6gf0g
CASA BRANCA,6gf0f
CASIMIRO DE ABREU,6gf0d
CASSIANO RICARDO,6gf0d
CASTANHEIRA,6gf0g
CASTELO BRANCO,6gf0f 6gf0g
CASTRO ALVES,6gf0d 6gf0f
CATANDUVAS,6gf0g
CATARINA PIRES SANCHES,6gf0g
CATHARINA NARESSE FRANÇOLIN,6gf0g
CATHERINNE MARIA SILVA CRUZ,6gf0f
CATUGI,6gf0g
CEARA,6gf 6gf0g
CECILIA MEIRELES,6gf0f
CEDRO,6gf0d 6gf0g
CELESTE MARIA ROSALINA JANEIRO,6gf0f 6gf0g
CELIA MARIA OLMEDO,6gf0f
CELIO DE ALMEIDA,6gf0f
CELSO GARCIA CID,6gf0f
CENTRAL,6gf
CEREJEIRA,6gf0d
CEZAR RICARDO BEATRIZ,6gf0g
CEZARE POZZOBOM,6gf0d
CEZARINO PRIORI,6gf0d
CHAFIC YOSSEF EL HAURANI,6gf0f
CHICO XAVIER,6gf0d
CHILE,6gf0f
CIANORTE,6gf0f
CISNE,6gf0g
CLARICE LISPECTOR,6gf0f
CLAUDENIR GASPARINI DA SILVA,6gf0d
CLAUDINO FERNANDES,6gf0
CLAUDIO MANOEL DA COSTA,6gf0f
CLOVES DE OLIVEIRA,6gf0f
CLOVES OLIVEIRA,6gf0f
COELHO NETO,6gf0f
COLIBRI,6gf0
COLINA VERDE,6gf0 6gf0g
COLOMBO,6gf0f
