name,ghs
"AL BOAVENTURA, S",75cmg
AL CAROLINA,75cme
"AL COLIBRIS,DOS",75cme
AL JOSE OTTO RIBEIRO SOBRAL,75cmk
AL PARIS,75cme
ALD A (MARAVISTA),75cmk
ALD ALCIDES,75cme
ALD AMADEU GOMES,75cms
ALD BARCELOS,75cme
"ALD BOAVENTURA, S",75cmg
ALD CAMBUCA,75cms
ALD CAROLINA,75cme
"ALD COLIBRIS,DOS",75cme
ALD JOAO BATISTA,75cme
"ALD JOSE G DA COSTA,JORN.",75cme
"ALD MONTE,DO",75cme
ALD OLINDINA ALVES DOS SANTOS,75cms
ALD PARIS,75cme
"ALD SABIAS,DOS",75cme
ALD SAMPAIO CORREA,75cme
ALD VALE SUICA,75cme
"ALD VALE,DO",75cme
"AV CRAVEIRO LOPES,PRES",75cmg 75cmgh
AV PRESIDENTE CRAVEIRO LOPES,75cmg
AVN 1,75cms 75cmt
AVN 1 (SOTER),75cmt
AVN 1 (UBA FLORESTA),75cm
AVN 10 (MARAVISTA),75cmk
AVN 2,75cmg
AVN 4 (BAIRRO PIRATININGA),75cm
AVN 9 (MARAVISTA),75cmk
AVN A,75cmk
AVN A (LOT ALDEIA CASA GRD),75cmu
AVN ABDIAS JOSE DOS SANTOS,75cmu
"AVN ACURCIO TORRES,DR",75cm
AVN ADOLFO BEZERRA DE MENEZES,75cmeb
AVN ALBERTO,75cmg
"AVN ALBERTO F TORRES,JORN",75cm 75cme
AVN ALEXANDRE MOURA,75cm
"AVN ALTIVO M LINHARES,PREF",75cmk
AVN ANITA NILO PECANHA,75cme
"AVN ANTONIO,STO",75cmk
AVN ARAKEN DOMINGUES COSTA,75cmu
"AVN ARY PARREIRAS,ALM",75cme
"AVN ATRATINO C COUTINHO,GEN",75cms 75cmt
AVN AUGUSTO FERREIRA RAMOS,75cm 75cmk 75cms
AVN B (C BALNEARIA ITAIPU),75cmk
"AVN BENJAMIN SODRE,ALM",75cm 75cms
AVN BOA VISTA,75cmk
AVN CAMPOS VIANA,75cme
"AVN CANAL,DO",75cmt
AVN CARLOS ERMELINDO MARINS,75cm
"AVN CARLOS N F SANTOS,PROF",75cmk
AVN CELSO A DE M S GUIMARAES,75cmeb
AVN CELSO KELLY (MARAZUL),75cm
AVN CENTRAL EWERTON XAVIER,75cmk 75cms 75cmt
AVN CONDE PEREIRA CARNEIRO,75cm
"AVN EDUARDO L R PICANCO,DR",75cmk
AVN ERNANI DO AMARAL PEIXOTO,75cm
"AVN ERNANI FARIA ALVES,PROF",75cmk
"AVN ESMERALDAS,DAS (SOTER)",75cmt
"AVN EVANGELISTA OLIVEIRA,CAP",75cmg
"AVN FABIANO,FREI",75cmk
AVN FELICIANO SODRE,75cm 75cmg
"AVN FLORESTAN FERNANDES,PROF",75cmk
"AVN FORTE,DO",75cm
AVN FRANCA,75cmu
AVN FRANCELINO BARCELLOS,75cmeb
AVN FRANCISCO GABRIEL DE SOUZA LOBO,75cmeb
"AVN GERALDO DE M OURIVIO,DR",75cm 75cmk
"AVN GUALTER,SAO",75cmk
AVN H (MARAZUL),75cm
AVN INDEPENDENCIA,75cms
AVN IRENE LOPES SODRE,75cm 75cmk 75cmt
AVN JANSEN DE MELO,75cm
"AVN JOAO BRASIL,PROF",75cmg 75cmgk
AVN JOSE CORTES JUNIOR,75cms 75cmt
"AVN JOSE G B DE MENEZES,DR",75cmk
"AVN JOSE GOMES DE SOUZA,PST",75cmu
"AVN LUIZ ORLANDO M GURGEL,DR",75cmk
AVN MACHADO,75cmg
AVN MATHIAS SANDRI,75cmk
"AVN NATUZZI,PE",75cme
AVN NELSON DE O E SILVA,75cms
AVN NELSON DE OLIVEIRA E SILVA,75cms
"AVN NESTOR R PERLINGEIRO,DES",75cmu
AVN OTAVIANO,75cmg
"AVN PARANA,MQ DO",75cm
"AVN PAULO DE MELLO KALLE,CONS",75cme 75cmeb
AVN PILSEN,75cms 75cmt
AVN PLINIO G MATTOS FILHO,75cmt
