name,ghs
Acesso Acesso à Ilha do Caju,75cm
Acesso Feliciano Sodré,75cm
Acesso Governador Roberto Silveira,75cm
Acesso Hospital Orêncio de Freitas,75cm
Acesso Morro do Preventório,75cm
Acesso Ponte Rio-Niterói - Alameda São Boa Ventura,75cm
Acesso Ponte Rio-Niterói - Av. Governador Roberto Silveira,75cm
Acesso Ponte Rio-Niterói - Whashington Luís,75cm
Acesso Público,75cm
Acesso Rodovia Mário Covas,75cm
Alameda Alcides,75cm
Alameda Barcelos,75cm
Alameda Carolina,75cm
Alameda Colibris,75cm
Alameda Doutor Miguel Raymundo de Moraes Bittencourt,75cm
Alameda Jandira Fróes,75cm
Alameda Jornalista José Geraldo da Costa,75cm
Alameda José Otto Ribeiro Sobral,75cm
Alameda João Batista,75cm
Alameda Netuno,75cm
Alameda Professor Antônio de Barros Terra,75cm
Alameda Sem Nome,75cm
Alameda Via Láctea,75cm
Alameda Vênus,75cm
Alameda das Sábias (Sabias),75cm
Alameda do Monte,75cm
Alameda do Vale,75cm
Avenida Abdias José dos Santos,75cm
Avenida Anita Nilo Peçanha,75cm
Avenida Augusto Ferreia Ramos,75cm
Avenida B,75cm
Avenida Boa Vista,75cm
Avenida Celso Kelly,75cm
Avenida Central Ewerton Xavier,75cm
Avenida Conselheiro Paulo de Mello Kalle,75cm
Avenida Desembargador Nestor Rodrigues Perlingeiro,75cm
Avenida Doutor Eduardo Lucio Rodrigues Picanço,75cm
Avenida Doutor Raul de Oliveira Rodrigues - Retorno,75cm
Avenida Engenheiro Romeo Martins,75cm
Avenida Feliciano Sodré,75cm
Avenida Feliciano Sodré - Alça,75cm
Avenida França,75cm
Avenida General Atratino Cortês Coutinho,75cm
Avenida Governador Roberto Silveira,75cm
Avenida Governador Roberto Silveira - Retorno,75cm
Avenida Irene Lopes Sodré,75cm
Avenida José Cortes Júnior,75cm
Avenida Machado,75cm
Avenida Marechal Pessoa Leal,75cm
Avenida Márcia Fernandes de Azevedo,75cm
Avenida Padre Francisco Lana,75cm
