name,ghs
Abolição                  ,75
Acari                     ,75
Alto da Boa Vista         ,75
Anchieta                  ,75
Andaraí                   ,75
Anil                      ,75
Bancários                 ,75
Bangu,75
Barra da Tijuca           ,75
Barra de Guaratiba        ,75
Barros Filho              ,75
Benfica                   ,75
Bento Ribeiro             ,75
Bonsucesso                ,75
Botafogo                  ,75
Brás de Pina              ,75
Cachambi                  ,75
Cacuia                    ,75
Camorim                   ,75
Campinho                  ,75
Campo Grande,75
Campo dos Afonsos         ,75
Cascadura                 ,75
Catete                    ,75
Catumbi                   ,75
Cavalcanti                ,75
Centro                    ,75
Cidade Nova               ,75
Cidade Universitária      ,75
Cidade de Deus            ,75
Cocotá                    ,75
Coelho Neto               ,75
Colégio                   ,75
Complexo do Alemão        ,75
Copacabana                ,75
Cordovil                  ,75
Cosme Velho               ,75
Cosmos                    ,75
Costa Barros              ,75
Curicica                  ,75
Del Castilho              ,75
Deodoro                   ,75
Encantado                 ,75
Engenheiro Leal           ,75
Engenho Novo              ,75
Engenho da Rainha         ,75
Engenho de Dentro         ,75
Estácio                   ,75
Flamengo                  ,75
Freguesia (Ilha)          ,75
Freguesia (Jacarepaguá)   ,75
Galeão                    ,75
Gamboa                    ,75
Gardênia Azul             ,75
Gericinó,75
Glória                    ,75
Grajaú                    ,75
Grumari                   ,75
Guadalupe                 ,75
Guaratiba                 ,75
Gávea                     ,75
Higienópolis              ,75
Honório Gurgel            ,75
Humaitá                   ,75
Ilha de Guaratiba,75
Inhaúma                   ,75
Inhoaíba                  ,75
Ipanema                   ,75
Irajá                     ,75
Itanhangá                 ,75
Jabour,75
Jacarepaguá               ,75
Jacarezinho               ,75
Jacaré                    ,75
Jardim América            ,75
Jardim Botânico           ,75
Jardim Carioca            ,75
Jardim Guanabara          ,75
Jardim Sulacap            ,75
Joá                       ,75
Lagoa                     ,75
Lapa,75
Laranjeiras               ,75
Leblon                    ,75
Leme                      ,75
Lins de Vasconcelos       ,75
Madureira                 ,75
Magalhães Bastos          ,75
Mangueira                 ,75
Manguinhos                ,75
Maracanã                  ,75
Marechal Hermes           ,75
Maria da Graça            ,75
Maré                      ,75
Moneró                    ,75
Méier                     ,75
Olaria                    ,75
Osvaldo Cruz              ,75
Paciência                 ,75
Padre Miguel              ,75
Paquetá                   ,75
Parada de Lucas           ,75
Parque Anchieta           ,75
Parque Colúmbia           ,75
Pavuna                    ,75
Pechincha                 ,75
Pedra de Guaratiba        ,75
Penha                     ,75
Penha Circular            ,75
Piedade                   ,75
Pilares                   ,75
Pitangueiras              ,75
Portuguesa                ,75
Praia da Bandeira         ,75
Praça Seca                ,75
Praça da Bandeira         ,75
Quintino Bocaiúva         ,75
Ramos                     ,75
Realengo                  ,75
Recreio dos Bandeirantes  ,75
Riachuelo                 ,75
Ribeira                   ,75
Ricardo de Albuquerque    ,75
Rio Comprido              ,75
Rocha                     ,75
Rocha Miranda             ,75
Rocinha                   ,75
Sampaio                   ,75
Santa Cruz                ,75
Santa Teresa              ,75
Santo Cristo              ,75
Santíssimo                ,75
Saúde                     ,75
Senador Camará            ,75
Senador Vasconcelos       ,75
Sepetiba                  ,75
São Conrado               ,75
São Cristóvão             ,75
São Francisco Xavier      ,75
Tanque                    ,75
Taquara                   ,75
Tauá                      ,75
Tijuca                    ,75
Todos os Santos           ,75
Tomás Coelho              ,75
Turiaçú                   ,75
Urca                      ,75
Vargem Grande             ,75
Vargem Pequena            ,75
Vasco da Gama             ,75
Vaz Lobo                  ,75
Vicente de Carvalho       ,75
Vidigal                   ,75
Vigário Geral             ,75
Vila Isabel               ,75
Vila Kennedy,75
Vila Kosmos               ,75
Vila Militar              ,75
Vila Valqueire            ,75
Vila da Penha             ,75
Vista Alegre              ,75
Zumbi                     ,75
Água Santa                ,75
