name,ghs
"",75bv 75bvw 75bvx 75cj 75cj4 75cj5 75cj8 75cj9 75cjb 75cjc 75cjf 75cjg 75cjh 75cjk 75cjm 75cjn 75cjs 75cjt 75cju 75cjx 75cm 75cn 75cnn
 Avenida do Contorno,75cj4
21 de Abril,75cn
Acesso  Clara Nunes,75cjv
Acesso Ladeira dos Guararapes 121,75cm
Acesso Público,75cjg
Acesso Quadra 2 - CL 472498,75cn
Acesso a Almirante Alexandrino e Via Redentor,75cm
Acesso a Via Redentor,75cm
Acesso da João De Lery e Ladeira dos Guararapes,75cm
Acesso da Passarela,75cjx
Acesso da Rua Arará,75cm
Acesso do Beco Cosme e Damião,75cn
Acesso entre Vila Ponde e Travessa Valente,75cm
Acesso sem nome,75cj 75cm
Acesso sem nome - CL 465815,75bvq
Acesso sem nome - CL 465880,75bvq
Acesso sem nome - CL 466169,75bvq
Adro de São Francisco,75cm
Alameda Aimorés,75cm
Alameda América,75cn
Alameda Ataulfo Alves,75cn
Alameda Atlético,75cn
Alameda Caldense,75cn
Alameda Carlos Ferreira de Almeida,75cm
Alameda Chão de Estrelas,75cn
Alameda Corinthians,75cn
Alameda Cruzeiro,75cn
Alameda Curiós,75cn
Alameda D. Pedro II,75cm8
Alameda Dalton Barreto,75cjn
Alameda Del Rey Correa,75cjm 75cjt
Alameda Embaixador Sanchez Gavito,75cm
Alameda Engenheiro Jose de Oliveira Reis,75cm8
Alameda Faisões,75cn
Alameda Felicidade ,75cm8
Alameda Flafer,75cj8
Alameda Fluminense,75cn
Alameda Francisco Ribeiro,75cm8
Alameda General Leite de Castro,75cm
Alameda Guarani,75cn
Alameda João de Barro,75cn
Alameda Leonel,75cjg
Alameda Leontina Machado,75cm8
Alameda Licomédia Vieira,75cm8
Alameda Manoel Rosa,75cm8
Alameda Maria dos Anjos,75bvm
Alameda Maura Cunha,75cm8
Alameda Ministro Gama Filho,75cjx
Alameda Pai Benedito,75cn
Alameda Parque Alegria,75cm
Alameda Pastorinhas,75cn
Alameda Pavões,75cn
Alameda Perdizes,75cn
Alameda Periquitos,75cn
Alameda Principal ,75cm8
Alameda Quero-Quero,75cn
Alameda Rancho Fundo,75cn
Alameda Rouxinois,75cn
Alameda Sandra P. de Faria Alvim,75cj4
Alameda Santa Cruz,75cn
Alameda Santo Antônio,75bvm 75cm8
Alameda Sérgio Porto,75cn
Alameda Tico-Tico,75cn
Alameda União ,75cm8
Alameda Vasco,75cn
Alameda Waldir Boaventura,75cjz
Alameda da Boa Vontade,75cm8
Alameda da Lua ,75cm8
Alameda da Luz ,75cm8
Alameda da Paz ,75cm8
Alameda da Saudade,75cn
Alameda das Acácias,75cjn
Alameda das Amendoeiras,75cjn
Alameda das Andorinhas,75cn
Alameda das Arapongas,75cn
Alameda das Casuarinas,75cjn
Alameda das Palmeiras,75bvm
Alameda das Rosas,75cm8
Alameda das Sapucaias,75cm8
Alameda de Circulação do Quartel,75cm
Alameda do Céu,75cm8
Alameda do Divino ,75cm8
Alameda do Jequitiba,75cj
Alameda do Quartel,75cm
Alameda do Sol ,75cm8
Alameda dos Beija-flores,75cn
Alameda dos Bem-Te-Vis,75cn
Alameda dos Colibris,75cn
Alameda dos Flamboyants,75cjn
Alameda dos Ipês,75cjn
Alameda dos Marrecos,75cn
Alameda dos Oitis,75bvm
Alameda dos Palmeirais,75cj 75cjn
Alameda dos Papagaios,75cn
Alameda dos Pardais,75cn
Alameda dos Pelicanos,75cn
Alameda dos Pica-Paus,75cn
Alameda dos Pinheirais,75cjn
Alameda dos Pintassilgos,75cn
Alameda dos Pombos,75cn
Alameda dos Rolinhos,75cn
Alameda dos Sabiás,75cn
Alameda dos Três Bravos,75cju
Alameda dos Uirapurus,75cn
Alameda Álvaro Ferreira,75cm8
Alberto Aleixo,75cn
Almir Custódio de Lima ,75cn
Antogildo Pascoal,75cn
Autoestrada Engenheiro Fernando Mac Dowell,75cj 75cm
Autoestrada Lagoa Barra,75cjn
Avenda Projetada do Canal do Itá,75bv
Avenida  MARGINAL PAA 12203/PAL 47397,75cn
Avenida 1 PAA 9161-DER,75cj5
Avenida 3 PAA 10726/PAL 42430,75cj5
Avenida A,75bv 75bvx 75cju
Avenida A - PAA 10090/ PAL 37215,75cjm
Avenida A - PAA 12019 / PAL 46627,75cjh
Avenida A PAA 12278,75cj5
Avenida Acapulco,75bvx
Avenida Acrísio Mota,75cn
Avenida Adalgisa Colombo,75cjm
Avenida Adauto Botelho,75cjk 75cjs
Avenida Adelaide Chiozzo,75cjx
Avenida Adelino Moreira,75bv
Avenida Adilson Seroa da Motta,75cjn
Avenida Afonso Arinos de Melo Franco,75cj 75cjn
Avenida Afonso de Taunay,75cjn
Avenida Afrânio de Melo Franco,75cm
Avenida Agildo Ribeiro,75cjm
