name,ghs
Alecrim,7n
Areia Preta,7n
Barro Vermelho,7n
Bom Pastor,7n
Candelária,7n
Capim Macio,7n
Cidade Alta,7n
Cidade Nova,7n
Cidade da Esperança,7n
Dix-Sept Rosado,7n
Felipe Camarão,7n
Guarapes,7n
Igapó,7n
Lagoa Azul,7n
Lagoa Nova,7n
Lagoa Seca,7n
Mãe Luiza,7n
N.S. da Apresentação,7n
N.S. do Nazaré,7n
Neópolis,7n
Nordeste,7n
Nova Descoberta,7n
Pajuçara,7n
Parque das Dunas,7n
Petrópolis,7n
Pitimbu,7n
Planalto,7n
Ponta Negra,7n
Potengi,7n
Praia do Meio,7n
Quintas,7n
Redinha,7n
Ribeira,7n
Rocas,7n
Salinas,7n
Santos Reis,7n
Tirol,7n
