name,ghs
1 TRAVESSA ALUIZIO ALVES,7ny
2 TRAVESSA ALUIZIO ALVES,7ny
2 TRAVESSA SÃO JOSÉ,7ny
3 TRAVESSA ALUIZIO ALVES,7ny
4 TRAVESSA ALUIZIO ALVES,7ny
"AV PLANALTO CENTRAL
",7ny
AVENIDA ACHILLES NASSER FRAXE,7ny
AVENIDA ADEMILDE FONSECA,7ny
AVENIDA AJEMIRO DOS SANTOS,7ny
AVENIDA ALBERTO SANTOS DUMONT,7ny
AVENIDA ALEX SOARES GOMES FRANÇA,7ny
AVENIDA ALEXANDRE CAVALCANTE,7ny
AVENIDA AMBRÓSIO MIGUEL SINHAÉM,7ny
AVENIDA BACHAREL TOMAZ LANDIM,7ny
AVENIDA BENEDITO SANTANA,7ny
AVENIDA CAMPOS DE BAGATELLE,7ny
AVENIDA CIDADE DAS FLORES,7ny
AVENIDA CIDADE DAS ROSAS,7ny
AVENIDA CLÉA MARIA VARELA DA SILVA,7ny
AVENIDA CORONEL ESTEVAO MOURA,7ny
AVENIDA DAS FRONTEIRAS*,7ny
AVENIDA DAS ORQUIDEAS,7ny
AVENIDA DAS ROSAS,7ny
AVENIDA DAS TULIPAS,7ny
AVENIDA DOS LIRIOS,7ny
AVENIDA DOUTOR LACY XAVIER,7ny
AVENIDA ELIZA BRANCO PEREIRA DOS SANTOS,7ny
AVENIDA ELZA ANTUNES DE MELO,7ny
AVENIDA EMIL ANTHONY PETR,7ny
AVENIDA ERIVAN BAZÍLIO DOS SANTOS,7ny
AVENIDA FIRMINO MOURA,7ny
AVENIDA FLORES DO CAMPO,7ny
AVENIDA FLORES SILVESTRES,7ny
AVENIDA FRANCISCA MINERVINA DA SILVA,7ny
AVENIDA FRANCISCO DUARTE DE CARVALHO,7ny
AVENIDA FRANCISCO XAVIER QUINTILIANO,7ny
AVENIDA GABRIEL NASSER FRAXE,7ny
AVENIDA GENERAL LECO,7ny
AVENIDA GOVERNADOR TARCÍSIO MAIA,7ny
AVENIDA HENRIQUE EUFRÁSIO DE SANTANA,7ny
AVENIDA HILDEBRANDO RIBEIRO,7ny
AVENIDA IZABEL CORDEIRO DA SILVA,7ny
AVENIDA JANDIRA TINOCO,7ny
AVENIDA JOAQUIM RODRIGUES DA SILVA,7ny
AVENIDA JOSEFA ANDRADE,7ny
AVENIDA JOSÉ BEZERRA DA SILVA,7ny
AVENIDA JOSÉ MELO DE SOUZA,7ny
AVENIDA JOÃO BATISTA COUTINHO,7ny
AVENIDA JOÃO DINO MAIA,7ny
AVENIDA JUAREZ DINIZ,7ny
AVENIDA LUCRÉCIA,7ny
AVENIDA LUIZ ANTÔNIO DE OLIVEIRA,7ny
AVENIDA LUIZ FLORÊNCIO DA COSTA,7ny
AVENIDA LUIZ GONZAGA DA SILVA,7ny
AVENIDA MANOEL FREIRE,7ny
AVENIDA MARANHAO,7ny
AVENIDA MARIA DE FATIMA MAGALHAES,7ny
AVENIDA MARIA RODIGUES DA COSTA,7ny
AVENIDA NOVA ZELÂNDIA,7ny
AVENIDA PADRE AMBROSIO FRANCISCO FERRO,7ny
AVENIDA PADRE ANDRE DE SOVERALL,7ny
AVENIDA PADRE TIAGO THEISEN,7ny
AVENIDA PADRE TITO,7ny
AVENIDA PARIS,7ny
AVENIDA PEDRO AFONSO,7ny
AVENIDA PREFEITO JOAQUIM VITOR DE HOLANDA,7ny
AVENIDA PROFESSORA EVA IVA DIAS,7ny
AVENIDA ROMERITO SIMPLÍCIO DOS SANTOS,7ny
AVENIDA RUY PEREIRA DOS SANTOS,7ny
AVENIDA RUY PEREIRA DOS SANTOS(BR-406),7ny
AVENIDA SAO CRISTOVAO,7ny
AVENIDA SAO LUIZ,7ny
AVENIDA SÃO BARTOLOMEU*,7ny
AVENIDA SÃO VICENTE DE PAULA,7ny
AVENIDA SÉRVULO TEIXEIRA DE MOURA,7ny
AVENIDA TABELIAO INACIO GOMES DE ABREU,7ny
AVENIDA TAINÁ CARVALHO,7ny
AVENIDA VEREADOR AILDO MENDES,7ny
AVENIDA VEREADORA FRANCISCA LINS RODRIGUES,7ny
AVENIDA VERÔNICA GOMES DA SILVA,7ny
AVENIDA VICE PRESIDENTE MARLENE BARBOSA,7ny
AVENIDA VITORIA REGIA,7ny
AVENIDA YGOR BRUNO DE ALBUQUERQUE CAMPOS(RN-160,7ny
ESTRADA GUANDUBA*,7ny
ESTRADA VICINAL,7ny
MARGINAL BR-406,7ny
PRACA DA JUSTICA,7ny
PRACA DA SAUDADE,7ny
PRACA ELIA DE BARROS,7ny
PRACA SENADOR DINARTE MARIZ,7ny
"R PL MERIDIONAL
",7ny
RODOVIA BR-101,7ny
RODOVIA BR-406,7ny
RODOVIA RN-160,7ny
RUA 11 DE OUTUBRO,7ny
RUA 14 BIS,7ny
RUA 15 DE NOVEMBRO,7ny
RUA 31 DE MARCO,7ny
RUA ABEL BELARMINO DE AMORIM,7ny
RUA ABEL LIMA NETO,7ny
RUA ABROLHOS,7ny
RUA ABÍLIO EMERENCIANO,7ny
RUA ACRE,7ny
RUA ADALGISO FRANCISCO DO NASCIMENTO,7ny
RUA ADAUTO PEREIRA DE ARAÚJO,7ny
RUA ADEMILDE FONSECA,7ny
RUA ADRIANA FARIA DE OLIVEIRA,7ny
RUA ADRIANO ALVES VERAS,7ny
RUA ADRIÃO DUARTE DÓRIA,7ny
RUA AERO BOERO,7ny
RUA AEROMOT,7ny
RUA AGNALDO CORREIA DE MELO,7ny
RUA AGOSTINHO AFONSO,7ny
RUA AGRIPÍNO OLIVEIRA NETO,7ny
RUA AGUIA,7ny
RUA AILERON,7ny
RUA ALAGOAS,7ny
RUA ALBERTO MARANHAO,7ny
RUA ALCANTARA,7ny
RUA ALDECI RODRIGUES,7ny
RUA ALEPPO,7ny
RUA ALEX GONZAGA,7ny
RUA ALEXANDRE CAVALCANTE,7ny
RUA ALEXANDRE CESAR CAVALCANTI,7ny
RUA ALEXANDRE HEBERT SUDÁRIO,7ny
RUA ALEXANDRE SALDANHA,7ny
RUA ALEXANDRIA,7ny
RUA ALICE BEZERRA,7ny
RUA ALLAN VERÍSSIMO,7ny
RUA ALMINO AFONSO,7ny
RUA ALONSO FERREIRA,7ny
RUA ALTAMIRA CUNHA DO NASCIMENTO,7ny
RUA ALUIZIO ALVES,7ny
RUA ALUÍSIO BORGES DA SILVA,7ny
RUA ALVORADA,7ny
RUA ALZIRA ALEXANDRE DE LIMA,7ny
RUA ALZIRA MONTEIRO,7ny
RUA ALZIRA SOARES DA CÂMARA SILVA,7ny
RUA ALÍPIO GUEDES DA SILVA,7ny
RUA AMAPA,7ny
RUA AMARILIS,7ny
RUA AMARO BANDEIRA DE ARAÚJO,7ny
RUA AMAURY RAMALHO PESSOA,7ny
RUA AMAZONAS,7ny
RUA AMILENE FRANCISCA VALCÁCIO DA SILVA,7ny
RUA AMSTERDÃ,7ny
RUA AMÁLIA CESÁRIO DE FREITAS,7ny
RUA AMÁLIA SILVA DE MATOS,7ny
RUA AMÉRICO CABRAL DE LIMA,7ny
RUA ANA CECILIA CABRAL,7ny
RUA ANA CLÉCIA VARELA,7ny
RUA ANA COELHO GOMES,7ny
RUA ANA ELIZABETE LENZI,7ny
RUA ANA FRANCISCA DOS ANJOS,7ny
RUA ANA MARIA,7ny
RUA ANA PATRICIA OLIVEIRA,7ny
RUA ANATILDE NASCIMENTO DE ASSIS,7ny
RUA ANDORINHAS,7ny
RUA ANDRÉ LUIZ DE LIMA,7ny
RUA ANDRÉ SUDÁRIO PRADO,7ny
RUA ANGELICA,7ny
RUA ANIZIA MENDES DOS SANTOS,7ny
RUA ANTONIO BARACHO,7ny
RUA ANTONIO OSCAR PEREIRA DE BRITO,7ny
RUA ANTONIO VILELA CID,7ny
RUA ANTONOV,7ny
RUA ANTURIOS,7ny
RUA ANTÔNIO BELARMINO PONTES,7ny
RUA ANTÔNIO DUARTE DE CARVALHO,7ny
RUA ANTÔNIO ETELVINO DA COSTA,7ny
RUA ANTÔNIO FIRMINO DE MOURA,7ny
RUA ANTÔNIO HENRIQUE DE BRITO,7ny
