name,ghs
AV AVENIDA GRCIA,6w5
AV AVENIDA PROJETADA 02,6w5f
AV CLOVIS ARRAES CHAVES,6w5fn
AV DAS GARAS,6w5f
AV DAS PAINEIRAS,6w5f
AV DOUTOR ANTONIO FRANCELINO DOS SANTOS,6w5 6w5f
AV DR ANTONIO FRANCELINO DOS SANTOS,6w5
AV DRA. ELAINE ALTAFIN,6w5 6w5fp
AV ECOVILLE,6w5fn
AV EDMUNDO FERREIRA DOS SANTOS,6w5
AV ENGENHEIRO MANFREDO BARATA DA FONSECA,6w5f 6w5fn
AV FRANCISCO VAREA DOMINGUES,6w5f
AV GRECIA,6w5
AV HOLANDA,6w5
AV LAGO AZUL,6w5f
AV LIRIO POSSAMAI,6w5
AV MANOEL FERNANDES TEIXEIRA,6w5fn
AV MILÇO,6w5f
AV NAIR ALMEIDA E SILVA TEIXEIRA,6w5fn
AV RAIMUNDO FERREIRA DOS SANTOS,6w5
AV RAIMUNDO JOSE DA SILVA,6w5fn
AV RODOLFO EURICO BIERENDE,6w5
AV ROMULO RIOS,6w5fn
AV SÇO PAULO,6w5fp
AV. 02 DE ABRIL,6w5f 6w5fn
AV. 15 DE NOVEMBRO,6w5fn
AV. 200,6w5
AV. 22 DE NOVEMBRO,6w5fn
AV. 300,6w5
AV. 900,6w5 6w5fn
AV. A,6w5 6w5f
AV. ARACAJU,6w5fn 6w5fp
AV. AYRTON SENNA,6w5f
AV. B,6w5 6w5f
AV. BELA JI-PARANA,6w5f
AV. BRASIL,6w5fn 6w5fp
AV. C,6w5 6w5f 6w5fp
AV. CANAA,6w5 6w5fp
AV. CAPITAO SILVIO,6w5fn
AV. CASTELO BRANCO,6w5f
AV. COLINA PARK 02,6w5fn
AV. CORAAO DE RONDONIA,6w5f 6w5fn
AV. D,6w5
AV. DA PROCLAMACAO,6w5 6w5fn
AV. DAS SERINGUEIRAS,6w5 6w5fp
AV. DOM BOSCO,6w5fn
AV. E,6w5
