name,ghs
1001,6w
1002,6w
1003,6w
1004,6w
1005,6w
1006,6w
1007,6w
1008,6w
1009,6w
1010,6w
1011,6w
1012,6w
1013,6w
1014,6w
1015,6w
1016,6w
1017,6w
1018,6w
1019,6w
1020,6w
1021,6w
1022,6w
1024,6w
1027,6w
1028,6w
1029,6w
1030,6w
1031,6w
1032,6w
1033,6w
1034,6w
1035,6w
1036,6w
1037,6w
1038,6w
1039,6w
1040,6w
1041,6w
1042,6w
1043,6w
1044,6w
1045,6w
1046,6w
1047,6w
1048,6w
1049,6w
1065,6w
1066,6w
1067,6w
1068,6w
1069,6w
1070,6w
1071,6w
1072,6w
1073,6w
1074,6w
1075,6w
1076,6w
1077,6w
1078,6w
1079,6w
1080,6w
1081,6w
1082,6w
1083,6w
1084,6w
1085,6w
1086,6w
1087,6w
1088,6w
1089,6w
1090,6w
1091,6w
1092,6w
1093,6w
1094,6w
1095,6w
1097,6w
1098,6w
1099,6w
1100,6w
1101,6w
1102,6w
1103,6w
1104,6w
1105,6w
1106,6w
1107,6w
1108,6w
1109,6w
1110,6w
1111,6w
1112,6w
1113,6w
1114,6w
1115,6w
1116,6w
1117,6w
1118,6w
1119,6w
1120,6w
1121,6w
1130,6w
1132,6w
1133,6w
1134,6w
1135,6w
1137,6w
1140,6w
1144,6w
1154,6w
1161,6w
1164,6w
1168,6w
1172,6w
1173,6w
1175,6w
1196,6w
1197,6w
1201,6w
1203,6w
1207,6w
1208,6w
1222,6w
1223,6w
1224,6w
1235,6w
1302,6w
2001,6w
2002,6w
2003,6w
2004,6w
2005,6w
2006,6w
2007,6w
2008,6w
2009,6w
2010,6w
2011,6w
2012,6w
2013,6w
2014,6w
2015,6w
2016,6w
2017,6w
2018,6w
2019,6w
2020,6w
2021,6w
2022,6w
2024,6w
2025,6w
2029,6w
2030,6w
2º linha Gleba G (Segundinha),6w
4 Linha Gleba G,6w
4º Linha Gleba G,6w
Acesso a Aldeia Arara,6w
Alameda Amora,6w
Alameda Aroeira,6w
Alameda Açaí,6w
Alameda Bacurí,6w
Alameda Caju,6w
Alameda Cajá,6w
Alameda Caqui,6w
Alameda Cerejeira,6w
Alameda Coqueiro,6w
Alameda Goiabeiras,6w
Alameda Ipê Amarelo,6w
Alameda Ipê Rosa,6w
Alameda Jabuti,6w
Alameda Jatobá,6w
Alameda Jequitibá,6w
Alameda Macaúba,6w
Alameda Mangueiras,6w
Alameda Palmeiras,6w
Alameda Pequi,6w
Alameda Sapotí,6w
Alameda das Alfazemas,6w
Alameda das Hortências,6w
Alameda das Orquideas,6w
Alameda das Rosas,6w
Alameda das Tulipas,6w
Alameda das Verônicas,6w
Alameda das Violetas,6w
Alameda das Águas,6w
Alameda dos Girassóis,6w
Alameda dos Lírios,6w
Anel Viário,6w
Av. 2 de Abril,6w
Av. Apucarana,6w
Av. Aracajú,6w
Av. Araguaia,6w
Av. Beira Rio,6w
Av. Bela Ji-Paraná,6w
Av. Brasil,6w
Av. Campo Bonito,6w
Av. Cloves Arraes Chaves,6w
Av. Coração de Rondônia,6w
Av. Cruzeiro do Sul,6w
Av. Dom Bosco,6w
Av. Dorival Bernardi,6w
Av. Dr. Antônio Francelino,6w
Av. Dra Elaine Altafin,6w
Av. Ecoville,6w
Av. Edmundo Ferreira dos Santos,6w
Av. Edson Lima do Nascimento,6w
Av. Francisco Corrêa Castilho,6w
Av. Francisco Corrêa Castilho - PROJETO,6w
Av. Francisco Pereira dos Santos,6w
Av. Francisco Varea Domingues,6w
Av. Gabriela Amim Campos,6w
Av. Gabriela Amim Campos - PROJETO,6w
"Av. Governador Jorge Teixeira de
Oliveira",6w
Av. Ji-Paraná,6w
Av. José Carlos Martins Vilela,6w
Av. Manoel Fernandes Teixeira (Neneo Teixeira),6w
Av. Manoel Luiz de Brito,6w
Av. Maracatiara,6w
Av. Marechal Rondon,6w
Av. Maringá,6w
Av. Mato Grosso,6w
Av. Miguel Luis dos Santos,6w
Av. Nair Almeida e Silva Teixeira,6w
Av. Orestes Matana,6w
Av. Pe. Adolfo Rohl,6w
Av. Portinari,6w
Av. Raimundo José da Silva,6w
Av. Rio Aripuanã,6w
Av. Rio Mamoré,6w
Av. Rio Urupá,6w
Av. Rui Barbosa,6w
Av. Rômulo Rios,6w
Av. Santa Maria da Saúde,6w
Av. Seringalista José Milton Rios,6w
Av. São Paulo,6w
Av. Tarauacá,6w
Av. Transcontinental,6w
Av. Triângulo Mineiro,6w
Av. Universitária,6w
Av. Vitória Régia,6w
Av. da Proclamação,6w
Av. da Seringueira,6w
Av. das Azaleias,6w
BR 364,6w
BR364,6w
Beco do Balau,6w
Entrada Espelho d'água,6w
Estrada José Modesto (Estrada dos Padres),6w
Estrada Velha,6w
Estrada da Eucatur,6w
Estrada do Km 12,6w
Estrada do Km 16,6w
Estrada do Paulista,6w
Estrada do Telírio,6w
Estrada do km 14,6w
KM 09,6w
Km 09,6w
Km 11,6w
