name,ghs
"3 10, R",6f3
"3 10, TR",6f3tc
"3 10, VL",6f3tb
"3 102, R",6f3 6f3tb
"3 103, TR",6f3tb
"3 104, R",6f3t8
"3 105,",6f3 6f3tb
"3 106, TR",6f3 6f3tb
"3 107, R",6f3 6f3tb
"3 107, TR",6f3 6f3tb
"3 108, R",6f3
"3 108, TR",6f3
"3 109, R",6f3t8
"3 109, TR",6f3
"3 11, R",6f3 6f3tb
"3 11, TR",6f3tc
"3 11, VL",6f3tb
"3 110, R",6f3
"3 110, TR",6f3
"3 112, TR",6f3
"3 115, TR",6f3tb
"3 116, R",6f3t
"3 116, TR",6f3tb
"3 117, TR",6f3tc
"3 118, TR",6f3
"3 119, TR",6f3
"3 12, R",6f3tc
"3 12, VL",6f3
"3 120, R",6f3 6f3tb
"3 120, TR",6f3tb
"3 121, TR",6f3tb
"3 122, R",6f3
"3 122, TR",6f3
"3 123, R",6f3tb
"3 123, TR",6f3tb
"3 131, R",6f3tb
"3 14 BIS, R",6f3t
"3 14, TR",6f3tc
"3 143, R",6f3tc
"3 149, R",6f3tc
"3 155, R",6f3tc
"3 157, R",6f3tb
"3 158, R",6f3tb
"3 16, TR",6f3tc
"3 16, VL",6f3t8
"3 17, R",6f3tc
"3 17, TR",6f3t
"3 176, R",6f3t8
"3 179, R",6f3t8
"3 18, TR",6f3t
"3 18, VL",6f3t8
"3 180, R",6f3t8
"3 181, R",6f3t8
"3 182, R",6f3t8
"3 186, R",6f3tb
"3 19, VL",6f3t8
"3 191, R",6f3
"3 192, R",6f3
"3 193, R",6f3
"3 194, R",6f3
"3 195, R",6f3
"3 196, R",6f3
"3 197, R",6f3
"3 198, R",6f3
"3 199, R",6f3
"3 2, VL",6f3tb
"3 20 DE SETEMBRO, R",6f3tb 6f3tc
"3 20, TR",6f3t8
"3 20, VL",6f3t8
"3 206, R",6f3tb 6f3tc
"3 21 DE ABRIL, R",6f3t
"3 21 DE JUNHO, R",6f3tc
"3 21, R",6f3t8
"3 21, TR",6f3t8
"3 21, VL",6f3tb
"3 210, R",6f3tb
"3 213, R",6f3t8
"3 214, R",6f3t8
"3 216, R",6f3t8 6f3tb
"3 217, R",6f3t8 6f3tb
"3 219, R",6f3tb
"3 220, R",6f3tb
"3 221, R",6f3tb
"3 223, R",6f3t8
"3 224, R",6f3t8
"3 226, R",6f3tb
"3 227, R",6f3tb
"3 228, R",6f3tb
"3 229, R",6f3tb
"3 231, R",6f3 6f3tb
"3 232, R",6f3
"3 233, R",6f3
"3 234, R",6f3 6f3tb
"3 235, R",6f3 6f3tb
"3 236, R",6f3 6f3tb
"3 237, R",6f3 6f3tb
"3 238, R",6f3 6f3tb
"3 239, R",6f3 6f3tb
"3 24 DE AGOSTO, R",6f3tb 6f3tc
"3 24 DE MAIO, R",6f3tb
"3 245, R",6f3tb
"3 25, TR",6f3t
"3 250, R",6f3tb
"3 254, R",6f3
"3 259, R",6f3
"3 27, R",6f3t8
"3 28, TR",6f3tc
"3 28, VL",6f3t8
"3 285, R",6f3t8
"3 29, R",6f3tc
"3 290, R",6f3t8
"3 291, R",6f3t8
"3 292, R",6f3t8
"3 293, R",6f3t8
"3 294, R",6f3t8
"3 296, R",6f3t
"3 298, R",6f3t
"3 299, R",6f3t
"3 3, VL",6f3tb
"3 300, R",6f3t
"3 302, R",6f3t
"3 303, R",6f3t
"3 304, R",6f3t
"3 305, R",6f3t
"3 307, R",6f3t
"3 309, R",6f3t
"3 310, R",6f3t
"3 311, R",6f3t
"3 312, R",6f3t
"3 313, R",6f3t
"3 314, R",6f3t
"3 315, R",6f3t
"3 316, R",6f3t
"3 317, R",6f3t
"3 319, R",6f3t8
"3 326, R",6f3t8
"3 332, R",6f3t8
"3 336, R",6f3t8
"3 338, R",6f3tb
"3 339, R",6f3tb
"3 340, R",6f3tb
"3 341, R",6f3tb
"3 342, R",6f3tb
"3 343, R",6f3tb
"3 346, R",6f3tb
"3 347, R",6f3tb
"3 349, R",6f3tb
"3 353, R",6f3
"3 354, R",6f3
"3 356, R",6f3
"3 357, R",6f3
"3 360, R",6f3
"3 362, R",6f3t8
"3 364, R",6f3t8
"3 365, R",6f3t8
"3 367, R",6f3t8 6f3tb
"3 370, R",6f3t
"3 374, R",6f3t8
"3 375, R",6f3t 6f3t8
"3 376, R",6f3t
"3 377, R",6f3t8
"3 378, R",6f3t8
"3 379, R",6f3t8
"3 38, R",6f3t
"3 380, R",6f3t 6f3t8
"3 381, R",6f3t
"3 382, R",6f3t
"3 383, R",6f3t
"3 384, R",6f3t
"3 385, R",6f3t
"3 386, R",6f3t
"3 388, R",6f3t8
"3 389, R",6f3tb
"3 396, R",6f3tb
"3 397, R",6f3tb
"3 4, VL",6f3t8
"3 40, TR",6f3t8
"3 400, R",6f3tb
"3 402, R",6f3tb
"3 408, R",6f3tb
"3 41, R",6f3tb
"3 41, TR",6f3t8
"3 416, RUA",6f3tc
"3 417, RUA",6f3tc
"3 418, R",6f3tc
"3 419, R",6f3 6f3tc
"3 42, R",6f3t
"3 420, R",6f3 6f3tc
"3 421, R",6f3tc
"3 422, R",6f3tc
"3 423, R",6f3tc
"3 425, R",6f3tc
"3 428, R",6f3t8
