name,ghs
 R . VEREADOR POMPILIO NUNES,6f3
10,6f3
109,6f3
11,6f3
131,6f3
134,6f3
16,6f3
17 DE JULHO,6f3
176,6f3
20,6f3
25,6f3
293m,6f3
357,6f3
38,6f3
420,6f3
426,6f3
482,6f3
740,6f3
810,6f3
814,6f3
ADEOMAR DOS SANTOS,6f3
AL. ARAGON FERRAZ,6f3
ANTONIO DACHERY TRAV,6f3
ARISTIDES ROLIN MILANO,6f3
AV ASSIS BRASIL DR,6f3
AV ATTILA TABORDA DR,6f3
AV BARAO DO TRIUNFO,6f3
AV DARIO BROSSARD,6f3
AV EMILIO GUILAIN,6f3
AV ESPANHA,6f3
AV GAL OSORIO,6f3
AV GASPAR SILVEIRA MARTINS,6f3
AV ITALIA,6f3
AV JACINTO FERRER,6f3
AV JOSE DO PATROCINIO,6f3
AV MAL FLORIANO,6f3
AV ONOFRE PIRES,6f3
AV PEDRO OSORIO,6f3
AV PORTUGAL,6f3
AV PRESIDENTE VARGAS,6f3
AV TUPY SILVEIRA,6f3
AV VISCONDE DE RIBEIRO MAGALHAE,6f3
AV. MARIA ANUNCIAÇÃO GOMES DE GODOY,6f3
BENTO GONCALVES,6f3
CANTALICIO BARBOSA,6f3
CECILIA MEIRELLES,6f3
COELHO NETTO,6f3
CR DA BOTICA,6f3
CR DAS TROPAS,6f3
DAVI MAZINI,6f3
DEZESSETE DE JULHO,6f3
DO ACAMPAMENTO,6f3
DO ARROIO,6f3
DO PASSO DOS VIMES,6f3
DORA GARCIA SIMÕES,6f3
ELTON GOMES TEIXEIRA,6f3
EMILIO GUILAIN,6f3
ES ANEL RODOVIARIO,6f3
ES DO PASSO DOS VIMES,6f3
ES DO QUEBRACHO,6f3
ES ESTRADA DO PASSO DO APERTADO,6f3
ES ESTRADA DOS BRETES,6f3
ES GAL ARTIGAS,6f3
ES GAL MALLET,6f3
ES HIGIENOPOLIS,6f3
ES PASSO DAS PEDRAS,6f3
ES SÍLVIO ANTÔNIO BUENO DE OLIVEIRA,6f3
ESPANHA,6f3
ESTRADA DO BOSQUE,6f3
ESTRADA DOS BRETES,6f3
FELIPE QUADROS RUA,6f3
GAL JOAO MANOEL BUDO,6f3
ILDEFONSO PEGAS,6f3
ITAJAI,6f3
JOENIR MARCOS C. DOS,6f3
JOSE ANTONIO DOS SAN,6f3
JOSE LUIZ FREDERICH FRANCK,6f3
JOSE LUIZ MACHADO R,6f3
LUIS CARLOS MEDICI,6f3
LUIZA AMALIA GONCALV,6f3
MAE LUCIANA,6f3
MIGUEL MELO  RUA,6f3
MONS CONSTABILE HIPOLITO,6f3
OLAVO BILAC,6f3
ORLANDO OBERST BRASI,6f3
OSMAR PAZ PALMA RUA,6f3
PADRE ANTONIO VIEIRA,6f3
PAULO JORGE BARBOSA,6f3
PAULO TAVARES COSTA,6f3
PEDRO AMARAL,6f3
PONCIANO MACIEL MAIA,6f3
PROF MELANIE GRANIER,6f3
PROF NICE NOCCHI,6f3
PROF. AMELIA TERRES BARRETO,6f3
PROF. RUI VIEIRA BAR,6f3
PROFESSOR DANIEL RODRIGUES DA SILVA,6f3
Prof�. Maria Vasconcellos,6f3
R  ARISTEU NUNES,6f3
R 10,6f3
R 102,6f3
R 104,6f3
R 105,6f3
R 107,6f3
R 108,6f3
R 109,6f3
R 11,6f3
R 120,6f3
R 123,6f3
R 131,6f3
R 134,6f3
R 14 BIS,6f3
R 149,6f3
R 176,6f3
R 180,6f3
R 181,6f3
R 182,6f3
R 186,6f3
R 193,6f3
R 194,6f3
R 195,6f3
R 196,6f3
R 197,6f3
R 198,6f3
R 199,6f3
R 20 DE SETEMBRO,6f3
R 206,6f3
R 21,6f3
R 21 DE ABRIL,6f3
R 21 DE JUNHO,6f3
R 210,6f3
R 217,6f3
R 219,6f3
R 220,6f3
R 224,6f3
R 226,6f3
R 227,6f3
R 228,6f3
R 229,6f3
R 230,6f3
R 231,6f3
R 232,6f3
R 233,6f3
R 234,6f3
R 235,6f3
R 236,6f3
R 237,6f3
R 238,6f3
R 239,6f3
R 24 DE AGOSTO,6f3
R 24 DE MAIO,6f3
R 245,6f3
R 254,6f3
R 259,6f3
R 285,6f3
R 29,6f3
R 290,6f3
R 291,6f3
R 292,6f3
R 293,6f3
R 294,6f3
R 296,6f3
R 299,6f3
R 300,6f3
R 302,6f3
R 304,6f3
R 305,6f3
R 307,6f3
R 309,6f3
R 310,6f3
R 311,6f3
R 312,6f3
R 313,6f3
R 314,6f3
R 315,6f3
R 316,6f3
R 317,6f3
R 319,6f3
R 338,6f3
R 339,6f3
R 340,6f3
R 341,6f3
R 342,6f3
R 343,6f3
R 346,6f3
R 353,6f3
R 357,6f3
R 362,6f3
R 367,6f3
R 370,6f3
R 374,6f3
R 375,6f3
R 376,6f3
R 377,6f3
R 378,6f3
R 379,6f3
R 38,6f3
R 380,6f3
R 381,6f3
R 382,6f3
R 383,6f3
R 384,6f3
R 388,6f3
R 396,6f3
R 400,6f3
R 408,6f3
R 41,6f3
R 42,6f3
R 421,6f3
R 422,6f3
R 423,6f3
R 424,6f3
R 425,6f3
R 428,6f3
R 448,6f3
R 449,6f3
R 461,6f3
R 463,6f3
R 472,6f3
R 473,6f3
R 474,6f3
R 477,6f3
R 478,6f3
R 479,6f3
R 48,6f3
R 482,6f3
R 489,6f3
R 491,6f3
R 494,6f3
R 52,6f3
R 57,6f3
R 58,6f3
R 59,6f3
R 702 COHAB,6f3
R 721 COHAB,6f3
R 726,6f3
R 727,6f3
R 728,6f3
R 729,6f3
R 73,6f3
R 732,6f3
R 735,6f3
R 738,6f3
R 748,6f3
R 756,6f3
R 762,6f3
R 765,6f3
R 767,6f3
R 769,6f3
R 773,6f3
R 775,6f3
R 780,6f3
R 796,6f3
R 811,6f3
R 813,6f3
R 91,6f3
R 93,6f3
R 94,6f3
R ABRAHAN LINCONLN,6f3
R ACRISIO JACINTO PEREIRA DR,6f3
R ADAIL MERCIO BITTENCOURT,6f3
R ADOLFO GONÇALVES,6f3
R ADOLFO LUIZ DUPONT,6f3
R ADRIANO FERREIRA TEN,6f3
R AFIF IEFFET,6f3
R AFONSO GARRASTAZU,6f3
R AKASAKOFF DE VILHENA DR.,6f3
R ALAN KARDEK,6f3
R ALAOR LIMA DA SILVA,6f3
R ALCEBIADES G.GONTAN,6f3
R ALCIDES ETCHEGOIEN,6f3
R ALFREDO HAROLDO B. BURNS DR,6f3
R ALMIRANTE GONCALVES,6f3
R ALVARO AYRES MACHADO,6f3
R ALVARO DE AZEVEDO,6f3
R ALVARO LARANGEIRA,6f3
R ALVARO SILVEIRA DIAS,6f3
R AMARO ROBAINA,6f3
R AMELIA MARQUES MACHADO,6f3
R AMERICO SILVEIRA DIAS,6f3
R AMILTON XIMENDES RODRIGUES,6f3
