name,ghs
01 - LOTEAMENTO ARCOVERDE,6fetu
01-LOT. CANOAS MINHA TERRA I,6fet 6fete
01-LOT. DONA RAFAELA,6fetu
01-LOT. EMPRESARIAL OZANAN,6fe
01-LOT. JOÃO DE BARRO,6fete
01-LOT. MORADA CIDADÃ,6fet 6fete
01-LOT. NOVA ESTANCIA II,6fetu
01-LOT. RES. CANOAS LESTE,6fet 6fetu
01-LOT. RES.DO PARQUE,6fete 6fetg
01-LOT. SETE DE OUTUBRO,6fetu
01-LOT.CANOAS MINHA TERRA II,6fet
01-LOTEAMENTO PARADIS,6fe 6fetur
01-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
02-LOT. CANOAS MINHA TERRA II,6fet 6fete
02-LOT. DONA RAFAELA,6fetu
02-LOT. MACRO QUARTEIRÃO I,6fetur
02-LOT. NOVA ESTANCIA II,6fetu
02-LOT. PORTO VERDE,6fetu
02-LOT. SETE DE OUTUBRO,6fetu
02-LOTEAMENTO PARADIS,6fe
02-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fet 6fetu
02-MACRO QUARTEIRÃO 4,6fetu
02-VILA SANTA MARIA,6fetu
03- MACRO QUART.01-PARTE 02,6fetur
03-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuk 6fetum
03-LOT. CANOAS MINHA TERRA II,6fet 6fete
03-LOT. IGARA III,6fetu
03-LOT. NOVA ESTANCIA II,6fetu
03-LOT. RES. CANOAS LESTE,6fet
03-LOT. SETE DE OUTUBRO,6fetu
03-LOTEAMENTO PARADIS,6fe
03-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
03-MACRO QUARTEIRÃO 4,6fetu
03-VILA SANTA MARIA,6fetu
04 -MACRO QUART.01-PARTE 02,6fetur
04-CONJ.H.ILDO MENEGHETTI,6fetum
04-LOT. NOVA ESTANCIA II,6fetu
04-LOT. RES. CANOAS LESTE,6fet
04-LOT. SETE DE OUTUBRO,6fetu
04-LOTEAMENTO PARADIS,6fe
04-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
04-MACRO QUARTEIRÃO 4,6fetu
04-VILA SANTA MARIA,6fetu
04A-CONJ.H.ILDO MENEGHETTI,6fetum
05-CONJ.H.ILDO MENEGHETTI,6fetu 6fetum 6fetuq
05-LOT. CANOAS MINHA TERRA I,6fet
05-LOT. NOVA ESTANCIA II,6fetu
05-LOTEAMENTO PARADIS,6fe 6fetur
05-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
05-MACRO QUARTEIRÃO 4,6fetu
05-VILA SANTA MARIA,6fetu
06 DE JUNHO,6fetu
06-CONJ.H.ILDO MENEGHETTI,6fetum 6fetuq
06-LOT. NOVA ESTANCIA II,6fetu
06-LOT. SETE DE OUTUBRO,6fetu
06-LOTEAMENTO PARADIS,6fe 6fetur
06-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
06-MACRO QUARTEIRÃO 4,6fetu
06-VILA SANTA MARIA,6fetu
07- MACRO QUARTEIRÃO 04,6fetu
07-CONJ.H.ILDO MENEGHETTI,6fetf 6fetu 6fetuq 6fetur
07-LOT. SETE DE OUTUBRO,6fetu
07-LOTEAMENTO PARADIS,6fe
07-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
07-VILA SANTA MARIA,6fetu
08- LOT. MACRO QUARTEIRÃO II,6fetu 6fetur
08- MACRO QUART.01-PARTE 02,6fetur
08- MACRO QUARTEIRÃO 04,6fetu
08-LOT. SETE DE OUTUBRO,6fetu
08-LOTEAMENTO PARADIS,6fe
08-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fet 6fetu
08-VILA SANTA MARIA,6fetu
08A-CONJ.H.ILDO MENEGHETTI,6fetu
08B-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuk
08C-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuk
09- LOT. MACRO QUARTEIRÃO II,6fetur
09-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuk
09-LOT. JOÃO DE BARRO,6fete
09-LOT. SETE DE OUTUBRO,6fetu
09-LOTEAMENTO PARADIS,6fe
09-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fet
09-MACRO QUARTEIRÃO 04,6fetu
09-VILA SANTA MARIA,6fetu
10- MACRO QUARTEIRÃO 04,6fetu
10-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuk
10-LOT. MACRO QUARTEIRÃO II,6fetur
10-LOTEAMENTO PARADIS,6fe
10-VILA SANTA MARIA,6fetu
100A-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuq
100B-CONJ.H.ILDO MENEGHETTI,6fetuq
100C-CONJ.H.ILDO MENEGHETTI,6fetu 6fetuq
101A-CONJ.H.ILDO MENEGHETTI,6fetuq
101B-CONJ.H.ILDO MENEGHETTI,6fetuq
102-CONJ.H.ILDO MENEGHETTI,6fetuq
103-CONJ.H.ILDO MENEGHETT,6fetuq
104-CONJ.H.ILDO MENEGHETT,6fetuq
105-CONJ.H.ILDO MENEGHETT,6fetuq
106-CONJ.H.ILDO MENEGHETT,6fetuq
107-CONJ.H.ILDO MENEGHETT,6fetuq
108-CONJ.H.ILDO MENEGHETT,6fetuq
11-CONJ.H.ILDO MENEGHETT,6fetu
11-LOT. MACRO QUARTEIRÃO 2,6fetur
11-LOTEAMENTO PARADIS,6fe
11-VILA SANTA MARIA,6fetu
110-CONJ.H.ILDO MENEGHETT,6fetu 6fetuq 6fetur
111-CONJ.H.ILDO MENEGHETT,6fetuq
112-CONJ.H.ILDO MENEGHETT,6fetuq 6fetur
113A-CONJ.H.ILDO MENEGHET,6fetur
113B-CONJ.H.ILDO MENEGHET,6fetur
113C-CONJ.H.ILDO MENEGHET,6fetur
114A-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
114B-CONJ.H.ILDO MENEGHET,6fetur
114C-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
115-CONJ.H.ILDO MENEGHETT,6fete 6fetuq 6fetur
116A-CONJ.H.ILDO MENEGHET,6fetuq
116B-CONJ.H.ILDO MENEGHET,6fetuq
116C-CONJ.H.ILDO MENEGHET,6fetuq
117A-CONJ.H.ILDO MENEGHET,6fetuq
117B-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
117C-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
118A-CONJ.H.ILDO MENEGHET,6fetur
118B-CONJ.H.ILDO MENEGHET,6fetur
118C-CONJ.H.ILDO MENEGHET,6fetur
119-CONJ.H.ILDO MENEGHETT,6fetur
12- LOT. MACRO QUARTEIRÃO II,6fetur
12- LOT. MACRO QUARTEIRÃO III,6fetu
12- MACRO QUARTEIRÃO 04,6fetu
12-LOT. SETE DE OUTUBRO,6fetu
12-LOTEAMENTO PARADIS,6fe 6fetur
12-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fet
12-VILA SANTA MARIA,6fetu
12-VILA ST.MARIA-VIDE COD.532,6fetu
120A-CONJ.H.ILDO MENEGHET,6fetur
120B-CONJ.H.ILDO MENEGHET,6fetur
120C-CONJ.H.ILDO MENEGHET,6fetur
121A-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
121B-CONJ.H.ILDO MENEGHET,6fetuq 6fetur
121C-CONJ.H.ILDO MENEGHET,6fetur
122A-CONJ.H.ILDO MENEGHET,6fetuq
122B-CONJ.H.ILDO MENEGHET,6fetuq
122C-CONJ.H.ILDO MENEGHET,6fetuq
12A-CONJ.H.ILDO MENEGHETT,6fetu 6fetuk
12B-CONJ.H.ILDO MENEGHETT,6fetuk
12C-CONJ.H.ILDO MENEGUETT,6fetu 6fetuk
13- LOT. MACRO QUARTEIRÃO II,6fetur
13-LOT. SETE DE OUTUBRO,6fetu
13-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fet 6fetu
13-VILA SANTA MARIA,6fetu
13A-CONJ.H.ILDO MENEGHETT,6fetu 6fetuk
13B-CONJ.H.ILDO MENEGHETT,6fetu 6fetuk 6fetum
13C-CONJ.H.ILDO MENEGHETT,6fetuk
14- MACRO QUART.01-PARTE 02,6fetur
14-LOT. BELA VISTA,6fetg 6fetu
14-LOT. SETE DE OUTUBRO,6fetu
14-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
14-VILA SANTA MARIA,6fetu
14A-CONJ.H.ILDO MENEGHETT,6fetuk
14B-CONJ.H.ILDO MENEGHETT,6fetuk
14C-CONJ.H.ILDO MENEGHETT,6fetuk
15-LOT. JOÃO DE BARRO,6fete
15A-CONJ.H.ILDO MENEGHETT,6fetuk
15B-CONJ.H.ILDO MENEGHETT,6fetuk 6fetuq
15C-CONJ.H.ILDO MENEGHETT,6fetuk
16-LOTEAMENTO PROVÍNCIA DE SÃO PEDRO,6fetu
16A-CONJ.H.ILDO MENEGHETT,6fetuk
16B-CONJ.H.ILDO MENEGHETT,6fetu 6fetuk 6fetum 6fetuq 6fetur
16C-CONJ.H.ILDO MENEGHETT,6fetuk
17-CONJ.H.ILDO MENEGHETT,6fetuk 6fetum
17-LOT. MONT'SERRAT,6fetu
17A-CONJ.H.ILDO MENEGHETT,6fetu 6fetuk 6fetum 6fetuq
18-LOT. PARQUE DOS GIRASSÓIS,6fetu
18-LOT. SÃO JOÃO,6fetu
18A-CONJ.H.ILDO MENEGHETT,6fetuk
18B-CONJ.H.ILDO MENEGHETT,6fetuk
19-CONJ.H.ILDO MENEGHETT,6fetuk
1C - LOT. MORADA DO CAMPUS,6fetg
1F - LOT. MORADA DO CAMPUS,6fetg
20-CONJ.H.ILDO MENEGHETT,6fetuk
20-LOT. MONT'SERRAT,6fetg
21-CONJ.H.ILDO MENEGHETT,6fetuk
22-CONJ.H.ILDO MENEGHETTI,6fetuk
23 DE SETEMBRO,6fete
23-CONJ.H.ILDO MENEGHETTI,6fetuk
24A-CONJ.H.ILDO MENEGHETT,6fetuk
