name,ghs
ANA RECH,6fg
BELA VISTA,6fg
BRANDALISE,6fg
CENTENARIO,6fg
CENTRO,6fg
CHARQUEADAS,6fg
CIDADE NOVA,6fg
CINQUENTENARIO,6fg
CRISTO REDENTOR,6fg
CRIUVA,6fg
CRUZEIRO,6fg
DE LAZZER,6fg
DESVIO RIZZO,6fg
DIAMANTINO,6fg
ESPLANADA,6fg
EXPOSICAO,6fg
FLORESTA,6fg
FORQUETA,6fg
GALOPOLIS,6fg
INTERLAGOS,6fg
JARDELINO RAMOS,6fg
JARDIM AMERICA,6fg
JARDIM DAS HORTENSIAS,6fg
JARDIM ELDORADO,6fg
KAYSER,6fg
LINHA 40,6fg
MADUREIRA,6fg
MAESTRA,6fg
MARECHAL FLORIANO,6fg
MEDIANEIRA,6fg
MONTE BERICO,6fg
NOSSA SENHORA DA SAUDE,6fg
NOSSA SENHORA DAS GRACAS,6fg
NOSSA SENHORA DE FATIMA,6fg
NOSSA SENHORA DE LOURDES,6fg
NOSSA SENHORA DO ROSARIO,6fg
PANAZZOLO,6fg
PARADA CRISTAL,6fg
PEDANCINO,6fg
PETROPOLIS,6fg
PIO X,6fg
PIONEIRO,6fg
PLANALTO,6fg
POR DO SOL,6fg
PRESIDENTE VARGAS,6fg
RIO BRANCO,6fg
SAGRADA FAMILIA,6fg
SALGADO FILHO,6fg
SAMUARA,6fg
SANTA CATARINA,6fg
SANTA CORONA,6fg
SANTA FE,6fg
SANTA LUCIA DO PIAI,6fg
SANTO ANTONIO,6fg
SANVITTO,6fg
SAO CAETANO,6fg
SAO CIRO,6fg
SAO CRISTOVAO,6fg
SAO GIACOMO,6fg
SAO JOSE,6fg
SAO LEOPOLDO,6fg
SAO LUIZ,6fg
SAO PELEGRINO,6fg
SAO VICTOR COHAB,6fg
SAO VIRGILIO,6fg
SERRANO,6fg
UNIVERSITARIO,6fg
VILA CRISTINA,6fg
VILA OLIVA,6fg
VILA SECA,6fg
