name,ghs
ACESSO 37 05 03,6fgd
ACESSO 44 19 64,6fg
ACESSO INATIVO - 20 01 99,6fg
ACESSO PARTICULAR SEM DENOMINACAO OFICIAL,6fg 6fgd
AVENIDA 13 DE JUNHO,6fgd
AVENIDA 37 11 22,6fgd
AVENIDA 52 12 12,6fg
AVENIDA ABRAMO RANDON,6fgd
AVENIDA AFFONSO GASPARIN,6fgd
AVENIDA ALCIDES WEBBER,6fgd
AVENIDA ALEXANDRE RIZZO,6fg 6fgd
AVENIDA AMABILE FAORO MARCON,6fg
AVENIDA ANGELINA MARCON,6fgd
AVENIDA ANGELO CORSETTI,6fgd
AVENIDA ANGELO GUISSO,6fg
AVENIDA ANGILO SCOLA,6fgd
AVENIDA ANTONIO ANDRIGHETTI,6fgd
AVENIDA ANTONIO FRIZZO,6fg
AVENIDA ARTHUR PEROTTONI,6fg
AVENIDA BARAO DE SANTO ANGELO,6fgd
AVENIDA BELVEDERE,6fgd
AVENIDA BENJAMIN CUSTODIO DE OLIVEIRA,6fg
AVENIDA BOM PASTOR,6fg
AVENIDA BRASIL,6fgd
AVENIDA CABO MACHADO SEVERO,6fg
AVENIDA CANOPUS,6fgd
AVENIDA CAPIVARI,6fgd
AVENIDA CARLOS JOSE MICHELON,6fgd
AVENIDA CIRCULAR ANTONIO GELATI,6fgd
AVENIDA CIRCULAR PEDRO MOCELIN,6fgd
AVENIDA COLINA,6fgd
AVENIDA CONCEICAO,6fg
AVENIDA CRECENCIO R DE OLIVEIRA,6fgd
AVENIDA DA VINDIMA,6fgd
AVENIDA DAS PITANGUEIRAS,6fgd
AVENIDA DECIO CORTI RIBEIRO,6fgd
AVENIDA DEPUTADO NADYR ROSSETTI,6fgd
AVENIDA DEPUTADO ULYSSES GUIMARAES,6fg 6fgd
AVENIDA DOS GIRASSOIS,6fg
AVENIDA DOS METALURGICOS,6fgd
AVENIDA DR ASSIS ANTONIO MARIANI,6fg
AVENIDA DR DEMETRIO NIEDERAUER,6fgd
AVENIDA DR JOAO CARLOS HAAS SOBRINHO,6fgd
AVENIDA DR LUIZ MEZZALIRA FILHO,6fgd
AVENIDA DR MARIO LOPES,6fgd
AVENIDA DR RENATO DEL MESE,6fgd
AVENIDA DR. DANTE MARCUCCI,6fgd
AVENIDA ELSA STURMER,6fgd
AVENIDA EUSTAQUIO MASCARELLO,6fg
AVENIDA FENIX,6fgd
AVENIDA FRANCA,6fg 6fgd
AVENIDA FREDERICO SEGALA,6fg
AVENIDA GAVIOLI,6fg
AVENIDA HONEYDE BERTUSSI,6fgd
AVENIDA INDEPENDENCIA,6fgd
AVENIDA ITALIA,6fgd
AVENIDA JARDIM DAS HORTENSIAS,6fgd
AVENIDA JOAO QUINTO TOIGO,6fgd
AVENIDA JOSE CARLOS DE ANFLOR,6fg
AVENIDA JULIO DE CASTILHOS,6fgd
