name,ghs
AV ABREU E LIMA,6f6
AV ADOLFO FETTER,6f6
AV ALAGOAS,6f6
AV ALFREDO THEODORO BORN,6f6
AV AMAZONAS,6f6
AV AMIZADE,6f6
AV ARTHUR AUGUSTO ASSUMPCAO,6f6
AV ARTUR DE SOUZA COSTA,6f6
AV ASSIS BRASIL,6f6
AV AUGUSTO DE SAINT HILAIRE,6f6
AV AUGUSTO SIMOES LOPES,6f6
AV BAHIA,6f6
AV BARAO DE CORRIENTES,6f6
AV BENTO GONCALVES,6f6
AV BRASIL,6f6
AV CEARA,6f6
AV CEL THOMAS FLORES,6f6
AV CIDADE DE LISBOA,6f6
AV CIDADE DE RIO GRANDE,6f6
AV COMENDADOR HENRIQUE LOREA,6f6
AV CONTORNO,6f6
AV CRISTOVAO JOSE DOS SANTOS,6f6
AV DOIS LTM GETULIO VARGAS,6f6
AV DOIS LTM LIBERDADE,6f6
AV DOM ANTONIO ZATTERA,6f6
AV DOM JOAQUIM FERREIRA DE MELLO,6f6
AV DOMINGOS JOSE DE ALMEIDA,6f6
AV DOS PLATANOS,6f6
AV DR ANTONIO AUGUSTO DE ASSUMPCAO JUNIOR,6f6
AV DR FELIX ANTONIO CAPUTO,6f6
AV DR FIGUEIREDO MASCARENHAS,6f6
AV DR GILMAR COITINHO MORALES,6f6
AV DR GUILHERME MINSSEN,6f6
AV DUQUE DE CAXIAS,6f6
AV ENG ILDEFONSO SIMOES LOPES,6f6
AV ESPIRITO SANTO,6f6
AV FERNANDO OSORIO,6f6
AV FERREIRA VIANA,6f6
AV FRANCISCO CARUCCIO,6f6
AV GERALDO JOSE MACIEL,6f6
AV GUABIROBA,6f6
AV GUADALAJARA,6f6
AV GUANABARA,6f6
AV GUILHERME WETZEL,6f6
AV HERBERT HADLER,6f6
AV IMPERADOR(TRIZ) PEDRO I,6f6
AV ITALIA,6f6
AV JOAO GOMES NOGUEIRA,6f6
AV JORGE CURI HALLAL,6f6
AV JORGE IVAN DA COSTA GERTUM,6f6
AV JOSE MARIA DA FONTOURA,6f6
AV MANOEL ANTONIO PERES,6f6
AV MATO GROSSO,6f6
AV MINAS GERAIS,6f6
AV OLAVO AFONSO ALVES,6f6
AV OSVALDO ARANHA,6f6
AV PASTOR ALBERT LAFFAYETTE DUNSTAN,6f6
AV PAZ,6f6
AV PERNAMBUCO,6f6
AV PERY RIBAS,6f6
AV PIAUI,6f6
AV PREFEITO ARY ALCANTARA,6f6
AV PRES JOAO BELCHIOR MARQUES GOULART,6f6
AV PRES JUSCELINO KUBITSCHEK DE OLIVEIRA,6f6
AV PROF AGUSTIN AGAPITO FRANCO,6f6
AV QUATRO LTM GETULIO VARGAS,6f6
AV QUATRO VL PRINCESA,6f6
AV RAMON JORGE HALLAL,6f6
AV REPUBLICA,6f6
AV REPUBLICA DO LIBANO,6f6
AV RIO GRANDE DO SUL,6f6
AV ROBERTO SILVA VARGAS,6f6
AV SALDANHA MARINHO,6f6
AV SANTA CATARINA,6f6
AV SAO FRANCISCO DE PAULA,6f6
AV SAO JORGE,6f6
AV SENADOR JOAQUIM AUGUSTO DE ASSUMPCAO,6f6
AV SENADOR SALGADO FILHO,6f6
AV THEODORO MULLER,6f6
AV TRES LTM GETULIO VARGAS,6f6
AV TRES LTM LIBERDADE,6f6
AV ULYSSES SILVEIRA GUIMARAES,6f6
AV UM CONDOMINIO VEREDAS,6f6
AV UM LTM DANUBIO,6f6
AV UM LTM GETULIO VARGAS,6f6
AV UM LTM RES AMARILIS,6f6
AV UM PARQUE UNA PELOTAS,6f6
AV VALMORIO DUTRA MACHADO,6f6
AV VINTE E CINCO DE JULHO,6f6
AV VISCONDE DE PELOTAS,6f6
AV VISCONDE GRACA DA,6f6
AV VISCONDESSA GRACA DA,6f6
AV ZEFERINO COSTA,6f6
BR CENTO E DEZESSEIS,6f6
BR TREZENTOS E NOVENTA E DOIS,6f6
CR DOIS EST DOS MARICAS,6f6
CR ENG QUATRO AV ILDEFONSO SIMOES LOPES,6f6
CR ENG TRES ILDEFONSO SIMOES LOPES,6f6
CR QUATRO EST DOS MARICAS,6f6
CR SEIS ILDEFONSO SIMOES LOPES,6f6
CR SETE AV ENG ILDEFONSO SIMOES LOPES,6f6
CR TROPAS,6f6
CR UM EST DOS MARICAS,6f6
EST COSTA,6f6
EST ENGENHO,6f6
EST ESTRADA DA BARBUDA,6f6
EST MUNICIPAL CASCATA,6f6
EST PASSO DOS NEGROS,6f6
EST PRAINHA DA,6f6
LGO ANTONIO AUGUSTO DE ASSUMPCAO NETO,6f6
LGO ANTONIO GOMES DA SILVA,6f6
LGO DR JOSE AMARAL BRAGA FILHO,6f6
LGO TEN PORTELA,6f6
LGO UM MARINA ILHA VERDE,6f6
PAS ALBERTO FERREIRA RAMOS,6f6
PAS ALBERTO RANGEL,6f6
PAS ALFREDO MALLUE,6f6
PAS ALM NORONHA,6f6
PAS ANA NERI,6f6
PAS ANDRE PUENTE,6f6
PAS ARTUR OLIVEIRA,6f6
PAS AURELIO PORTO,6f6
PAS CARVALHO DE MENDONCA,6f6
PAS CINCO DA RUA PAULO GUILAYN,6f6
PAS CINCO LTM AMBROSIO PERRET,6f6
PAS CINCO LTM NAVEGANTES I,6f6
PAS CINCO LTM NAVEGANTES II,6f6
PAS DAMASCENO VIEIRA,6f6
PAS DESPORTISTA EMILIO NUNES FILHO,6f6
PAS DEZ LTM NAVEGANTES II,6f6
PAS DOIS DA RUA PAULO GUILAYN,6f6
PAS DOIS LTM ANGLO,6f6
PAS DOIS LTM DONA DULCE,6f6
PAS DOIS LTM FIACAO E TECIDOS,6f6
PAS DOIS LTM NAVEGANTES II,6f6
PAS DOIS LTM NSA SRA DOS NAVEGANTES,6f6
PAS DOIS LTM QUERENCIA,6f6
PAS DOIS LTM SIMOES LOPES,6f6
PAS DR DOZE NCL HAB JOSE ALEXANDRE ZACHIA,6f6
PAS DR JOSE WILSON PINTO FERREIRA,6f6
PAS DR OLIVEIRA VIANA,6f6
PAS DR QUARENTA E QUATRO NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR QUARENTA E SEIS NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR SESSENTA NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR TRINTA E QUATRO NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR TRINTA E UM NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VINTE E NOVE NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VINTE E OITO NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VINTE E QUATRO NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VINTE E UM NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VINTE NCL HABIT JOSE ALEXANDRE ZACHIA,6f6
PAS DR VITAL BRASIL,6f6
PAS EDINA DE BARROS BECK,6f6
PAS ELZIA SALVADOR DUARTE,6f6
