name,ghs
AC A AV A J RENNER,6fe
AC A CHACARA DA FUMAÇA,6fe
AC A CONJ RES ALTO PETROPOLIS,6fe
AC A CONJ RES ICARO-VILA VARIG,6fe
AC A DOIS CHACARA DA FUMAÇA,6fe
AC A DOIS NUCLEO ESPERANCA,6fes
AC A LOT CAVALHADA,6fes
AC A NOVA PONTE GUAIBA,6fe
AC A PARQUE MADEPINHO,6fes
AC A RUA ARGENOR ADOLFO WENDLER,6fes
AC A RUA NEVES,6fes
AC A SQ CINCO PRIMEIRA UV VL N RESTINGA,6fes
AC A SQ CINCO TERCEIRA UV VL N RESTINGA,6fes
AC A SQ DOIS PRIMEIRA UV VL N RESTINGA,6fes
AC A SQ DOIS SEGUNDA UV VL N RESTINGA,6fes
AC A SQ DOIS TERCEIRA UV VL N RESTINGA,6fes
AC A SQ QUATRO PRIMEIRA UV VL N RESTINGA,6fes
AC A SQ QUATRO TERCEIRA UV VL N RESTINGA,6fes
AC A SQ SEIS TERCEIRA UV VL N RESTINGA,6fes
AC A SQ TRES PRIMEIRA UV VL N RESTINGA,6fes
AC A SQ TRES SEGUNDA UV VL N RESTINGA,6fes
AC A SQ TRES TERCEIRA UV VL N RESTINGA,6fes
AC A SQ UM TERCEIRA UV VL N RESTINGA,6fes
AC A TRES NUCLEO ESPERANCA,6fes
AC A UM CHACARA DA FUMAÇA,6fe
AC A UM NUCLEO ESPERANCA,6fes
AC A UM VILA TRONCO II,6fes
AC A VILA DO BARRACAO,6fes
AC A VILA SAO MIGUEL,6fes
AC A VILA TOPAZIO,6fes
AC B AV A J RENNER,6fe
AC B CINCO JARDIM PASSO DAS PEDRAS II,6fe
AC B CINCO RUA JOAO PITTA PINHEIRO FILHO,6fes
AC B CONDOMINIO VILA NOVA,6fes
AC B CONJ RES ALTO PETROPOLIS,6fe
AC B CONJ RES ICARO-VILA VARIG,6fe
AC B DOIS CHACARA DA FUMAÇA,6fe
AC B DOIS JARDIM PASSO DAS PEDRAS II,6fe
AC B DOIS LOT WENCESLAU FONTOURA,6fe
AC B DOIS NUCLEO ESPERANCA,6fes
AC B DOIS QUINTA UV VILA RESTINGA,6fes
AC B DOIS RUA JACKSON SOARES LENTZ,6fe
AC B LOT CAVALHADA,6fes
AC B NOVA PONTE GUAIBA,6fe
AC B PARQUE DO SALSO,6fes
AC B PARQUE MADEPINHO,6fes
AC B QUATRO JARDIM PASSO DAS PEDRAS II,6fe
AC B QUATRO RUA JOAO P PINHEIRO FILHO,6fes
AC B R ARGENOR ADOLFO WENDLER,6fes
AC B RUA NEVES,6fes
AC B RUA PROF DR JOAO P PINHEIRO FILHO,6fes
AC B SQ CINCO PRIMEIRA UV VL N RESTINGA,6fes
AC B SQ CINCO TERCEIRA UV VL N RESTINGA,6fes
AC B SQ DOIS PRIMEIRA UV VL N RESTINGA,6fes
AC B SQ DOIS SEGUNDA UV VL N RESTINGA,6fes
AC B SQ DOIS TERCEIRA UV VL N RESTINGA,6fes
AC B SQ QUATRO PRIMEIRA UV VL N RESTINGA,6fes
AC B SQ QUATRO TERCEIRA UV VL N RESTINGA,6fes
AC B SQ SEIS TERCEIRA UV VL N RESTINGA,6fes
AC B SQ TRES PRIMEIRA UV VL N RESTINGA,6fes
AC B SQ TRES SEGUNDA UV VL N RESTINGA,6fes
AC B SQ TRES TERCEIRA UV VL N RESTINGA,6fes
AC B SQ UM PRIMEIRA UV VL N RESTINGA,6fes
AC B SQ UM SEGUNDA UV VL N RESTINGA,6fes
AC B SQ UM TERCEIRA UV VL N RESTINGA,6fes
AC B TRES JARDIM PASSO DAS PEDRAS II,6fe
AC B TRES QUINTA UV VILA RESTINGA,6fes
AC B TREVO IPIRANGA SALVADOR,6fe
AC B UM CHACARA DA FUMAÇA,6fe
AC B UM LOT WENCESLAU FONTOURA,6fe
AC B UM NUCLEO ESPERANCA,6fes
AC B UM QUINTA UV VILA RESTINGA,6fes
AC B UM RUA JACKSON SOARES LENTZ,6fe
AC B UM VILA TRONCO II,6fes
AC B VILA DO BARRACAO,6fes
AC B VILA NOVA BRASILIA,6fe
AC B VILA SAO MIGUEL,6fes
AC B VILA TOPAZIO,6fes
AC BONAR FIGUEIRO,6fes
AC C AV A J RENNER,6fe
AC C CINCO LOT WENCESLAU FONTOURA,6fe
AC C CONJ RES ALTO PETROPOLIS,6fe
AC C CONJ RES ICARO-VILA VARIG,6fe
AC C DOIS LOT WENCESLAU FONTOURA,6fe
AC C DOIS NUCLEO ESPERANCA,6fes
AC C QUATRO LOT WENCESLAU FONTOURA,6fe
AC C RUA ARGENOR ADOLFO WENDLER,6fes
AC C RUA NEVES,6fes
AC C SEIS LOT WENCESLAU FONTOURA,6fe
AC C SQ CINCO PRIMEIRA UV VL N RESTINGA,6fes
AC C SQ CINCO TERCEIRA UV VL N RESTINGA,6fes
AC C SQ DOIS PRIMEIRA UV VL N RESTINGA,6fes
AC C SQ DOIS SEGUNDA UV VL N RESTINGA,6fes
AC C SQ DOIS TERCEIRA UV VL N RESTINGA,6fes
AC C SQ QUATRO PRIMEIRA UV VL N RESTINGA,6fes
AC C SQ QUATRO TERCEIRA UV VL N RESTINGA,6fes
AC C SQ TRES PRIMEIRA UV VL N RESTINGA,6fes
AC C SQ TRES SEGUNDA UV VL N RESTINGA,6fes
AC C SQ TRES TERCEIRA UV VL N RESTINGA,6fes
AC C SQ UM PRIMEIRA UV VL N RESTINGA,6fes
AC C SQ UM SEGUNDA UV VL N RESTINGA,6fes
AC C SQ UM TERCEIRA UV VL N RESTINGA,6fes
AC C TRES LOT WENCESLAU FONTOURA,6fe
AC C TREVO IPIRANGA SALVADOR,6fes
AC C UM NUCLEO ESPERANCA,6fes
