name,ghs
ALIANÇA,6fd
ANA NERY,6fd
ARROIO GRANDE,6fd
AVENIDA,6fd
BELVEDERE,6fd
BOM JESUS,6fd
BONFIM,6fd
CASTELO BRANCO,6fd
CENTRO,6fd
DO PARQUE,6fd
DONA CARLOTA,6fd
ESMERALDA,6fd
FAXINAL MENINO DEUS,6fd
GERMÂNIA,6fd
GOIÁS,6fd
HIGIENÓPOLIS,6fd
INDEPENDÊNCIA,6fd
JARDIM EUROPA,6fd
LINHA SANTA CRUZ,6fd
MARGARIDA,6fd
MONTE VERDE,6fd
PEDREIRA,6fd
PROGRESSO,6fd
RAUBER,6fd
RENASCENÇA,6fd
SANTA VITÓRIA,6fd
SANTO ANTÔNIO,6fd
SANTO INÁCIO,6fd
SANTUÁRIO,6fd
SCHULZ,6fd
SENAI,6fd
SÃO JOÃO,6fd
UNIVERSITÁRIO,6fd
VÁRZEA,6fd
