name,ghs
Ac. Grasel,6fd
Ac. Irregular,6fdww 6fdwy 6fdwz
Ac. Linha João Alves,6fd 6fdwz
Ac. Particular,6fd 6fdw 6fdww 6fdwy 6fdwz
Ac. Rubem Guilherme Kaempf,6fd
Al. Agapantos,6fd
Al. Alvorada,6fd
Al. Beija Flor,6fd
Al. Bem-te-vi,6fd
Al. Buganvilhas,6fd
Al. Florida,6fd
Al. Formosa,6fd
Al. João de Barro,6fd
Al. Par Cinco,6fdwz
Al. Par Quatro,6fdwz
Al. Par Três,6fdwz
Al. Primeira,6fd
Al. Quarta,6fd
Al. Quinta,6fd
Al. Segunda,6fd
Al. Serena,6fd
Al. Sexta,6fd
Al. Sétima,6fd
Al. Terceira,6fd
Al. da Alegria,6fd
Al. da Ladeira,6fd
Al. da Paz,6fd
Al. da Serra,6fd
Al. da Subida,6fdwz
Al. das Alamandas,6fd
Al. das Andorinhas,6fd
Al. das Araucárias,6fd
Al. das Azaléias,6fd
Al. das Buganvilias,6fd
Al. das Camélias,6fd
Al. das Figueiras,6fd
Al. das Gaivotas,6fd
Al. das Hortênsias,6fd
Al. das Margaridas,6fd
Al. das Orquídeas,6fd
Al. das Tarumãs,6fd
Al. das Timbaúvas,6fd
Al. do Arvoredo,6fd
Al. do Sonho,6fd
Al. do Trapiche,6fd
Al. dos Agapantos,6fd
Al. dos Angicos,6fd
Al. dos Aracuãs,6fd
Al. dos Gerânios,6fd
Al. dos Ipês,6fd
Al. dos Lírios,6fd
Al. dos Pardais,6fd
Al. dos Sabiás,6fd
Al. dos Tucanos,6fd
Av. Carmindo José Schuh,6fd 6fdwz
Av. David Severo Mânica,6fdww
Av. Dep. Euclydes N. Kliemann,6fdw 6fdwy 6fdwz 6fdwz4
Av. Dom Alberto Etges,6fd
Av. Dom Guilherme Muller,6fdwz
Av. Dr. Daniel Carlos Caspary,6fdw 6fdww
Av. Felisberto Bandeira de Moraes,6fd 6fdw
Av. Gaspar Bartholomay,6fdwy 6fdwys
Av. Independência,6fd 6fdwy
