name,ghs
1 do Flamboyant I,6fd
Ac.,6fd
Ac. 33,6fd
Ac. Grasel,6fd
Ac. Irregular,6fd
Ac. Linha João Alves,6fd
Ac. Rubem Guilherme Kaempf,6fd
Al. Aconcágua,6fd
Al. Alpes Suíços,6fd
Al. Alvorada,6fd
Al. Aparados da Serra,6fd
Al. B,6fd
Al. Beija Flor,6fd
Al. Bem-te-Vi,6fd
Al. Everest,6fd
Al. Formosa,6fd
Al. Gran Paraíso,6fd
Al. Himalaia,6fd
Al. João de Barro,6fd
Al. Mississipi,6fd
Al. Monte Blanco,6fd
Al. Monte Olimpo,6fd
Al. Montes Bascos,6fd
Al. Par Quatro,6fd
Al. Par Três,6fd
Al. Pico da Bandeira,6fd
Al. Primeira Alameda,6fd
Al. Quarta Alameda,6fd
Al. Quinta Alameda,6fd
Al. Segunda Alameda,6fd
Al. Serra da Canastra,6fd
Al. Serra da Estrela,6fd
Al. Serra da Nevada,6fd
Al. Sexta Alameda,6fd
Al. Sétima Alameda,6fd
Al. Terceira Alameda,6fd
Al. da Mantiqueira,6fd
Al. da Paz,6fd
Al. da Subida,6fd
Al. das Alamandas,6fd
Al. das Andorinhas,6fd
Al. das Araucárias,6fd
Al. das Azaléias,6fd
Al. das Camélias,6fd
Al. das Gaivotas,6fd
Al. das Margaridas,6fd
Al. das Timbaúvas,6fd
Al. do Lago,6fd
Al. do Trapiche,6fd
Al. dos Agapantos,6fd
Al. dos Aracuãs,6fd
Al. dos Bosques,6fd
Al. dos Gerânios,6fd
Al. dos Lírios,6fd
Al. dos Pardais,6fd
Al. dos Pirineus,6fd
Al. dos Sabiás,6fd
Al. dos Tucanos,6fd
Av. David Severo Mânica,6fd
Av. Dep. Euclydes N. Kliemann,6fd
Av. Dom Alberto Etges,6fd
Av. Dom Guilherme Müller,6fd
Av. Dr. Daniel Carlos Caspary,6fd
Av. Felisberto Bandeira de Moraes,6fd
Av. Gaspar Bartholomay,6fd
Av. Getúlio Vargas,6fd
Av. Independência,6fd
Av. João Pessoa,6fd
Av. Leo Kraether,6fd
Av. Melvin Jones,6fd
Av. Paul Harris,6fd
Av. Portal del Ville,6fd
Av. Pres. Castelo Branco,6fd
Av. Pôr do Sol,6fd
Av. Roma,6fd
Av. Rudi Falk,6fd
Av. Sen. Pasqualini,6fd
Av. Willy Moraes,6fd
Av. das Prendas,6fd
Av. do Imigrante,6fd
Av. dos Cristais,6fd
Av. dos Ingazeiros,6fd
Av. dos Pampas,6fd
Beco Schulz,6fd
Beco do Caqui,6fd
Beco do Cleber I,6fd
Beco do Cleber II,6fd
Boulv. do Andes,6fd
Cam. do Morro,6fd
Cor. 1,6fd
Cor. 2,6fd
Cor. 3,6fd
Cor. 4,6fd
Cor. 5,6fd
Cor. 6,6fd
Cor. A (Lot. Zanette II),6fd
Cor. Araújo,6fd
Cor. B (Lot. Zanette II),6fd
Cor. Bernardino Corrêa Lopes,6fd
Cor. Brust,6fd
Cor. Darci Dias,6fd
Cor. David Severo Mânica,6fd
Cor. Ferreira Fanfa,6fd
Cor. Fredolino do Nascimento,6fd
Cor. Frey,6fd
Cor. Fries,6fd
Cor. Goelzer,6fd
Cor. Goerck,6fd
Cor. Henrique Schmidt,6fd
Cor. Mainardi,6fd
Cor. Mees,6fd
Cor. Miguel de Assis,6fd
Cor. Municipal,6fd
Cor. Nascer do Sol,6fd
Cor. Overbeck,6fd
Cor. Schuck,6fd
Cor. Schuster,6fd
Cor. Soder,6fd
Cor. São Pedro,6fd
Cor. Treib,6fd
Cor. Umann,6fd
Cor. Zanette,6fd
Cor. da Pedreira,6fd
Cor. das Hortências,6fd
Cor. do Carmo,6fd
Cor. do João,6fd
Cor. do Laçaço,6fd
Estr. Bruno Pritsch,6fd
Estr. Capão da Cruz,6fd
Estr. Linha 7 de setembro,6fd
Estr. Linha Áustria,6fd
Estr. Recanto do Laço,6fd
Estr. São João da Serra,6fd
Estr. Trav. Heck,6fd
Estr. Trav. Hermes,6fd
Estrada São José da Reserva,6fd
Rod. BR-471,6fd
Rod. ERS - 405,6fd
Rod. ERS - 409,6fd
Rod. ERS - 412,6fd
