name,ghs
Agro-Industrial,6f9
Boi Morto,6f9
Bonfim,6f9
Camobi,6f9
Campestre do Menino Deus,6f9
Carolina,6f9
Caturrita,6f9
Centro,6f9
Cerrito,6f9
Chacara das Flores,6f9
Diacono Joao Luiz Pozzobon,6f9
Divina Providencia,6f9
Dom Antonio Reis,6f9
Duque de Caxias,6f9
Itarare,6f9
Juscelino Kubitschek,6f9
Km Tres,6f9
Lorenzi,6f9
Menino Jesus,6f9
Noal,6f9
Nonoai,6f9
Nossa Senhora Medianeira,6f9
Nossa Senhora das Dores,6f9
Nossa Senhora de Fatima,6f9
Nossa Senhora de Lourdes,6f9
Nossa Senhora do Perpetuo Socorro,6f9
Nossa Senhora do Rosario,6f9
Nova Santa Marta,6f9
Passo D Areia,6f9
Patronato,6f9
Pe de Platano,6f9
Pinheiro Machado,6f9
Presidente Joao Goulart,6f9
Renascenca,6f9
Salgado Filho,6f9
Sao Joao,6f9
Sao Jose,6f9
Sem Denominacao,6f9
Tancredo Neves,6f9
Tomazetti,6f9
Uglione,6f9
Urlandia,6f9
