name,ghs
AV A - COND. CIDADE UNIVERSITÁRIA,6f9y
AV ALCIDES ROTH,6f9xn
AV ANGELO BOLSSON,6f9xp
AV ANTONIO TORRONTEGUY,6f9z
AV ASSIS BRASIL,6f9xp
AV BECHARA ABAIDE,6f9xn
AV BISPO CESAR DACORSO FILHO,6f9xn
AV BORGES DE MEDEIROS,6f9xp 6f9xp7 6f9xph 6f9xpj 6f9xpn
AV BRASIL,6f9xn
AV DAS LARANJEIRAS,6f9xn
AV DEPUTADO FERNANDO FERRARI,6f9xp
AV DO EXÉRCITO - ARS 158,6f9
AV DOIS DE NOVEMBRO,6f9xp 6f9xp4
AV DOM IVO LORSCHEITER,6f9xn
AV DOS FERROVIÁRIOS,6f9xp
AV EVALDO BEHR,6f9y 6f9z
AV GOVERNADOR WALTER JOBIM,6f9xn 6f9xp
AV HÉLVIO BASSO,6f9 6f9xp
AV INDEPENDÊNCIA,6f9xp 6f9xph
AV ITAIMBE,6f9xp
AV JOÃO LUIZ POZZOBON,6f9z
AV JOÃO MACHADO SOARES,6f9z
AV JOÃO PESSOA,6f9xn
AV LIBERDADE,6f9xp 6f9xp4 6f9xph
AV MAESTRO ROBERTO BARBOSA RIBAS,6f9xn
AV MANOEL MALMANN FILHO,6f9xn
AV MAURICIO SIROTSKY SOBRINHO,6f9xp 6f9xp4
AV MONSENHOR PASCOAL GOMES LIBRELOTTO,6f9
AV NOSSA SENHORA DAS DORES,6f9xp 6f9z
AV NOSSA SENHORA MEDIANEIRA,6f9xp
AV OITO DE JUNHO,6f9z
AV OLIVEIRA MESQUITA,6f9xp 6f9xpj 6f9xpn
AV OSVALDO CRUZ,6f9z
AV OY PAVAO DA SILVA,6f9z
AV PAULO LAUDA,6f9xn 6f9xn1
AV PEDRO CEZAR SACCOL,6f9xn
AV PERIMETRAL,6f9y
AV PERIMETRAL B.ITARARE,6f9xp
AV PORTO ALEGRE,6f9xn
AV PREFEITO EVANDRO BEHR - ERS 509,6f9z
AV PRESIDENTE VARGAS,6f9xp
AV PRIMEIRA,6f9y
AV RIO BRANCO,6f9xp
AV RODOLPHO BEHR,6f9y
AV RORAIMA,6f9y
AV SANTA MARIA GORETTI,6f9xn
AV SEM NOME (EXTENSÃO DOM IVO LORSCHEITER),6f9xpj
AV SEM NOME (EXTENSÃO LIBERDADE),6f9xph 6f9xpj
AV SEM NOME (PRINCIPAL JARDIM BERLEZE),6f9y
AV SILVESTRE RODRIGUES DA ROCHA,6f9z
AV SOL POENTE,6f9
AV SÃO MARCELINO CHAMPAGNAT,6f9xn
AV VIDAL CASTILHO DÂNIA,6f9y
AV. DOS LOUROS,6f9xn
AV. GRÉCIA,6f9z
BC BECO 01,6f9xp
BECO 01 - VILA SCHIRMER,6f9z
BECO 01 - VILA STA. RITA DE CASSIA,6f9
BECO 03 - VILA CAROLINA,6f9xpj
BECO 04 - VILA CAROLINA,6f9xpj
BECO 11,6f9xph 6f9xpj
BECO 15,6f9xp
BECO 21,6f9xp
BECO 23,6f9xp
BECO 24,6f9xp
BECO 29,6f9xp
BECO 30,6f9xp
BECO 31,6f9xp
BECO 32,6f9xpm
BECO 33,6f9xpj
BECO 36,6f9xp
BECO 39,6f9xpn
BECO 45,6f9xp
BECO 47,6f9z
BECO 48,6f9z
BECO 58,6f9xp
BECO 8,6f9xph
BECO ACESSO 1,6f9xp
BECO BECO - SECUNDARIA 01,6f9xn
BECO DO OTAVIO,6f9xpk
BECO MARIA ELHOA PAVANI - BECO,6f9xn
BECO SEM NOME 4357,6f9z
BECO YVON COSTA - DR,6f9xpj
CORR AMADAR BORDIN,6f9y
CORR CORREDOR (CONT. RUA 09),6f9xn
CORR MORTARI,6f9y
CORR SEM NOME (ARROIO CADENA),6f9xpj
EST ANTIGA EST FERREA,6f9xp
EST ARISTIDES ZIEGLER - VRS 830,6f9x
EST ARMANDO ARRUDA,6f9x
EST BR 158,6f9 6f9xn 6f9xp 6f9z
EST BR 392,6f9 6f9y
EST BR-287,6f9 6f9x 6f9xn 6f9xp
EST EDUARDO DUARTE,6f9 6f9y
EST MUN.ANTONIO I. DE AVILA,6f9z
EST MUNICIPAL FRANCISCO VITERBO BORGES,6f9
EST MUNICIPAL VICTOR BELTRAME,6f9z
EST NORBERTO JOSÉ KIPPER - ERS 511,6f9z
EST PRIMO BERLEZE,6f9z
EST SEM NOME (PARA LAJEADINHO OU A. ALBINO SCHUSTER),6f9x
EST SENADOR TARSO DUTRA - RSC 287,6f9y 6f9z
EST SILVIO SCHIRMER,6f9y
EST. ANGELO BERLEZE,6f9z
EST. CANCHA DO BURACO,6f9x
ESTR ARROIO LOBATO,6f9z
ESTR DANIEL RIZZI,6f9z
ESTR ENG BALDUR WENZEL LOEBLER - PERAU,6f9x 6f9z
ESTR JOSÉ TAVARES,6f9y
ESTR JOÃO LINO PRETTO,6f9x 6f9xn
ESTR MANUEL ANTUNES MARTINS,6f9xpn
ESTR MUNICIPAL CAPITÃO VASCO DA CUNHA,6f9 6f9xn
ESTR MUNICIPAL JOÃO FRANCISCATTO,6f9z
ESTR MUNICIPAL JOÃO ROSA SOBRINHO,6f9x
ESTR MUNICIPAL JUCA MONTEIRO,6f9
ESTR MUNICIPAL MIGUEL BELTRAME,6f9z
ESTR MUNICIPAL PEDRO FERNANDES DA SILVEIRA,6f9y
ESTR NORBERTO JOSÉ KIPPER - ERS 511,6f9z
ESTR SEM DENOMINAÇÃO 90184,6f9
ESTR VICINAL ANTÔNIO AITA,6f9z
ESTR VICINAL PADRE GABRIEL BOLZAN,6f9z
LARG IRMÃOS AITA,6f9xp
PRAC SALDANHA MARINHO,6f9xp
RUA 01 - COND.NOVO HORIZONTE,6f9z
RUA 01 - LOT. ALBERTO SCHONS,6f9xn
RUA 01 - LOT. GALAPAGOS,6f9y
