name,ghs
01A  (nao oficial),6f9
A (Avenida) (nao oficial),6f9
A (Travessa) (nao oficial),6f9
A (nao oficial),6f9
A RAZAO (Jornal),6f9
A RAZAO (Jornal) (trecho nao oficial),6f9
ABACATEIROS (dos),6f9
ABDO ACHUTTI MOTTECY,6f9
ABILIO DALLA CORTE (Vereador),6f9
ABILIO WEBER,6f9
ABRAO GODOY,6f9
ABREU ANTONIO COELHO,6f9
ABS (da),6f9
ACACIA,6f9
ACAMPAMENTO (do),6f9
ACRE,6f9
ACUCENAS (das),6f9
ADAIR MACIEL (Vereador),6f9
ADALARDO SOARES DE FREITAS (Major),6f9
ADAO BRAGA,6f9
ADAO CASTRO DE MEDEIROS,6f9
ADAO COMASSETO (Travessa),6f9
ADAO CUNHA (Vereador),6f9
ADAO DA SILVA,6f9
ADAO GASTAVINO NEVES,6f9
ADAO GASTAVINO NEVES (Travessa) (nao oficial),6f9
ADAO MOREIRA,6f9
ADAO SCHNEIDER,6f9
ADAO ZOCK CARDOSO,6f9
ADELMO FLORES,6f9
ADELMO FLORES (nao oficial),6f9
ADELMO FOGACA (Travessa),6f9
ADELMO GENRO FILHO,6f9
ADELMO GENRO FILHO (Travessa nao revogada),6f9
ADELMO GENRO FILHO (Travessa),6f9
ADELMO GENRO FILHO (trecho nao oficial),6f9
ADEMAR PENNA,6f9
ADI JOAO FORGIARINI (Engenheiro),6f9
ADIR MIOLA,6f9
ADJANIRA MACHADO (Professora),6f9
ADMASTOR BRAGA,6f9
ADOLFHO SOARES,6f9
ADOLFO BEZERRA DE MENEZES,6f9
ADOLFO UNGARETTI (Reverendo),6f9
ADRIANO CHAVES,6f9
ADVOGADOS (Travessa dos),6f9
ADYLES MONTEIRO DE ALMEIDA,6f9
AERTHE CORSINO DOS SANTOS,6f9
AFFONSO POZZOBON,6f9
AGEU (Profeta),6f9
AGNE,6f9
AGOSTINHO SANGOI,6f9
AGOSTINHO SCOLARI,6f9
AGOSTINI (General),6f9
AGRIMAO FONSECA,6f9
AGUDO (Travessa),6f9
ALAGOAS,6f9
ALAMEDA ANTOFAGASTA,6f9
ALAMEDA ASSUNCION,6f9
ALAMEDA BUENOS AIRES,6f9
ALAMEDA CIDADE DO ROSARIO,6f9
ALAMEDA DOS IPES,6f9
ALAMEDA ELIZA FORNER (nao oficial),6f9
ALAMEDA MONTEVIDEO,6f9
ALAMEDA SANTIAGO DO CHILE,6f9
ALAMEDA SIBIPIRUNA,6f9
ALAMEDA TIMBAUVA,6f9
ALARANJADA,6f9
ALARANJADA (trecho nao oficial),6f9
ALBERTO BURGER (nao oficial),6f9
ALBERTO HEITOR SCHMIDT (Doutor),6f9
ALBERTO KLUMB (Travessa),6f9
ALBERTO KLUMB (Travessa) (trecho nao oficial),6f9
ALBERTO PASQUALINE (Doutor),6f9
ALBIN DENARDIN,6f9
ALBINO ARTUR BERGER,6f9
ALBINO SEIBEL (Professor),6f9
ALBINO SEIBEL (Professor) (trecho nao oficial),6f9
ALCERY LOPES DA SILVA,6f9
ALCEU WAMOSI,6f9
ALCIDES COIMBRA,6f9
ALCIDES COIMBRA (trecho nao oficial),6f9
ALCIDES PEREIRA DOS SANTOS,6f9
ALCIDES ROTH (Avenida),6f9
ALDOMAR BATISTA AIRES,6f9
ALEGRETE,6f9
ALEGRIA (da),6f9
ALEM WIETHAN,6f9
ALEXANDRE DA CRUZ (Vereador),6f9
ALEXANDRE GOMES DA ROCHA,6f9
ALEXANDRE MENUZZI (Travessa),6f9
ALFEU CASSAL PIZARRO,6f9
ALFREDO BORTOLOTTO TESSELE,6f9
ALFREDO CARVALHO,6f9
ALFREDO FERREIRA ASSUMPCAO,6f9
ALFREDO PREIGCHADT,6f9
ALFREDO SACCOL,6f9
ALFREDO TONETTO,6f9
ALFREDO VIANA,6f9
ALMERINDA IENSEN FERREIRA,6f9
ALMIRO AMADEU BELTRAME,6f9
ALTHAIR CELESTINO ALVES (Engenheiro),6f9
ALTHAIR CELESTINO ALVES (Engenheiro) (trecho nao oficial),6f9
ALVARES DE AZEVEDO,6f9
ALVARO HOPPE,6f9
ALZIRO ROGGIA (Padre),6f9
AMABILE VISINTEINER,6f9
AMADAR BORDIN,6f9
AMADEU MARTINS LOPES,6f9
AMADEU WEINMANN,6f9
AMALIA FRANCISCATTO,6f9
AMANCIO PIRES DE ARRUDA,6f9
AMAPA,6f9
AMARAL (Travessa),6f9
AMARAL (Travessa) (trecho nao oficial),6f9
AMARELO,6f9
AMARO ALMEIDA DIAS,6f9
AMARO LUIZ DE AVILA,6f9
AMARO MARTINS MACHADO,6f9
AMAZILIA DE SOUZA LIMA,6f9
AMAZILIA DE SOUZA LIMA (trecho nao oficial),6f9
AMAZONAS,6f9
AMAZONAS (Rio),6f9
AMAZONAS (trecho nao oficial),6f9
AMELIA RODRIGUES,6f9
AMERICO BATISTELLA,6f9
AMETISTA,6f9
AMIZADE (da),6f9
AMOREIRAS (das),6f9
AMORES (Praia dos),6f9
ANA NERI,6f9
ANACLETO MARQUES DA SILVA (Tenente),6f9
ANAURELINA CODEN PORTELLA,6f9
ANCHIETA (Padre),6f9
ANDIROBA,6f9
ANDORINHAS (das),6f9
ANDORINHAS (das) (trecho nao oficial),6f9
ANDRADAS (dos),6f9
ANDRE (Padre) (nao oficial),6f9
ANDRE DA ROCHA,6f9
ANDRE DA ROCHA (trecho nao oficial),6f9
ANDRE MARQUES,6f9
ANGELIM,6f9
ANGELIN BORTOLUZZI (Estrada Municipal),6f9
ANGELO BERLEZE (Estrada Municipal),6f9
ANGELO BOLSSON (Avenida),6f9
ANGELO FRAZON (Travessa),6f9
ANGELO LUIGI BIESUZ,6f9
ANGELO LUIZ MONFARDINE,6f9
ANGELO PISTOIA,6f9
ANGELO RIVAS,6f9
ANGELO UGLIONE,6f9
ANGICO ROSA,6f9
ANGICOS (dos),6f9
ANHANGUERA,6f9
ANIBAL GARCIA BARAO (Coronel),6f9
ANITA GARIBALDI,6f9
ANSELMO MACHADO SOARES,6f9
ANSELMO SALDANHA ZOCH,6f9
ANTAO ABRANTES,6f9
ANTAO MELLO,6f9
ANTENOR PEREIRA DA ROSA (Vereador),6f9
ANTERO CORREA DE BARROS,6f9
ANTERO SCHERER (Doutor),6f9
ANTIGA LINHA FERREA (Estrada) (nao oficial),6f9
ANTONINHO COSTA (Vereador),6f9
ANTONIO ABRAHAO BERLEZE,6f9
ANTONIO AITA (Estrada Vicinal),6f9
ANTONIO ALBINO SCHUSTER (nao oficial),6f9
ANTONIO ANDRADE (Travessa),6f9
ANTONIO ARLINDO CIERCO,6f9
ANTONIO ARTUR COLPO,6f9
ANTONIO ASSUNCAO,6f9
ANTONIO AUGUSTO GALVAO DE MELO,6f9
ANTONIO BELLINASO,6f9
ANTONIO BITENCOURTE,6f9
ANTONIO BORGES (Travessa),6f9
ANTONIO BOTEGA,6f9
ANTONIO CARLOS SILVEIRA (nao oficial),6f9
ANTONIO CARVALHO (Professor),6f9
ANTONIO CARVALHO (Professor) (trecho nao oficial),6f9
ANTONIO DIAS (Vereador),6f9
ANTONIO DIAS DE AGUIAR (Travessa),6f9
ANTONIO FELICIO FOLETTO,6f9
ANTONIO FIGUEIRA,6f9
ANTONIO GOI (Doutor),6f9
ANTONIO GOMES DOS SANTOS,6f9
ANTONIO GONCALVES DO AMARAL,6f9
ANTONIO GUEDES DA LUZ,6f9
ANTONIO IGNACIO DE AVILA (Estrada Municipal),6f9
ANTONIO JOAO,6f9
ANTONIO JOAO (trecho nao oficial),6f9
ANTONIO KOHLS,6f9
ANTONIO LINO SPALL,6f9
ANTONIO LINO SPALL (trecho nao oficial),6f9
ANTONIO LORENZI (Travessa) (nao oficial),6f9
ANTONIO LOZZA,6f9
ANTONIO MENDES GONCALVES,6f9
ANTONIO OVIDIO SEVERO (Estrada Municipal),6f9
ANTONIO PEREIRA (Travessa Tenente),6f9
ANTONIO PORTO ALEGRE,6f9
ANTONIO ROSSI,6f9
ANTONIO SALDANHA AZAMBUJA (Travessa),6f9
ANTONIO SANGOI NETTO,6f9
ANTONIO TORRONTEGUY,6f9
ANTONIO VICENTE HANN,6f9
ANTONIO VICTOR MENNA BARRETO (Doutor),6f9
ANTONIO VICTOR MENNA BARRETO (Doutor) (trecho nao oficial),6f9
ANTONIO WALTER FRIEDRICH,6f9
ANTUNES,6f9
ANTUNES (Travessa) (nao oficial),6f9
ANTUNES I (Travessa) (nao oficial),6f9
ANTUNES II (Travessa) (nao oficial),6f9
APARICIO BORGES,6f9
APOCALIPSE (Livro),6f9
APOCALIPSE (Livro) (trecho nao oficial),6f9
APPEL,6f9
ARABIA,6f9
ARACAJU,6f9
ARACAS,6f9
ARACI MARAFIGA QUAIATTO,6f9
ARACY KLUMB,6f9
ARAGUAIA,6f9
ARAPONGAS,6f9
ARARAS AZUIS,6f9
ARARIBOIA,6f9
