name,ghs
ALVORADA,6g4
ARARAS,6g4
BELA VISTA,6g4
BELVEDERE,6g4
BOA VISTA,6g4
BOM PASTOR,6g4
BOM RETIRO,6g4
CAMPESTRE,6g4
CENTRO,6g4
CRISTO REI,6g4
DESBRAVADOR,6g4
DOM GERÔNIMO,6g4
DOM PASCOAL,6g4
EFAPI,6g4
ELDORADO,6g4
ENGENHO BRAUN,6g4
ESPLANADA,6g4
FRONTEIRA SUL,6g4
INDUSTRIAL,6g4
JARDIM AMÉRICA,6g4
JARDIM EUROPA,6g4
JARDIM ITALIA,6g4
JARDINS,6g4
JARDINS DO VALE,6g4
LAJEADO,6g4
LÍDER,6g4
MARIA GORETTI,6g4
MONTE BELO,6g4
PALMITAL,6g4
PARAÍSO,6g4
PARQUE DAS PALMEIRAS,6g4
PASSO DOS FORTES,6g4
PINEHRINHO,6g4
PRESIDENTE MÉDICI,6g4
PROGRESSO,6g4
QUEDAS DO PALMITAL,6g4
SAIC,6g4
SANTA MARIA,6g4
SANTA PAULINA,6g4
SANTO ANTONIO,6g4
SANTOS DUMONT,6g4
SEMINÁRIO,6g4
SÃO CRISTÓVÃO,6g4
SÃO LUCAS,6g4
SÃO PEDRO,6g4
TREVO,6g4
UNIVERSITÁRIO,6g4
VEDERTI,6g4
VILA REAL,6g4
VILA RICA,6g4
ÁGUA SANTA,6g4
