name,ghs
ACESSO AO AEROPORTO FLORENAL RIBEIRO,6g4
ACESSO ERNANI SANDER,6g4
ACESSO FIDÉLIS LÍBERO GRANDO,6g4
ACESSO JOSÉ RODOLFO TRAVI,6g4
ACESSO PLÍNIO ARLINDO DE NES,6g4
ACESSO UBIRAJARA RAUPP,6g4
AV ANTONIO SACHETT,6g4
AV AVENIDA ANTONIO SACHETT,6g4
AV EMILIA PETROLI SACHET,6g4
AV EMILIA PETROLI SACHETT,6g4
AV GENERAL OSÓRIO,6g4
AV LEOPOLDO SANDER,6g4
AV OLIVO TAUFFER,6g4
AV XV DE NOVEMBRO,6g4
AVENIDA AVENIDA GETÚLIO VARGAS,6g4
AVENIDA GETÚLIO VARGAS,6g4
ESTRADA EMC 225,6g4
ESTRADA EMC 358= ACESSO AUGUSTO ANDRIOLI,6g4
ESTRADA ESTRADA MUNICIPAL,6g4
ESTRADA SEVERINO JOÃO GERELLI,6g4
ROD BR-282,6g4
ROD SC-283,6g4
RODOVIA SC-283,6g4
RUA 04,6g4
RUA 05,6g4
RUA 1,6g4
RUA 13 DE MAIO,6g4
RUA 14 DE AGOSTO,6g4
RUA 15 DE NOVEMBRO,6g4
RUA 21 DE ABRIL,6g4
RUA 21 DE AGOSTO,6g4
RUA 25 DE AGOSTO,6g4
RUA 25 DE JULHO,6g4
RUA ???,6g4
RUA A,6g4
RUA ABEL JOÃO ZUCCO,6g4
RUA ABELARDO LUZ,6g4
RUA ACHILES TOMAZELLI,6g4
RUA ACRE,6g4
RUA ACÁCIAS,6g4
RUA ADELAIDE RODRIGUES,6g4
RUA ADELINO SOUZA PINTO,6g4
RUA ADOLFINA TIRAPELLI MENTA,6g4
RUA ADOLFO KONDER,6g4
RUA ADOLFO MASS,6g4
RUA ADOLFO RITTA,6g4
RUA ADRIANO EDUCIDES FIGUEIRÓ,6g4
RUA ADÃO BATISTA,6g4
RUA ADÃO MAZOLINO PORTO,6g4
