name,ghs
ALA ADOLFO KONDER,6gj7 6gj7n
ALA GOV HERIBERTO HULSE,6gj7
ALA NATIVA,6gjec
ALA O PRAIA DE JURERE,6gjeb
ALA P PRAIA DE JURERE,6gjeb
ALA R PRAIA DE JURERE,6gjeb
ALA T PRAIA DE JURERE,6gjeb
ALA V PRAIA DE JURERE,6gjeb
ALA VITOR DA LUZ FONTES,6gjeb
AVN AFONSO DELAMBERT NETO,6gjd
AVN ALBERTO SANTOS DUMONT,6gj6
AVN ALM TAMANDARE,6gj6y
AVN ANGELO CREMA,6gje0
AVN ANTONIO BORGES DOS SANTOS,6gjd
AVN ARQUIPELAGO,6gjef
AVN ATLANTICA,6gj7n
AVN BLUMENAU,6gj6
AVN BURITI,6gje0
AVN CAMBORIU,6gj6
AVN CAMPECHE,6gjd2 6gjd8
AVN CARLOS GONZAGA,6gje0
AVN CEL BANDEIRA MAIA,6gj6
AVN CESAR SEARA,6gj6z
AVN CIDADE DE CORDOBA,6gje
AVN CLAUDIO ALVIN BARBOSA (POETA ZININHO),6gj7n
AVN COLETORA INSULAR CI-17 C,6gjeb
AVN D (PROJETADA),6gje0
AVN DA SAUDADE,6gj7
AVN DAS ACACIAS,6gj7
AVN DAS AGUAS MARINHAS,6gj
AVN DAS ALGAS,6gjeb
AVN DAS CONSTELACOES,6gjed
AVN DAS LAGOSTAS,6gjeb
AVN DAS MANGUEIRAS,6gjd
AVN DAS NACOES,6gjec
AVN DAS PAINEIRAS,6gj7
AVN DAS PITANGUEIRAS,6gj7
AVN DAS RAIAS,6gjeb
AVN DAS RENDEIRAS,6gjd
AVN DES VITOR LIMA,6gj6z 6gj7
AVN DO ANTAO,6gj7
AVN DO IPE AMARELO,6gjd
AVN DOS AMORES,6gjeb
AVN DOS BONITOS,6gjeb
AVN DOS BUZIOS,6gjeb
AVN DOS COQUEIROS,6gj7
AVN DOS DOURADOS,6gjeb
AVN DOS JERIVAS,6gj 6gjef
AVN DOS MERLINS,6gjeb
AVN DOS PAMPOS,6gjeb
AVN DOS PINHEIRAIS,6gj7
AVN DOS SALMOES,6gjeb
AVN ENG MAX DE SOUZA,6gj6y 6gj7n
AVN EPITACIO BITTENCOURT,6gj
AVN GOV GUSTAVO RICHARD,6gj6z
AVN GOV IRINEU BORNHAUSEN,6gj7
AVN GOV IVO SILVEIRA,6gj6 6gj6y 6gj7n
AVN GOV JORGE LACERDA,6gj6 6gj6z
AVN GOV JOSE BOABAID,6gjd 6gje0
AVN HERCILIO LUZ,6gj6z 6gj7
AVN ICARAIS,6gjeb
AVN ITAMARATI,6gje0
AVN JACARANDA,6gj7
AVN JOINVILLE,6gj6
AVN JORN RUBENS DE ARRUDA RAMOS,6gj7 6gj7n 6gje0
AVN JULIO D'ACIA BARRETO,6gj6z
AVN LAGES,6gj6
AVN LIONS INTERNACIONAL,6gj 6gjef
AVN LUIZ BOITEUX PIAZZA,6gj 6gjec 6gjef
AVN MADRE BENVENUTA,6gj7 6gje0
AVN MAR MAX SCHRAMM,6gj7n
AVN MAURO RAMOS,6gj6z 6gj7
AVN NORBERTO BECKER,6gjd2
AVN OSVALDO RODRIGUES CABRAL,6gj7n
AVN PATRICIO CALDEIRA DE ANDRADA,6gj6y
AVN PAULO FONTES,6gj6z 6gj7
AVN PEQUENO PRINCIPE,6gjd2 6gjd8
AVN PLACIDO DE CASTRO,6gj6y
AVN PRAIA DE JURERE(A 1 21),6gjeb
AVN PRAIA DE JURERE(C5-09),6gjeb
AVN PRAIA DE JURERE(C6-08),6gjeb
AVN PREF ACACIO GARIBALDI SAN THIAGO,6gjd
AVN PREF OSMAR CUNHA,6gj7
AVN PREF WALDEMAR VIEIRA,6gj6z
AVN PRES JUSCELINO KUBITSCHEK DE OLIVEIRA,6gj7n
AVN PROF HENRIQUE DA SILVA FONTES,6gj7 6gje0
AVN PROF MILTON LEITE DA COSTA,6gjec
AVN PROF OTHON GAMA D'ECA,6gj7
