name,ghs
Ala Adolfo Konder,6gj
Ala Gov Heriberto Hulse,6gj
Ala N Praia De Jurere,6gj
Ala Nativa,6gj
Ala O Praia De Jurere,6gj
Ala P Praia De Jurere,6gj
Ala Q Praia De Jurere,6gj
Ala R Praia De Jurere,6gj
Ala S Praia De Jurere,6gj
Ala T Praia De Jurere,6gj
Ala Theodoro Ferrari,6gj
Ala V Praia De Jurere,6gj
Ala Vitor Da Luz Fontes,6gj
Avn A Loteamento Parque Dos Aracuas,6gj
Avn Afonso Delambert Neto,6gj
Avn Alberto Santos Dumont,6gj
Avn Alm Tamandare,6gj
Avn Angelo Crema,6gj
Avn Antonio Borges Dos Santos,6gj
Avn Arquipelago,6gj
Avn Atlantica,6gj
Avn Blumenau,6gj
Avn Buriti,6gj
Avn Camboriu,6gj
Avn Campeche,6gj
Avn Carlos Gonzaga,6gj
Avn Cel Bandeira Maia,6gj
Avn Cesar Seara,6gj
Avn Cidade De Cordoba,6gj
Avn Claudio Alvin Barbosa (Poeta Zininho),6gj
Avn Coletora Insular Ci17 C,6gj
Avn D (Projetada),6gj
Avn Da Saudade,6gj
Avn Das Acacias,6gj
Avn Das Aguas Marinhas,6gj
Avn Das Constelacoes,6gj
Avn Das Lagostas,6gj
Avn Das Mangueiras,6gj
Avn Das Nacoes,6gj
Avn Das Paineiras,6gj
Avn Das Pitangueiras,6gj
Avn Das Raias,6gj
Avn Das Rendeiras,6gj
Avn Des Vitor Lima,6gj
Avn Do Antao,6gj
Avn Do Ipe Amarelo,6gj
Avn Dos Amores,6gj
Avn Dos Bonitos,6gj
Avn Dos Buzios,6gj
Avn Dos Coqueiros,6gj
Avn Dos Dourados,6gj
Avn Dos Imigrantes Acorianos,6gj
Avn Dos Jerivas,6gj
Avn Dos Merlins,6gj
Avn Dos Pampos,6gj
Avn Dos Pinheirais,6gj
Avn Dos Salmoes,6gj
Avn Eng Max De Souza,6gj
Avn Epitacio Bittencourt,6gj
Avn Gov Gustavo Richard,6gj
Avn Gov Irineu Bornhausen,6gj
Avn Gov Ivo Silveira,6gj
Avn Gov Jorge Lacerda,6gj
Avn Gov Jose Boabaid,6gj
Avn Hercilio Luz,6gj
Avn Icarais,6gj
Avn Itamarati,6gj
Avn Jacaranda,6gj
Avn Joinville,6gj
Avn Jorn Rubens De Arruda Ramos,6gj
Avn Julio D'Acia Barreto,6gj
Avn Lages,6gj
Avn Lions Internacional,6gj
Avn Luiz Boiteux Piazza,6gj
Avn Madre Benvenuta,6gj
Avn Mar Max Schramm,6gj
Avn Mauro Ramos,6gj
Avn Norberto Becker,6gj
Avn Osvaldo Rodrigues Cabral,6gj
Avn Patricio Caldeira De Andrada,6gj
Avn Paulo Fontes,6gj
Avn Pequeno Principe,6gj
Avn Pi 02(4) Loteamento Portal Do Ribeirao,6gj
Avn Placido De Castro,6gj
Avn Praia De Jurere(C509),6gj
Avn Praia De Jurere(C608),6gj
Avn Pref Acacio Garibaldi San Thiago,6gj
Avn Pref Osmar Cunha,6gj
Avn Pref Waldemar Vieira,6gj
Avn Pres Juscelino Kubitschek De Oliveira,6gj
Avn Prof Henrique Da Silva Fontes,6gj
Avn Prof Milton Leite Da Costa,6gj
Avn Prof Othon Gama D'Eca,6gj
Avn Ptolomeu Bittencourt,6gj
Avn Red Park,6gj
Avn Rio Branco,6gj
Avn San Marino,6gj
Avn Santa Catarina,6gj
Avn Santos Dumont (Base Aerea),6gj
Avn Tercasa Iii,6gj
Avn Tom Traugott Wildi,6gj
Avn Trompowsky,6gj
Avn Tubarao,6gj
Avn Tucuma,6gj
Avn Ver Nagib Jabor,6gj
Avn Vinicius De Moraes,6gj
Bco Beltrani Da Silva,6gj
Bco Clandestino,6gj
Bco Da Chica,6gj
Bco Das Gralhas,6gj
Bco Do Canal,6gj
Bco Dos Poetas,6gj
Bco Dos Surfistas,6gj
Bco Jacare,6gj
Bco Maria Flor Da Costa,6gj
Bco Padre Roma,6gj
Bco Santa Rita De Cassia,6gj
Bco Sem Denominacao,6gj
Bco Sem Denominacao 43,6gj
Bco Sem Denominacao 46,6gj
Bco Sem Denominacao 5,6gj
Bco Sem Denominacao 74,6gj
Bco Sem Denominacao 75,6gj
Bco Sem Denominacao 83,6gj
Bco Sem Denominacao 84,6gj
Bco Sem Denominacao 86,6gj
Bco Sem Denominacao 87,6gj
Bco Stefani Becker,6gj
Bco Xingu,6gj
Bco Zilli,6gj
Blv Do Peixeflor,6gj
Blv Paulo Zimmer,6gj
CODIGO LOGRADOURO INVALIDO OU INEXISTENTE,6gj
Cam Acesso Antiga Torre Telesc,6gj
Cam Berreta,6gj
Cam Costa Da Lagoa,6gj
Cam Da Cruz,6gj
Cam Do Engenho,6gj
Cam Do Rei,6gj
Cam Do Sertao,6gj
Cam Dos Pescadores,6gj
Cam Passarela Do Costao,6gj
Cam Sem Denominacao,6gj
Cam Sem Denominacao 172,6gj
Con Atlantico Sul,6gj
Con Condominio Cachoeira Do Bom Jesus,6gj
Con Condominio Village Das Acacias,6gj
Con Costa Verde,6gj
Con Praia Da Armacao,6gj
Ent Clandestina,6gj
Ent Sem Denominacao,6gj
Est Anarolina Silveira Santos,6gj
Est Caminho Dos Acores,6gj
Est Cristovao Machado De Campos,6gj
Est Dom Joao Becker,6gj
Est Francisco Thomas Dos Santos(Chico Alambi,6gj
Est Haroldo Soares Glavan,6gj
Est Joao Bellarmino Da Silva,6gj
Est Jorn Jaime De Arruda Ramos,6gj
Est Padre Rohr,6gj
Est Rozalia Paulina Ferreira,6gj
Est Sertao Do Assopro,6gj
Est Ver Onildo Lemos,6gj
Jdm Estoril,6gj
Lgo Benjamin Constant,6gj
Lgo Dos Acarais,6gj
Lgo Fagundes,6gj
Lig Atlantica Pc3,6gj
Lig Pc3 Atlantica,6gj
Loc Condominio Aldeia De Cacupe,6gj
Pas A,6gj
Pas A (Condominio Antares Projeto 42554),6gj
Pas A (Condominio Canto Da Lagoa),6gj
Pas A (Condominio Costa Oeste),6gj
Pas A (Condominio Horizontal Paraiso),6gj
Pas A (Condominio Horizontal Projeto 33701),6gj
Pas A (Condominio Horizontal Projeto 44692),6gj
Pas A (Condominio Horizontal Projeto 46442),6gj
Pas A (Condominio Horizontal Projeto 46443),6gj
Pas A (Condominio Horizontal Projeto 46475),6gj
Pas A (Condominio Horizontal),6gj
Pas A (Condominio Moradas Cachoeira),6gj
Pas A Balneario Acores,6gj
Pas A Cond Vancouver,6gj
Pas A Condominio Horizontal Projeto 36644,6gj
Pas A Condominio Horizontal Unifamiliar,6gj
Pas A Condominio Morada Campeche I,6gj
Pas A Do Geriva,6gj
Pas A Itacorubi,6gj
Pas A Morada Do Campeche Ii,6gj
Pas A Projeto 33839,6gj
Pas A Projeto 50762,6gj
Pas A Residencial San Diego,6gj
Pas A Santa Monica,6gj
Pas B,6gj
Pas B Canasvieiras,6gj
Pas B Condominio Costa Sul,6gj
Pas B Condominio Horizontal,6gj
Pas B Condominio Horizontal Projeto 36644,6gj
Pas B Do Condominio,6gj
Pas B Do Geriva,6gj
Pas B Itacorubi,6gj
Pas C,6gj
Pas C Balneario Acores,6gj
Pas C Condominio Costa Sul,6gj
Pas C Condominio Praia Dos Ingleses,6gj
Pas C Do Geriva,6gj
Pas Cond Horizontal Harmonia,6gj
Pas Condominio Arraial Do Mar,6gj
Pas Condominio Blaschke 3,6gj
Pas Condominio Costa Oeste,6gj
Pas Condominio Getulio D'Amoreira,6gj
Pas Condominio Horiz Unif,6gj
Pas Condominio Horizontal Uniao,6gj
Pas Condominio Jose Carlos Daux,6gj
Pas Condominio Praia Da Cachoeira I,6gj
Pas Condominio Praia Da Cachoeira Ii,6gj
Pas D Balneario Acores,6gj
Pas D Do Geriva,6gj
Pas Das Azuritas,6gj
Pas Das Guaiviras,6gj
Pas Das Merluzas,6gj
Pas Das Pescadinhas,6gj
Pas Das Sororocas,6gj
Pas Das Tilapias,6gj
Pas Das Turquesas,6gj
Pas De Pedestre A2,6gj
Pas Do Cond Horizontal,6gj
Pas Dos Agulhoes,6gj
Pas Dos Anduias,6gj
Pas Dos Atuns,6gj
Pas Dos Bacalhaus,6gj
Pas Dos Bagres,6gj
Pas Dos Burriquetes,6gj
Pas Dos Carapicus,6gj
Pas Dos Caratais,6gj
Pas Dos Delfins,6gj
Pas Dos Jundias,6gj
Pas Dos Mexilhoes,6gj
Pas Dos Onix,6gj
Pas Dos Roncadores,6gj
Pas Dos Sargos,6gj
Pas E Balneario Acores,6gj
Pas E Condominio Costa Leste,6gj
Pas F Condominio Costa Leste,6gj
Pas Passeio Dos Namorados,6gj
Pas Pedestre Cond Antares (Proj 42554),6gj
Pas Praia De Jurere(P1 B10),6gj
Pas Praia De Jurere(P3 A06),6gj
Pas Village 1,6gj
Pca A Gomes,6gj
Pca Abdon Batista,6gj
Pca Breno Pinheiro Valadares,6gj
Pca Das Furnas,6gj
Pca Esteves Junior,6gj
Pca Getulio Vargas,6gj
Pca Gov Celso Ramos,6gj
Pca Guilherme Fortkamp,6gj
Pca Herminio Silva,6gj
Pca Marcilio Dias,6gj
Pca Olivio Amorim,6gj
Pca Padre Jose Anchieta,6gj
Pca Paulo Schlemper,6gj
Pca Pereira Oliveira,6gj
Pca Ver Miguel Angelo Sedrez,6gj
Pca Xv De Novembro,6gj
Pra Dos Ingleses,6gj
Pte Eng Colombo Machado Salles,6gj
Pte Gov Pedro Ivo Campos,6gj
Pte Hercilio Luz,6gj
Rec Das Tulipas,6gj
Rod Acoriana,6gj
Rod Admar Gonzaga,6gj
Rod Amaro Antonio Vieira,6gj
Rod Aparicio Ramos Cordeiro,6gj
Rod Armando Calil Bulos (Sc 403),6gj
Rod Baldicero Filomeno,6gj
Rod Br 282 Via Expressa,6gj
Rod Dep Diomicio Freitas,6gj
Rod Dr Antonio Luiz Moura Gonzaga,6gj
Rod Francisco Arcanjo Grillo,6gj
Rod Francisco Germano Da Costa,6gj
Rod Francisco Magno Vieira,6gj
Rod Francisco Thomaz Dos Santos (Seu Chico),6gj
Rod Gilson Da Costa Xavier,6gj
Rod Gov Aderbal Ramos Da Silva,6gj
Rod Joao Gualberto Soares,6gj
Rod Joao Paulo,6gj
Rod Jorn Manoel De Menezes Sc 406,6gj
Rod Jorn Mauricio Sirotsky Sobrinho,6gj
Rod Jose Carlos Daux (Sc 401),6gj
Rod Rafael Da Rocha Pires,6gj
Rod Tertuliano Brito Xavier,6gj
Rod Virgilio Varzea,6gj
Rua (L2) 15,6gj
Rua 01 (Jardim Recanto Da Ilha),6gj
Rua 01 Loteamento Vilas Do Ribeirao,6gj
Rua 02 Jardim Recanto Da Ilha,6gj
Rua 02 Loteamento Vilas Do Ribeirao,6gj
Rua 03 Jardim Recanto Da Ilha,6gj
Rua 03 Loteamento Vilas Do Ribeirao,6gj
Rua 04,6gj
Rua 04 Jardim Recanto Da Ilha,6gj
Rua 04 Loteamento Vilas Do Ribeirao,6gj
Rua 05 Jardim Recanto Da Ilha,6gj
Rua 12 De Outubro,6gj
Rua 13 De Maio,6gj
Rua 13 Residencial Morro Das Pedras,6gj
Rua 14 Bis,6gj
Rua 15 Balneario Acores,6gj
Rua 23 De Marco,6gj
Rua 25 De Marco,6gj
Rua 5 Loteamento Cidade Da Barra,6gj
Rua 6 Cidade Da Barra,6gj
Rua 7 Cidade Da Barra,6gj
Rua 9 Loteamento Frederico Veras,6gj
Rua A (Projetada),6gj
Rua A Comunidade Panaia,6gj
Rua A Conjunto Residencial Carvoeira,6gj
Rua A Loteamento Alameda Rio Vermelho I,6gj
Rua A Loteamento Jardim Dos Cedros,6gj
Rua A Loteamento Mares Do Sul,6gj
Rua A Loteamento Mirante Das Baias,6gj
Rua A Loteamento Osmar Tessmer,6gj
Rua A Loteamento Residencial Campeche Ii,6gj
Rua A Trecho 02 Lto Jardim Campeche,6gj
Rua A Trecho 04 Lto Jardim Campeche,6gj
Rua A Trecho 1356 Lto Jardim Campeche,6gj
Rua A Trecho 6789 Lto Jardim Campeche,6gj
Rua Abel Alvares Cabral Junior,6gj
Rua Abelardo Luz,6gj
Rua Abelardo Otacilio Gomes,6gj
Rua Abilio Costa,6gj
Rua Abrahao Vieira Carneiro,6gj
Rua Acacio Moreira,6gj
Rua Acad Reinaldo Consoni,6gj
Rua Acari Silva,6gj
Rua Acary Margarida,6gj
Rua Accacio Melo,6gj
Rua Acelon Eduardo Da Silva,6gj
Rua Acelon Pacheco Da Costa,6gj
Rua Aconchego Do Mar,6gj
Rua Acropole,6gj
Rua Adao Dos Reis,6gj
Rua Adelino Amaro Vieira,6gj
Rua Ademar Adao,6gj
Rua Ademar Grijo,6gj
Rua Adiles Della Giustina,6gj
Rua Adilio Maria Firminio,6gj
Rua Adolfo Goncalves Aguiar,6gj
Rua Adolfo Melo,6gj
Rua Afonso Cardoso Da Veiga,6gj
Rua Afonso Fortkamp,6gj
Rua Afonso Luiz Borba,6gj
Rua Afonso Pena,6gj
Rua Agapito Veloso,6gj
Rua Agenor Cardoso,6gj
