name,ghs
Al. Ernesto Schneider,6gjq 6gjqu
Av. 7 de Setembro,6gjqu
Av. Brasília,6gj 6gjqg
Av. Braulio Werner,6gjq
Av. Campos Novos,6gjqg
Av. Carlos Drumond de Andrade (Praia Brava),6gjq
Av. Demostenes Feminella Filho,6gj
Av. Domingos de Almeida,6gj
Av. Duque de Caxias,6gjqu 6gjquk
Av. Getúlio Vargas,6gjqu 6gjquk
Av. Guanabara,6gj
Av. Independência,6gj
Av. Irineu Bornhausen,6gj 6gjqu
Av. Itaipava,6gjq 6gjqg
Av. Joca Brandão,6gjqu
Av. José Eugênio Muller,6gjqu 6gjquk
Av. José João Corrêa,6gj
Av. José Sasdelli,6gj
Av. Lauro José Pereira,6gj
Av. Leodegario Pedro da Silva,6gj
Av. Marcos Luís Cabral,6gj
Av. Marginal Leste,6gj 6gjqg
Av. Marginal Oeste,6gj 6gjqg
Av. Maria Marques Werner,6gjqg
Av. Márcio Ferreira de Mello e Silva,6gjq
Av. Mário Uriarte,6gjqg
Av. Nilo Bittencourt,6gjqg
Av. Osvaldo Reis,6gjq 6gjqu
Av. Paulo Cantídio da Silva,6gj
Av. Projetada K,6gj
Av. Radial Oeste,6gjqg
Av.Cel.Eugênio Muller,6gjqu
Av.Cel.Marcos Konder,6gjqu
Av.Dr.José Medeiros Vieira (Norte),6gjq
Av.Dr.José Medeiros Vieira (Sul),6gjq
Av.Dr.Nereu Ramos (Centro),6gjqu
Av.Dr.Nereu Ramos (Murta),6gj
Av.Dr.Reinaldo Schmithausen,6gj
Av.Gov.Adolfo Konder,6gjqg 6gjqu
Av.Min.Luiz Gallotti,6gjqg
Av.Min.Victor Konder,6gjqu
Av.Pref.Paulo Bauer,6gjqu
Av.Pres.Castelo Branco,6gj
Av.Pres.Costa e Silva,6gj
Av.Ver.Abrahão João Francisco,6gjqg 6gjqu
Av.Ver.Carlos Ely Castro,6gjqu
Av.Ver.Nilo Simas,6gjqg 6gjqu
Bc. Aldo,6gjqu
Pç. Celso Pereira da Silva,6gj
R. Abdon David Schmitt,6gjqu 6gjquk
R. Abel Adriano da Silva,6gjq 6gjqu
R. Abelardo Costa Filho,6gjquk
R. Abelardo Luz,6gjqu
R. Abercio Werner,6gjqu
R. Abraão Bernardino Rocha,6gjqu
R. Abílio Corrêa Mello,6gj
R. Acari Antônio Moser,6gjqu
R. Acedilo Monteiro de Lima,6gjqg
R. Acelino Alves dos Santos,6gjqg 6gjqu
R. Acylino José Felicio,6gj
R. Acyr Cunha,6gjqu
R. Acácio Pereira,6gj 6gjqg
R. Adele Schoenau,6gjqu
R. Adelso Leonel de Amorim,6gjqg
R. Ademar Barbi,6gj
R. Ademar Garcia da Silva,6gjqu
R. Adolfo Batschauer,6gjqu 6gjquk
R. Adolfo Cugnier,6gjqu
R. Adolfo José Fontes Pfeilsticker,6gj
R. Adolfo José de Assis,6gj 6gjqg
R. Adão Vandal,6gj
R. Afonso Orsi,6gjq
R. Agenor Cesario de Aragão,6gj
R. Agenor Generoso Mello,6gj
R. Ageu João Gomes,6gjqg
R. Agostinho Alves Ramos,6gj 6gjqg
R. Agostinho Fernandes Vieira,6gjqu
R. Agostinho Soares,6gj
R. Agrolândia,6gjqg
R. Aguinaldo Deola,6gjqu 6gjquk
R. Agustinho Lemos de Camargo,6gjq
R. Agílio Cunha,6gjqg
R. Airton Rogério Tridapalli,6gjqu
R. Aladi Schendroski Bini,6gjqu
R. Alagoas,6gj
R. Alameda Mata Atlântica,6gjq
R. Albano Eicholtz,6gjqu
R. Albatroz,6gjq
R. Alberto Buchele,6gj
R. Alberto Dagnoni,6gj
R. Alberto Ramos Filho,6gjqg 6gjqu
R. Alberto Werner,6gjqu 6gjquk
R. Albino Gugelmin,6gj
R. Alcides Bento Gonçalves,6gjqg
R. Alcides Esperidião Pereira,6gjqg
R. Alcides Nascimento,6gjqu
R. Alcides Pereira,6gjq
R. Alcides Rodrigues da Costa,6gjqg
R. Aldhemar Veiga,6gjqg
R. Aldo Locatelli,6gjqu
R. Aldo Marcos Cunha,6gjqu
R. Aldo Silva,6gjqg
R. Alex Ciro Vicente,6gj
R. Alexandre Alexiús Reiser,6gjqu
R. Alexandre D´Ávila Baptista,6gj
R. Alexandre Moser,6gjq
R. Alfonso Dalmolin,6gjq
R. Alfonso Eugênio Brandt,6gjq
R. Alfredo Conrado Moreira,6gj
R. Alfredo Eicke,6gj
R. Alfredo Eicke Júnior,6gj
R. Alfredo Esser,6gj 6gjqg
R. Alfredo Fantini,6gjqg
R. Alfredo Kleis,6gjqg 6gjqu
R. Alfredo Labes,6gjq 6gjqu
R. Alfredo Ledra,6gjq
R. Alfredo Ludovino D´Ávila,6gjqg
R. Alfredo Trompowisky,6gjqu
R. Alice Vieira da Silva,6gjqu
R. Alice dos Santos Bittencourt,6gjqg
R. Almysio Luiz,6gjq
R. Alois Wippel,6gjqu
R. Aloísio Kormann,6gj
R. Altino Werner,6gjqu
R. Altino de Souza,6gj
R. Alvina Ramos,6gjqg 6gjqu
R. Alvino Baumann,6gjqu
R. Alzira de Oliveira Pereira,6gjq
R. Amapá,6gjqg
R. Amaro Belmiro Coelho,6gj
R. Amaro Jaques,6gjqu
R. Amauri de Souza,6gjqu
R. Amazonas,6gjqg
R. Amelia Izabel Coelho,6gj
R. Ametista,6gj
R. Amirto Hellmann,6gjq
R. Amâncio Coelho,6gjqu
R. Américo Meinicke,6gj
R. Ana Dalsoquio dos Santos,6gj
R. Ana Mafra Pereira,6gjqg
R. Ana Vanat Orlandi,6gjq
R. Anair de Souza,6gjq
R. Analina Régis,6gjqg
R. Anastácio Antônio Nascimento,6gjqu
R. Anastácio José Mendes,6gjqg
R. Anatolio José da Silva,6gjqg
R. Andrelino Werner,6gjqg
R. André Luiz Vidal Soares,6gjq
R. Anete Helena Marés Flores,6gjqu
R. Angela Cecilia Tolardo,6gj
R. Anibal César,6gjqu 6gjquk
R. Anibal Pereira,6gj
R. Anita Garibaldi,6gjqu
R. Anna Carolina Zapparoli Gomes Silva de Souza,6gjqu
R. Anna Custódio,6gjq
R. Anna Moser,6gjq
R. Annanias Caetano da Silva,6gj
R. Anselmo Knihs,6gjq
R. Antenor Antônio Vieira,6gjq
R. Antenor Fantoni,6gj
R. Antero Antônio Cardoso,6gjqg
R. Antero Chaves,6gjqu
R. Anthurium,6gjq
R. Antonia Apollinário,6gjq
R. Antonio Victor Gonçalves,6gj
R. Antônia Araujo,6gjqg
R. Antônia Gums Baumgartner,6gj
R. Antônio Adão Dias,6gjqu 6gjquk
R. Antônio André Paulo,6gjqu
R. Antônio Ayres dos Santos,6gjqg
R. Antônio Belmiro Furtado,6gjq
R. Antônio Bento da Silva,6gjq
R. Antônio Bernardo Schauffert,6gjqu
R. Antônio Bonanomi,6gjqu
R. Antônio Borba,6gjqu
R. Antônio Cabral,6gjqu
R. Antônio Caetano,6gjqu
R. Antônio Carlos Figueredo,6gj
R. Antônio Carlos Pereira Leão Filho,6gjqg
R. Antônio Cyrilo Dutra,6gjqu
R. Antônio Foes,6gjqu
R. Antônio Francisco de Oliveira,6gjqu
R. Antônio Gastaldi Filho,6gjq
R. Antônio José Cuco,6gjqg
R. Antônio José Marcos,6gjqg
R. Antônio José Rebello,6gj
R. Antônio José da Veiga,6gj
R. Antônio Lira,6gjq
R. Antônio Manoel Correia,6gjqu
R. Antônio Manoel Moreira,6gjqu
R. Antônio Müller Reis,6gj
R. Antônio Notari,6gj 6gjq
R. Antônio Perão,6gjqu
R. Antônio Ramos,6gjqu
R. Antônio Rocha D´Andrade,6gjq 6gjqu
R. Antônio Tironi,6gj
R. Antônio Valenza,6gjq
R. Antônio Vinotti,6gj
R. Antônio de Meneses Vasconcelos de Drumond,6gjqu
R. Antônio de Souza,6gj
R. Antônio de Souza Cunha,6gjq 6gjqu
R. Anísio Costa,6gj 6gjqu
R. Apolonia Inthur Cordeiro,6gjqu
R. Aprígio José Pinto,6gjqu
R. Aquilino Burigo,6gjq
R. Aracajú,6gjqg
R. Aracy Rucci Grimes,6gjqg
R. Ararangua,6gjqg
R. Archimedes Lobo Johannsen,6gj
R. Arcílio Zeverino,6gj
R. Argemiro Mendonça,6gjq
R. Ari Zermiani,6gjq 6gjqg
R. Ariribá,6gjq
R. Aristides Estevão da Silva,6gjqu
R. Aristides Francisco Palumbo,6gjqu 6gjquk
R. Aristides Pedroni,6gjq
R. Aristides Sperber,6gjqg
R. Arlindo Mafra,6gjq
R. Arlindo Werner,6gjqg
R. Arlécio de Souza Flor,6gjqu
R. Armando Fontolan,6gjqg
R. Armando de Amorim,6gj 6gjqg
R. Armindo Minella,6gjqu
R. Arnaldo Emílio Dalçóquio,6gj 6gjqg
R. Arnaldo José de Oliveira,6gjqu
R. Arnaldo Lopes,6gjqg 6gjqu
R. Arnoldo Corrêa de Mello,6gjqg 6gjqu
R. Arnoldo João de Souza,6gjq
R. Arnoldo Lopes Gonzaga,6gj
R. Arnoldo Pollhein,6gjq
R. Arnoldo Serafim,6gj
R. Arthur José Rebelo,6gjqg
R. Artilha Pezzini Gelasco,6gjqg
R. Artur Amaro Rocha,6gjq
R. Artur Fermiano Teixeira,6gjq
R. Artur Torquato Batista,6gjq 6gjqu
R. Artur Winter,6gjq
R. Artur Wippel,6gjq
R. Atilio Dalsóquio,6gj
R. Atílio Orsi,6gjqg
R. Augusto Burigo,6gjq
R. Augusto Cardoso Pereira,6gjq
R. Augusto Cugnier,6gj
R. Augusto Dalago,6gjq
R. Augusto Fiorenzano Júnior,6gjqg
R. Augusto Luiz Voigi,6gjq
R. Augusto Pedro Schoenau,6gjqu
R. Augusto de Jesus,6gj
R. Aurora Tabalipa,6gjqu
R. Austergilio Angelino,6gjqu
R. Avelino Werner,6gj
R. Ayres Gustavo Pereira,6gjq
R. B,6gjqg 6gjqu
R. Bahia,6gj
R. Basílio Domingos Gonçalves,6gjq
R. Belarmino Manoel Leite,6gjq
R. Belisário Corrêa,6gjq
R. Benjamim Constant,6gjq
R. Benjamim Dagnoni,6gjq
R. Benjamim Wendhausen,6gjqu
R. Benjamin Franklin Pereira,6gjqu
R. Benno Emmendorfer,6gjqg
R. Benta Custodio Vieira,6gjq
R. Benta Evarista da Silva,6gjqg
R. Bento Adriano Pereira,6gjqu
R. Bento Cesário Aragão,6gjqu
R. Bernadette Dell'Agnolo Bozzano,6gjqu
R. Bernardina da Rocha,6gjqu
R. Bernardino Leonel Félix,6gjqg
R. Bernardino Ramos,6gj
R. Bernardo Petter,6gjqu
R. Bertholino Serpa,6gj
R. Biguaçú,6gjqg
R. Blumenau,6gj 6gjqu
R. Boa Vista,6gj
R. Bolívia,6gj
R. Bom Retiro,6gjqg
R. Botuverá,6gjqu
R. Braulino Bento Cypriano,6gjq
R. Braço do Norte,6gjqu
R. Bruno França,6gjq
R. Bruno P. Reiser,6gj
R. Bruno Vicente da Luz,6gj
R. Brusque,6gjqu 6gjquk
R. Calixto de Jesus,6gjq
R. Camboriú,6gjqu
R. Campo Grande,6gj
"R. Camélias, das",6gjqg
R. Canoinhas,6gjqu
R. Cargelino Francelino,6gjqg 6gjqu
R. Carlos Alberto Mayr,6gj
R. Carlos Alberto Niehues,6gjq
R. Carlos Alberto Vieira,6gjq
R. Carlos Bacca,6gjq
R. Carlos Bernardes,6gjqg
R. Carlos Drumond de Andrade (S.Vicente),6gjqu
R. Carlos Gonçalves Dutra,6gjqu
R. Carlos Hugo Praun,6gjqu
R. Carlos Hugo da Rosa,6gj
R. Carlos Juvenal Gomes,6gj
R. Carlos Luiz Stringari,6gj 6gjq 6gjqg
R. Carlos Otto Priess,6gjqg 6gjqu
R. Carlos Rogge Neto,6gjq
R. Carlos Santana,6gjqu 6gjquk
R. Carlos Schroeder,6gjqg 6gjqu
R. Carlos Seara,6gjqu 6gjquk
R. Carlos Serafim Zaguini,6gjqg 6gjqu
R. Carmo Casemiro da Silva,6gjq
R. Carmo Mafra,6gjq
R. Carola Coelho,6gjq
R. Carolina Vailati,6gjqu
R. Cassilda Vargas Azevedo,6gjqu
R. Catarina dos Passos Bosco,6gjqg
R. Caçador,6gj 6gjqu
R. Ceará,6gj
R. Cecília Brandão,6gjqu
R. Cecília Meirelles,6gjqu
R. Cesário Chaves,6gjqu
R. Chapecó,6gjqg
R. Chrispim Antônio Ferreira,6gj
R. Chrispim Evaristo,6gjq
R. Christiane do Nascimento,6gj
R. Christina Merlo,6gjq
R. Christina Rebello Priess,6gjqu
R. Cingapura,6gjqg
R. Ciriaco Meirinho,6gjquk
R. Clair Brun da Silva,6gjq
R. Clara Dagnoni de Andrade,6gjq
R. Clarinda Júlio Pereira,6gj
R. Clarindo Sebastião da Cunha,6gj 6gjq
R. Cláudio de Souza Ferreira,6gjq
R. Conceição,6gjqu
R. Concórdia,6gjqg
R. Conegunda Tomazina Bosco,6gjqg
R. Conselheiro Júlio Kumm,6gjq
R. Constantino D´Ivanenko,6gj
R. Constantino Lucas Pereira,6gjqu
R. Corifeu de Azevedo Marques,6gjquk
R. Criciúma,6gjqu
R. Cruz de Souza,6gjqu
R. Cuiabá,6gj 6gjqg
R. Curitibanos,6gjqu
R. Curt Hering,6gj
R. Cypriana Wanzuita,6gjq
R. Cypriano Nunes dos Santos,6gj
R. César Augusto Dalsóquio,6gj
R. César Stamm,6gj
R. Cônego Tomaz Fontes,6gjqu
R. D,6gjq
R. D - Desmembramento aprovado Nº 64/1987,6gjq
R. Dagoberto Nogueira,6gjqu
R. Dalva Santos Estanislau,6gj
R. Dalvina de Oliveira,6gjqg
R. Damásio Francisco Nunes,6gjqu
R. Daniel Veiga Cugnier,6gjq
R. Dario Cesário Pereira,6gjqu
R. Das Acácias,6gjqg 6gjqu
R. Das Azaléias,6gjqg 6gjqu
R. Das Buganvilias,6gjqg
R. Das Cerejeiras,6gjqu
R. Das Hortências,6gjqg
R. Das Orquídeas,6gjqu
R. Das Papoulas,6gjqg 6gjqu
R. Das Petúnias,6gjqg
R. Das Violetas,6gjqg 6gjqu
R. David Adão Schmidt,6gj 6gjqu
R. Delfim Mário Pádua Peixoto,6gjq
R. Demétrio Izidoro Cardoso,6gjq
R. Demétrio P. S. Medeiros,6gjqu
R. Deogracio de Oliveira,6gjqu
R. Dionísio Cerqueira,6gjqu
R. Dirceu Everton Cordeiro,6gjq
R. Doca Rebello,6gjq
R. Domingos Antônio Borba,6gjqg
R. Domingos Braz Sedrez,6gj
R. Domingos Clarindo da Cunha,6gjq
R. Domingos José Cabral,6gjqu
R. Domingos Laureano,6gjqu
R. Domingos Manoel Rodrigues,6gjqu
R. Domingos Nunes dos Santos,6gj
R. Domingos Rampelotti,6gjq 6gjqg
R. Donato Pereira,6gjq
R. Doraci Anacleto de Souza,6gjq
R. Dorval José de Aragão,6gj
R. Dos Hibiscos,6gjqg
R. Dos Jasmins,6gjqg 6gjqu
R. Doutel de Andrade,6gjq
R. Dr. Pedro Ferreira,6gjqu
R. Durval Cavichiolli,6gjq
R. Dário da Silva,6gj
R. Edgard Neuwirth,6gjqg
R. Edio Gilberto Reis,6gjqu
R. Edmundo Heusi Júnior,6gjqg
R. Edmundo Kienast,6gjqu
R. Edmundo Leopoldo Merizio,6gjq
R. Edmundo Victorino,6gjq
R. Edmundo Wippel,6gjq 6gjqg
R. Edmundo de Souza Cunha,6gjqu
R. Eduardo Gonçalves Dutra,6gjqu
R. Eduardo Pessoa Lins,6gj
R. Eduardo Silva,6gjq
R. Eduardo Teixeira,6gjqu
R. Eduardo Vicente de Mello,6gjq
R. Eduvigens Theodoro da Cunha,6gj
R. Egon Muller,6gjqu
R. Egon Schauffert,6gjqu 6gjquk
R. Egídia dos Santos Evaristo,6gj
R. Elias Brick Adaime,6gjqu
R. Eliza Oliani Nicoletti,6gjq
R. Elizabeth Montibeller dos Santos,6gj
R. Eliziário Pereira,6gj
R. Eliziário da Rosa,6gjq
R. Eloy Cordeiro,6gjq
R. Elsa Rover de Oliveira,6gjqg
R. Elyzabeth Baron,6gjq
R. Ema Fornari Conte,6gjqg
R. Emanoel José Rebello,6gjqg
R. Emanuel Pereira de Campos,6gjqu
R. Emanuel dos Santos,6gjqu
R. Emerson Schneider,6gjq
R. Emmanoel José de Aviz,6gjq
R. Emília Máxima dos Santos,6gj
R. Emília dos Santos,6gjqu
