name,ghs
AV ALMIRANTE JACEGUAY,6gm4x 6gm68
AV ALWINO HANSEN,6gm61 6gm63
AV ANTONIO RAMOS ALVIM,6gm60 6gm60m 6gm60t 6gm60w
AV FIRMINO DA SILVA,6gm61
AV GETULIO VARGAS,6gm62 6gm623
AV JOSÉ DE FRANÇA SILVA,6gm63
AV PLACIDO HUGO DE OLIVEIRA,6gm
AV PROLONGAMENTO DA AVENIDA ALMIRANTE JACEGUAY,6gm4x
AV ROLF WIEST,6gm68
AV VICE PREFEITO IVAN RODRIGUES,6gm69
AVENIDA ALMIRANTE JACEGUAY,6gm4x 6gm68
AVENIDA ALWINO HANSEN,6gm61 6gm63
AVENIDA ANTONIO RAMOS ALVIM,6gm60 6gm60m 6gm60w
AVENIDA FIRMINO DA SILVA,6gm61
AVENIDA GETULIO VARGAS,6gm62
AVENIDA MISSISSIPI,6gm4x
AVENIDA ODILON ROCHA FERREIRA,6gm69 6gm696 6gm697
AVENIDA PLACIDO HUGO DE OLIVEIRA,6gm
AVENIDA ROLF WIEST,6gm68
BECO SD 40366,6gm4r
ROD GOVERNADOR MARIO COVAS,6gm 6gm4 6gm4r 6gm4x 6gm60
ROD RODOLFO JAHN - SC 108,6gm4
ROD SC - 108,6gm4
ROD SC 413,6gm4
ROD SC 418,6gm 6gm4
RODOVIA GOVERNADOR MARIO COVAS,6gm 6gm4 6gm4r 6gm4x 6gm60
RODOVIA RODOLFO JAHN - SC 108,6gm4
RODOVIA SC - 108,6gm4
RODOVIA SC 108 - RODOVIA RODOLFO JAHN,6gm4
RODOVIA VEREADOR ARNO KRELLING - SC 418,6gm4
RUA 15 DE OUTUBRO,6gm 6gm4
RUA 24 DE ABRIL,6gm4
RUA 25 DE DEZEMBRO,6gm61
RUA 6 DE JANEIRO,6gm61
RUA ABAETE,6gm61
RUA ABELARDO BARBOSA,6gm63 6gm69
RUA ABELARDO JOSE AVELINO,6gm68
RUA ABELARDO LOPES DA SILVA,6gm61 6gm63
RUA ABELINO ABDON FERREIRA,6gm60t
RUA ABILIO DE OLIVEIRA BORGES,6gm
RUA ABRAAO DA SILVEIRA,6gm60 6gm60t
RUA ABRAAO LINCOLN,6gm68
RUA ACACIAS,6gm63
RUA ACARAI,6gm60 6gm60z
RUA ACIR CAETANO DE SOUZA FILHO,6gm63 6gm690
RUA ADAEL GOMES DE OLIVEIRA,6gm
RUA ADALBERTO PROBST,6gm61
RUA ADALBERTO SCHMALZ,6gm4r
RUA ADAO LIPINSKI,6gm4p
RUA ADELAIDE BENTA CARVALHO,6gm697
RUA ADELAIDE MARIA VIEIRA,6gm6
RUA ADELAIDE ROZA DA LUZ,6gm61
RUA ADELAIDE SERAFIM DA SILVA,6gm61
RUA ADELE CAROLINA BRANDALISE ULIANA,6gm61
RUA ADELE FATTORE BUSARELLO,6gm
RUA ADELE HILLE,6gm
RUA ADELE TRAPP,6gm4x
RUA ADELINA CERCAL ARINS,6gm6c
RUA ADEMAR GARCIA,6gm63
RUA ADEMAR JOSE DEMATE FILHO,6gm61n 6gm61q
RUA ADEMIR REGIS,6gm61m
RUA ADHEMAR DE BARROS,6gm62
RUA ADILIA MERCEDES DOS SANTOS,6gm61
RUA ADILSON DE SOUZA JUNIOR,6gm4p
RUA ADILSON DOS PASSOS SANTOS,6gm6
RUA ADOLAR KIEPER,6gm62
RUA ADOLAR POHL,6gm69
RUA ADOLFO BREZINK,6gm62
