name,ghs
AER ATIBAIA,6gy
ALCA DE ACESSO BR-381,6gy
ALCA DE ACESSO ROD. FERNAO DIAS A ROD. DOM PEDRO I,6gy
ALM AGUA-MARINHA,6gy
ALM AMOR PERFEITO,6gy
ALM AMSTERDAM,6gy
ALM ANDORINHA,6gy
ALM ARARA,6gy
ALM ARARA AZUL,6gy
ALM ARARAQUARA,6gy
ALM AROEIRA,6gy
ALM ATENAS,6gy
ALM AURELIO DE OLIVEIRA LIMA,6gy
ALM BACH,6gy
ALM BARAO DE LIMEIRA,6gy
ALM BEETHOVEN,6gy
ALM BEIJA FLOR,6gy
ALM BEIJA-FLOR,6gy
ALM BEM TE VI,6gy
ALM BEM-TE-VI,6gy
ALM BERILO,6gy
ALM BRAGANCA,6gy
ALM BRINCO DE PRINCESA,6gy
ALM BRUXELAS,6gy
ALM CABREUVA,6gy
ALM CAMPINAS,6gy
ALM CANARIO,6gy
ALM CANARIO REI,6gy
ALM CARLOS GOMES,6gy
ALM CEARA,6gy
ALM CHOPIN,6gy
ALM COLEIRINHA,6gy
ALM COLIBRI,6gy
ALM CUIABA,6gy
ALM CURIO,6gy
ALM DAS ACACIAS,6gy
ALM DAS ACUCENAS,6gy
ALM DAS ALEIAS,6gy
ALM DAS ALFAZEMAS,6gy
ALM DAS AMETISTAS,6gy
ALM DAS AMOREIRAS,6gy
ALM DAS ARARAS,6gy
ALM DAS ARAUCARIAS,6gy
ALM DAS AROEIRAS,6gy
ALM DAS AVENCAS,6gy
ALM DAS AZALEIAS,6gy
ALM DAS BEGONIAS,6gy
ALM DAS CAMELIAS,6gy
ALM DAS CASTANHEIRAS,6gy
ALM DAS DALIAS,6gy
ALM DAS FLOXINAS,6gy
ALM DAS GARCAS,6gy
ALM DAS GARDENIAS,6gy
ALM DAS HORTENCIAS,6gy
ALM DAS MADRESSILVAS,6gy
ALM DAS MAGNOLIAS,6gy
ALM DAS MANDUIRANAS,6gy
ALM DAS MARGARIDAS,6gy
ALM DAS ORQUIDEAS,6gy
ALM DAS PAINEIRAS,6gy
ALM DAS PAPOULAS,6gy
ALM DAS PERDIZES,6gy
ALM DAS PETUNIAS,6gy
ALM DAS PRIMAVERAS,6gy
ALM DAS QUARESMEIRAS,6gy
ALM DAS ROSAS,6gy
ALM DAS SIBIPIRUNAS,6gy
ALM DAS TULIPAS,6gy
ALM DAS VIOLETAS,6gy
ALM DAS VITORIAS-REGIAS,6gy
ALM DES THEODOMIRO TOLEDO PIZA,6gy
ALM DIAMANTES,6gy
ALM DOS ARACAS,6gy
ALM DOS ARARIBAS,6gy
ALM DOS CEDROS,6gy
ALM DOS CRAVOS,6gy
ALM DOS EMBAUBAS,6gy
ALM DOS FLAMBOYANTS,6gy
ALM DOS GIRASSOIS,6gy
ALM DOS HIBISCOS,6gy
ALM DOS INGAS,6gy
ALM DOS IPES,6gy
ALM DOS JACARANDAS,6gy
ALM DOS JASMINS,6gy
ALM DOS JATOBAS,6gy
ALM DOS JEQUITIBAS,6gy
ALM DOS JERIVAS,6gy
ALM DOS LIRIOS,6gy
ALM DOS MANACAS,6gy
ALM DOS MARACATINS,6gy
ALM DOS PINHEIROS,6gy
ALM DOS PLATANOS,6gy
ALM DOS ROSENDAS,6gy
ALM DOS SABIAS,6gy
ALM DOS SIBIPIRUNAS,6gy
ALM DR ANGELO GAMEZ NUNEZ,6gy
ALM DR ARAO SAHM,6gy
ALM DRACENA,6gy
ALM EDIMBURGO,6gy
ALM ESMERALDA,6gy
ALM EUCALIPTOS,6gy
ALM EXPEDICIONARIO ARY DIAS DA COSTA,6gy
ALM FLORIANOPOLIS,6gy
ALM FORTALEZA,6gy
ALM GARCA,6gy
ALM GUARANTAN,6gy
ALM HAYDN,6gy
ALM HELSINK,6gy
ALM IPE,6gy
ALM ITU,6gy
ALM JACANA,6gy
ALM JACARANDAS,6gy
ALM JANDAIA,6gy
ALM JATOBA,6gy
ALM JEQUITIBA,6gy
ALM JOAO DE BARRO,6gy
ALM JOVIANO ALVIM,6gy
ALM JUNDIAI,6gy
ALM JURITI,6gy
ALM LIMEIRA,6gy
ALM LINDOIA,6gy
ALM LINS,6gy
ALM LORENA,6gy
ALM MACEIO,6gy
ALM MADRID,6gy
ALM MANACA,6gy
ALM MANAUS,6gy
ALM MIOSOTIS,6gy
ALM MOZART,6gy
ALM NATAL,6gy
ALM NEWTON DE AZEVEDO ALVIM,6gy
ALM NHAMBU,6gy
ALM NICOLAU JOAO TEBECHERANI,6gy
ALM NITEROI,6gy
ALM PARAIBA,6gy
ALM PARANA,6gy
ALM PARDAL,6gy
ALM PARIS,6gy
ALM PAU-BRASIL,6gy
ALM PERIQUITO,6gy
ALM PICA PAU,6gy
ALM PICA-PAU,6gy
ALM PINTASSILGO,6gy
ALM PROF LUCAS NOGUEIRA GARCEZ,6gy
ALM RECIFE,6gy
ALM RIBEIRAO PRETO,6gy
ALM RIO CLARO,6gy
ALM ROUXINOL,6gy
ALM RUBI,6gy
ALM SABIA,6gy
ALM SAFIRA,6gy
ALM SANTA FILOMENA,6gy
ALM SANTOS,6gy
ALM SAO CARLOS,6gy
ALM SAO PAULO,6gy
ALM SCHUBERT,6gy
ALM SIRIEMA,6gy
ALM SOFIA,6gy
ALM SUCUPIRA,6gy
ALM TANGARA,6gy
ALM TICO-TICO,6gy
ALM TIPUANAS,6gy
ALM TOPAZIO,6gy
ALM TUCANO,6gy
ALM TULIPAS,6gy
ALM TURMALINA,6gy
ALM VALPARAISO,6gy
ALM VIENA,6gy
ALM VILLA LOBOS,6gy
ALM VITORIA REGIA,6gy
AVN 1,6gy
AVN 9 DE JULHO - REVOLUCAO CONSTITUC 1932,6gy
AVN A,6gy
AVN ALFREDO ANDRE,6gy
AVN AMADOR PECANHA FRANCO,6gy
AVN ARACAJU,6gy
AVN ARARIBA,6gy
AVN ATIBAIA,6gy
AVN AZALEIAS,6gy
AVN BARRETOS,6gy
AVN BOA VISTA,6gy
AVN BRASIL,6gy
AVN BRASILIA,6gy
AVN CAMPINAS,6gy
AVN CARLOS EDUARDO,6gy
AVN CARVALHO,6gy
AVN CEL ERNESTO ANDRADE ALVES,6gy
AVN CESAR MEMOLO,6gy
AVN CESAR RAFAELI NETO,6gy
AVN CHRISANTO HENRIQUE DUARTE FILHO,6gy
AVN CINAMOMOS,6gy
AVN CLOTILDE DE TOLEDO GARCIA,6gy
AVN COPACABANA,6gy
AVN CORONEL MIGUEL BRIZOLA DE OLIVEIRA,6gy
AVN DA SAUDADE,6gy
AVN DAS ANDORINHAS,6gy
AVN DAS ARAUCARIAS,6gy
AVN DAS AZALEIAS,6gy
AVN DAS AZALÉIAS,6gy
AVN DAS CAMELIAS,6gy
AVN DAS HORTENCIAS,6gy
AVN DAS MARGARIDAS,6gy
AVN DAS ORQUIDEAS,6gy
AVN DEL HUMBERTO FERNANDES DE CASTRO,6gy
AVN DELFINA SILVEIRA PECANHA,6gy
AVN DO LAGO,6gy
AVN DOM PEDRO II,6gy
AVN DONA CARMELA,6gy
AVN DONA GERTRUDES,6gy
AVN DOS BANDEIRANTES,6gy
AVN DOS CARDEAIS,6gy
AVN DOS CRAVOS,6gy
AVN DOS IPES,6gy
AVN DOS JACARANDAS,6gy
AVN DOS PINHEIROS,6gy
AVN DR JOVIANO ALVIM,6gy
AVN EMBUIA,6gy
AVN ENG PAULO IZZO,6gy
AVN ESPRAIADA,6gy
AVN EUCALIPTOS,6gy
AVN FIGUEIRA GARDEN,6gy
AVN FLAMBOYANT,6gy
AVN GOV ADHEMAR DE BARROS,6gy
AVN HORACIO NETTO,6gy
AVN IMPERIAL,6gy
AVN INDUSTRIAL WALTER KLOTH,6gy
AVN IPE,6gy
AVN IRLANDA,6gy
AVN IRMAOS FAZZIO,6gy
AVN JABOTA,6gy
AVN JACARANDA,6gy
AVN JEQUITIBA,6gy
AVN JERONIMO DE CAMARGO,6gy
AVN JOAO DE OLIVEIRA LEME,6gy
AVN JOAO SABARIEGO,6gy
AVN JOHNN FITZGERALD KENNEDY,6gy
AVN JUCA PECANHA,6gy
AVN JUVENAL ALVIM,6gy
AVN LUCAS DE SIQUEIRA FRANCO,6gy
AVN LUIGIA GRAZIANI TEBECHERANI,6gy
AVN MAJOR ALVIM,6gy
AVN MARACANA,6gy
AVN MARIA ALVIM SOARES,6gy
AVN MARIA LUIZA ROCCA BORGES,6gy
AVN MARIO AUGUSTO PALMEIRO,6gy
AVN MARISTELA,6gy
AVN MITSUKI KUROSAWA,6gy
AVN MUNICIPAL MARIA LUIZA,6gy
AVN NOSSA SENHORA DO ROSARIO,6gy
AVN ORQUIDEA,6gy
AVN ORQUIDEAS,6gy
AVN OSCARLINA DE ALMEIDA PROFETA,6gy
AVN PALU,6gy
AVN PAULISTA,6gy
AVN PETROPOLIS,6gy
AVN PIRACAIA,6gy
AVN PIRACICABA,6gy
AVN PREF ANTONIO JULIO DE T GARCIA LOPES,6gy
AVN PRES VARGAS,6gy
AVN PROF CARLOS ALBERTO A CARVALHO PINTO,6gy
AVN PROF CUSTODIO DUARTE LANNA,6gy
AVN PROF DR FLAVIO PIRES DE CAMARGO,6gy
AVN PROF DR JOSE PUGLIESI,6gy
AVN PROF ODAIR DA SILVA PINTO,6gy
AVN PROF WALDEMAR BASTOS BULHER,6gy
AVN SANTA BARBARA,6gy
AVN SANTANA,6gy
AVN SANTO ANTONIO,6gy
AVN SANTOS,6gy
AVN SANTOS DUMONT,6gy
AVN SAO CARLOS,6gy
AVN SAO JOAO,6gy
AVN SAO PAULO,6gy
AVN SAO PEDRO,6gy
AVN SERGIO MACHADO,6gy
AVN SEVERINA RODRIGUES DA COSTA,6gy
AVN SOLDADO PM PAULO FRANCISCO BARBOZA,6gy
AVN TEGULA,6gy
AVN TERCEIRO CENTENARIO,6gy
AVN VER FRANCISCO ANTONIO RODRIGUES ALMENDRA - TONINHO DA COAP,6gy
AVN VER GASPAR CAMARGO,6gy
AVN VITORIA,6gy
AVN WALTER ENGRACIA DE OLIVEIRA,6gy
BELA VISTA,6gy
BRO DO MARMELEIRO,6gy
DR MOACIR ANTONIO DE MORAES,6gy
EST 1,6gy
EST 2,6gy
EST 3,6gy
EST 4,6gy
EST 5,6gy
EST 9 DE JULHO,6gy
EST AGRO FLORA,6gy
EST AGROFLORA,6gy
EST AGUA ESPRAIADA,6gy
EST AGUAS DA MATA,6gy
EST AIMORES,6gy
EST ARAGUAIA,6gy
EST ATSONOBU MATUNAGA,6gy
EST BACARIS,6gy
EST BELA VISTA,6gy
EST BELO HORIZONTE,6gy
EST BENEDITO BUENO DE SALLES,6gy
EST BENEDITO MOREIRA RODRIGUES,6gy
EST BENTO SOARES,6gy
EST BOA VISTA,6gy
EST BOM RETIRO,6gy
EST BONANCA,6gy
EST BRASILIA,6gy
EST CAETES,6gy
EST CAMACAN,6gy
EST CAPIBERIBE,6gy
EST CARAJAS,6gy
EST CARIRIS,6gy
EST CENTRAL,6gy
EST CIRINO MANOEL DE ALMEIDA,6gy
EST CURITIBA,6gy
EST DA AGUA ESPRAIADA,6gy
EST DA BOA VISTA,6gy
EST DA CAMPININHA,6gy
EST DA CAPELA DO ROSARIO,6gy
EST DA ESTANCIA SANTA MARIA,6gy
EST DA FAZENDA CAPUAVA,6gy
EST DA FAZENDA SANTA ISABEL,6gy
EST DA FAZENDA SANTA MARIA,6gy
EST DA FAZENDA SAO BENTO,6gy
EST DA LAJE,6gy
EST DA LARANJA AZEDA,6gy
EST DA MADEIRA,6gy
EST DA MANTIQUEIRA,6gy
EST DA NASCENTE,6gy
EST DA PEDRA CINTADA,6gy
EST DA SERRA DO BOTUJURU,6gy
EST DA TETEIA,6gy
EST DANIEL SILVEIRA,6gy
EST DAS ARARAS,6gy
EST DAS ARAUCARIAS,6gy
EST DAS ROSAS,6gy
EST DE FERRO BRAGANTINA,6gy
EST DE FRANCISCO MORATO,6gy
EST DE LAMARTINE,6gy
EST DE SERVIDAO 1,6gy
EST DIONYSIO JOSE DORATHIOTTO,6gy
EST DO ARROZAL,6gy
EST DO BUFALO,6gy
EST DO CASTELINHO,6gy
EST DO CASTELO,6gy
EST DO ESPIGAO,6gy
EST DO GAROZZO,6gy
EST DO HOTEL TAUA,6gy
EST DO JASMIM,6gy
EST DO JATAI,6gy
EST DO LAGO,6gy
EST DO MATAO,6gy
EST DO MONJOLO VELHO,6gy
EST DO MOREIRA,6gy
EST DO RAMALHO,6gy
EST DO REGATO,6gy
EST DO REMANSO,6gy
EST DO RETIRO,6gy
EST DO RONCADOR,6gy
EST DO SELADO,6gy
EST DOS ANJOS,6gy
EST DOS ARANTES,6gy
EST DOS BARBOSA,6gy
EST DOS CAMPOS,6gy
EST DOS COQUEIROS,6gy
EST DOS CRISANTEMOS,6gy
EST DOS EUCALIPTOS,6gy
EST DOS MENDES,6gy
EST DOS PALMARES,6gy
EST DOS PARECIS,6gy
EST DOS PEREIRAS,6gy
EST DOS PINTOS,6gy
EST DOS PIRES,6gy
EST DOS PRADOS,6gy
EST DOURADOS,6gy
EST DOUTOR JUNQUEIRA,6gy
EST ESTADUAL ARAO SAHM,6gy
EST FAZENDA NOVA UNIAO,6gy
EST FLORIANOPOLIS,6gy
EST FRANCISCO DORIGO,6gy
EST GERTRUDES PEINADO LARA MONTEOLIVA,6gy
EST GOIANA,6gy
EST GOITACAZES,6gy
EST GUAIANASES,6gy
EST GUAICURUS,6gy
EST HARUKICHI YAMANAKA,6gy
EST HISAICHI TAKEBAYASHI,6gy
EST JAGUARIBE,6gy
EST JOSE PAVANI FILHO,6gy
EST JULIO ANDRE BONIOLO,6gy
EST MARCOS ANTONIO PECANHA,6gy
EST MAUES,6gy
EST MERCANTIL FERNAO DIAS,6gy
EST MONTEOLIVA,6gy
EST MONTOYA-CAMPININHA,6gy
EST MORUMBI,6gy
EST MOTOMU MAEDA,6gy
EST MUNICIPAL,6gy
EST MUNICIPAL ALCINDO PINZAN,6gy
EST MUNICIPAL ALEIXO CAVASSA,6gy
EST MUNICIPAL ANTONIO GALLO,6gy
EST MUNICIPAL ATILIO SQUIZATO,6gy
EST MUNICIPAL CAMPO LIMPO ATIBAIA,6gy
EST MUNICIPAL CARLOS CAVALARO,6gy
EST MUNICIPAL DA PARARANGA,6gy
EST MUNICIPAL DA PEDRA GRANDE,6gy
EST MUNICIPAL DO ARROZAL,6gy
EST MUNICIPAL DO CAIOÇARA,6gy
EST MUNICIPAL DO LARANJAL,6gy
EST MUNICIPAL DO MINGU,6gy
EST MUNICIPAL DOS PERINI,6gy
EST MUNICIPAL FRANCISCO JOSE INACIO,6gy
EST MUNICIPAL FRANCISCO RODRIGUES PUGA,6gy
EST MUNICIPAL GIACOBBE BURIGO - BAFO,6gy
EST MUNICIPAL JOAO BASILEU DA SILVA,6gy
EST MUNICIPAL JOSE CINTRA,6gy
EST MUNICIPAL JOSE IVO,6gy
EST MUNICIPAL JOSE NOGUEIRAO PUGA,6gy
EST MUNICIPAL JUCA SANCHES,6gy
EST MUNICIPAL KIICHI ICHIKAWA,6gy
EST MUNICIPAL LUCIANO ROCHA PECANHA,6gy
EST MUNICIPAL MARACANA,6gy
EST MUNICIPAL MARCILIO FURQUIM DE CAMPOS,6gy
EST MUNICIPAL MARIA DA SILVA NEVES,6gy
EST MUNICIPAL MARIA TEREZA DA SILVA OLIVEIRA,6gy
EST MUNICIPAL MARIO MESQUITA,6gy
