name,ghs
(CAM 050),6gy
(CAM 268),6gy
(CAM 315),6gyw
(CAM 367),6gyt
(CAM 445),6gy
ALAMEDA ALDINA SCHMIDT,6gyt
ALAMEDA DAS ACEROLAS,6gyt9
ALAMEDA DAS AMORAS,6gyt9
ALAMEDA DAS ARAUCARIAS,6gyt
ALAMEDA DAS BAUINIAS,6gyt
ALAMEDA DAS CARAMBOLAS,6gyt9
ALAMEDA DAS CEREJAS,6gyt9
ALAMEDA DAS ESPATODEAS,6gyt
ALAMEDA DAS FRAMBOESAS,6gyt9
ALAMEDA DAS GRAVIOLAS,6gyt9
ALAMEDA DAS JAQUEIRAS,6gyt
ALAMEDA DAS LARANJEIRAS,6gyt
ALAMEDA DAS MACAS,6gyt9
ALAMEDA DAS PAINEIRAS,6gyt
ALAMEDA DAS PALMEIRAS,6gyt
ALAMEDA DAS PERAS,6gyt9
ALAMEDA DAS PITANGAS,6gyt9
ALAMEDA DAS ROMAS,6gyt9
ALAMEDA DAS TANGERINAS,6gyt9
ALAMEDA DAS TILIAS,6gyt
ALAMEDA DAS TIPUANAS,6gyt
ALAMEDA DAS UVAS,6gyt9
ALAMEDA DOS AZINHEIROS,6gyt
ALAMEDA DOS CAMBARAS,6gyt
ALAMEDA DOS CIPRESTES,6gyt
ALAMEDA DOS DAMASCOS,6gyt9
ALAMEDA DOS FLAMBOYANT,6gyt
ALAMEDA DOS FREIXOS,6gyt
ALAMEDA DOS IBISCOS,6gyt
ALAMEDA DOS INGAZEIROS,6gyt
ALAMEDA DOS MARACUJAS,6gyt9
ALAMEDA DOS PESSEGOS,6gyt9
ALAMEDA DOS PINUS,6gyt
ALAMEDA DOS ULMEIROS,6gyt
ALAMEDA DOS VIDOEIROS,6gyt
ALAMEDA ENGENHEIRO RUBENS DE VASCONCELLOS CONTI,6gyt
ALAMEDA ILHA DO CARDOSO,6gyt
ALAMEDA RUBENS EIDE,6gyt
AVENIDA ABRAM STEINBERG,6gyt
AVENIDA ADAO FOCESI,6gyt
AVENIDA ADHEMAR FERREIRA DA SILVA (ATLETA EMERITO),6gyt
AVENIDA ADOLPHO BLOCH,6gy
AVENIDA ADOLPHO BLOCH   (PROLONG),6gy
AVENIDA AGENOR TOPINEL,6gyt
AVENIDA AGLAIA,6gy
AVENIDA AGUINALDO ACCIARI,6gy
AVENIDA ALAOR FARIA DE BARROS,6gyw
AVENIDA ALBERTO DUARTE,6gyt
AVENIDA ALBERTO MEDALJON,6gyt9
AVENIDA ALBERTO MONTEIRO DE CARVALHO E SILVA,6gyw
AVENIDA ALBINA SCARASSATTI MISSIO,6gy
AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA,6gyw
AVENIDA ALCIDES MODESTO DE CAMARGO,6gy
AVENIDA ALCIDES TOGNOLO,6gy
AVENIDA ALDO BERTON,6gy
AVENIDA ALEXANDER GRAHAN BELL,6gy
AVENIDA ALICE DE CASTRO PUPO NOGUEIRA MATTOSINHO,6gyw
AVENIDA ALMEIDA GARRET,6gyt
AVENIDA ALPHAVILLE,6gyt
AVENIDA ALZIRO ZARUR,6gyt
AVENIDA AMADOR BICUDO TEIXEIRA,6gy
AVENIDA AMILTON ALVES DE SOUZA,6gyt
AVENIDA ANA BEATRIZ BIERREMBACH,6gyt
AVENIDA ANCHIETA,6gyt 6gyt9
AVENIDA ANDRADE NEVES,6gyt
AVENIDA ANGELINO GREGORIO,6gyw
AVENIDA ANTON VON ZUBEM,6gyt
AVENIDA ANTONIO ARTIOLI,6gyt
AVENIDA ANTONIO BERNARDO DA COSTA,6gy
AVENIDA ANTONIO BUSCATO,6gy
AVENIDA ANTONIO CARLOS DE SALLES JUNIOR,6gyt9
AVENIDA ANTONIO CARLOS DO AMARAL,6gy
AVENIDA ANTONIO CARVALHO MIRANDA,6gyt
AVENIDA ANTONIO CONCON,6gy
AVENIDA ANTONIO CREMASCO,6gyt
AVENIDA ANTONIO DE OLIVEIRA VALENTE,6gyt9
AVENIDA ANTONIO GATTO,6gy
AVENIDA ANTONIO IGNACIO PUPO (CAM 209),6gyw
AVENIDA ANTONIO JONAS,6gyt
AVENIDA ANTONIO PAGLIATO,6gy
AVENIDA ANTONIO SALLES PROENCA,6gy
AVENIDA AQUIDABA,6gyt9
AVENIDA ARACA,6gyw
AVENIDA ARMANDO MARIO TOZZI,6gy
AVENIDA ARTUR PAIOLI,6gyt
AVENIDA ARTUR SEGURADO,6gyt9
AVENIDA ARY RODRIGUEZ,6gyt
AVENIDA ARYMANA,6gy
AVENIDA ARYZIO RIBEIRO DA SILVA,6gyt
AVENIDA AUGUSTO PIFFER,6gyw
AVENIDA AURO SOARES DE MOURA ANDRADE,6gyt
AVENIDA AYRTON SENNA DA SILVA,6gyt9
AVENIDA BADEN POWELL,6gyt 6gyt9
AVENIDA BARAO DE ITAPURA,6gyt
AVENIDA BARAO DE MONTE ALEGRE,6gyt
AVENIDA BARAO SMITH DE VASCONCELLOS,6gy
AVENIDA BARRA BONITA,6gyt9
AVENIDA BENEDICTO CAMPOS,6gyt
AVENIDA BENEDITA CAVALCANTE FERREIRA,6gyt
AVENIDA BENEDITO ROBERTO BARBOSA,6gy
AVENIDA BENJAMIN CONSTANT,6gyt 6gyt9
AVENIDA BRASIL,6gyt
AVENIDA BRASILIA,6gy
AVENIDA BRIGADEIRO RAFAEL TOBIAS DE AGUIAR,6gyt
AVENIDA BRUNORO DE GASPERI,6gyt 6gyt9
AVENIDA BUENO DE MIRANDA,6gyt
AVENIDA CABO OSCAR ROSSIN,6gyt
AVENIDA CAMBACICA,6gyw
AVENIDA CAMPOS SALES,6gyt 6gyt9
AVENIDA CAMUCIM,6gy
AVENIDA CAPITAO SAMUEL FERREIRA,6gyt9
AVENIDA CARDEAL DOM AGNELO ROSSI,6gy
AVENIDA CARLA ALESSANDRA TOZZI,6gyw
AVENIDA CARLOS A. GOBBI,6gyt
AVENIDA CARLOS DIAULAS SERPA,6gyw
AVENIDA CARLOS EDUARDO FELIX LUCAS,6gy
AVENIDA CARLOS GRIMALDI,6gyt
AVENIDA CARLOS LACERDA,6gy 6gyt
AVENIDA CARLOS PELLEGRINI JUNIOR,6gy
AVENIDA CARLOS POLETTI (DADINHO),6gyw
AVENIDA CARLOS STELLA NETTO,6gyt
AVENIDA CATHARINA VANO PATTARO DE FAVERY,6gy
AVENIDA CECILIA SAMIA ZARUR,6gyt
AVENIDA CID GUIMARAES LEME,6gy
AVENIDA CID NEGER SEGURADO,6gy
AVENIDA CLAUDIO CELESTINO DE TOLEDO SOARES,6gyt9
AVENIDA CLEBER SATURNINO FERREIRA,6gyt
AVENIDA COACYARA,6gy
AVENIDA COMENDADOR ALADINO SELMI,6gy
AVENIDA COMENDADOR ENZO FERRARI,6gyt9
AVENIDA COMENDADOR SAID ABDALLA,6gyw
AVENIDA CONDORCET ARANHA,6gyw
AVENIDA CONEGO ANTONIO ROCCATO,6gyt
AVENIDA COPACABANA,6gyt
AVENIDA CORONEL AMANCIO BUENO,6gyt
AVENIDA CORONEL PM HELIO BARBOSA CALDAS,6gy
AVENIDA CORONEL SILVA TELLES,6gyt 6gyt9
AVENIDA DA SAUDADE,6gyt9
AVENIDA DANTE ALIGHIERI,6gyt
AVENIDA DAS ALAMANDAS,6gyt
AVENIDA DAS AMOREIRAS,6gyt 6gyt9
AVENIDA DAS ANDORINHAS,6gyt
AVENIDA DAS CALENDOLAS,6gyt
AVENIDA DAS JABUTICABAS,6gyt9
AVENIDA DAS PORTULACAS,6gyt
AVENIDA DENISE MARTINS DE MORAES BARROS,6gyt
AVENIDA DEPUTADO GIOIA JUNIOR,6gyw
AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES,6gy
AVENIDA DERMIVAL BERNARDES SIQUEIRA,6gyt
AVENIDA DIOGO ALVARES,6gyt
AVENIDA DO IPIRANGA,6gyt9
AVENIDA DOIS - MONT BLANC RESIDENCE,6gyw
AVENIDA DOIS - PARQUE VISTA ALEGRE,6gy
AVENIDA DOLORES FRANCO (VOVO TATA),6gy
AVENIDA DOM JOAQUIM MAMEDE DA SILVA LEITE,6gyt
AVENIDA DOMINGOS PAULINO DA COSTA,6gy
AVENIDA DONA JULIA CONCEICAO ALVES,6gyt
AVENIDA DONA LIBANIA,6gyt 6gyt9
AVENIDA DONA MARIA FRANCO SALGADO,6gyt
AVENIDA DOS EXPEDICIONARIOS,6gyt
AVENIDA DOS IMBES,6gyt
AVENIDA DOS LISIANTOS,6gyt
AVENIDA DOS MARACAS,6gyt
AVENIDA DOS METALURGICOS,6gy
AVENIDA DOUTOR ABELARDO POMPEU DO AMARAL,6gyt
AVENIDA DOUTOR ALBERTO SARMENTO,6gyt
AVENIDA DOUTOR ANDRE TOSELLO,6gy
AVENIDA DOUTOR ANGELO SIMOES,6gyt9
AVENIDA DOUTOR ANTONIO CARLOS COUTO DE BARROS,6gyt
AVENIDA DOUTOR ARLINDO JOAQUIM DE LEMOS,6gyt9
AVENIDA DOUTOR ARMANDO A. DOTTAVIANO,6gy
AVENIDA DOUTOR ARTUR LEITE DE BARROS JUNIOR,6gyt
AVENIDA DOUTOR BERNARDO KAPLAN,6gyt
AVENIDA DOUTOR CARLOS DE CAMPOS,6gyt
AVENIDA DOUTOR DAVID VICENTE,6gyt
AVENIDA DOUTOR EDUARDO PEREIRA DE ALMEIDA,6gyw
AVENIDA DOUTOR EURIDICE JOSE BENTO,6gyt
AVENIDA DOUTOR EXPEDITO RAMALHO DE ALENCAR,6gyw
AVENIDA DOUTOR FRANCISCO MAIS,6gyt
AVENIDA DOUTOR HEITOR PENTEADO,6gyt
AVENIDA DOUTOR HERMANN DA CUNHA CANTO,6gy
AVENIDA DOUTOR HERMAS BRAGA,6gyt9
AVENIDA DOUTOR HORACIO ANTONIO DA COSTA JUNIOR,6gyt
AVENIDA DOUTOR JESUINO MARCONDES MACHADO,6gyt 6gyt9
AVENIDA DOUTOR JOAO PENIDO BURNIER,6gyt 6gyt9
AVENIDA DOUTOR JOSE BONIFACIO COUTINHO NOGUEIRA,6gyt
AVENIDA DOUTOR JULIO SOARES DE ARRUDA,6gyt
AVENIDA DOUTOR LIBARIT SARIAN,6gy
AVENIDA DOUTOR MANOEL AFONSO FERREIRA,6gyt9
AVENIDA DOUTOR MORAES SALLES,6gyt9
AVENIDA DOUTOR MUCIO DRUMMOND MURGEL,6gyw
AVENIDA DOUTOR NELSON NORONHA GUSTAVO FILHO,6gyt
AVENIDA DOUTOR PAULO AFFONSO PEREIRA RIBEIRO,6gy
AVENIDA DOUTOR PEDRO SALOMAO JOSE KASSAB,6gyt
AVENIDA DOUTOR ROBERTO ROCHA BRITO,6gyt
AVENIDA DOUTOR ROMEU TORTIMA,6gyw
AVENIDA DOUTOR RUY DE ALMEIDA BARBOSA,6gyt
AVENIDA DOUTOR THOMAZ ALVES,6gyt9
AVENIDA DOUTOR WALMOR LARGURA,6gyw
AVENIDA DOUTORA ZILDA ARNS NEUMANN,6gy
AVENIDA DR EURIDICE JOSE BENTO,6gyt
AVENIDA DR JOSE MARIA DE SA,6gyw
AVENIDA EDMUNDO VIGNATTI,6gyt
AVENIDA EDUARDO ALVES DE LIMA,6gyt
AVENIDA ELZA DE BARROS GARNERO,6gyw
AVENIDA ELZA TEROSSO ALITA,6gyt
AVENIDA EMBARQUE SAMIA ZARUR,6gy
AVENIDA EMILIA STEFANELLI CEREGATTI,6gy
AVENIDA EMILIO PIERI,6gy
AVENIDA EMILLY CRISTIENNE GIOVANINI,6gy
AVENIDA ENGENHEIRO ALCIR CESAR DO NASCIMENTO,6gyt
AVENIDA ENGENHEIRO ANTONIO FRANCISCO DE PAULA SOUZA,6gyt 6gyt9
AVENIDA ENGENHEIRO ARLINDO NASCIMENTO DE LEMOS,6gyt
AVENIDA ENGENHEIRO AUGUSTO FIGUEIREDO,6gyt 6gyt9
AVENIDA ENGENHEIRO CYRO LUSTOSA,6gyt9
AVENIDA ENGENHEIRO JORGE BIERRENBACH DE CASTRO,6gyw
AVENIDA ENGENHEIRO LUIZ ANTONIO LALONI,6gyw
AVENIDA ENGENHEIRO ROBERTO MANGE,6gyt9
AVENIDA ENILSON JOSE COGHI,6gyw
AVENIDA ERNESTO PAES,6gy
AVENIDA ESTADOS UNIDOS,6gyt 6gyt9
AVENIDA ESTHER MORETZSHON CAMARGO,6gyt 6gyw
AVENIDA EVANDRO BATISTA VIEIRA,6gyw
AVENIDA FERNANDO PAOLIERI,6gy
AVENIDA FERNANDO RUIZ NETO,6gyt
AVENIDA FRANCELINA MARIA VESCO,6gyt
AVENIDA FRANCISCO ALFREDO JUNIOR,6gyt
AVENIDA FRANCISCO CANDIDO XAVIER,6gyw
AVENIDA FRANCISCO DE PAULA OLIVEIRA NAZARE,6gyt
AVENIDA FRANCISCO ELISIARIO,6gyt
AVENIDA FRANCISCO GLICERIO,6gyt 6gyt9
AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE (CAPITAO CHICO),6gyt
AVENIDA FRANCISCO PEROTTI,6gyt9
AVENIDA FRANCISCO XAVIER ARRUDA CAMARGO,6gyw
AVENIDA FRANCO FORMAGGIONI,6gyw
AVENIDA FREI ANTONIO DE SANTANA GALVAO,6gy
AVENIDA FREI DAMIAO,6gy
AVENIDA GENERAL CARNEIRO,6gyt9
AVENIDA GEORGES ZAOUK,6gyt
AVENIDA GERALDO ALVES CORREA,6gyt
